index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,30,0,0,0,10.000000000000002,20,10.0,15.907032050530214,18,19.055555555555557,35.71571174907081,5,40.0,36.00000000000001,12,36.0,3,0.41000000000000003,33710,3,10,1.0,189.07032050530213,False,0.04505936130870405,5,1.276,28774.0,110,0,0.0,1100.0000000000002,False,-0.09345534361764615,0,0.2,50212,11,40,1.0,1603.6058225186648,False,0.022197790070519294,0,0.2,49135,68,40,1.0,2510.306649398887,False,0.009701304947289786,0,0.506,77156,30,12,1.0,1503.4713524721246,False,-0.018361548840974514,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,318352,0.0,0.0,18,0,0,10,2,1.2307692307692308,23,33,37,168.0,111.0,13,17,37,832,1.2819757670513354,18.664238259079866
11,37,0,0,0,10.000000000000002,20,10.0,15.539875557256373,29,13.482758620689655,35.591219691094466,73,35.45205479452055,36.0,9,36.0,4,0.44700000000000006,33898,2,10,1.0,175.39875557256374,False,0.05066001106087986,15,1.421,28307.0,121,0,0.0,1210.0000000000002,False,-0.10619222802732865,0,0.2,50085,24,45,1.0,1974.5618994734039,False,0.023369553755795,28,0.48000000000000004,50513,64,10,1.0,1350.4642325753525,False,0.025692945062470968,0,0.506,74892,93,13,1.0,3777.9834312717853,False,-0.032558536941524774,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,317060,0.0,0.0,19,0,0,13,10,8.243589743589745,21,34,46,168.0,144.0,14,23,46,1188,1.4233577969716862,20.087596056051552
12,46,0,0,0,10.000000000000002,20,10.0,13.367999746667891,66,7.696969696969698,35.99425945637526,14,40.0,36.0,9,36.0,0,0.44300000000000006,33986,4,12,1.0,200.4159969600147,False,0.053767211750085246,58,1.9860000000000002,26196.0,129,0,0.0,1290.0000000000002,False,-0.1702167125235725,0,0.2,50392,44,41,1.0,2063.9566265647727,False,0.03041674975518749,0,0.45200000000000007,50258,90,20,1.0,1923.0051663276154,False,0.026319532384158316,0,0.506,74656,97,14,1.0,3995.4431672684004,False,-0.0341621422083512,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,314853,0.0,0.0,19,0,0,17,10,10.0,23,40,45,241.0,156.0,19,27,45,1292,1.4252332940232009,21.512829350074753
13,45,0,0,0,10.000000000000002,20,10.0,13.975648126256653,14,23.285714285714285,36.06447412954381,5,38.0,36.0,11,36.0,1,0.45300000000000007,34220,1,10,1.0,149.75648126256652,False,0.06021820387149603,1,1.9380000000000004,26046.0,142,0,0.0,1420.0000000000002,False,-0.17284446780226914,0,0.2,50582,34,46,1.0,2134.1378462517414,False,0.03492704130016176,0,0.45200000000000007,49932,94,30,1.0,2395.6451477544397,False,0.024522553878836537,0,0.506,74862,92,13,1.0,3785.9316199180307,False,-0.032886463680980076,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,315007,0.0,0.0,18,0,0,14,2,1.0769230769230769,22,36,37,257.0,189.0,16,29,37,786,1.4534312369651161,22.96626058703987
14,37,0,0,0,10.000000000000002,20,10.0,13.297467058154702,52,10.615384615384615,36.475720615567965,15,40.0,36.00000000000001,8,36.0,7,0.522,34428,0,8,0.8,106.37973646523761,False,0.06597798461163697,35,2.2870000000000004,24879.0,155,0,0.0,1550.0000000000002,False,-0.2069125421213714,0,0.2,50183,44,56,1.0,2627.7289050306126,False,0.03187721822056079,0,0.45200000000000007,50379,116,25,1.0,2454.3991941351446,False,0.03406803985628122,0,0.506,74550,97,15,1.0,4078.1448997100924,False,-0.034976722108548595,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6333333333333333,313784,0.0,0.0,19,0,0,12,10,9.777777777777779,22,34,41,171.0,149.0,12,25,41,1288,1.412461168016307,24.378721755056176
15,41,0,0,0,10.000000000000002,20,10.0,13.765449222041923,15,21.0,36.69751959308987,22,38.0,36.0,11,36.0,4,0.5550000000000002,34546,1,10,1.0,147.65449222041923,False,0.07026392698272513,3,2.282000000000001,24729.0,164,0,0.0,1640.0000000000002,False,-0.21015859275976134,0,0.2,50670,43,49,1.0,2390.0927766092063,False,0.039254726652198195,0,0.45200000000000007,50413,112,30,1.0,2642.6559006613916,False,0.036635433621823,0,0.506,74110,109,14,1.0,4504.029635646796,False,-0.03783765113307637,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,313833,0.0,0.0,17,0,0,16,2,1.6666666666666665,23,39,31,198.0,119.0,16,25,31,1588,1.286042561987415,25.66476431704359
16,31,0,0,0,10.000000000000002,20,10.0,13.340482600299945,13,6.076923076923077,35.80222812730801,11,24.727272727272727,36.0,13,36.0,0,0.5510000000000002,34426,3,20,1.0,296.8096520059989,False,0.06885970340380856,13,2.409000000000001,24423.0,172,0,0.0,1720.0000000000002,False,-0.21838192104368256,0,0.2,50670,33,59,1.0,2552.567385321071,False,0.04088253301527948,0,0.45200000000000007,50606,115,29,1.0,2572.4201147264257,False,0.039799023311089095,0,0.506,74306,110,11,1.0,4334.245094003882,False,-0.03643769234546788,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,313796,0.0,0.0,18,0,0,6,3,3.0,27,33,32,128.0,123.0,10,21,32,940,2.089095649018418,27.75385996606201
17,32,0,0,0,10.000000000000002,20,10.0,13.776289949234274,19,18.63157894736842,34.44640334666737,10,16.5,36.0,14,36.0,0,0.5510000000000002,34641,4,17,1.0,274.19692913698265,False,0.07515684498001345,6,2.456000000000001,24236.0,181,0,0.0,1810.0000000000002,False,-0.22277181809750518,0,0.2,50510,36,59,1.0,2528.2842356258084,False,0.03743321680384928,0,0.45200000000000007,50577,111,39,1.0,2872.5779148850315,False,0.04222516245426429,3,0.536,74512,110,10,1.0,4149.10436813341,False,-0.035008477489236994,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,313841,0.0,0.0,21,0,0,12,4,3.6666666666666665,23,35,36,193.0,163.0,16,16,36,1050,1.4298328310251236,29.183692797087133
18,36,0,0,0,10.000000000000002,20,10.0,13.528751659913306,31,11.870967741935484,34.45264352604896,38,34.473684210526315,36.0,9,36.0,0,0.5510000000000002,34841,4,15,1.0,242.9312748986996,False,0.08085651335361393,19,2.640000000000001,23700.0,191,0,0.0,1910.0000000000002,False,-0.237796395338053,0,0.2,51398,33,41,1.0,1859.0071893451463,False,0.04852129192226539,0,0.45200000000000007,50631,125,39,1.0,3034.747055005073,False,0.04493194260214281,0,0.533,73526,138,11,1.0,5150.464806594757,False,-0.0411235128419658,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,313461,0.0,0.0,23,0,0,17,4,4.0,19,36,35,203.0,161.0,16,20,35,2134,1.2895212679868564,30.47321406507399
19,35,0,0,0,10.000000000000002,20,10.0,14.138667902238245,29,18.655172413793103,34.675026262115715,10,38.0,36.0,11,36.0,10,0.6510000000000001,35067,1,10,1.0,151.38667902238245,False,0.08642821094726534,4,2.661000000000001,23519.0,204,0,0.0,2040.0000000000005,False,-0.24138250842427428,0,0.2,51471,43,41,1.0,2029.6387965429888,False,0.05169357188056536,0,0.45200000000000007,50397,124,49,1.0,3452.271106721212,False,0.044426232384094176,0,0.533,73542,138,10,1.0,5145.153624171969,False,-0.040955373123089694,0,0.2,79365,0,0,0.0,0.0,False,0.0,0.6666666666666666,313361,0.0,0.0,18,0,0,15,3,2.625,22,37,32,221.0,136.0,16,19,32,1210,1.4486929930280894,31.92190705810208
