index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,15,0,0,0,10.000000000000002,20,10.0,12.574232064812938,19,25.842105263157894,17.016412825051457,11,23.0,33.99999999999999,20,34.0,0,0.2,42721,0,20,0.9,251.48464129625876,False,0.024747496428014267,0,1.3970000000000002,37090,114,0,0.0,1140.0000000000002,False,-0.09930163589400172,0,0.2,56615,0,34,0.0,578.5580360517496,False,-0.0017668797820213245,11,1.1110000000000002,53307.0,183,0,0.0,2301.0844678607677,False,-0.0446883214817931,0,0.24500000000000002,82606,0,11,0.8,373.99999999999994,False,0.01891552623806242,13,0.8790000000000002,80170,0,10,1.0,339.99999999999994,False,-0.011273013685143251,0.45,352509,0.0,0.0,16,0,0,14,8,8.0,9,23,20,99.0,36.0,8,7,20,929,1.7136800449807197,161.46696404495742
11,20,0,0,0,10.000000000000002,20,10.0,12.308556243467457,30,10.933333333333335,16.557277824628624,10,13.0,33.99999999999999,20,34.0,0,0.2,42907,0,19,1.0,233.8625686258817,False,0.02898525027056676,19,1.5870000000000002,36531,124,0,0.0,1240.0000000000002,False,-0.1114751745910265,0,0.2,56615,0,34,0.0,562.9474460373732,False,-0.0019038027713588728,10,1.2000000000000002,52798.0,213,0,0.0,2621.7224798585685,False,-0.05080499535252551,0,0.24500000000000002,82941,0,3,0.3,101.99999999999997,False,0.021364576154376293,0,0.8660000000000001,80385,0,8,0.7,271.99999999999994,False,-0.009045485871812543,0.3333333333333333,352177,0.0,0.0,19,0,0,15,6,6.0,15,30,15,143.0,57.0,11,9,15,1166,2.1586779709905386,163.62564201594796
12,15,0,0,0,10.000000000000002,20,10.0,12.220044028338732,8,10.375,16.053139666695838,13,13.0,34.0,20,34.0,0,0.2,42912,0,23,0.7,281.06101265179086,False,0.029669245822392925,5,1.6180000000000003,36301,137,0,0.0,1370.0000000000002,False,-0.11542141012149622,0,0.2,56615,0,34,0.0,545.8067486676584,False,-0.0020541465777768695,13,1.3200000000000003,52458.0,221,0,0.0,2700.6297302628595,False,-0.05607727628924773,7,0.31500000000000006,82799,3,10,1.0,388.1594190000875,False,0.021377863905435234,2,0.8860000000000001,80643,0,0,0.0,0.0,False,-0.007544058284926652,0.2833333333333333,351728,0.0,0.0,16,0,0,12,8,7.6,12,24,13,91.0,21.0,7,8,13,581,2.00909694499569,165.63473896094365
13,13,0,0,0,10.000000000000002,20,10.0,12.477754574162125,24,14.166666666666666,15.32189610623728,26,13.0,34.0,20,34.0,0,0.2,43124,0,21,1.0,262.03284605740464,False,0.03451201624004364,12,1.7330000000000003,35943,147,0,0.0,1470.0000000000002,False,-0.1227877164450397,0,0.2,56615,0,34,0.0,520.9444676120675,False,-0.00227221763343512,26,1.5670000000000004,51405.0,245,0,0.0,3057.049870669721,False,-0.07142312191325563,3,0.3380000000000001,82897,10,10,1.0,493.2189610623728,False,0.02323040120767928,7,0.9540000000000002,80451,0,9,0.9,306.0,False,-0.008024022841390175,0.48333333333333334,350435,0.0,0.0,14,0,0,14,12,12.0,13,27,8,76.0,17.0,7,6,8,852,1.71566204901319,167.35040100995684
14,8,0,0,0,10.000000000000002,20,10.0,12.582044088158543,12,14.0,15.32189610623728,0,,34.0,20,34.0,0,0.2,43194,0,23,0.8,289.3870140276465,False,0.03651328582736584,6,1.7810000000000006,35715,159,0,0.0,1590.0000000000002,False,-0.12680570171242705,0,0.2,56540,0,37,0.3,566.9101559307793,False,-0.0031847192708466393,0,1.5410000000000004,51312.0,254,0,0.0,3195.83919839227,False,-0.07183721429355089,4,0.37500000000000006,83209,0,10,1.0,340.0,False,0.026127301368514325,0,0.9470000000000003,80655,0,3,0.0,102.0,False,-0.006768730924485576,0.35000000000000003,350625,0.0,0.0,19,0,0,12,2,2.0,12,24,12,42.0,12.0,4,4,12,894,1.6700718710198998,169.02047288097674
15,12,0,0,0,10.000000000000002,20,10.0,11.857910152541145,13,3.076923076923077,15.804297344980714,16,18.75,33.99999999999999,20,34.0,0,0.2,43132,0,29,0.8,343.8793944236932,False,0.03568209359064021,11,1.8850000000000002,35386,171,0,0.0,1710.0000000000002,False,-0.13323926145604134,0,0.2,56684,0,33,0.0,521.5418123843635,False,-0.0010565580880241194,12,1.6610000000000003,51044.0,267,0,0.0,3166.062010728486,False,-0.07679973677108594,0,0.371,83147,6,13,1.0,536.8257840698842,False,0.026575426947363232,10,1.0470000000000004,80622,0,0,0.0,0.0,False,-0.0078025007384070096,0.3,350015,0.0,0.0,13,0,0,13,10,9.25,9,22,18,60.0,36.0,5,7,18,600,1.5436365920468234,170.56410947302356
16,18,0,0,0,10.000000000000002,20,10.0,12.736304311338456,11,25.0,15.804297344980714,0,,33.99999999999999,20,34.0,0,0.2,43327,0,26,0.8,331.1439120947999,False,0.04019353190585006,0,1.874,35266,183,0,0.0,1830.0000000000002,False,-0.13467425619439397,0,0.2,56684,0,33,0.0,521.5418123843635,False,-0.0010565580880241194,0,1.6490000000000002,50769.0,278,0,0.0,3540.6925985520907,False,-0.07833793001883962,0,0.37100000000000005,83555,0,7,0.6,237.99999999999994,False,0.029757802500738405,8,1.1170000000000002,80538,0,0,0.0,0.0,False,-0.008836270552328444,0.2333333333333333,350139,0.0,0.0,14,0,0,16,3,3.0,12,28,13,108.0,75.0,8,10,13,883,1.8097715050098486,172.3738809780334
17,13,0,0,0,10.000000000000002,20,10.0,13.584102634604065,11,25.0,18.0201490629236,62,21.677419354838708,33.99999999999999,20,34.0,0,0.2,43532,0,22,0.7,298.85025796128946,False,0.044710253730523335,0,1.8740000000000003,35136,196,0,0.0,1960.0000000000005,False,-0.1362288338276093,0,0.2,56684,0,33,0.0,594.6649190764788,False,-0.0004151835884880899,62,2.2690000000000006,49288.0,289,0,0.0,3925.805661400575,False,-0.1009402187404563,3,0.401,83626,2,10,1.0,376.04029812584713,False,0.0314810001607626,10,1.2090000000000003,79214,40,10,1.0,1060.805962516944,False,-0.018602897247483537,0.45,347480,0.0,0.0,14,0,0,15,9,8.333333333333332,11,26,14,78.0,36.0,6,7,14,645,1.5272997859865427,173.90118076401995
18,14,0,0,0,10.000000000000002,20,10.0,12.698187443819538,17,5.235294117647059,17.403127546205926,18,12.333333333333334,33.99999999999999,20,34.0,0,0.2,43442,0,31,0.9,393.64381075840566,False,0.04369133036877464,17,2.044,34708,207,0,0.0,2070.0000000000005,False,-0.14514971778436814,0,0.2,56684,0,33,0.0,574.3032090247956,False,-0.0005937794138689447,18,2.387000000000001,48775.0,306,0,0.0,3885.645357808779,False,-0.11029168180151933,0,0.39800000000000013,83835,3,10,1.0,392.20938263861774,False,0.03415261262330552,0,1.1990000000000003,79463,37,10,1.0,983.9157192096193,False,-0.01601164394500334,0.48333333333333334,346907,0.0,0.0,17,0,0,14,5,5.0,11,25,17,91.0,51.0,7,7,17,880,1.9552306969999336,175.8564114610199
19,17,0,0,0,10.000000000000002,20,10.0,14.318519753210243,20,26.0,17.512861877547632,9,19.333333333333332,33.99999999999999,20,34.0,0,0.2,43812,5,21,1.0,350.6889148174151,False,0.05202679750810065,0,2.027,34658,212,0,0.0,2120.0000000000005,False,-0.14574763225868173,0,0.2,56532,0,40,1.0,700.5144751019053,False,-0.002153192920779663,6,2.4290000000000007,48407.0,316,0,0.0,4524.6522420144365,False,-0.11114242398022602,5,0.44800000000000006,84064,0,9,0.9,305.99999999999994,False,0.036440385940730534,0,1.1990000000000003,79525,30,15,1.0,1035.385856326429,False,-0.014931907450979394,0.65,346998,0.0,0.0,18,0,0,12,4,4.0,12,24,16,128.0,42.0,8,9,16,1338,1.3094372769701295,177.16584873799002
