index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,13,10.0,21.0,0,,26.0,0,,34.0,0,,0,0.2,38220,0,6,0.6,126.0,False,7.836990595611286e-05,0,0.2,38210,0,7,0.7,147.0,False,9.143155694879833e-05,0,0.2,46148,0,0,0.0,0.0,False,0.0,0,0.2,46148.0,0,0,0.0,0.0,False,0.0,0,0.2,64969,0,0,0.0,0.0,False,0.0,0,0.2,64969,0,0,0.0,0.0,False,0.0,0.21666666666666665,298664,0.0,0.0,6,0,0,249,0,0.0,711,960,138,0.0,0.0,0,0,138,130,2.659131227002945,2.659131227002945
1,138,0,0,0,10.0,12,10.0,21.0,0,,26.0,0,,34.0,0,,0,0.2,38210,0,7,0.1,147.0,False,9.143155694879833e-05,0,0.2,38100,1,17,1.0,367.0,False,9.143155694879833e-05,0,0.2,46148,0,0,0.0,0.0,False,0.0,0,0.2,46148.0,0,0,0.0,0.0,False,0.0,0,0.2,64969,0,0,0.0,0.0,False,0.0,0,0.2,64969,0,0,0.0,0.0,False,0.0,0.18333333333333335,298544,0.0,0.0,7,0,0,40,0,0.0,57,97,91,1350.0,339.0,75,63,91,120,8.30330342601519,10.962434653018136
2,91,0,0,0,10.0,13,10.0,21.0,0,,21.955223880597014,22,13.681818181818182,34.0,0,,0,0.2,38210,0,7,0.0,147.0,False,9.143155694879833e-05,0,0.2,37970,4,27,1.0,607.0,False,-0.00016980146290491118,0,0.2,46148,0,0,0.0,0.0,False,0.0,22,0.42000000000000004,45532.0,0,0,0.0,0.0,False,-0.013348357458611425,0,0.2,64738,7,10,1.0,493.6865671641791,False,0.0002438591263847856,0,0.2,64899,0,5,0.5,170.0,False,0.0002308793424556327,0.4166666666666667,297497,0.0,0.0,7,0,0,22,4,4.0,14,36,44,243.0,313.0,16,75,44,130,3.5736653479980305,14.536100001016166
3,44,0,0,0,10.0,14,10.0,21.0,0,,19.731470230862694,22,13.636363636363637,34.0,20,34.0,0,0.2,38180,0,10,0.3,210.0,False,0.00013061650992685477,0,0.2,37860,5,37,1.0,827.0,False,-0.00016980146290491118,7,0.27,46029,0,0,0.0,0.0,False,-0.002578659963595389,15,0.548,45181.0,0,0,0.0,0.0,False,-0.020954320880644882,3,0.23,64757,19,10,1.0,714.8979343863912,False,0.0022387441270943853,2,0.22000000000000003,65054,0,0,0.0,0.0,False,0.001308316273915252,0.3833333333333333,297061,0.0,0.0,16,0,0,20,7,7.0,13,33,39,189.0,135.0,13,31,39,650,1.9699299059575424,16.50602990697371
4,39,0,0,0,10.0,9,10.0,21.217391304347824,1,31.0,19.731470230862694,0,,34.0,20,34.0,0,0.2,38211,0,9,0.0,190.9565217391304,False,0.0006916996047431492,0,0.2,37770,4,47,1.0,1037.2173913043478,False,0.00022488755622193863,0,0.263,46029,0,0,0.0,0.0,False,-0.002578659963595389,0,0.533,45150.0,1,0,0.0,21.217391304347824,False,-0.02139618844473919,1,0.23700000000000002,65090,9,10,1.0,517.5832320777643,False,0.0058457359054146585,9,0.30800000000000005,64947,0,0,0.0,0.0,False,-0.0003386230356015946,0.3333333333333333,297197,0.0,0.0,11,0,0,23,5,4.5,12,35,30,222.0,120.0,14,25,30,427,1.678342941973824,18.184372848947532
5,30,0,0,0,10.000000000000002,9,10.0,21.427927927927925,3,24.333333333333332,18.5129159136813,20,14.0,34.0,20,34.0,0,0.2,38273,0,7,0.0,149.99549549549548,False,0.0017763256987393978,0,0.2,37691,3,56,1.0,1229.9639639639638,False,0.000678735161493789,0,0.263,46018,0,1,0.1,18.5129159136813,False,-0.002616441493524259,20,0.7330000000000001,44574.0,3,0,0.0,64.28378378378378,False,-0.033411157755658026,0,0.23600000000000002,65248,12,10,1.0,562.1549909641756,False,0.00862068825874014,10,0.3990000000000001,64712,0,7,0.7,238.0,False,-0.0021240899505918205,0.4666666666666666,296516,0.0,0.0,12,0,0,20,9,9.0,10,30,21,129.0,62.0,8,22,21,503,1.4491811170009896,19.633553965948522
6,21,0,0,0,10.000000000000002,7,10.0,22.830831769856157,24,25.166666666666668,18.03618097884073,10,14.0,34.0,20,34.0,0,0.2,38273,0,7,0.0,159.8158223889931,False,0.001904595381256418,0,0.2,38225,0,42,1.0,958.8949343339586,False,0.011087969361728876,0,0.263,45724,4,11,1.0,289.72131784667266,False,-0.006048785236124238,10,0.8130000000000002,44064.0,13,0,0.0,296.80081300813004,False,-0.04194330401091999,1,0.24600000000000002,65441,12,10,1.0,556.4341717460887,False,0.011547308499023207,2,0.4090000000000001,64935,0,0,0.0,0.0,False,-0.0005233265095661008,0.5,296662,0.0,0.0,13,0,0,22,5,4.333333333333334,5,27,21,79.0,60.0,5,16,21,1184,1.1128523800289258,20.746406345977448
7,21,0,0,0,10.000000000000002,14,10.0,25.163025669033317,23,31.0,18.643128679097245,16,21.875,34.0,20,34.0,0,0.2,38366,0,4,0.0,100.65210267613327,False,0.003561286607577494,0,0.2,38705,4,32,1.0,845.2168214090661,False,0.02214233047817481,0,0.263,45614,4,16,1.0,398.9421615416892,False,-0.007249044795639095,11,0.913,43417.0,26,0,0.0,654.2386673948663,False,-0.05209067925592806,2,0.265,65459,15,10,1.0,619.6469301864587,False,0.01231084771342068,8,0.4870000000000001,64797,0,3,0.3,102.0,False,-0.0018624266958087703,0.5499999999999999,296358,0.0,0.0,18,0,0,24,9,8.666666666666666,10,34,20,117.0,51.0,9,12,20,1359,1.3247499850112945,22.071156330988742
8,20,0,0,0,10.000000000000002,13,10.0,26.2303918813157,20,30.1,19.266763797909196,12,24.0,34.0,20,34.0,0,0.2,38428,0,2,0.0,52.4607837626314,False,0.004551473142145043,0,0.2,39115,7,24,1.0,699.5294051515768,False,0.030949966106995574,0,0.263,45804,0,15,0.4,289.0014569686379,False,-0.004323031800201181,7,0.972,42696.0,46,0,0.0,1206.5980265405221,False,-0.0617296738044929,0,0.263,65667,12,11,1.0,605.2011655749104,False,0.015401200307646131,8,0.559,64612,0,5,0.5,170.0,False,-0.004186612076528806,0.48333333333333334,296322,0.0,0.0,18,0,0,17,6,5.666666666666666,12,29,22,129.0,66.0,8,12,22,1296,1.223797878017649,23.29495420900639
9,22,0,0,0,10.000000000000002,10,10.0,27.267187366636602,25,30.72,20.46092472468156,20,26.0,33.99999999999999,20,34.0,0,0.2,38428,0,2,0.0,54.534374733273204,False,0.00457855766370515,1,0.21000000000000002,39758,7,10,1.0,342.671873666366,False,0.04308610075321788,0,0.263,45704,6,15,1.0,470.51699507004304,False,-0.004523305505438627,10,1.0650000000000002,42203.0,55,0,0.0,1499.695305165013,False,-0.06923707088969165,1,0.273,65704,17,10,1.0,687.8357203195865,False,0.01660665640782213,3,0.5810000000000001,64571,0,5,0.5,169.99999999999997,False,-0.0048176822792408685,0.5833333333333334,296368,0.0,0.0,18,0,0,14,5,3.361111111111111,10,24,20,108.0,108.0,6,16,20,1402,1.2103725339984521,24.505326743004844
