index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,22.0,0,,30.0,0,,0,0.2,40887,6,10,1.0,230.0,False,-0.0010963042366068166,0,0.2,41007,4,0,0.0,40.0,False,-0.00048724632738080735,0,0.2,54466,0,0,0.0,0.0,False,0.0,0,0.2,54466.0,0,0,0.0,0.0,False,0.0,0,0.2,79567,0,0,0.0,0.0,False,0.0,0,0.2,79567,0,0,0.0,0.0,False,0.0,0.16666666666666666,349960,0.0,0.0,9,0,0,375,0,0.0,1119,1494,46,0.0,0.0,0,0,46,200,5.770431723969523,5.770431723969523
1,46,0,0,0,10.0,20,10.0,17.0,0,,19.58490566037736,8,6.0,30.0,0,,0,0.2,40757,9,20,1.0,430.0,False,-0.0018271737276780277,0,0.2,40937,11,0,0.0,110.0,False,-0.0013399274002972202,0,0.2,54466,0,0,0.0,0.0,False,0.0,8,0.28,54306.0,0,0,0.0,0.0,False,-0.0029376124554768113,0,0.2,79519,0,8,0.8,240.0,False,0.0009048977591212437,0,0.2,79567,0,0,0.0,0.0,False,0.0,0.3,349552,0.0,0.0,8,0,0,32,1,1.0,26,58,37,678.0,57.0,42,4,37,200,2.7705376929952763,8.5409694169648
2,37,0,0,0,10.0,20,10.0,14.454545454545455,10,3.0,19.203285420944557,1,1.0,30.0,0,,0,0.2,40647,10,30,1.0,533.6363636363636,False,-0.003244617589149419,10,0.30000000000000004,40647,20,0,0.0,200.0,False,-0.007308694910712111,0,0.2,54436,0,10,1.0,192.03285420944556,False,0.0012120667408057348,1,0.28200000000000003,54281.0,0,0,0.0,0.0,False,-0.003396614401645063,0,0.2,79519,0,8,0.0,240.0,False,0.0009048977591212437,0,0.2,79566,0,1,0.1,30.0,False,0.00017595234205135295,0.35000000000000003,349096,0.0,0.0,8,0,0,28,3,3.0,20,48,27,352.0,18.0,31,6,27,200,3.0499923980096355,11.590961814974435
3,27,0,0,0,10.0,20,10.0,13.220183486238533,5,1.0,18.819540486281504,1,2.0,30.0,5,30.0,0,0.2,40567,8,40,1.0,608.8073394495414,False,-0.004277933351407605,5,0.34,40427,32,0,0.0,320.0,False,-0.01120666552975857,0,0.2,54431,0,15,0.5,282.2931072942226,False,0.0019488589881230087,1,0.29100000000000004,54257.0,0,0,0.0,0.0,False,-0.0038372562699665845,0,0.2,79519,0,8,0.0,240.0,False,0.0009048977591212437,4,0.24000000000000002,79567,0,1,0.1,30.0,False,0.00018852036648359243,0.26666666666666666,348768,0.0,0.0,7,0,0,22,4,3.5,12,34,21,183.0,70.0,18,9,21,200,2.104046918975655,13.69500873395009
4,21,0,0,0,10.0,20,10.0,15.273546273546273,12,23.666666666666668,15.001833856068005,18,6.444444444444445,30.0,7,30.0,0,0.2,40721,11,38,1.0,690.3947583947584,False,0.00046769262546299685,0,0.3350000000000001,40357,39,0,0.0,390.0,False,-0.012059346602674983,0,0.2,54243,2,17,1.0,285.57826810024864,False,-0.0014726777429933755,10,0.39,54017.0,0,0,0.0,0.0,False,-0.008243674953181802,0,0.2,79519,0,8,0.0,240.0,False,0.0009048977591212437,6,0.29600000000000004,79427,8,10,1.0,420.01467084854403,False,0.0008798539020483077,0.5,348284,0.0,0.0,11,0,0,18,4,3.6666666666666665,15,33,18,184.0,32.0,16,5,18,580,1.9051888979738578,15.600197631923947
5,18,0,0,0,10.0,20,10.0,17.935019271079852,19,25.63157894736842,9.747685442908672,40,2.85,29.999999999999996,10,30.0,0,0.2,41127,9,30,1.0,628.0505781323956,False,0.00959936874963338,1,0.34500000000000003,40217,51,0,0.0,510.0,False,-0.014008331912198212,0,0.2,53756,11,27,1.0,460.4727189404125,False,-0.008808497788157682,40,0.78,52968.0,0,0,0.0,0.0,False,-0.027503396614401644,0,0.2,79519,0,8,0.0,239.99999999999997,False,0.0009048977591212437,0,0.29000000000000004,79613,38,10,1.0,670.4120468305296,False,0.004791006615999844,0.5,347200,0.0,0.0,13,0,0,17,3,3.0,13,30,12,195.0,51.0,14,4,12,986,1.7434106639702804,17.343608295894228
6,12,0,0,0,10.0,20,10.0,20.53405856540311,45,24.377777777777776,9.0904849714559,19,6.2105263157894735,30.0,11,30.0,11,0.31000000000000005,41865,11,10,1.0,315.3405856540311,False,0.023769588345726046,4,0.384,40061,59,0,0.0,590.0,False,-0.016834360611006894,0,0.2,53317,27,29,1.0,818.043645438105,False,-0.013586056939759686,11,0.8500000000000001,52110.0,19,0,0.0,390.1471127426591,False,-0.03967477772607991,0,0.2,79519,0,8,0.0,240.0,False,0.0009048977591212437,1,0.30000000000000004,79789,47,10,1.0,727.2527936584273,False,0.007360166863514004,0.5,346661,0.0,0.0,14,0,0,12,5,4.333333333333333,12,24,14,112.0,32.0,8,4,14,1350,1.2908945819945075,18.634502877888735
7,14,0,0,0,10.0,20,10.0,20.53405856540311,0,,8.10687205945748,33,5.363636363636363,29.999999999999996,11,30.0,0,0.29900000000000004,41775,10,20,1.0,510.68117130806223,False,0.023956454446221014,0,0.38000000000000006,39951,70,0,0.0,700.0,False,-0.018174288011304114,0,0.2,53317,17,39,1.0,665.2470059306945,False,-0.014988736037797027,33,1.1690000000000003,50944.0,19,0,0.0,390.1471127426591,False,-0.06108262849536717,0,0.2,79519,0,8,0.0,239.99999999999997,False,0.0009048977591212437,1,0.30900000000000005,79906,70,10,1.0,867.4810441620236,False,0.009711821761295735,0.5,345412,0.0,0.0,13,0,0,10,6,5.2,13,23,19,87.0,60.0,7,7,19,380,1.3822607960319147,20.01676367392065
8,19,0,0,0,10.0,20,10.0,20.426279979157258,16,19.75,9.4107787421713,25,15.28,30.0,10,30.0,0,0.29900000000000004,42007,8,18,1.0,447.6730396248306,False,0.028840999824893795,4,0.42000000000000004,39751,82,0,0.0,820.0,False,-0.021585012302969768,0,0.2,53375,23,32,1.0,770.9493592700985,False,-0.012953499804739619,8,1.2160000000000002,50744.0,19,0,0.0,388.0993196039879,False,-0.06477344288543319,0,0.2,79519,0,8,0.0,240.0,False,0.0009048977591212437,0,0.30800000000000005,79824,85,10,1.0,1099.9161930845603,False,0.010141869073136843,0.5,345220,0.0,0.0,13,0,0,21,2,2.0,11,32,17,202.0,29.0,16,3,17,1186,1.667679091973696,21.684442765894346
9,17,0,0,0,10.000000000000002,20,10.0,22.09228149132748,16,33.0,9.608875775742105,9,12.333333333333334,29.999999999999996,11,30.0,0,0.29900000000000004,42435,8,12,1.0,345.10737789592974,False,0.03801870268102328,0,0.41600000000000004,39651,92,0,0.0,920.0000000000001,False,-0.022803128121421785,0,0.2,53480,13,35,1.0,623.5103115382309,False,-0.012379187827835373,2,1.2280000000000002,50170.0,35,0,0.0,773.2298521964618,False,-0.07177661428968113,0,0.2,79519,0,8,0.0,239.99999999999997,False,0.0009048977591212437,1,0.31800000000000006,80007,84,10,1.0,1107.1455651623367,False,0.012487247006688235,0.5,345262,0.0,0.0,14,0,0,18,2,2.0,12,30,15,188.0,29.0,15,2,15,1133,1.7829913569730707,23.467434122867417
