index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,19,0,0,0,10.0,7,10.0,24.549039270564023,0,,22.302153864497402,108,26.11111111111111,36.0,20,36.0,0,0.2,38881,0,0,0.0,0.0,False,0.0052744525169997674,0,0.6140000000000001,39714,13,20,1.0,620.9807854112805,False,0.03483957888940828,0,0.2,58188,0,11,0.1,245.3236925094714,False,0.009586056170762573,93,3.677000000000001,42113.0,102,0,0.0,2504.0020055975306,False,-0.24918189998097603,0,0.20900000000000002,81672,37,13,1.0,1293.179692986404,False,0.01190645170858262,0,0.21800000000000003,78195,194,10,1.0,4686.617849712496,False,-0.009977763677243436,0.5166666666666667,338763,0.0,0.0,16,0,0,25,4,4.0,10,35,17,168.0,68.0,11,8,17,1405,1.6537237130105495,33.526501492015086
11,17,0,0,0,10.0,5,10.0,24.549039270564023,0,,24.0180453621942,138,27.652173913043477,35.99999999999999,20,36.0,0,0.2,38881,0,0,0.0,0.0,False,0.0052744525169997674,0,0.6140000000000001,39664,8,30,1.0,816.4711781169207,False,0.03607403855155412,24,0.44000000000000006,58745,0,0,0.0,0.0,False,0.01710615163529962,103,4.614000000000001,37510.0,102,0,0.0,2504.0020055975306,False,-0.3288778675693203,0,0.20900000000000002,80776,63,11,1.0,1909.1368578182346,False,0.00467816138794241,0,0.21800000000000003,75995,286,12,1.0,7301.160973587542,False,-0.020951684243469337,0.5,331571,0.0,0.0,16,0,0,21,6,5.95,8,29,13,204.0,27.0,13,4,13,1180,1.5977940640295856,35.12429555604467
12,13,0,0,0,10.0,9,10.0,24.803559162507323,10,27.9,24.04325226560655,98,24.142857142857142,36.0,20,36.0,0,0.2,38881,0,0,0.0,0.0,False,0.0052744525169997674,0,0.6140000000000001,39853,7,30,1.0,814.1067748752197,False,0.04093009766625158,17,0.5860000000000001,58177,0,9,0.9,216.38927039045896,False,0.009145118950001356,81,5.3210000000000015,35652.0,103,0,0.0,2554.7665937382544,False,-0.3606076614632144,0,0.20900000000000002,80811,78,11,1.0,2271.373676717311,False,0.007334810551427845,0,0.21800000000000003,74314,349,12,1.0,8823.095040696686,False,-0.03226124744501123,0.65,327688,0.0,0.0,18,0,0,19,6,6.0,9,28,19,126.0,63.0,7,6,19,1089,1.3798247129889205,36.50412026903359
13,19,0,0,0,9.999999999999998,10,10.0,23.937873601046455,39,21.307692307692307,23.84499253490693,93,22.913978494623656,36.00000000000001,20,36.0,0,0.2,38881,0,0,0.0,0.0,False,0.0052744525169997674,9,0.7040000000000002,40386,7,10,1.0,309.37873601046454,False,0.048185985676376934,0,0.5690000000000002,57373,28,19,1.0,1123.3153189925324,False,0.0030759502657040365,93,6.170000000000002,31819.0,104,0,0.0,2489.5388545088313,False,-0.42753658556963803,0,0.20900000000000002,80964,77,13,1.0,2304.0644251878334,False,0.009416499232869241,0,0.21800000000000003,72750,423,10,1.0,10446.43184226563,False,-0.041509331024796425,0.6666666666666666,322173,0.0,0.0,16,0,0,17,5,4.6923076923076925,15,32,21,183.0,54.0,11,8,21,1417,1.670227273949422,38.174347542983014
14,21,0,0,0,9.999999999999998,8,10.0,24.154354601562204,15,26.2,22.655815208006324,67,14.194029850746269,36.00000000000001,20,36.0,0,0.2,38881,0,0,0.0,0.0,False,0.0052744525169997674,5,0.7450000000000001,40586,5,10,1.0,291.54354601562204,False,0.05312645171569169,5,0.6190000000000002,57507,20,10,1.0,709.6452441113073,False,0.001814890351916711,43,6.5070000000000014,29729.0,117,0,0.0,2826.059488382778,False,-0.46080943012636755,0,0.20900000000000002,80307,124,19,1.0,3493.3210857927843,False,0.008649791553735658,6,0.278,72894,423,10,1.0,9943.409832986676,False,-0.04283091682245432,0.6666666666666666,319904,0.0,0.0,16,0,0,14,12,9.95,12,26,21,162.0,96.0,9,12,21,686,1.4534155020373873,39.6277630450204
15,21,0,0,0,10.0,14,10.0,24.154354601562204,0,,21.88101077048539,49,14.142857142857142,36.00000000000001,20,36.0,0,0.2,38881,0,0,0.0,0.0,False,0.0052744525169997674,0,0.7400000000000002,40446,9,20,1.0,573.0870920312441,False,0.053146406029827085,0,0.6140000000000001,57507,10,20,1.0,679.1637614253298,False,0.0015510133959981199,49,6.954000000000002,27469.0,117,0,0.0,2826.059488382778,False,-0.49993888629618244,0,0.20900000000000002,80422,127,21,1.0,3534.8883678516445,False,0.010318920515375803,2,0.29200000000000004,72718,449,10,1.0,10184.57383594794,False,-0.0435121460605536,0.6666666666666666,317443,0.0,0.0,17,0,0,21,9,8.333333333333332,11,32,18,150.0,78.0,10,11,18,716,1.4480992929893546,41.075862338009756
16,18,0,0,0,10.0,9,10.0,23.8387895638072,3,9.0,21.769246412855846,8,15.0,36.00000000000001,20,36.0,0,0.2,38881,0,0,0.0,0.0,False,0.0052744525169997674,0,0.7400000000000002,40383,8,27,1.0,723.6473182227944,False,0.05346391031133222,0,0.6140000000000001,57507,0,30,1.0,653.0773923856754,False,0.0013251847601647932,8,6.985000000000001,27306.0,120,0,0.0,2860.654747656864,False,-0.5024615652851008,0,0.20900000000000002,80818,117,20,1.0,3267.001830304134,False,0.013540269393387393,0,0.29000000000000004,72922,447,11,1.0,10126.853146546564,False,-0.04135923081409602,0.6666666666666666,317817,0.0,0.0,17,0,0,22,1,1.0,9,31,15,132.0,72.0,9,9,15,837,1.4141230339882895,42.489985371998046
17,15,0,0,0,10.0,12,10.0,23.834657619233955,27,23.814814814814813,21.155821138751328,38,14.0,36.00000000000001,20,36.0,0,0.2,38881,0,0,0.0,0.0,False,0.0052744525169997674,0,0.7400000000000002,40906,10,10,1.0,338.3465761923395,False,0.06200515262549246,0,0.6140000000000001,57438,0,28,0.9,592.3629918850372,False,-0.000395077723176111,27,7.247000000000002,26071.0,138,0,0.0,3289.1827514542856,False,-0.5201345053287543,0,0.20900000000000002,81166,115,17,1.0,3044.9194309564027,False,0.01645310037465513,0,0.29000000000000004,72762,467,14,1.0,10383.76847179687,False,-0.041746966983424214,0.65,317224,0.0,0.0,23,0,0,20,3,3.0,13,33,15,129.0,51.0,8,7,15,1648,1.4182836770196445,43.90826904901769
18,15,0,0,0,10.0,14,10.0,23.921980001079,4,27.0,20.529616037140133,42,14.071428571428571,36.00000000000001,20,36.0,0,0.2,38881,0,0,0.0,0.0,False,0.0052744525169997674,0,0.7400000000000002,40874,14,16,1.0,522.751680017264,False,0.0635616992012987,0,0.6140000000000001,57384,0,30,0.2,615.888481114204,False,-0.0011263701273074675,42,7.640000000000002,24356.0,140,0,0.0,3349.07720015106,False,-0.5493093720228625,0,0.20900000000000002,81562,105,16,1.0,2731.609683899714,False,0.01939526542040383,0,0.29000000000000004,72495,499,15,1.0,10784.278402532927,False,-0.04256743452653401,0.5333333333333333,315552,0.0,0.0,19,0,0,15,5,5.0,12,27,17,111.0,39.0,7,8,17,968,1.4267898430116475,45.33505889202934
19,17,0,0,0,10.0,7,10.0,24.06988585823885,10,26.0,20.202882967995787,43,16.953488372093023,36.00000000000001,20,36.0,0,0.2,38881,0,0,0.0,0.0,False,0.0052744525169997674,0,0.7400000000000002,41064,11,16,1.0,495.1181737318216,False,0.06811694513188492,0,0.6140000000000001,57589,0,25,0.0,505.0720741998947,False,0.001463650070120468,38,7.9780000000000015,22668.0,150,0,0.0,3610.482878735828,False,-0.5762722883915731,0,0.20900000000000002,81882,103,14,1.0,2584.896945703566,False,0.022427147791663004,0,0.29000000000000004,72166,524,17,1.0,11198.310675229792,False,-0.044066928855379287,0.5,314250,0.0,0.0,18,0,0,20,4,4.0,10,30,13,129.0,57.0,8,9,13,1255,1.444605482975021,46.77966437500436
