index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,23,0,0,0,10.000000000000002,20,10.0,23.986011419610612,32,25.90625,23.29585423946683,38,27.63157894736842,22.0,20,22.0,3,0.23,55886,3,10,1.0,269.8601141961061,False,0.024167353280646005,0,0.2,55818,7,19,1.0,525.7342169726016,False,0.025263114654496457,28,0.8850000000000002,67302,95,10,1.0,2511.6296272576765,False,-0.04113603248116986,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,4,0.5820000000000001,89336,40,10,1.0,1151.8341695786733,False,-0.003779186455969994,6,0.8810000000000002,87732,59,0,0.0,1374.455400128543,False,-0.02031813125254269,0.6666666666666666,427663,0.0,0.0,10,0,0,10,10,8.416666666666668,11,21,23,164.0,81.0,11,12,23,1039,1.8129481530049816,44.8252378909383
11,23,0,0,0,10.000000000000002,20,10.0,23.730853807294963,9,19.666666666666668,23.944581867066212,5,42.0,22.0,20,22.0,0,0.227,55983,1,11,1.0,271.0393918802446,False,0.025951474358582825,0,0.2,55698,9,29,1.0,778.194760411554,False,0.02537701567132448,0,0.8570000000000002,67335,94,15,1.0,2589.8689858917196,False,-0.04012735153014923,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.5780000000000001,89556,30,10,1.0,938.3374560119863,False,-0.0025243623147596247,10,0.9750000000000001,87444,64,0,0.0,1532.4532394922376,False,-0.022633855719520524,0.6666666666666666,427605,0.0,0.0,12,0,0,9,3,3.0,9,18,27,135.0,104.0,8,15,27,807,1.8522483729757369,46.677486263914034
12,27,0,0,0,10.000000000000002,20,10.0,21.907228450401508,21,10.0,25.961998126362662,46,31.652173913043477,22.0,20,22.0,10,0.32700000000000007,55846,2,10,1.0,239.07228450401507,False,0.023154648937860057,0,0.2,55608,8,39,1.0,934.3819095656588,False,0.025159343951129502,31,1.1670000000000003,67473,105,10,1.0,2559.878968555785,False,-0.0384069779398609,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,2,0.5980000000000001,89186,43,10,1.0,1336.3659194335944,False,-0.004418878489171593,8,1.045,86520,87,0,0.0,2258.6938369935515,False,-0.028848382674295937,0.6666666666666666,426222,0.0,0.0,10,0,0,12,10,8.181159420289855,11,23,29,180.0,87.0,13,14,29,466,2.155216863960959,48.83270312787499
13,29,0,0,0,10.000000000000002,20,10.0,22.249816453997855,13,26.0,25.961998126362662,0,,22.0,20,22.0,0,0.31700000000000006,55706,6,20,1.0,504.9963290799571,False,0.023025981545183313,0,0.2,55886,4,36,1.0,840.9933923439228,False,0.029388045415308543,0,1.1360000000000001,67135,108,20,1.0,2922.220139559022,False,-0.0406004270020629,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.5960000000000002,89406,33,10,1.0,1076.7459381699678,False,-0.003419576423110735,10,1.1370000000000002,86442,87,0,0.0,2258.6938369935515,False,-0.029712619874167408,0.6666666666666666,426164,0.0,0.0,9,0,0,14,3,3.0,13,27,27,250.0,99.0,16,13,27,758,2.1654429549816996,50.99814608285669
14,27,0,0,0,10.000000000000002,20,10.0,22.295666158157157,2,25.5,26.435281252165694,21,30.0,22.0,20,22.0,0,0.31700000000000006,55626,4,30,1.0,708.8699847447148,False,0.02342702777696771,0,0.2,55817,6,44,1.0,1041.009310958915,False,0.029954928892291646,1,1.1460000000000004,67689,100,10,1.0,2493.9194283373727,False,-0.035847218644055406,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,1,0.6060000000000001,88992,44,10,1.0,1383.1523750952906,False,-0.006309195400178991,9,1.2170000000000003,86381,87,0,0.0,2299.8694689384156,False,-0.03016038542243242,0.6666666666666666,426094,0.0,0.0,9,0,0,13,4,2.5476190476190474,12,25,26,203.0,83.0,14,13,26,449,1.9822260200162418,52.980372102872934
15,26,0,0,0,10.000000000000002,20,10.0,22.5102989309903,11,25.0,25.862788089169015,56,24.214285714285715,22.0,20,22.0,0,0.31700000000000006,55831,1,29,1.0,662.7986689987187,False,0.026753676200650063,0,0.2,55687,9,54,1.0,1305.556142273476,False,0.02999649118149761,46,1.6050000000000002,67240,101,10,1.0,2532.16807292171,False,-0.04185954997327432,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.6050000000000001,88180,80,13,1.0,2355.0230471335212,False,-0.009921980171664523,13,1.338,85874,97,0,0.0,2508.6904446493945,False,-0.03462106276439896,0.6666666666666666,424401,0.0,0.0,8,0,0,9,5,4.782608695652174,15,24,27,199.0,80.0,14,12,27,629,2.118609317985829,55.09898142085876
16,27,0,0,0,10.000000000000002,20,10.0,22.992507656642992,20,26.0,25.07015223909814,14,14.0,22.0,20,22.0,0,0.31700000000000006,55975,0,30,1.0,689.7752296992898,False,0.02963285644800896,0,0.2,55863,10,53,1.0,1318.6029058020786,False,0.03333335989508108,4,1.5990000000000002,66816,111,10,1.0,2802.869872278354,False,-0.0458966567904561,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.6050000000000002,88422,70,12,1.0,2018.9106567368697,False,-0.009102685468976806,9,1.4150000000000003,85617,111,0,0.0,2782.7868985398936,False,-0.03595012410368688,0.6666666666666666,424282,0.0,0.0,10,0,0,15,3,2.2857142857142856,11,26,20,233.0,63.0,16,11,20,962,2.0716492350329645,57.17063065589173
17,20,0,0,0,10.000000000000002,20,10.0,23.514299673912983,37,25.35135135135135,25.07015223909814,0,,22.0,20,22.0,0,0.31700000000000006,55885,0,39,0.9,917.0576872826064,False,0.030065062316336735,0,0.2,56691,11,26,1.0,721.3717915217376,False,0.04301149739046182,0,1.5950000000000002,65878,138,20,1.0,3746.3763997819547,False,-0.05241768136769771,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.6050000000000001,88620,60,13,1.0,1790.2091343458883,False,-0.008175854905953961,11,1.5160000000000002,85529,111,0,0.0,2782.7868985398936,False,-0.03692516094456751,0.65,424192,0.0,0.0,13,0,0,7,3,3.0,11,18,21,115.0,65.0,7,13,21,1336,1.6945900070131756,58.8652206629049
18,21,0,0,0,10.000000000000002,20,10.0,23.650745714090732,13,25.23076923076923,24.602346183854802,7,12.0,22.0,20,22.0,0,0.31700000000000006,56103,1,36,1.0,861.4268457072664,False,0.0335419920447107,0,0.2,56601,10,36,1.0,951.4268457072664,False,0.043469047383930794,0,1.5950000000000002,65634,141,23,1.0,3900.6091079154535,False,-0.05475175101808796,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.6050000000000001,88668,57,17,1.0,1776.3337324797237,False,-0.00772088610639138,14,1.6450000000000002,85405,111,0,0.0,2730.860426407883,False,-0.03858674821663607,0.6666666666666666,424000,0.0,0.0,10,0,0,9,3,3.0,10,19,26,138.0,63.0,10,11,26,744,1.7468589100171812,60.612079572922084
19,26,0,0,0,10.000000000000002,20,10.0,22.993188302438114,32,19.96875,24.096372631375804,11,16.0,22.0,20,22.0,0,0.31700000000000006,56342,5,24,1.0,601.8365192585147,False,0.03553846065977914,0,0.2,56801,6,36,1.0,887.7547788877721,False,0.04654339913789805,0,1.5950000000000002,65171,163,22,1.0,4278.00989118768,False,-0.058588162833132736,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.6050000000000001,88866,47,18,1.0,1528.5295136746627,False,-0.0068998841386177096,11,1.7410000000000005,85158,122,0,0.0,2939.757461027848,False,-0.040166213527373866,0.6666666666666666,423927,0.0,0.0,12,0,0,10,2,2.0,11,21,30,170.0,105.0,11,15,30,1213,1.9823914400185458,62.59447101294063
