index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
2224,331629ae-40df-4443-a260-0315d35f057f,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,96,1,10,47,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,96,,-1,-1
2225,bf4f8add-ed8f-4c0f-806d-6f57332626c7,07Ran@3,BUYER,RandomAgent,_SystemAgent,96,3,56,47,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
2226,3ad3e7b3-bb00-4dc7-a7a8-504a8201c72d,02Ind@1,05Dec@2,IndDecentralizingAgent,DecentralizingAgent,57,5,41,47,-1,47,02Ind@1|05Dec@2,"[quantity: (1, 5), time: (52, 57), unit_price: (28, 56)]",02Ind@1,05Dec@2,p2,02Ind@1,False,2,17,57,,-1,-1
2227,5569e7e3-16ac-469f-b63c-8169429fe9ed,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,96,1,10,47,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,96,,-1,-1
2228,cf98f054-9c74-47a3-a39f-0e5c3ee3cb28,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,96,1,56,47,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,96,,-1,-1
2229,48c15694-e6c1-4da7-82b1-e7c7a80d84a5,07Ran@3,BUYER,RandomAgent,_SystemAgent,96,1,56,47,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
2230,1b5af08c-f76e-47d3-b550-5c1f23dfa896,02Ind@1,05Dec@2,IndDecentralizingAgent,DecentralizingAgent,51,4,15,47,-1,47,05Dec@2|02Ind@1,"[quantity: (1, 5), time: (47, 51), unit_price: (1, 28)]",02Ind@1,05Dec@2,p2,05Dec@2,True,2,17,51,,-1,-1
2231,6395fa7d-46ba-47e8-af2a-7942a9455473,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,96,1,56,47,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,96,,-1,-1
2232,24e615ea-81d3-4583-bf1c-ff6830f09068,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,50,5,43,47,-1,47,03Dec@1|05Dec@2,"[quantity: (1, 5), time: (50, 55), unit_price: (28, 56)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,50,,-1,-1
2233,f737801d-3790-4229-b04d-d5824e4e48bd,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,96,2,10,47,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,96,,-1,-1
2234,2541e028-9b3f-49ab-9355-d538844f1fb9,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,96,3,10,47,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,96,,-1,-1
2235,9d1bb0da-a5e7-4942-b458-d486d8abaa5c,07Ran@3,BUYER,RandomAgent,_SystemAgent,96,1,56,47,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
2236,8b445a99-56c3-4647-82c7-284a55ad5d40,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,96,3,56,47,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,96,,-1,-1
2237,99d00864-04fb-4c59-a1f6-7b91a0560163,07Ran@3,BUYER,RandomAgent,_SystemAgent,96,1,56,47,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
2238,05950ce6-ac00-432b-b951-767b0ace7b2e,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,96,3,10,47,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,96,,-1,-1
2239,be12105d-196e-4cf6-86d7-09d3fb843448,05Dec@2,07Ran@3,DecentralizingAgent,RandomAgent,54,20,88,47,-1,47,05Dec@2|07Ran@3,"[quantity: (1, 20), time: (52, 57), unit_price: (44, 88)]",05Dec@2,07Ran@3,p3,05Dec@2,False,3,6,54,,-1,-1
2240,1fa006c5-7004-456b-9bcd-2228ec3471e4,07Ran@3,BUYER,RandomAgent,_SystemAgent,96,1,56,47,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
2241,eec80455-b4e7-4f33-9530-f835ab481af8,07Ran@3,BUYER,RandomAgent,_SystemAgent,96,2,56,47,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
2242,ca0211a8-8dc8-4d79-b1c7-5aa594ba0ada,07Ran@3,BUYER,RandomAgent,_SystemAgent,97,3,56,48,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
2243,653bf77b-f1b2-420e-8ea3-7e791f577822,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,97,2,10,48,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,97,,-1,-1
2244,6fefbd7a-631d-4f58-8cbd-5d74b2a699a4,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,97,4,10,48,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,97,,-1,-1
2245,2470fda8-3e27-4eb4-9f91-08b1fea5d0df,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,97,2,10,48,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,97,,-1,-1
2246,68a12319-4c5a-40a9-b422-1ff91fb3f07f,07Ran@3,BUYER,RandomAgent,_SystemAgent,97,1,56,48,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
2247,dfa9ffc1-aa2f-415c-94fa-a002c82f34e6,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,97,2,10,48,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,97,,-1,-1
2248,ce34dbea-5303-43c0-8ead-484c77308864,00Dec@0,03Dec@1,DecentralizingAgent,DecentralizingAgent,55,3,28,48,-1,48,00Dec@0|03Dec@1,"[quantity: (1, 3), time: (52, 57), unit_price: (19, 38)]",00Dec@0,03Dec@1,p1,00Dec@0,False,1,17,55,,-1,-1
2249,402ef39d-396e-437a-b9c2-409dad5b23c2,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,97,2,56,48,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,97,,-1,-1
2250,df388486-68d2-44b1-9b88-c11e64ae1370,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,97,1,56,48,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,97,,-1,-1
2251,58076632-d94e-4ef8-8f22-c62af506438b,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,97,3,56,48,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,97,,-1,-1
2252,564d0bdc-62a6-41ea-b5ae-daa02e50542e,07Ran@3,BUYER,RandomAgent,_SystemAgent,97,2,56,48,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
2253,8edb84ee-16d4-46d8-ac7a-8a5bb7704c3a,00Dec@0,02Ind@1,DecentralizingAgent,IndDecentralizingAgent,53,12,28,48,-1,48,00Dec@0|02Ind@1,"[quantity: (1, 16), time: (53, 58), unit_price: (19, 38)]",00Dec@0,02Ind@1,p1,00Dec@0,False,1,17,53,,-1,-1
2254,849a5492-ebcf-4c8b-a2ef-7575ba224220,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,97,1,56,48,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,97,,-1,-1
2255,9c0cb1af-ac78-4092-8363-f3017abfe931,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,97,1,10,48,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,97,,-1,-1
2256,78fc050a-ef8d-4bd9-b4e4-bb3928e80a55,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,97,1,10,48,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,97,,-1,-1
2257,2b84b251-fcbe-41da-a63d-486c44a67e47,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,97,2,10,48,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,97,,-1,-1
2258,07d5bcce-cc2e-4e3b-9c61-e8185df13e0a,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,97,1,10,48,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,97,,-1,-1
2259,253bc63c-9437-45c9-8a1d-0fa9a8758076,02Ind@1,05Dec@2,IndDecentralizingAgent,DecentralizingAgent,52,4,15,48,-1,48,05Dec@2|02Ind@1,"[quantity: (1, 5), time: (48, 52), unit_price: (1, 28)]",02Ind@1,05Dec@2,p2,05Dec@2,True,2,17,52,,-1,-1
2260,0ded86b5-5499-43ca-89e9-fdba905111ef,00Dec@0,03Dec@1,DecentralizingAgent,DecentralizingAgent,53,12,28,48,-1,48,00Dec@0|03Dec@1,"[quantity: (1, 16), time: (53, 58), unit_price: (19, 38)]",00Dec@0,03Dec@1,p1,00Dec@0,False,1,17,53,,-1,-1
2261,da84af5a-7909-49fd-9f05-b149e94e5caf,07Ran@3,BUYER,RandomAgent,_SystemAgent,97,1,56,48,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
2262,ed6e34d8-4762-4bf1-b129-76641c656f99,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,97,1,10,48,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,97,,-1,-1
