index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1098,6c4940e8-efb2-4c58-b9dd-81a5a20624e7,05Ran@2,BUYER,RandomAgent,_SystemAgent,47,2,34,2,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
1099,f428d28f-6285-41d5-a6f1-97599f607f74,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,47,1,10,2,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,47,,-1,-1
1100,f686b7c5-b13c-4abb-9698-c5b0947752de,01Dec@0,02Ind@1,DecentralizingAgent,IndDecentralizingAgent,7,11,28,2,-1,2,01Dec@0|02Ind@1,"[quantity: (1, 11), time: (6, 11), unit_price: (18, 36)]",01Dec@0,02Ind@1,p1,01Dec@0,False,1,17,7,,-1,-1
1101,3ab71bf6-93ec-447c-af41-4551265dd106,05Ran@2,BUYER,RandomAgent,_SystemAgent,47,2,34,2,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1102,fb190ea3-790a-4f57-bbe8-a13bf6b90510,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,47,3,10,2,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,47,,-1,-1
1103,a7596b6b-601b-4ced-aa93-7a88f7e47e4d,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,47,2,10,2,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,47,,-1,-1
1104,ef2d3ee1-0b23-466c-ac22-52b5339121e0,05Ran@2,BUYER,RandomAgent,_SystemAgent,47,4,34,2,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
1105,9c0b54a7-49bd-4055-899a-2bb12214181d,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,47,2,10,2,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,47,,-1,-1
1106,f6a8640c-58f7-41bd-8622-a5dee27a4d2d,02Ind@1,04Dec@2,IndDecentralizingAgent,DecentralizingAgent,6,7,14,2,-1,2,04Dec@2|02Ind@1,"[quantity: (1, 10), time: (2, 6), unit_price: (1, 26)]",02Ind@1,04Dec@2,p2,04Dec@2,True,2,17,6,,-1,-1
1107,8373feac-41fb-4118-88a6-91aff19ce8c2,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,48,3,10,3,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,48,,-1,-1
1108,90af5150-3a83-4f1a-9599-92d24c35626c,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,48,2,10,3,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,48,,-1,-1
1109,bacb2243-9d95-4ccc-b289-5ab6bebb3fd0,01Dec@0,02Ind@1,DecentralizingAgent,IndDecentralizingAgent,7,11,28,3,-1,3,01Dec@0|02Ind@1,"[quantity: (1, 11), time: (6, 11), unit_price: (18, 36)]",01Dec@0,02Ind@1,p1,01Dec@0,False,1,17,-1,01Dec@0:product(0.09090909090909091),-1,-1
1110,27d5439f-967f-4835-922d-e47d08338a0a,01Dec@0,02Ind@1,DecentralizingAgent,IndDecentralizingAgent,12,1,27,3,-1,3,01Dec@0|02Ind@1,"[quantity: (1, 1), time: (7, 12), unit_price: (18, 36)]",01Dec@0,02Ind@1,p1,01Dec@0,False,1,17,12,,-1,-1
1111,eb52e2ec-8bbc-4a4f-88d1-e4854e177c04,05Ran@2,BUYER,RandomAgent,_SystemAgent,48,3,34,3,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
1112,bea425d9-dce2-41f0-8f87-e2c7feb684f6,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,48,1,10,3,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,48,,-1,-1
1113,69472300-c0c8-43e0-aaff-19be9e445df9,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,48,1,10,3,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,48,,-1,-1
1114,10fb9b68-915c-4af7-a25f-dd18398b82ff,05Ran@2,BUYER,RandomAgent,_SystemAgent,48,4,34,3,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
1115,78f0bebf-5662-4cff-9951-e0f43f09be8a,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,48,3,10,3,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,48,,-1,-1
1116,50d18e08-3759-4a7c-8457-00cc14996427,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,48,3,10,3,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,48,,-1,-1
1117,d38a8648-ac14-43ae-814e-1701b604414a,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,48,1,10,3,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,48,,-1,-1
1118,8f017bb4-b996-4788-be26-93b3771db096,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,48,2,10,3,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,48,,-1,-1
1119,c509cbc5-9dc8-4ac8-ad20-27db17d19375,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,48,1,10,3,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,48,,-1,-1
