index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,34.0,0,,0,0.2,42401,0,7,0.7,126.0,False,-0.00016481834663652846,0,0.2,42341,3,10,1.0,210.0,False,-0.0005886369522733159,0,0.2,59062,0,0,0.0,0.0,False,0.0,0,0.2,59062,0,0,0.0,0.0,False,0.0,0,0.2,76050,0,0,0.0,0.0,False,0.0,0,0.2,76050,0,0,0.0,0.0,False,0.0,0.2833333333333333,354966,0.0,0.0,11,0,0,0,0,0.0,1030,1030,100,0.0,0.0,0,0,100,200,4.618281076953281,4.618281076953281
1,100,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,34.0,0,,0,0.2,42291,1,17,1.0,316.0,False,-0.000518000518000518,0,0.2,42251,2,20,1.0,380.0,False,-0.000706364342727979,0,0.2,59062,0,0,0.0,0.0,False,0.0,0,0.2,59062,0,0,0.0,0.0,False,0.0,0,0.2,76050,0,0,0.0,0.0,False,0.0,0,0.2,76050,0,0,0.0,0.0,False,0.0,0.3333333333333333,354766,0.0,0.0,11,0,0,54,0,0.0,53,107,68,1276.0,141.0,83,17,68,200,6.935747178969905,11.554028255923185
2,68,0,0,0,10.0,20,10.0,16.363636363636363,10,9.0,26.0,0,,34.0,0,,0,0.2,42241,0,23,0.6,376.3636363636364,False,-0.0009846290838026843,0,0.2,42191,7,20,1.0,397.27272727272725,False,-0.001915745717398688,0,0.2,58972,0,10,1.0,260.0,False,0.0006772544106193491,0,0.2,59062,0,0,0.0,0.0,False,0.0,0,0.2,76050,0,0,0.0,0.0,False,0.0,0,0.2,76050,0,0,0.0,0.0,False,0.0,0.43333333333333335,354566,0.0,0.0,15,0,0,23,0,0.0,24,47,24,389.0,159.0,25,43,24,290,3.4895967619959265,15.043625017919112
3,24,0,0,0,10.0,20,10.0,15.210084033613445,10,9.5,26.0,0,,34.0,20,34.0,0,0.2,42196,0,27,0.9,410.672268907563,False,-0.001640269019948098,0,0.2,42131,8,25,1.0,460.25210084033614,False,-0.0025870346725961023,0,0.2,58877,0,20,1.0,520.0,False,0.0012698520199112796,0,0.2,59062,0,0,0.0,0.0,False,0.0,8,0.28,75956,0,0,0.0,0.0,False,-0.0012360289283366206,12,0.32000000000000006,75868,0,0,0.0,0.0,False,-0.002393162393162393,0.48333333333333334,354090,0.0,0.0,14,0,0,11,12,12.0,23,34,27,171.0,67.0,11,13,27,295,2.257067556027323,17.300692573946435
4,27,0,0,0,10.0,20,10.0,15.210084033613445,0,,24.58823529411765,6,14.0,34.0,20,34.0,0,0.2,42066,3,37,1.0,592.7731092436975,False,-0.00255735549853191,0,0.2,42061,5,35,1.0,582.3529411764706,False,-0.002797756808451935,0,0.2,58961,0,14,0.0,344.2352941176471,False,0.0012041185035864895,0,0.2,59062,0,0,0.0,0.0,False,0.0,10,0.372,75736,0,6,0.6,204.0,False,-0.0027876397107166337,10,0.40800000000000003,75734,0,0,0.0,0.0,False,-0.004155161078238001,0.43333333333333335,353620,0.0,0.0,13,0,0,11,11,11.0,21,32,27,184.0,75.0,12,15,27,284,2.0365945529774763,19.33728712692391
5,27,0,0,0,10.0,20,10.0,18.736643620364546,26,26.0,24.140280561122246,4,19.0,34.0,20,34.0,0,0.2,42186,7,37,1.0,763.2558139534882,False,0.0022751502666935233,0,0.2,42417,1,29,1.0,553.3626649905718,False,0.005243138435527516,0,0.2,58361,16,20,1.0,782.5919091482776,False,-0.00524371076878298,0,0.2,59062,0,0,0.0,0.0,False,0.0,5,0.41200000000000003,75893,0,0,0.0,0.0,False,-0.002064431295200526,9,0.4880000000000001,75543,4,0,0.0,96.56112224448898,False,-0.006031813791949468,0.5,353462,0.0,0.0,17,0,0,14,9,9.0,18,32,27,133.0,109.0,10,17,27,1156,1.8146029170020483,21.15189004392596
6,27,0,0,0,10.0,20,10.0,20.67123223415732,35,24.62857142857143,22.900017268174757,13,18.615384615384617,34.0,20,34.0,0,0.2,42868,10,17,1.0,451.41094798067445,False,0.014661898094943365,0,0.2,42397,0,32,0.8,661.4794314930342,False,0.006045059352181879,0,0.2,57741,41,17,1.0,1236.820815159421,False,-0.011895797508047345,0,0.2,59062,0,0,0.0,0.0,False,0.0,8,0.48700000000000004,75702,0,7,0.7,238.0,False,-0.0030111768573307033,12,0.5990000000000002,75223,10,0,0.0,229.00017268174759,False,-0.009368835156595942,0.5833333333333334,352993,0.0,0.0,16,0,0,14,9,9.0,21,35,27,185.0,105.0,12,15,27,1304,1.8820186909870245,23.033908734912984
7,27,0,0,0,10.0,20,10.0,23.163051062379125,61,27.081967213114755,23.116812058018894,6,25.0,34.0,20,34.0,11,0.31000000000000005,43214,13,10,1.0,361.6305106237912,False,0.021751671854015504,1,0.21000000000000002,43229,0,7,0.7,162.1413574366539,False,0.01975632028250641,0,0.2,56239,92,21,1.0,2616.453750957276,False,-0.02564716949174368,0,0.2,59062,0,0,0.0,0.0,False,0.0,4,0.5190000000000001,75906,0,0,0.0,0.0,False,-0.001893491124260355,9,0.6770000000000002,74964,16,0,0.0,369.8689929283023,False,-0.011848330092516113,0.45,352614,0.0,0.0,20,0,0,13,10,8.146464646464647,22,35,27,183.0,120.0,12,15,27,1204,1.9867763860384002,25.020685120951384
8,27,0,0,0,10.0,20,10.0,24.031413584148446,43,26.88372093023256,23.654828160498614,12,26.0,34.0,20,34.0,9,0.389,43498,8,10,1.0,320.3141358414845,False,0.027952180733223694,17,0.379,43281,5,10,1.0,290.3141358414845,False,0.02248962981612732,0,0.2,55395,125,19,1.0,3453.3684330680294,False,-0.03285218555866694,0,0.2,59062,0,0,0.0,0.0,False,0.0,9,0.6050000000000001,75481,2,10,1.0,387.30965632099725,False,-0.004935505218139489,11,0.778,74803,16,0,0.0,378.4772505679778,False,-0.013908762323681876,0.6666666666666666,351520,0.0,0.0,12,0,0,17,16,14.890350877192983,19,36,31,183.0,86.0,13,14,31,512,1.9028983389725909,26.923583459923975
9,31,0,0,0,10.000000000000002,20,10.0,24.031413584148446,0,,31.46181318409608,22,52.0,33.99999999999999,20,34.0,0,0.38000000000000006,43398,8,20,1.0,560.628271682969,False,0.028426788534329,0,0.36200000000000004,43181,5,20,1.0,530.628271682969,False,0.022964237617232625,3,0.23,56446,115,10,1.0,3078.230694018032,False,-0.018233122024160817,0,0.2,59062,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,75753,0,4,0.2,135.99999999999997,False,-0.0030111768573307033,12,0.8870000000000002,73476,38,0,0.0,1195.5489009956511,False,-0.02598587178832567,0.5333333333333333,351316,0.0,0.0,14,0,0,17,9,8.136363636363637,19,36,32,241.0,154.0,15,16,32,472,2.200281516998075,29.12386497692205
10,32,0,0,0,10.000000000000002,20,10.0,24.031413584148446,0,,33.995228460929084,26,41.0,33.99999999999999,20,34.0,0,0.38000000000000006,43288,9,30,1.0,810.9424075244534,False,0.02878366894497964,0,0.36200000000000004,43091,4,30,1.0,760.9424075244534,False,0.023556572808792593,16,0.387,57016,105,10,1.0,2863.250710944878,False,-0.010402198444474637,0,0.2,59062,0,0,0.0,0.0,False,0.0,7,0.666,74744,16,10,1.0,883.9236553748653,False,-0.011361448682610928,9,0.9650000000000001,73359,38,0,0.0,1291.8186815153051,False,-0.02689139591377175,0.6666666666666666,350560,0.0,0.0,13,0,0,17,13,12.115384615384615,20,37,32,215.0,127.0,14,18,32,268,3.3955245169927366,32.51938949391479
