index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
0,5ff178ef-7660-4bcd-9f72-0e067efb3ea2,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,60,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,60,,-1,-1
1,f8beacc7-8068-4b3d-be23-eb192f186620,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,28,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,28,,-1,-1
2,4a06b657-ca32-498b-bfd1-799ab669ed67,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,35,2,57,0,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
3,dece8672-f86f-4308-a982-b11c645fbb5c,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,23,3,57,0,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
4,ffe36dce-d0fd-49f6-b908-126b8595982a,SELLER,01Ran@0,_SystemAgent,RandomAgent,19,4,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,19,,-1,-1
5,6a4f03c3-efa6-494f-bd70-c0e8de7740f2,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,24,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,24,,-1,-1
6,d160bd6b-94fb-4fca-843f-70f36cdd9c4f,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,54,3,57,0,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
7,e918f09d-e1c8-4281-9e1f-3cb7ff68c5a7,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,30,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,30,,-1,-1
8,fed1ebee-a1a9-41ae-aefe-943fa65bc630,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,53,3,57,0,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
9,4960d733-6b3a-4802-9a8a-6672093825a5,SELLER,01Ran@0,_SystemAgent,RandomAgent,48,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,48,,-1,-1
10,e321578c-293e-4cbc-81a6-a09c04d62d5e,SELLER,01Ran@0,_SystemAgent,RandomAgent,41,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,41,,-1,-1
11,c92fddd7-380d-4454-92d3-74273724095f,SELLER,01Ran@0,_SystemAgent,RandomAgent,30,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,30,,-1,-1
12,f33d4da8-2afd-416a-864c-b861f861f31c,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,45,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,45,,-1,-1
13,8a902983-0bce-42cf-a3ae-1be3c49022fe,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,59,4,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,59,,-1,-1
14,21e972d7-2463-40a8-806a-712b39562c97,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,48,2,57,0,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,48,,-1,-1
15,4f61e695-d413-46d1-a19c-6c5c55feafad,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,19,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,19,,-1,-1
16,c99de170-d6c7-410e-bbdf-e39d42d4c39e,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,18,2,57,0,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,18,,-1,-1
17,69c68621-a8d1-4894-a9ce-613a850584bd,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,66,1,57,0,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
18,f182b8fa-8aea-4893-a6eb-407060c363bc,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,45,2,57,0,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
19,e9071091-5ea4-4b11-974a-66caa054c41a,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,16,1,57,0,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
20,89ece997-e5b7-4032-95ba-bcd2f4b1a45a,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,4,1,57,0,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,4,,-1,-1
21,a1078bfe-3017-4053-92f3-21233e9970e6,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,13,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,13,,-1,-1
