index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,15,10.0,20.0,0,,26.0,0,,35.0,0,,0,0.2,15486,0,0,0.0,0.0,False,0.0,0,0.2,15336,15,0,0.0,150.0,False,-0.0048430840759395586,0,0.2,21584,0,0,0.0,0.0,False,0.0,0,0.2,21584,0,0,0.0,0.0,False,0.0,0,0.2,27247,0,0,0.0,0.0,False,0.0,0,0.2,27247,0,0,0.0,0.0,False,0.0,0.0,128484,0.0,0.0,4,0,0,47,0,0.0,144,191,52,0.0,0.0,0,0,52,150,0.6660253070294857,0.6660253070294857
1,52,0,0,0,10.0,13,10.0,20.0,0,,26.0,0,,35.0,0,,0,0.2,15456,0,3,0.3,60.0,False,0.0,0,0.2,15236,25,0,0.0,250.0,False,-0.008071806793232597,0,0.2,21584,0,0,0.0,0.0,False,0.0,0,0.2,21584,0,0,0.0,0.0,False,0.0,0,0.2,27247,0,0,0.0,0.0,False,0.0,0,0.2,27247,0,0,0.0,0.0,False,0.0,0.049999999999999996,128354,0.0,0.0,4,0,0,14,0,0.0,47,61,13,660.0,8.0,51,1,13,130,2.2262468272820115,2.892272134311497
2,13,0,0,0,9.999999999999998,14,10.0,19.814814814814813,9,18.88888888888889,16.82278481012658,34,4.676470588235294,35.0,0,,0,0.2,15426,0,6,0.3,118.88888888888889,False,-3.587469685875934e-05,9,0.29000000000000004,15051,36,0,0.0,359.99999999999994,False,-0.016466485858194498,10,0.30000000000000004,21109,8,0,0.0,158.5185185185185,False,-0.018334912006149968,24,0.44000000000000006,20680,1,0,0.0,19.814814814814813,False,-0.04142385992367454,0,0.2,27131,8,10,1.0,484.5822784810126,False,0.00463504750029389,0,0.2,27204,6,10,1.0,450.9367088607595,False,0.006696823666105653,0.3833333333333333,126601,0.0,0.0,4,0,0,8,12,12.0,13,21,4,139.0,6.0,11,2,4,140,0.4806996937841177,3.372971828095615
3,4,0,0,0,9.999999999999998,11,10.0,19.814814814814813,0,,10.950859950859952,51,2.764705882352941,35.0,20,35.0,0,0.2,15416,0,7,0.1,138.7037037037037,False,-4.1853813001925046e-05,0,0.281,14951,46,0,0.0,459.99999999999994,False,-0.01969520857548754,24,0.53,20178,8,0,0.0,158.5185185185185,False,-0.06146871482305138,27,0.6860000000000002,19527,1,0,0.0,19.814814814814813,False,-0.09484305933064266,1,0.21000000000000002,27436,12,10,1.0,481.4103194103194,False,0.0157707329139047,0,0.2,27416,33,11,1.0,746.3783783783784,False,0.01989904169960693,0.35000000000000003,124924,0.0,0.0,8,0,0,8,11,10.333333333333334,7,15,7,54.0,0.0,4,0,7,705,0.3754662247374654,3.7484380528330803
4,7,0,0,0,9.999999999999998,9,10.0,20.475285171102662,4,28.5,8.568128894203538,49,3.2244897959183674,35.0,20,35.0,0,0.2,15490,0,5,0.0,102.3764258555133,False,0.0035637487361330536,2,0.30100000000000005,14853,55,0,0.0,549.9999999999999,False,-0.023117654655818158,23,0.7360000000000002,19329,8,0,0.0,163.8022813688213,False,-0.1006810071958668,26,0.9190000000000003,18284,5,0,0.0,102.3764258555133,False,-0.15051944899333958,2,0.229,27758,6,10,1.0,401.40877336522124,False,0.026120467819672248,0,0.2,27550,68,13,1.0,1037.6327648058405,False,0.030161719910556082,0.3333333333333333,123264,0.0,0.0,6,0,0,7,17,16.333333333333336,8,15,9,64.0,18.0,5,2,9,724,0.4387381933629513,4.187176246196032
5,9,0,0,0,9.999999999999998,6,10.0,20.820835022294286,2,29.0,7.538534065519628,32,2.9375,35.0,20,35.0,0,0.2,15529,0,4,0.0,83.28334008917714,False,0.005465689658051657,1,0.30900000000000005,14788,61,0,0.0,609.9999999999999,False,-0.025377760557923287,25,0.9630000000000003,18277,9,0,0.0,187.38751520064858,False,-0.1488744552631428,7,0.9630000000000003,18057,6,0,0.0,124.92501013376571,False,-0.16051415376821332,0,0.227,28033,1,12,1.0,427.5385340655196,False,0.036692820018084917,0,0.2,27881,85,11,1.0,1025.7753955691683,False,0.04209225594687793,0.3333333333333333,122565,0.0,0.0,8,0,0,7,8,8.0,8,15,8,81.0,28.0,6,3,8,799,0.45100736804306507,4.638183614239097
6,8,0,0,0,10.0,7,10.0,20.820835022294286,0,,7.191366925771238,14,3.2857142857142856,34.99999999999999,20,35.0,0,0.2,15529,0,4,0.0,83.28334008917714,False,0.005465689658051657,0,0.30800000000000005,14718,68,0,0.0,680.0,False,-0.02763786646002841,8,1.0180000000000002,18052,9,0,0.0,187.38751520064858,False,-0.15929884369902123,6,1.016,17877,6,0,0.0,124.92501013376571,False,-0.16885366451691605,0,0.227,28302,5,13,1.0,490.9568346288561,False,0.047729233211525265,0,0.2,28266,75,10,1.0,889.3525194328429,False,0.053718804261622184,0.3333333333333333,122744,0.0,0.0,7,0,0,7,4,4.0,8,15,8,57.0,14.0,5,3,8,770,0.4238917659968138,5.06207538023591
7,8,0,0,0,10.0,11,10.0,20.820835022294286,0,,6.644171170290735,24,3.125,35.0,20,35.0,0,0.2,15529,0,4,0.0,83.28334008917714,False,0.005465689658051657,0,0.30800000000000005,14608,79,0,0.0,790.0,False,-0.031189461449050757,17,1.1800000000000002,17460,9,0,0.0,187.38751520064858,False,-0.18672656793919915,7,1.08,17680,6,0,0.0,124.92501013376571,False,-0.1779807957252185,0,0.227,28617,10,13,1.0,521.4417117029074,False,0.059849556129168494,0,0.2,28576,74,10,1.0,841.6686666015144,False,0.06422117419535207,0.3333333333333333,122470,0.0,0.0,9,0,0,8,5,5.0,7,15,7,60.0,17.0,5,3,7,810,0.4143842915073037,5.476459671743214
8,7,0,0,0,10.0,10,10.0,21.9079863308442,3,38.0,6.302154248987013,46,5.108695652173914,35.0,20,35.0,0,0.2,15643,0,1,0.0,21.9079863308442,False,0.010845537463865537,0,0.30800000000000005,14508,89,0,0.0,890.0,False,-0.0344181841663438,16,1.3230000000000002,16948,9,0,0.0,197.1718769775978,False,-0.2102211852071535,30,1.3730000000000002,16297,9,0,0.0,197.1718769775978,False,-0.24038241574829508,0,0.227,28931,15,12,1.0,514.5323137348053,False,0.07124696872563589,0,0.2,28727,95,11,1.0,983.7046536537663,False,0.07236952056471845,0.3333333333333333,121054,0.0,0.0,9,0,0,8,11,11.0,5,13,9,39.0,24.0,4,3,9,914,0.42359374184161425,5.900053413584828
9,9,0,0,0,10.0,14,10.0,21.864290719883478,1,20.0,5.833968009568961,30,2.933333333333333,35.00000000000001,20,35.0,0,0.2,15643,0,1,0.0,21.864290719883478,False,0.01084412665374805,1,0.31800000000000006,14364,103,0,0.0,1030.0,False,-0.03919669378793749,19,1.4970000000000003,16231,10,0,0.0,218.6429071988348,False,-0.2429428533358313,11,1.4530000000000003,15956,9,0,0.0,196.7786164789513,False,-0.25619026555599167,0,0.227,29118,29,15,1.0,694.1850722775,False,0.08140685345684842,2,0.22000000000000003,29068,91,10,1.0,880.8910888707755,False,0.08299796470934004,0.3333333333333333,120380,0.0,0.0,7,0,0,9,7,6.666666666666667,8,17,8,98.0,24.0,7,2,8,735,0.4662132766097784,6.366266690194607
