index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,19,0,0,0,10.0,10,10.0,12.823464116426319,0,,23.02530349043014,0,,25.999999999999996,20,26.0,0,0.2,28756,0,11,0.0,141.05810528068952,False,0.001129716352029734,0,0.8660000000000003,27355,104,0,0.0,1040.0,False,-0.031916371466277696,0,0.524,38009,0,6,0.0,138.15182094258085,False,0.0032162480364446317,0,0.506,37437,36,25,1.0,1037.277295452101,False,-9.520293865185404e-06,8,0.5950000000000001,58510,0,0,0.0,0.0,False,-0.006570793079443775,2,0.49000000000000005,58650,0,0,0.0,0.0,False,-0.0041937619912729,0.16666666666666666,248717,0.0,0.0,8,0,0,17,5,4.166666666666666,10,27,15,114.0,92.0,8,11,15,308,1.1902887129690498,19.896154987975024
11,15,0,0,0,10.0,8,10.0,13.18523508214418,14,15.642857142857142,23.139566273978186,5,25.0,25.999999999999996,20,26.0,0,0.2,28954,0,0,0.0,0.0,False,0.0055567132041397516,3,0.8960000000000001,27248,112,0,0.0,1120.0,False,-0.03424324512051122,0,0.524,37936,1,11,1.0,267.7204640959042,False,0.002999795343238353,0,0.506,37416,29,35,1.0,1192.2566369714177,False,0.001478773276575754,4,0.627,58486,0,0,0.0,0.0,False,-0.00697828412313021,16,0.6480000000000001,58298,0,5,0.5,129.99999999999997,False,-0.009066675722023193,0.4166666666666667,248338,0.0,0.0,7,0,0,20,12,12.0,7,27,14,114.0,65.0,8,7,14,403,1.2184353899792768,21.1145903779543
12,14,0,0,0,10.0,13,10.0,12.402783286537948,12,6.0,22.64148915233666,37,21.594594594594593,26.0,20,26.0,0,0.2,28954,0,0,0.0,0.0,False,0.0055567132041397516,12,1.0130000000000001,26998,125,0,0.0,1250.0,False,-0.0406681947627978,16,0.6840000000000002,38075,0,1,0.1,22.64148915233666,False,0.003433468873858295,0,0.506,37594,31,35,1.0,1176.9384022144595,False,0.005966624541765016,10,0.7230000000000001,57932,11,10,1.0,509.0563806757033,False,-0.012062954134542522,5,0.682,58048,6,10,1.0,395.84893491402,False,-0.011054477011443584,0.5166666666666667,247601,0.0,0.0,14,0,0,22,13,12.222222222222221,5,27,19,111.0,65.0,7,7,19,610,1.1939643420046195,22.30855471995892
13,19,0,0,0,10.0,10,10.0,12.244151810791914,3,7.0,21.72634898313655,20,17.0,26.0,20,26.0,0,0.2,28954,0,0,0.0,0.0,False,0.0055567132041397516,3,1.0310000000000004,26871,135,0,0.0,1350.0,False,-0.04334236299229006,4,0.7080000000000002,38100,0,3,0.3,65.17904694940965,False,0.004652479804897978,0,0.506,37804,21,30,1.0,908.9176575207266,False,0.007968669742869689,1,0.7230000000000001,57927,11,10,1.0,498.98983881450204,False,-0.01223330696967156,0,0.6770000000000002,58202,6,11,1.0,416.35809389881933,False,-0.008265632426958791,0.5499999999999999,247858,0.0,0.0,17,0,0,23,3,2.8,9,32,27,188.0,104.0,11,8,27,804,1.2801290120114572,23.588683731970377
14,27,0,0,0,10.0,5,10.0,12.078474667424445,3,7.0,21.01289049934118,13,14.923076923076923,26.0,20,26.0,0,0.2,28954,0,0,0.0,0.0,False,0.0055567132041397516,3,1.0580000000000003,26794,140,0,0.0,1400.0,False,-0.04514829478363548,0,0.7040000000000002,38100,0,3,0.0,63.03867149802353,False,0.004624284322610744,0,0.506,37977,14,27,1.0,736.4466888261541,False,0.010254593329462434,2,0.742,57983,14,10,1.0,554.1804669907765,False,-0.010813959395293712,0,0.6770000000000002,58410,0,9,0.6,234.0,False,-0.006282153590165883,0.43333333333333335,248218,0.0,0.0,15,0,0,20,2,1.6666666666666665,12,32,28,189.0,131.0,13,14,28,686,1.860463663993869,25.449147395964246
15,28,0,0,0,10.0,9,10.0,11.906250324790626,3,7.0,21.226806868015515,5,26.0,26.0,20,26.0,0,0.2,28954,0,0,0.0,0.0,False,0.0055567132041397516,3,1.0850000000000002,26677,149,0,0.0,1490.0,False,-0.04764881572549837,2,0.7240000000000002,38188,0,0,0.0,0.0,False,0.006112340604910949,0,0.506,37956,7,37,1.0,868.7356063901085,False,0.011443982590237508,0,0.7400000000000002,58113,9,10,1.0,451.0412618121396,False,-0.00948230587455954,1,0.687,58639,0,0,0.0,0.0,False,-0.004380528719629183,0.3333333333333333,248527,0.0,0.0,14,0,0,21,3,1.9,8,29,19,162.0,130.0,9,19,19,558,1.2731238180422224,26.72227121400647
16,19,0,0,0,10.0,11,10.0,11.728092579546658,3,7.0,21.39845589343358,5,25.0,26.0,20,26.0,0,0.2,28954,0,0,0.0,0.0,False,0.0055567132041397516,3,1.1120000000000003,26540,160,0,0.0,1600.0,False,-0.050496631242619994,5,0.772,38187,0,3,0.3,64.19536768030075,False,0.0069316493792851595,0,0.506,37956,0,44,0.7,941.5320593110775,False,0.012402941027914966,0,0.7400000000000002,58222,4,11,1.0,371.5938235737343,False,-0.00830607820794148,11,0.796,58520,0,0,0.0,0.0,False,-0.006401005144574427,0.3333333333333333,248379,0.0,0.0,10,0,0,21,8,8.0,7,28,16,126.0,94.0,7,12,16,344,1.1009431940037757,27.823214408010244
17,16,0,0,0,10.0,10,10.0,11.375051185440086,6,7.0,22.130305307645063,20,25.75,26.0,20,26.0,0,0.2,28954,0,0,0.0,0.0,False,0.0055567132041397516,6,1.169,26380,170,0,0.0,1700.0,False,-0.054316871570466066,12,0.8870000000000002,38274,0,3,0.3,66.39091592293519,False,0.009252699387750777,0,0.506,38060,0,42,0.3,929.4728229210926,False,0.014984097677851837,0,0.74,58378,0,9,0.4,234.0,False,-0.006825474981747797,14,0.925,57827,10,10,1.0,481.3030530764506,False,-0.014081336459612105,0.3333333333333333,247873,0.0,0.0,10,0,0,23,11,10.7,5,28,18,111.0,72.0,7,9,18,381,1.0403567650355399,28.863571173045784
18,18,0,0,0,10.0,8,10.0,11.20079097861493,3,7.0,21.61308182020426,12,17.0,26.0,20,26.0,0,0.2,28954,0,0,0.0,0.0,False,0.0055567132041397516,3,1.1930000000000003,26273,178,0,0.0,1780.0,False,-0.05664374522469959,0,0.8750000000000002,38253,0,6,0.3,129.67849092122557,False,0.009533123760686442,0,0.506,38264,0,30,0.0,648.3924546061278,False,0.016656028751793284,2,0.76,58398,2,10,1.0,303.2261636404085,False,-0.005898210743837423,0,0.911,58061,0,11,1.0,286.0,False,-0.011766303886445829,0.3833333333333333,248203,0.0,0.0,15,0,0,14,2,2.0,13,27,23,126.0,108.0,7,11,23,752,1.177381579997018,30.040952753042802
19,23,0,0,0,9.999999999999998,10,10.0,11.022759559809733,3,7.0,21.76411566084696,5,25.0,26.000000000000004,20,26.0,0,0.2,28954,0,0,0.0,0.0,False,0.0055567132041397516,3,1.2200000000000002,26146,188,0,0.0,1879.9999999999998,False,-0.059317913454191844,0,0.8750000000000002,38232,0,9,0.3,195.87704094762265,False,0.009851894838070759,0,0.506,38389,0,25,0.0,544.102891521174,False,0.018575493881351816,1,0.768,58528,0,7,0.7,182.00000000000003,False,-0.004720104589367879,0,0.911,58295,0,2,0.0,52.00000000000001,False,-0.009779785048474456,0.16666666666666666,248544,0.0,0.0,15,0,0,23,2,1.5,11,34,16,138.0,110.0,11,12,16,693,1.1524007269763388,31.19335348001914
20,16,0,0,0,9.999999999999998,9,10.0,10.841849220908767,3,7.0,21.62429001318353,21,20.952380952380953,26.000000000000007,20,26.0,0,0.2,28954,0,0,0.0,0.0,False,0.0055567132041397516,3,1.247,26029,197,0,0.0,1969.9999999999995,False,-0.061818434396054736,2,0.8950000000000002,38354,0,3,0.3,64.87287003955059,False,0.011340405601743387,0,0.506,38644,0,15,0.0,324.3643501977529,False,0.022399150993225703,4,0.8070000000000002,58303,5,10,1.0,368.1214500659177,False,-0.006960274291849231,7,0.9810000000000001,58230,0,6,0.6,156.00000000000006,False,-0.010000509363804607,0.31666666666666665,248514,0.0,0.0,11,0,0,15,9,7.9,8,23,17,108.0,89.0,6,10,17,613,1.0984467740054242,32.291800254024565
21,17,0,0,0,10.0,13,10.0,10.659013594022401,3,7.0,21.94801897632215,10,25.5,26.000000000000007,20,26.0,0,0.2,28954,0,0,0.0,0.0,False,0.0055567132041397516,3,1.274,25872,210,0,0.0,2100.0,False,-0.06501354448843509,2,0.913,38416,0,3,0.3,65.84405692896645,False,0.012986669524304021,0,0.506,38774,0,10,0.0,219.4801897632215,False,0.02444251488253804,1,0.8130000000000002,58433,0,10,1.0,260.00000000000006,False,-0.005670917024636229,3,1.0040000000000002,58241,0,5,0.5,130.00000000000003,False,-0.010034466950778477,0.3,248690,0.0,0.0,13,0,0,18,4,2.7333333333333334,11,29,20,126.0,90.0,7,10,20,624,1.1301735550514422,33.42197380907601
