index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,28,0,0,0,10.000000000000002,20,10.0,27.74777084082002,26,27.0,25.141212244079146,79,25.367088607594937,38.000000000000014,13,38.0,0,0.5690000000000002,43097,1,31,1.0,870.1808960654206,False,0.0349259550681765,7,0.5760000000000001,43933,3,10,1.0,307.4777084082002,False,0.048112090297983995,0,0.542,56328,83,24,1.0,2906.454073645961,False,-0.04095956718247639,71,2.4220000000000006,54424.0,94,0,0.0,2608.2904590370817,False,-0.07503617936366505,0,0.2,80834,0,5,0.0,190.00000000000006,False,0.0002471912889789764,0,0.371,74915,257,11,1.0,6879.29154672834,False,-0.031570705689550324,0.6666666666666666,353531,0.0,0.0,18,0,0,18,3,2.411764705882353,14,32,22,210.0,174.0,15,13,22,989,1.9530689039966092,26.644101686950307
11,22,0,0,0,10.000000000000002,20,10.0,28.466756266748828,51,31.0,25.702241328906936,64,28.0,38.000000000000014,11,38.0,5,0.6190000000000002,43993,1,10,1.0,294.66756266748826,False,0.04938624875386306,5,0.6190000000000001,44178,3,10,1.0,314.66756266748826,False,0.05402215204178832,0,0.542,55305,106,34,1.0,3891.3523694582113,False,-0.04976553661091295,64,2.991000000000001,53482.0,112,0,0.0,3188.2767018758686,False,-0.08585804991057217,0,0.2,80834,0,5,0.0,190.00000000000006,False,0.0002471912889789764,0,0.37100000000000005,73541,311,10,1.0,8373.397053290058,False,-0.039319500591466515,0.6666666666666666,351333,0.0,0.0,13,0,0,21,3,1.6111111111111112,9,30,22,204.0,102.0,13,9,22,1176,1.5831371750100516,28.22723886196036
12,22,0,0,0,10.000000000000002,20,10.0,28.466756266748828,0,,25.10093487865294,94,23.22340425531915,38.00000000000001,11,38.0,0,0.6140000000000001,43893,1,20,1.0,579.3351253349765,False,0.05039268627219864,0,0.6140000000000001,44078,3,20,1.0,599.3351253349765,False,0.055028589560123894,43,0.9720000000000002,55108,96,10,1.0,2983.8179503944166,False,-0.0605668313964181,17,3.097,53041.0,112,0,0.0,3188.2767018758686,False,-0.09317767347278896,0,0.2,80834,0,5,0.0,190.00000000000003,False,0.0002471912889789764,1,0.38100000000000006,71731,395,10,1.0,10294.869277067912,False,-0.04981603235074022,0.6666666666666666,348685,0.0,0.0,11,0,0,16,6,4.942622950819672,13,29,23,186.0,120.0,12,10,23,542,1.9524625839549117,30.17970144591527
13,23,0,0,0,10.000000000000002,20,10.0,28.280059058945216,42,27.357142857142858,25.10093487865294,0,,38.00000000000001,3,38.0,7,0.6840000000000002,44389,3,10,1.0,312.80059058945216,False,0.059016244568735624,0,0.6140000000000001,44363,1,15,1.0,434.20088588417826,False,0.05984120112550428,0,0.9290000000000003,54299,117,20,1.0,3810.785607469649,False,-0.0671315241126853,0,3.080000000000001,52701.0,123,0,0.0,3478.4472642502615,False,-0.09641282623570295,0,0.2,80834,0,5,0.0,190.00000000000003,False,0.0002471912889789764,0,0.38000000000000006,71845,385,17,1.0,10309.859928281381,False,-0.048314403043657715,0.6666666666666666,348431,0.0,0.0,14,0,0,18,1,0.4666666666666667,11,29,24,222.0,117.0,14,9,24,1028,2.056322939984966,32.23602438590024
14,24,0,0,0,10.000000000000002,20,10.0,28.325119210842516,15,29.0,25.12798429765135,106,25.21698113207547,38.00000000000001,9,38.0,0,0.6770000000000002,44299,2,20,1.0,586.5023842168503,False,0.06013007137171439,0,0.6140000000000001,44688,2,10,1.0,303.25119210842513,False,0.06601111656453917,8,1.0090000000000001,54847,107,10,1.0,3282.0675985366624,False,-0.062423711609017,78,3.8600000000000008,49338.0,138,0,0.0,3908.866451096267,False,-0.14865917732164624,0,0.2,80834,0,5,0.0,190.00000000000003,False,0.0002471912889789764,0,0.38000000000000006,69514,481,18,1.0,12770.560447170299,False,-0.06191795444777273,0.6666666666666666,343520,0.0,0.0,13,0,0,13,6,5.375,19,32,27,276.0,96.0,17,7,27,1622,1.9416423559887335,34.17766674188897
15,27,0,0,0,10.000000000000002,20,10.0,28.34050669124407,2,30.0,24.793001653508416,14,15.0,38.00000000000001,8,38.0,0,0.6770000000000002,44239,4,28,1.0,833.534187354834,False,0.06164008971488994,0,0.6140000000000001,44608,0,20,1.0,566.8101338248814,False,0.06724211461171198,0,1.0010000000000001,54967,97,12,1.0,3046.5451688927756,False,-0.06238655273205554,6,3.8420000000000014,49164.0,140,0,0.0,3967.6709367741696,False,-0.1510591799301717,0,0.2,80834,0,5,0.0,190.00000000000003,False,0.0002471912889789764,0,0.38000000000000006,69608,485,20,1.0,12784.605801951582,False,-0.060669358155757844,0.6666666666666666,343420,0.0,0.0,14,0,0,18,1,1.0,14,32,19,273.0,153.0,16,11,19,684,1.8691170979873277,36.0467838398763
16,19,0,0,0,10.000000000000002,20,10.0,28.964009159099408,60,31.0,24.666133812535072,5,15.0,38.00000000000001,12,38.0,2,0.6970000000000001,45011,5,10,1.0,339.6400915909941,False,0.0741226266741672,10,0.7140000000000002,45208,0,9,0.9,260.67608243189466,False,0.0778674379196906,0,1.0010000000000001,54502,102,22,1.0,3496.983878103911,False,-0.06636638053657393,5,3.886000000000001,47674.0,185,0,0.0,5358.34169443339,False,-0.1642488531391941,0,0.2,80834,0,5,0.0,190.00000000000003,False,0.0002471912889789764,0,0.38000000000000006,69989,480,18,1.0,12523.744230016835,False,-0.05757243180599913,0.65,343218,0.0,0.0,15,0,0,15,3,1.7999999999999998,11,26,18,173.0,99.0,11,8,18,1586,1.5869674459681846,37.63375128584448
17,18,0,0,0,10.000000000000002,20,10.0,29.267974748140645,41,30.975609756097562,24.4485246414942,8,15.0,38.0,6,38.0,3,0.7250000000000001,45239,5,10,1.0,342.6797474814065,False,0.07957919962296327,19,0.8940000000000001,45442,0,10,1.0,292.6797474814065,False,0.0838109472396335,0,1.0010000000000001,53665,119,32,1.0,4265.241783556551,False,-0.07388303719931819,8,3.961000000000001,47089.0,199,0,0.0,5824.3269748799885,False,-0.1700913959162808,0,0.2,80834,0,5,0.0,190.0,False,0.0002471912889789764,0,0.38000000000000006,70097,478,22,1.0,12522.394778634227,False,-0.05624593816117973,0.6666666666666666,342366,0.0,0.0,11,0,0,10,5,3.5666666666666664,15,25,20,183.0,81.0,11,7,20,428,2.8758570680511184,40.5096083538956
18,20,0,0,0,10.000000000000002,20,10.0,29.252357729697554,27,29.11111111111111,24.4485246414942,0,,38.0,6,38.0,17,0.8920000000000001,45420,8,10,1.0,372.52357729697553,False,0.08423702038961767,0,0.8750000000000002,45372,0,17,0.7,497.2900814048584,False,0.08457896585365836,0,1.0010000000000003,52909,135,42,1.0,4975.906328451926,False,-0.08053323434038805,0,3.9530000000000016,47059.0,200,0,0.0,5850.471545939511,False,-0.1703723584960787,0,0.2,80834,0,5,0.0,190.0,False,0.0002471912889789764,0,0.38000000000000006,70325,468,26,1.0,12429.909532219284,False,-0.053999496148640524,0.6166666666666667,341919,0.0,0.0,11,0,0,12,4,3.25,15,27,14,165.0,105.0,10,10,14,458,1.4454984460026026,41.9551067998982
19,14,0,0,0,10.000000000000002,20,10.0,29.46244132238491,34,30.970588235294116,24.052267318477917,14,15.0,37.99999999999999,11,38.0,8,0.9550000000000001,45678,8,10,1.0,374.6244132238491,False,0.09039564954025925,0,0.8750000000000002,45768,0,11,1.0,324.086854546234,False,0.0919345607130522,0,1.0010000000000001,52487,142,45,1.0,5266.018697110163,False,-0.08512988848686148,7,4.023000000000001,46400.0,217,0,0.0,6393.349766957526,False,-0.17680501114576566,0,0.2,80834,0,5,0.0,189.99999999999997,False,0.0002471912889789764,0,0.38000000000000006,70533,472,25,1.0,12302.670174321576,False,-0.05221501826544904,0.6666666666666666,341700,0.0,0.0,15,0,0,8,3,2.411764705882353,14,22,19,75.0,87.0,5,9,19,1219,1.24604564497713,43.20115244487533
