index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,11,0,0,0,10.000000000000002,20,10.0,29.160020088303803,0,,19.049924994273677,15,10.533333333333333,34.0,13,34.0,0,0.506,36294,12,30,1.0,994.8006026491141,False,0.06030145829345399,0,0.4250000000000001,33152,101,0,0.0,1010.0000000000002,False,-0.030029683852560593,0,0.21800000000000003,43317,0,31,0.0,590.547674822484,False,-0.006191918753731541,10,1.4970000000000003,37961.0,80,0,0.0,2332.8016070643043,False,-0.10839028339412649,0,0.2,67248,0,1,0.0,34.0,False,0.00013381705721422625,0,0.3440000000000001,66175,97,12,1.0,2255.8427244445465,False,0.000697653179229722,0.3333333333333333,284147,0.0,0.0,9,0,0,8,2,2.0,11,19,13,121.0,18.0,9,2,13,772,1.2376318043097854,15.529659968800843
11,13,0,0,0,10.000000000000002,20,10.0,27.861919284354506,25,21.44,18.306116274818365,8,5.0,33.99999999999999,12,34.0,0,0.506,36714,11,23,1.0,750.8241435401536,False,0.06888994125969275,8,0.5050000000000001,32853,112,0,0.0,1120.0000000000002,False,-0.03706158678924465,0,0.21800000000000003,42781,15,41,1.0,1168.4795565328704,False,-0.011821169941973525,8,1.5670000000000004,37753.0,80,0,0.0,2228.9535427483606,False,-0.11431326288911262,0,0.2,67248,0,1,0.0,33.99999999999999,False,0.00013381705721422625,0,0.3440000000000001,66543,95,10,1.0,2079.0810461077444,False,0.0048551879840292985,0.5,283892,0.0,0.0,9,0,0,10,3,3.0,11,21,15,114.0,13.0,11,2,15,1118,1.150564530864358,16.6802244996652
12,15,0,0,0,10.000000000000002,20,10.0,28.176251888817827,11,32.0,18.14843256028648,3,11.0,33.99999999999999,10,34.0,0,0.506,36946,13,22,1.0,749.8775415539922,False,0.07556237271324802,0,0.49700000000000005,32773,120,0,0.0,1200.0000000000002,False,-0.03821435776247154,0,0.21800000000000003,42546,13,51,1.0,1291.8613351292422,False,-0.01577042503954466,3,1.5890000000000002,37576.0,83,0,0.0,2338.6289067718794,False,-0.11709701819829693,0,0.2,67248,0,1,0.0,33.99999999999999,False,0.00013381705721422625,0,0.3440000000000001,66850,88,10,1.0,1937.0620653052101,False,0.008364027486805767,0.5,283939,0.0,0.0,10,0,0,10,1,1.0,9,19,17,65.0,42.0,9,6,17,892,1.1734828995540738,17.853707399219275
13,17,0,0,0,10.000000000000002,20,10.0,28.732850432553903,17,33.0,14.867451879475027,72,9.166666666666666,33.99999999999999,12,34.0,0,0.506,37417,12,15,1.0,550.9927564883086,False,0.08627039333249245,0,0.4970000000000001,32663,131,0,0.0,1310.0000000000002,False,-0.03979941785065852,0,0.21800000000000003,42273,20,49,1.0,1303.1621507453544,False,-0.0218626133585663,60,2.186000000000001,34972.0,83,0,0.0,2384.826585901974,False,-0.17590891229261263,0,0.2,67248,0,1,0.0,33.99999999999999,False,0.00013381705721422625,2,0.364,66516,150,10,1.0,2570.117781921254,False,0.008104241866311264,0.5,281089,0.0,0.0,10,0,0,11,3,2.2857142857142856,9,20,19,100.0,55.0,10,7,19,1219,1.219231410883367,19.07293881010264
14,19,0,0,0,10.000000000000002,20,10.0,27.553420762249136,26,21.53846153846154,15.320008883578781,21,19.142857142857142,33.99999999999999,12,34.0,4,0.546,37795,9,10,1.0,365.53420762249135,False,0.09449168863112037,7,0.5670000000000001,32357,144,0,0.0,1440.0000000000002,False,-0.046744862964350556,0,0.21800000000000003,41713,36,59,1.0,1895.803671572117,False,-0.02787116407378418,21,2.3360000000000007,34592.0,83,0,0.0,2286.9339232666784,False,-0.18568346181675915,0,0.2,67248,0,1,0.0,33.99999999999999,False,0.00013381705721422625,2,0.382,66440,161,10,1.0,2806.521430256184,False,0.008731722301773779,0.5,280145,0.0,0.0,7,0,0,11,8,6.666666666666667,10,21,16,150.0,56.0,12,7,16,472,1.1685363529250026,20.241475163027644
15,16,0,0,0,10.000000000000002,20,10.0,27.438256419812383,1,11.0,14.67522171281649,15,7.0,33.99999999999999,14,34.0,0,0.542,37756,4,19,1.0,561.3268719764353,False,0.09618903818519886,0,0.56,32207,159,0,0.0,1590.0000000000002,False,-0.04890630853915098,0,0.21800000000000003,41702,27,69,1.0,1753.4232215192721,False,-0.029744061371806636,15,2.4650000000000007,34155.0,83,0,0.0,2277.3752828444276,False,-0.1957504411306578,0,0.2,67248,0,1,0.0,33.99999999999999,False,0.00013381705721422625,4,0.42000000000000004,66644,166,10,1.0,2776.0868043275373,False,0.011538649372007895,0.5,279712,0.0,0.0,6,0,0,11,4,3.2,9,20,9,125.0,33.0,10,6,9,415,0.9182001445442438,21.159675307571888
16,9,0,0,0,10.000000000000002,20,10.0,28.052601990871196,10,36.0,13.954954879120203,34,10.264705882352942,33.99999999999999,9,34.0,0,0.542,38016,4,19,1.0,572.9994378265527,False,0.10385024694986246,0,0.56,32107,169,0,0.0,1690.0000000000002,False,-0.050347272255684604,0,0.21800000000000003,41902,17,74,1.0,1509.5608948997053,False,-0.027965079585957175,29,2.7400000000000007,32811.0,93,0,0.0,2608.8919851510213,False,-0.22259944415788196,0,0.2,67248,0,1,0.0,33.99999999999999,False,0.00013381705721422625,0,0.41600000000000004,66601,190,11,1.0,3025.4414270328384,False,0.012753073532717093,0.5,278685,0.0,0.0,8,0,0,7,2,2.0,9,16,14,76.0,21.0,6,3,14,1066,0.715667393989861,21.87534270156175
17,14,0,0,0,10.000000000000002,20,10.0,29.596748123914384,24,37.666666666666664,13.274557482999189,20,6.9,33.99999999999999,11,34.0,5,0.5920000000000001,38695,4,10,1.0,335.96748123914386,False,0.1200029897293747,0,0.56,32007,179,0,0.0,1790.0000000000002,False,-0.05178823597221822,0,0.21800000000000003,41762,14,78,1.0,1449.769957408738,False,-0.03183654683473782,14,2.851000000000001,31685.0,110,0,0.0,3255.642293630582,False,-0.24088913620419086,0,0.2,67248,0,1,0.0,33.99999999999999,False,0.00013381705721422625,0,0.41600000000000004,66837,200,10,1.0,2994.911496599838,False,0.016035086063695768,0.5,278234,0.0,0.0,9,0,0,9,3,2.2941176470588234,10,19,12,144.0,26.0,10,4,12,882,0.9779337923973799,22.85327649395913
18,12,0,0,0,10.000000000000002,20,10.0,27.80303072304953,9,1.0,13.274557482999189,0,,33.999999999999986,11,34.0,0,0.5870000000000002,38615,2,20,1.0,576.0606144609906,False,0.12115710271853644,9,0.6500000000000001,31650,191,0,0.0,1910.0000000000002,False,-0.06034756044842791,0,0.21800000000000003,41753,13,88,1.0,1529.6004579035725,False,-0.031132070254493896,0,2.8370000000000006,31685.0,110,0,0.0,3058.3333795354483,False,-0.2431372096944736,0,0.2,67248,0,1,0.0,33.999999999999986,False,0.00013381705721422625,1,0.42600000000000005,67170,190,10,1.0,2862.1659217698457,False,0.019999449281624185,0.5,278121,0.0,0.0,7,0,0,10,3,2.5,7,17,16,58.0,22.0,7,5,16,506,1.108691451139748,23.961967945098877
19,16,0,0,0,10.000000000000002,20,10.0,28.925094018568277,12,41.0,13.794566455798053,10,23.5,33.999999999999986,12,34.0,0,0.5870000000000002,38977,5,18,1.0,570.651692334229,False,0.1315117394209376,0,0.6410000000000001,31580,198,0,0.0,1980.0000000000005,False,-0.06135623505000144,0,0.21800000000000003,41943,3,93,1.0,1369.6699624449238,False,-0.028624670011337564,5,2.8870000000000005,31083.0,122,0,0.0,3528.86147026533,False,-0.251494149687069,0,0.2,67248,0,1,0.0,33.999999999999986,False,0.00013381705721422625,2,0.44500000000000006,67261,190,10,1.0,2960.96762660163,False,0.0220870080483647,0.5,278092,0.0,0.0,9,0,0,12,2,1.5,9,21,20,139.0,38.0,11,5,20,1154,1.2684087548404932,25.23037669993937
