index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,14,10.0,15.0,0,,26.0,0,,36.0,0,,0,0.2,10608,0,4,0.4,60.0,False,-0.0009391435011269722,0,0.2,10548,10,0,0.0,100.0,False,-0.004695717505634861,0,0.2,16955,0,0,0.0,0.0,False,0.0,0,0.2,16955,0,0,0.0,0.0,False,0.0,0,0.2,24614,0,0,0.0,0.0,False,0.0,0,0.2,24614,0,0,0.0,0.0,False,0.0,0.06666666666666667,104294,0.0,0.0,6,0,0,49,0,0.0,185,234,94,0.0,0.0,0,0,94,140,0.9829329522326589,0.9829329522326589
1,94,0,0,0,10.0,20,10.0,15.0,0,,24.685393258426966,44,23.34090909090909,36.0,0,,0,0.2,10538,0,11,0.7,165.0,False,-0.0025826446280991736,0,0.2,10418,23,0,0.0,230.0,False,-0.010800150262960181,0,0.2,16955,0,0,0.0,0.0,False,0.0,44,0.6400000000000001,15587,0,0,0.0,0.0,False,-0.08068416396343261,0,0.2,24614,0,0,0.0,0.0,False,0.0,0,0.2,23587,44,0,0.0,1086.1573033707866,False,-0.019660410673381205,0.11666666666666665,101699,0.0,0.0,8,0,0,21,6,6.0,46,67,25,810.0,159.0,54,40,25,200,2.1797584863379598,3.1626914385706186
2,25,0,0,0,10.0,18,10.0,12.052631578947368,12,1.0,23.693170234454637,18,19.27777777777778,36.0,0,,0,0.2,10478,0,17,0.6,204.89473684210526,False,-0.006344161493139238,12,0.32000000000000006,10074,35,0,0.0,350.0,False,-0.03747182569496619,0,0.2,16953,0,2,0.2,47.386340468909275,False,0.0012794556316399566,18,0.7760000000000002,15233,10,0,0.0,120.52631578947368,False,-0.09800866069627033,0,0.2,24492,0,9,0.9,324.0,False,0.0016250914113918908,0,0.2,23362,53,0,0.0,1255.7380224260958,False,-0.02535674773653018,0.2833333333333334,100592,0.0,0.0,7,0,0,14,5,5.0,16,30,19,190.0,55.0,15,10,19,180,0.7252764077857137,3.8879678463563323
3,19,0,0,0,9.999999999999998,18,10.0,8.643610785463071,34,3.5,22.684430350375123,41,20.51219512195122,36.0,20,36.0,0,0.2,10488,0,19,0.8,164.22860492379834,False,-0.007314584667364804,28,0.5880000000000001,9335,45,0,0.0,449.99999999999994,False,-0.10217881292261458,0,0.2,16950,0,5,0.3,113.42215175187562,False,0.00304990126074534,41,1.1680000000000004,13798,41,0,0.0,354.38804220398595,False,-0.17574791972267806,4,0.24000000000000002,24582,5,10,1.0,473.4221517518756,False,0.008316855280569482,7,0.27,22653,79,0,0.0,1792.0699976796348,False,-0.04326663692045926,0.35000000000000003,97806,0.0,0.0,11,0,0,14,15,15.0,13,27,18,151.0,29.0,11,8,18,594,0.6533926427364349,4.541360489092767
4,18,0,0,0,10.0,15,10.0,8.160906338101702,19,6.2105263157894735,22.135118773261055,29,19.93103448275862,36.0,20,36.0,0,0.2,10576,0,15,0.0,122.41359507152553,False,-0.0010136365950636518,15,0.7100000000000002,8896,60,0,0.0,600.0,False,-0.13636363636363635,0,0.2,16929,0,11,0.6,243.4863065058716,False,0.0056468978621608485,29,1.4170000000000003,12958,54,0,0.0,440.68894225749193,False,-0.22274582889243605,1,0.24600000000000002,24757,8,10,1.0,537.0809501860884,False,0.01671977228784606,9,0.35300000000000004,22143,95,0,0.0,2102.8362834598,False,-0.057673757141061974,0.26666666666666666,96259,0.0,0.0,10,0,0,11,12,11.5,12,23,21,130.0,36.0,9,9,21,562,0.6324374731630087,5.173797962255776
5,21,0,0,0,10.0,10,10.0,7.97637288924861,4,4.0,22.411659877630488,19,24.31578947368421,36.0,20,36.0,0,0.2,10576,0,15,0.0,119.64559333872916,False,-0.0011436141369867737,4,0.7350000000000001,8740,70,0,0.0,700.0,False,-0.14631855747558226,0,0.2,17113,0,10,0.4,224.11659877630487,False,0.015927944523040447,14,1.5280000000000002,12690,54,0,0.0,430.724136019425,False,-0.23884623603599459,0,0.24500000000000002,24773,11,11,1.0,642.5282586539354,False,0.019511827794221427,11,0.45400000000000007,21834,101,0,0.0,2263.577647640679,False,-0.06696234566424239,0.2333333333333333,95726,0.0,0.0,9,0,0,13,9,9.0,14,27,19,144.0,49.0,13,8,19,624,0.7327869031578302,5.906584865413606
6,19,0,0,0,10.0,15,10.0,8.23341316633987,22,9.181818181818182,23.032226582881798,41,25.073170731707318,36.0,20,36.0,0,0.2,10576,0,15,0.0,123.50119749509805,False,-0.00096256585766822,22,0.9510000000000001,8281,85,0,0.0,850.0,False,-0.18238166791885801,0,0.2,17101,12,15,1.0,444.2843567393054,False,0.02171289757414646,36,1.8740000000000003,11754,54,0,0.0,444.604310982353,False,-0.2936418663821188,0,0.24500000000000002,24793,9,14,1.0,711.2900392459362,False,0.02172117573831832,13,0.5730000000000001,20827,134,0,0.0,3086.3183621061607,False,-0.09116116108502963,0.3333333333333333,93332,0.0,0.0,9,0,0,13,14,14.0,13,26,16,115.0,31.0,10,9,16,592,0.6391636505723,6.545748515985906
7,16,0,0,0,10.0,16,10.0,8.19481123468841,3,7.0,24.134036734351646,42,28.285714285714285,36.0,20,36.0,0,0.2,10576,0,15,0.0,122.92216852032615,False,-0.0009897554225992429,3,0.9590000000000003,8086,101,0,0.0,1010.0,False,-0.19318181818181818,7,0.27,17636,5,10,1.0,282.3144235169585,False,0.04849054625529225,20,2.0380000000000003,11364,54,0,0.0,442.5198066731742,False,-0.31670540233933425,0,0.24500000000000002,24977,9,15,1.0,757.2063306091648,False,0.03012932336493796,11,0.6700000000000002,19623,166,0,0.0,4006.2500979023735,False,-0.12138924803155977,0.3333333333333333,92262,0.0,0.0,11,0,0,9,11,10.333333333333334,16,25,19,131.0,18.0,10,6,19,883,0.5916035920381546,7.137352108024061
8,19,0,0,0,10.0,8,10.0,8.696180470352168,14,11.785714285714286,23.93039403282932,33,22.818181818181817,36.0,20,36.0,0,0.2,10642,0,12,0.0,104.35416564422601,False,0.0043366907233388825,11,1.066,7907,109,0,0.0,1090.0,False,-0.2062359128474831,0,0.263,17519,9,19,1.0,532.9431108569266,False,0.04898092335172297,32,2.3380000000000005,10572,54,0,0.0,469.59374539901705,False,-0.36261888099678513,0,0.24500000000000002,25167,6,17,1.0,755.582364196976,False,0.03781551889568897,12,0.7790000000000001,18793,192,0,0.0,4594.635654303229,False,-0.14315764088926564,0.3333333333333333,90600,0.0,0.0,8,0,0,13,10,10.0,17,30,17,174.0,12.0,15,4,17,482,0.6553147369995713,7.792666845023632
9,17,0,0,0,9.999999999999998,12,10.0,9.714095797839539,17,15.117647058823529,24.124564419422672,30,25.366666666666667,36.0,20,36.0,0,0.2,10894,0,0,0.0,0.0,False,0.023102930127723516,5,1.1050000000000002,7702,121,0,0.0,1209.9999999999998,False,-0.2198534936138242,0,0.263,17909,4,19,1.0,497.2231071603889,False,0.0709296109454553,20,2.5060000000000007,9901,66,0,0.0,641.1303226574096,False,-0.39713564368453524,0,0.24500000000000002,25295,12,14,1.0,793.4947730330721,False,0.04378595053695204,7,0.8370000000000002,18305,206,0,0.0,4969.66027040107,False,-0.15536564007473241,0.3333333333333333,90006,0.0,0.0,11,0,0,10,6,6.0,16,26,13,113.0,31.0,11,6,13,1235,0.5661394987255335,8.358806343749166
