index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,62,0,0,0,10.000000000000002,20,10.0,24.409612537013256,0,,14.781035601110641,22,15.590909090909092,36.0,11,36.0,0,0.35300000000000004,41884,15,28,1.0,833.4691510363712,False,0.022621408812237124,0,0.227,42574,1,16,1.0,400.5538005922121,False,0.0340693073926292,22,2.391000000000001,53538.0,71,0,0.0,1733.0824901279411,False,-0.1455634060737837,0,0.2,61249,24,85,1.0,1842.2187269827227,False,-0.023603264123076294,0,0.2,92157,0,9,0.0,324.0,False,0.0014644623795886489,11,0.9580000000000002,87757,232,0,0.0,3429.200259457669,False,-0.029423759766024134,0.5,379159,0.0,0.0,11,0,0,28,10,10.0,34,62,48,574.0,188.0,38,24,48,200,5.565977844002191,98.05763223394752
11,48,0,0,0,10.000000000000002,20,10.0,24.90532110045693,43,26.651162790697676,15.032411799089164,12,18.0,36.0,15,36.0,5,0.403,42476,14,10,1.0,389.05321100456933,False,0.031561141194301645,0,0.227,42814,2,16,1.0,418.4851376073109,False,0.04008805919989491,12,2.4890000000000008,52890.0,87,0,0.0,2166.762935739753,False,-0.15233487556939557,0,0.2,60547,41,95,1.0,2449.197286032205,False,-0.029861972217170556,0,0.2,92157,0,9,0.0,324.0,False,0.0014644623795886489,15,1.0970000000000002,87264,244,0,0.0,3667.908478977756,False,-0.03347702161450051,0.5,378148,0.0,0.0,14,0,0,23,13,12.75,28,51,47,396.0,74.0,28,20,47,1252,3.6721975289983675,101.72982976294588
12,47,0,0,0,10.000000000000002,20,10.0,25.019386573767473,2,35.0,15.289975527795978,22,16.90909090909091,36.0,9,36.0,0,0.398,42426,16,18,1.0,610.3489583278146,False,0.03302730518950578,0,0.227,42734,0,26,1.0,650.5040509179543,False,0.040958588793883144,22,2.697000000000001,52302.0,89,0,0.0,2226.725405065305,False,-0.1610986964249737,0,0.2,60547,31,105,1.0,2381.048414205369,False,-0.030397119546704446,0,0.2,92157,0,9,0.0,324.0,False,0.0014644623795886489,9,1.1720000000000004,86771,266,0,0.0,4067.13349039373,False,-0.0366596508591853,0.5,376937,0.0,0.0,12,0,0,23,8,8.0,27,50,51,367.0,70.0,26,21,51,270,4.125903639011085,105.85573340195697
13,51,0,0,0,10.000000000000002,20,10.0,24.79352234647578,34,23.735294117647058,15.632102011164319,20,18.1,36.0,13,36.0,3,0.42800000000000005,42628,17,10,1.0,417.9352234647578,False,0.03558485704659437,0,0.227,43073,0,22,0.9,545.4574916224672,False,0.04788417129967928,18,2.855000000000001,51493.0,102,0,0.0,2528.9392793405295,False,-0.17143106749061196,0,0.2,60227,42,113,1.0,2807.7554658135505,False,-0.03207202844366098,0,0.2,92157,0,9,0.0,324.0,False,0.0014644623795886489,13,1.2930000000000004,86185,286,0,0.0,4470.781175192995,False,-0.040827143673560495,0.48333333333333334,375763,0.0,0.0,12,0,0,27,13,12.142857142857142,20,47,48,358.0,116.0,24,27,48,687,3.1925940350047313,109.0483274369617
14,48,0,0,0,10.000000000000002,20,10.0,24.250278499688317,26,20.615384615384617,17.23008451281002,25,26.68,36.0,11,36.0,12,0.5450000000000002,42670,16,10,1.0,402.5027849968832,False,0.036413668379026834,0,0.227,43103,1,28,1.0,689.0077979912729,False,0.05034458839588148,21,3.047000000000001,50975.0,106,0,0.0,2570.5295209669616,False,-0.1792397914267668,0,0.2,60023,54,119,1.0,3359.8950960075617,False,-0.030940154413899457,0,0.2,92157,0,9,0.0,324.0,False,0.0014644623795886489,11,1.3900000000000003,85350,311,0,0.0,5358.556283483917,False,-0.04506988043758178,0.5,374278,0.0,0.0,16,0,0,26,12,11.545454545454545,24,50,42,383.0,73.0,27,21,42,532,2.9377261989866383,111.98605363594834
15,42,0,0,0,10.000000000000002,20,10.0,25.186403661490747,35,30.0,17.85995141551385,7,31.857142857142858,36.0,16,36.0,11,0.643,42884,15,10,1.0,401.8640366149075,False,0.041579403319411394,0,0.227,43497,2,24,1.0,624.473687875778,False,0.05908949217787723,3,3.056000000000001,50171.0,129,0,0.0,3249.0460723323063,False,-0.18653867359530488,0,0.2,59907,56,125,1.0,3642.9325319827135,False,-0.030539376721823077,0,0.2,92157,0,9,0.0,324.0,False,0.0014644623795886489,16,1.5390000000000004,84820,318,0,0.0,5679.464550133404,False,-0.04907866576556986,0.5,373436,0.0,0.0,17,0,0,23,10,9.916666666666666,21,44,45,322.0,63.0,23,19,45,1134,2.9279550460050814,114.91400868195342
16,45,0,0,0,10.000000000000002,20,10.0,24.777561362701487,49,23.163265306122447,18.24507149138414,19,21.210526315789473,36.0,8,36.0,26,0.8920000000000001,42909,15,10,1.0,397.7756136270149,False,0.04213436013087173,0,0.227,43813,2,21,1.0,540.3287886167312,False,0.06571169815806525,17,3.2230000000000008,49387.0,143,0,0.0,3543.1912748663126,False,-0.1965417737905681,0,0.2,59306,81,133,1.0,4433.576978732912,False,-0.033769596385179595,0,0.2,92157,0,9,0.0,324.0,False,0.0014644623795886489,8,1.6030000000000004,84320,337,0,0.0,6148.589092596456,False,-0.051958099601902376,0.5,371892,0.0,0.0,15,0,0,29,9,8.961538461538462,18,47,47,338.0,64.0,23,22,47,951,3.69653224904323,118.61054093099665
17,47,0,0,0,10.000000000000002,20,10.0,23.849287536331133,36,18.22222222222222,19.901795574651604,15,36.333333333333336,36.0,9,36.0,24,1.1060000000000003,42859,16,10,1.0,398.4928753633113,False,0.04093427868201757,0,0.227,43791,1,29,1.0,701.6293385536028,False,0.06712957015053303,5,3.256000000000001,49109.0,153,0,0.0,3648.9409930586635,False,-0.2000774190547118,0,0.2,59318,97,133,1.0,4960.3197024527835,False,-0.02944482196179875,0,0.2,92157,0,9,0.0,324.0,False,0.0014644623795886489,9,1.6850000000000003,83660,352,0,0.0,7005.432042277364,False,-0.05447023321684154,0.5,370894,0.0,0.0,14,0,0,27,7,6.923076923076923,20,47,40,356.0,81.0,25,22,40,868,2.875108061998617,121.48564899299527
18,40,0,0,0,10.000000000000002,20,10.0,23.897810193798247,1,35.0,19.40224147775107,14,14.142857142857142,35.99999999999999,10,36.0,0,1.0820000000000003,42769,15,20,1.0,627.956203875965,False,0.04153216733803894,0,0.227,43716,2,38,1.0,928.1167873643334,False,0.0680541132281437,12,3.371000000000001,48749.0,154,0,0.0,3680.26276984493,False,-0.20548534881468647,0,0.2,59420,87,141,1.0,4814.825535223348,False,-0.028985397772813015,0,0.2,92157,0,9,0.0,323.99999999999994,False,0.0014644623795886489,10,1.7760000000000005,83326,366,0,0.0,7101.220380856891,False,-0.05757387192540523,0.5,370137,0.0,0.0,17,0,0,21,8,8.0,21,42,47,309.0,72.0,21,19,47,337,2.8844950280035846,124.37014402099885
19,47,0,0,0,10.000000000000002,20,10.0,23.749264503512787,37,22.91891891891892,19.98866832288657,16,25.3125,35.99999999999999,6,36.0,4,1.1220000000000003,43033,13,10,1.0,367.4926450351279,False,0.0447660177086321,0,0.227,44012,4,35,1.0,871.2242576229476,False,0.07452223205152843,12,3.4790000000000005,48101.0,167,0,0.0,3966.1271720866353,False,-0.2134175618230126,0,0.2,59193,101,147,1.0,5337.009958319117,False,-0.02844997127260284,0,0.2,92157,0,9,0.0,323.99999999999994,False,0.0014644623795886489,6,1.8260000000000003,82863,382,0,0.0,7635.67129934267,False,-0.059697608590738756,0.5,369359,0.0,0.0,15,0,0,23,6,5.166666666666667,23,46,43,342.0,100.0,22,25,43,821,2.817934521997813,127.18807854299666
20,43,0,0,0,10.000000000000002,20,10.0,23.24139023541457,35,20.057142857142857,20.909412910362033,29,25.517241379310345,36.0,12,36.0,25,1.3680000000000003,43055,16,10,1.0,392.41390235414576,False,0.045599104343698176,0,0.227,43942,1,45,1.0,1055.8625605936556,False,0.0750617981456987,18,3.647000000000001,47613.0,167,0,0.0,3881.3121693142334,False,-0.22174774104161707,0,0.2,59041,126,146,1.0,5981.189454575093,False,-0.025778670279591832,0,0.2,92157,0,9,0.0,324.0,False,0.0014644623795886489,12,1.9400000000000004,81937,411,0,0.0,8593.768706158795,False,-0.06454607791938519,0.5,367745,0.0,0.0,13,0,0,19,12,11.961538461538462,23,42,43,315.0,66.0,21,22,43,984,2.6814877380384132,129.86956628103508
