index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1944,4021fdef-0f5c-4c5a-8ca7-40c2898ee514,01Dec@0,02Dec@1,DecentralizingAgent,DecentralizingAgent,64,20,33,55,-1,55,01Dec@0|02Dec@1,"[quantity: (1, 20), time: (60, 65), unit_price: (23, 46)]",01Dec@0,02Dec@1,p1,01Dec@0,False,1,17,64,,-1,-1
1945,cf5cb101-9a9b-43a2-910b-6078f517d79b,05Ran@2,BUYER,RandomAgent,_SystemAgent,109,1,38,55,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1946,1141fe05-80de-4e26-beb1-4d5d9946185d,05Ran@2,BUYER,RandomAgent,_SystemAgent,109,3,38,55,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1947,ff5a0e5e-7277-4884-b4c7-b0621b3e8a54,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,109,3,10,55,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,109,,-1,-1
1948,1298e809-576a-41c4-9226-48423d4e63c8,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,110,1,10,56,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,110,,-1,-1
1949,9e8bf518-0d7b-4579-9f1c-3eefa096d3aa,00Buy@0,02Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,57,5,13,56,-1,56,02Dec@1|00Buy@0,"[quantity: (1, 5), time: (56, 64), unit_price: (1, 23)]",00Buy@0,02Dec@1,p1,02Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
1950,edc38fc3-1b25-47ec-bfb5-b4feb13ecd6d,05Ran@2,BUYER,RandomAgent,_SystemAgent,110,2,38,56,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1951,b16fde6d-0670-4114-88f3-ab2f6bd12f29,01Dec@0,03Ind@1,DecentralizingAgent,IndDecentralizingAgent,66,10,35,56,-1,56,01Dec@0|03Ind@1,"[quantity: (1, 13), time: (61, 66), unit_price: (23, 46)]",01Dec@0,03Ind@1,p1,01Dec@0,False,1,17,66,,-1,-1
1952,d3a01dee-8de0-4922-b829-1e12985e86a8,05Ran@2,BUYER,RandomAgent,_SystemAgent,110,4,38,56,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1953,ac1ff19c-8710-4349-b654-f4ec23bfd855,01Dec@0,03Ind@1,DecentralizingAgent,IndDecentralizingAgent,64,20,33,56,-1,56,01Dec@0|03Ind@1,"[quantity: (1, 20), time: (60, 65), unit_price: (23, 46)]",01Dec@0,03Ind@1,p1,01Dec@0,False,1,17,64,,-1,-1
