index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
24,18,0,0,0,10.000000000000002,20,10.0,24.488851680515296,0,,38.26919068467348,8,24.0,38.0,10,38.0,0,2.855000000000001,45712,264,0,0.0,2640.0000000000005,False,-0.10585551330798479,0,0.533,56761,0,47,1.0,1150.9760289842188,False,0.09004730065574357,0,0.2,62300,80,127,1.0,6819.295351394756,False,0.00784759771307972,0,0.5510000000000002,64151,51,37,1.0,2664.891491039199,False,0.004378136530562325,0,0.2,87205,0,0,0.0,0.0,False,0.0,10,2.2170000000000005,73097,265,0,0.0,10141.335531438473,False,-0.10363318885706974,0.5,389226,0.0,0.0,12,0,0,11,5,5.0,19,30,19,130.0,21.0,11,7,19,392,1.4300280790776014,63.59920621197671
25,19,0,0,0,10.000000000000002,20,10.0,24.073491891206075,27,20.59259259259259,38.26919068467348,0,,38.0,10,38.0,16,3.0150000000000006,45269,275,0,0.0,2750.0000000000005,False,-0.1132319391634981,0,0.533,57045,0,45,0.9,1083.3071351042734,False,0.09480329976334861,0,0.2,62300,70,137,1.0,6928.023556184692,False,0.008681428542169184,0,0.5510000000000002,63595,68,47,1.0,3435.649410781667,False,0.0017611691369495142,0,0.2,87205,0,0,0.0,0.0,False,0.0,10,2.307000000000001,72952,265,0,0.0,10141.335531438473,False,-0.10529593755267205,0.48333333333333334,388366,0.0,0.0,11,0,0,16,8,8.0,18,34,19,175.0,26.0,14,5,19,574,1.74998452141881,65.34919073339552
26,19,0,0,0,10.000000000000002,20,10.0,24.490668855736136,10,34.0,37.56618776599177,10,29.0,38.0,10,38.0,0,2.9990000000000006,45169,285,0,0.0,2850.0000000000005,False,-0.11418250950570343,0,0.533,57285,0,45,1.0,1102.0800985081262,False,0.09954448762840427,0,0.2,62300,60,147,1.0,6991.669732944958,False,0.0091695276921451,0,0.5510000000000002,63545,68,47,1.0,3430.9763071916705,False,0.0009584366636374408,0,0.2,87205,0,0,0.0,0.0,False,0.0,10,2.3970000000000007,72512,275,0,0.0,10330.701635647736,False,-0.1092557672401368,0.5,388016,0.0,0.0,13,0,0,14,6,6.0,17,31,21,158.0,33.0,12,7,21,830,1.540192849934101,66.88938358332962
27,21,0,0,0,10.000000000000002,20,10.0,25.14665772533339,24,31.0,37.88756235305226,19,39.89473684210526,38.0,11,38.0,4,3.0390000000000006,44941,301,0,0.0,3010.0000000000005,False,-0.11699619771863118,0,0.533,57945,0,29,0.4,729.2530740346683,False,0.10854803302314325,0,0.2,62554,60,145,1.0,7002.4960047125805,False,0.013148378820765923,0,0.5510000000000002,63305,72,50,1.0,3704.9374738766173,False,-0.0006216642084372215,0,0.2,87205,0,0,0.0,0.0,False,0.0,11,2.4970000000000008,71592,294,0,0.0,11138.943331797365,False,-0.11517147335704733,0.39999999999999997,387542,0.0,0.0,15,0,0,13,6,6.0,17,30,23,148.0,63.0,12,9,23,1658,1.4138723369687796,68.3032559202984
28,23,0,0,0,10.000000000000002,20,10.0,25.255350442894713,38,25.86842105263158,37.745382089659664,29,37.13793103448276,37.99999999999999,8,38.0,28,3.315000000000001,44649,312,0,0.0,3120.0000000000005,False,-0.1215019011406844,0,0.533,58205,0,28,0.9,707.1498124010519,False,0.11328089175286173,0,0.2,62254,77,149,1.0,7568.723915462182,False,0.012889382461595282,0,0.5510000000000002,63699,73,37,1.0,3240.2197196487214,False,0.0018575701681702275,0,0.2,87205,0,0,0.0,0.0,False,0.0,8,2.5660000000000007,70417,323,0,0.0,12191.758414960072,False,-0.12260903379989646,0.48333333333333334,386429,0.0,0.0,17,0,0,14,6,6.0,17,31,29,194.0,53.0,13,10,29,1627,1.628919767215848,69.93217568751425
29,29,0,0,0,10.000000000000002,20,10.0,26.04406600370248,20,35.0,36.85412940985882,23,31.52173913043478,37.99999999999999,8,38.0,0,3.287000000000001,44529,324,0,0.0,3240.0000000000005,False,-0.1226425855513308,0,0.533,58825,0,16,0.8,416.70505605923967,False,0.12230708228193186,0,0.2,62271,77,149,1.0,7496.658364354055,False,0.012597459771419758,0,0.5510000000000002,63707,73,34,1.0,3154.257218205481,False,0.0013210314595960492,0,0.2,87205,0,0,0.0,0.0,False,0.0,8,2.638000000000001,69600,346,0,0.0,12751.528775811152,False,-0.12876825425255928,0.4666666666666666,386137,0.0,0.0,16,0,0,11,4,4.0,18,29,28,148.0,68.0,14,15,28,1625,1.8599274437874556,71.7921031313017
30,28,0,0,0,10.000000000000002,20,10.0,26.04406600370248,0,,35.48948147695684,23,26.91304347826087,37.99999999999999,9,38.0,0,3.287,44429,334,0,0.0,3340.0000000000005,False,-0.12359315589353612,0,0.533,58725,0,26,1.0,677.1457160962644,False,0.122881613270877,0,0.2,62271,67,159,1.0,7387.779977084203,False,0.011762477200866558,0,0.551,64326,63,21,1.0,2386.0552692493497,False,0.004923887766874376,0,0.2,87205,0,0,0.0,0.0,False,0.0,9,2.7200000000000006,68856,369,0,0.0,13095.618664997073,False,-0.13532699578580887,0.5,385812,0.0,0.0,14,0,0,11,5,5.0,23,34,23,217.0,56.0,16,12,23,819,1.7637974359095097,73.55590056721121
31,23,0,0,0,10.000000000000002,20,10.0,25.641660361961133,7,12.857142857142858,35.12074152118235,5,24.0,37.99999999999999,8,38.0,7,3.3570000000000007,44187,347,0,0.0,3470.0000000000005,False,-0.12695817490494296,0,0.533,58655,0,33,0.7,846.1747919447174,False,0.12315755505650877,0,0.2,62301,64,164,1.0,7400.867872639418,False,0.01232298439092774,0,0.5510000000000002,64326,53,31,1.0,2447.750986340593,False,0.005397028945217654,0,0.2,87205,0,0,0.0,0.0,False,0.0,8,2.791000000000001,68632,374,0,0.0,13135.1573289222,False,-0.13766895631602438,0.45,385306,0.0,0.0,11,0,0,9,7,7.0,23,32,21,134.0,68.0,12,11,21,320,1.6569285802543163,75.21282914746553
32,21,0,0,0,10.000000000000002,20,10.0,24.579561001512484,16,10.875,35.56717862124034,6,46.0,38.0,13,38.0,5,3.400000000000001,43984,358,0,0.0,3580.0000000000005,False,-0.12977186311787073,0,0.533,58688,0,31,0.9,761.966391046887,False,0.12298447139778404,0,0.2,62499,60,168,1.0,7450.0596684591255,False,0.0157371366334789,0,0.5510000000000002,64230,53,41,1.0,2760.971056551016,False,0.006326659226901156,0,0.2,87205,0,0,0.0,0.0,False,0.0,13,2.9130000000000003,68130,380,0,0.0,13515.527876071328,False,-0.14124460824453106,0.48333333333333334,384736,0.0,0.0,12,0,0,13,9,9.0,21,34,16,149.0,43.0,13,8,16,599,1.6420065900310874,76.85483573749661
33,16,0,0,0,10.000000000000002,20,10.0,23.50062835559456,16,10.0,34.454896406503636,14,24.0,38.0,9,38.0,16,3.555000000000001,43507,369,0,0.0,3690.0000000000005,False,-0.13779467680608365,0,0.533,58598,0,40,0.9,940.0251342237824,False,0.12296601838615756,0,0.2,62499,50,178,1.0,7308.002978137375,False,0.01464771141858166,0,0.5510000000000002,64406,59,37,1.0,2661.3682400207135,False,0.00826227982469327,0,0.2,87205,0,0,0.0,0.0,False,0.0,9,2.9900000000000007,67667,394,0,0.0,13575.229184162432,False,-0.14621163245133637,0.48333333333333334,383882,0.0,0.0,13,0,0,11,8,8.0,21,32,17,139.0,18.0,10,6,17,536,1.2852396052330732,78.14007534272969
