index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,30.0,0,,41.0,0,,0,0.2,45961,11,0,0.0,110.0,False,-0.0011938095548175642,0,0.2,45981,9,0,0.0,90.0,False,-0.0009767532721234617,0,0.2,70868,0,0,0.0,0.0,False,0.0,0,0.2,70868,0,0,0.0,0.0,False,0.0,0,0.2,93091,0,0,0.0,0.0,False,0.0,0,0.2,93091,0,0,0.0,0.0,False,0.0,0.0,419860,0.0,0.0,6,0,0,148,0,0.0,446,594,152,0.0,0.0,0,0,152,200,4.411596379999537,4.411596379999537
1,152,0,0,0,10.0,20,10.0,19.0,0,,30.0,0,,41.0,0,,0,0.2,45851,22,0,0.0,220.0,False,-0.0023876191096351283,0,0.2,45891,18,0,0.0,180.0,False,-0.0019535065442469234,0,0.2,70868,0,0,0.0,0.0,False,0.0,0,0.2,70868,0,0,0.0,0.0,False,0.0,0,0.2,93091,0,0,0.0,0.0,False,0.0,0,0.2,93091,0,0,0.0,0.0,False,0.0,0.0,419660,0.0,0.0,6,0,0,61,0,0.0,44,105,59,1674.0,297.0,93,59,59,200,15.48050465900451,19.892101039004046
2,59,0,0,0,10.0,20,10.0,18.804347826086957,1,10.0,30.0,0,,41.0,0,,0,0.2,45751,32,0,0.0,320.0,False,-0.0034729005231056414,1,0.21000000000000002,45778,28,0,0.0,280.0,False,-0.0033209611252197693,0,0.2,70868,0,0,0.0,0.0,False,0.0,0,0.2,70858,0,1,0.1,30.0,False,7.055370548061184e-05,0,0.2,93091,0,0,0.0,0.0,False,0.0,0,0.2,93091,0,0,0.0,0.0,False,0.0,0.016666666666666666,419437,0.0,0.0,6,0,0,15,1,1.0,44,59,30,846.0,126.0,47,12,30,200,4.42942723602755,24.321528275031596
3,30,0,0,0,10.0,20,10.0,18.398617511520737,2,10.0,30.0,0,,41.0,12,41.0,0,0.2,45661,41,0,0.0,410.0,False,-0.004449653795229103,2,0.229,45641,39,0,0.0,390.0,False,-0.005100822643311411,0,0.2,70858,0,1,0.1,30.0,False,7.055370548061184e-05,0,0.2,70848,0,2,0.1,60.0,False,0.00014110741096122367,0,0.2,93091,0,0,0.0,0.0,False,0.0,12,0.32000000000000006,92889,0,0,0.0,0.0,False,-0.0021699197559377384,0.03333333333333333,418988,0.0,0.0,6,0,0,15,6,6.0,14,29,23,231.0,83.0,17,13,23,200,2.7696780459955335,27.09120632102713
4,23,0,0,0,10.0,20,10.0,17.799572039942937,3,10.0,32.90909090909091,10,46.0,41.0,10,41.0,2,0.22000000000000003,45524,52,0,0.0,520.0,False,-0.006229515313320744,1,0.23700000000000002,45538,48,0,0.0,480.0,False,-0.006359749082937205,0,0.2,70838,0,3,0.2,98.72727272727272,False,0.0002732352594066771,8,0.28,70990,0,1,0.1,32.90909090909091,False,0.0019536962444903785,0,0.2,93091,0,0,0.0,0.0,False,0.0,10,0.40800000000000003,92291,10,0,0.0,329.09090909090907,False,-0.006826165208823024,0.05000000000000001,418272,0.0,0.0,6,0,0,12,8,7.6,11,23,23,183.0,94.0,11,12,23,200,1.9738547400338575,29.065061061060987
5,23,0,0,0,10.0,20,10.0,17.408164801525565,2,10.0,34.11009174311926,5,46.0,41.0,12,41.0,2,0.23800000000000002,45407,61,0,0.0,610.0,False,-0.007792320548718283,0,0.23600000000000002,45428,59,0,0.0,590.0,False,-0.00755355863775477,0,0.2,70828,0,4,0.1,136.44036697247705,False,0.0003982077028593347,4,0.31200000000000006,71066,0,1,0.1,34.11009174311926,False,0.003034586073708286,0,0.2,93091,0,0,0.0,0.0,False,0.0,12,0.518,91863,15,0,0.0,511.65137614678895,False,-0.010443268542894618,0.03333333333333333,417683,0.0,0.0,6,0,0,12,7,6.8,13,25,25,234.0,90.0,13,10,25,200,1.7521326430141926,30.81719370407518
6,25,0,0,0,10.0,20,10.0,16.83637949398743,3,10.0,34.11009174311926,0,,41.0,11,41.0,1,0.24600000000000002,45294,71,0,0.0,710.0,False,-0.00915977512969113,2,0.256,45301,69,0,0.0,690.0,False,-0.00922489201449936,0,0.2,70808,0,6,0.2,204.6605504587156,False,0.000597311554289002,0,0.30800000000000005,71056,0,2,0.1,68.22018348623853,False,0.0031341379994231197,0,0.2,93091,0,0,0.0,0.0,False,0.0,11,0.6160000000000001,91699,15,0,0.0,511.65137614678895,False,-0.012204985572467832,0.05000000000000001,417249,0.0,0.0,6,0,0,12,6,6.0,13,25,20,189.0,52.0,13,12,20,200,1.7538085380219854,32.571002242097165
7,20,0,0,0,10.0,20,10.0,16.646383693506756,1,10.0,32.74458058435438,4,16.0,41.0,8,41.0,0,0.24500000000000002,45154,85,0,0.0,850.0,False,-0.010679169108549847,1,0.264,45228,75,0,0.0,750.0,False,-0.010158234030084002,0,0.2,70862,0,3,0.1,98.23374175306314,False,0.0006084110018136907,0,0.30800000000000005,71056,0,2,0.0,65.48916116870876,False,0.0031148696249980235,0,0.2,93091,0,0,0.0,0.0,False,0.0,8,0.685,91541,19,0,0.0,622.1470311027332,False,-0.013308767597819677,0.016666666666666666,416932,0.0,0.0,7,0,0,11,3,3.0,11,22,19,180.0,58.0,10,10,19,264,1.3626204400206916,33.93362268211786
8,19,0,0,0,10.0,20,10.0,16.646383693506756,0,,31.89204117499372,12,28.5,40.99999999999999,9,41.0,0,0.24500000000000002,45054,95,0,0.0,950.0,False,-0.01176445052202036,0,0.263,45128,85,0,0.0,850.0,False,-0.011243515443554513,4,0.24000000000000002,70830,0,0,0.0,0.0,False,-0.00053620816165265,3,0.3380000000000001,71178,0,0,0.0,0.0,False,0.0043743297397979344,0,0.2,93091,0,0,0.0,0.0,False,0.0,9,0.7670000000000001,91079,31,0,0.0,988.6532764248054,False,-0.016303115895066136,0.0,416360,0.0,0.0,5,0,0,11,5,4.171428571428571,10,21,22,162.0,43.0,9,10,22,200,1.3981562959961593,35.331778978114016
9,22,0,0,0,10.000000000000002,20,10.0,16.447292209585992,1,10.0,31.50895855366255,11,29.636363636363637,40.99999999999999,6,41.0,1,0.255,44891,110,0,0.0,1100.0000000000002,False,-0.013674545809728463,0,0.263,45078,90,0,0.0,900.0000000000001,False,-0.011786156150289771,11,0.34600000000000003,70708,0,1,0.1,31.50895855366255,False,-0.0020354111971999877,0,0.3350000000000001,71178,0,0,0.0,0.0,False,0.0043743297397979344,0,0.2,93091,0,0,0.0,0.0,False,0.0,6,0.8180000000000003,90687,42,0,0.0,1323.3762592538271,False,-0.018716222517462345,0.016666666666666666,415633,0.0,0.0,5,0,0,12,5,5.0,13,25,18,162.0,39.0,14,8,18,200,1.8101414550328627,37.14192043314688
10,18,0,0,0,10.000000000000002,20,10.0,15.861976607719726,3,10.0,34.201772463978706,15,44.666666666666664,41.0,11,41.0,2,0.274,44764,120,0,0.0,1200.0000000000002,False,-0.015345879186473052,1,0.273,44965,100,0,0.0,1000.0000000000002,False,-0.013153610731262616,0,0.3350000000000001,70698,0,2,0.1,68.40354492795741,False,-0.001916213630073184,15,0.48500000000000004,71178,0,2,0.2,68.40354492795741,False,0.004856942096065553,0,0.2,93091,0,0,0.0,0.0,False,0.0,11,0.9220000000000002,89851,57,0,0.0,1949.5010304467862,False,-0.024333710936359117,0.05000000000000001,414547,0.0,0.0,6,0,0,12,9,9.0,11,23,19,183.0,37.0,11,7,19,200,1.5625510360114276,38.70447146915831
11,19,0,0,0,10.000000000000002,20,10.0,14.74512665269746,7,10.0,35.623263250452304,10,45.0,41.00000000000001,10,41.0,4,0.31200000000000006,44587,132,0,0.0,1320.0000000000002,False,-0.017885437693994054,3,0.30200000000000005,44844,108,0,0.0,1080.0000000000002,False,-0.014911766621084847,3,0.36500000000000005,70770,0,5,0.5,178.11631625226153,False,-0.00012617601560456309,3,0.5,71270,0,2,0.2,71.24652650090461,False,0.006175188565367364,0,0.2,93091,0,0,0.0,0.0,False,0.0,10,1.0110000000000003,89259,67,0,0.0,2386.7586377803045,False,-0.02834453041765426,0.11666666666666665,413821,0.0,0.0,6,0,0,8,10,9.2,14,22,23,183.0,69.0,11,8,23,200,2.546788335952442,41.25125980511075
12,23,0,0,0,10.000000000000002,20,10.0,14.233061975409731,4,10.0,36.19413690312977,5,44.0,41.0,7,41.0,1,0.31800000000000006,44454,144,0,0.0,1440.0000000000002,False,-0.019469948557661,3,0.32900000000000007,44723,116,0,0.0,1160.0000000000002,False,-0.016669922510907077,0,0.3620000000000001,70750,0,7,0.2,253.35895832190837,False,0.00012247388328945745,3,0.5270000000000001,71362,0,2,0.2,72.38827380625953,False,0.007481432196522076,0,0.2,93091,0,0,0.0,0.0,False,0.0,7,1.0710000000000002,88959,72,0,0.0,2605.9778570253434,False,-0.030389737692014588,0.06666666666666667,413339,0.0,0.0,6,0,0,12,6,5.6,13,25,25,189.0,60.0,13,10,25,200,1.8701869829674251,43.121446788078174
13,25,0,0,0,10.000000000000002,20,10.0,13.536964380633774,6,9.666666666666666,35.637736564198214,9,31.555555555555557,41.0,12,41.0,4,0.3570000000000001,44305,153,0,0.0,1530.0000000000002,False,-0.021727333897679668,2,0.3460000000000001,44586,127,0,0.0,1270.0000000000002,False,-0.01844978402899872,0,0.36200000000000004,70776,0,7,0.4,249.4641559493875,False,0.0004618738778390124,3,0.554,71454,0,2,0.2,71.27547312839643,False,0.008771769156236899,0,0.2,93091,0,0,0.0,0.0,False,0.0,12,1.1840000000000002,88489,81,0,0.0,2886.6566617000553,False,-0.033931010185194864,0.10000000000000002,412701,0.0,0.0,7,0,0,13,10,9.6,12,25,25,219.0,81.0,13,12,25,264,1.85448268300388,44.975929471082054
14,25,0,0,0,10.000000000000002,20,10.0,13.347943004902293,2,10.0,32.60677168853089,11,14.0,41.0,11,41.0,1,0.36300000000000004,44162,166,0,0.0,1660.0000000000002,False,-0.023420372902693668,1,0.3540000000000001,44503,134,0,0.0,1340.0000000000002,False,-0.01949165418593041,4,0.402,70786,0,0,0.0,0.0,False,-0.0011570807698820342,0,0.5510000000000002,71434,0,4,0.2,130.42708675412356,False,0.008906890886959699,0,0.2,93091,0,0,0.0,0.0,False,0.0,11,1.2820000000000003,88171,92,0,0.0,2999.822995344842,False,-0.03673919608047584,0.03333333333333333,412147,0.0,0.0,6,0,0,15,6,5.363636363636363,10,25,25,204.0,81.0,13,12,25,200,1.9552448010072112,46.931174272089265
15,25,0,0,0,10.000000000000002,20,10.0,12.771868789668263,7,10.0,32.60677168853089,0,,41.0,6,41.0,2,0.38200000000000006,44035,176,0,0.0,1760.0000000000002,False,-0.02509170627943826,5,0.403,44329,144,0,0.0,1440.0000000000002,False,-0.022183152091337283,0,0.398,70736,0,5,0.5,163.03385844265446,False,-0.000712353541495104,0,0.5510000000000002,71414,0,6,0.2,195.64063013118533,False,0.009084781778314472,0,0.2,93091,0,0,0.0,0.0,False,0.0,6,1.3310000000000002,88107,92,0,0.0,2999.822995344842,False,-0.03742669540908978,0.11666666666666665,411712,0.0,0.0,6,0,0,13,8,8.0,10,23,21,168.0,69.0,11,14,21,200,1.5982613939559087,48.529435666045174
16,21,0,0,0,10.000000000000002,20,10.0,12.44962361401247,4,9.5,30.267258940200428,20,22.0,41.0,11,41.0,4,0.42000000000000004,43886,185,0,0.0,1850.0000000000002,False,-0.027349091619456926,0,0.398,44219,155,0,0.0,1550.0000000000002,False,-0.023376961646154847,10,0.49800000000000005,70558,0,3,0.3,90.80177682060128,False,-0.0037336895579063185,0,0.5510000000000002,71634,0,2,0.1,60.534517880400855,False,0.011235921134224282,0,0.2,93091,0,0,0.0,0.0,False,0.0,11,1.4350000000000003,87501,112,0,0.0,3389.933001302448,False,-0.041841139308298095,0.06666666666666667,410889,0.0,0.0,8,0,0,11,7,7.0,12,23,21,153.0,45.0,11,10,21,500,1.6774608740233816,50.206896540068556
17,21,0,0,0,10.000000000000002,20,10.0,12.296603361117286,2,9.5,29.397669668904044,15,24.666666666666668,41.0,10,41.0,1,0.42600000000000005,43722,200,0,0.0,2000.0000000000005,False,-0.02928089253543444,1,0.40800000000000003,44156,160,0,0.0,1600.0000000000002,False,-0.02420177552039244,7,0.558,70437,0,1,0.1,29.397669668904044,False,-0.005874317959665212,3,0.5810000000000002,71746,0,1,0.1,29.397669668904044,False,0.012596642135158967,0,0.2,93091,0,0,0.0,0.0,False,0.0,10,1.5240000000000005,86997,127,0,0.0,3733.5040479508134,False,-0.04540984602189891,0.03333333333333333,410149,0.0,0.0,6,0,0,11,7,6.300000000000001,12,23,17,168.0,75.0,11,10,17,200,1.7878570290049538,51.99475356907351
18,17,0,0,0,10.000000000000002,20,10.0,12.232267078558703,1,10.0,30.90389079725153,10,44.0,41.0,8,41.0,0,0.42500000000000004,43622,210,0,0.0,2100.0000000000005,False,-0.03036617394890495,1,0.41700000000000004,44043,170,0,0.0,1700.0000000000002,False,-0.025569230101365283,0,0.551,70437,0,1,0.0,30.90389079725153,False,-0.005863691011477273,9,0.6680000000000001,71822,0,1,0.1,30.90389079725153,False,0.013679685406652207,0,0.2,93091,0,0,0.0,0.0,False,0.0,8,1.5940000000000003,86461,137,0,0.0,4233.833039223459,False,-0.04848034160539983,0.016666666666666666,409476,0.0,0.0,6,0,0,11,5,4.8,9,20,20,165.0,66.0,10,7,20,200,1.4636849549715407,53.45843852404505
19,20,0,0,0,10.000000000000002,20,10.0,12.164882308762143,1,10.0,30.90389079725153,0,,41.0,8,41.0,0,0.42500000000000004,43532,219,0,0.0,2190.0000000000005,False,-0.03134292722102841,1,0.42600000000000005,43920,181,0,0.0,1810.0000000000002,False,-0.02704521282368518,0,0.551,70437,0,1,0.0,30.90389079725153,False,-0.005863691011477273,0,0.6590000000000001,71812,0,2,0.1,61.80778159450306,False,0.01375661639664245,0,0.2,93091,0,0,0.0,0.0,False,0.0,8,1.6660000000000004,86365,137,0,0.0,4233.833039223459,False,-0.049511590598320734,0.016666666666666666,409157,0.0,0.0,5,0,0,9,3,3.0,13,22,21,165.0,76.0,10,10,21,200,1.5872729499824345,55.045711474027485
20,21,0,0,0,10.000000000000002,20,10.0,11.19933304203081,19,9.68421052631579,30.90389079725153,0,,40.99999999999999,5,41.0,9,0.5150000000000001,43314,227,0,0.0,2270.0000000000005,False,-0.03520652905298344,10,0.5250000000000001,43641,193,0,0.0,1930.0000000000005,False,-0.031798745414686025,0,0.551,70263,8,11,1.0,429.5374631060133,False,-0.005506452396666963,0,0.6590000000000001,71802,0,3,0.1,92.71167239175459,False,0.01383354738663249,0,0.2,93091,0,0,0.0,0.0,False,0.0,5,1.7080000000000004,86313,137,0,0.0,4233.833039223459,False,-0.05007018380281956,0.18333333333333335,408424,0.0,0.0,5,0,0,12,7,7.0,12,24,24,216.0,72.0,12,9,24,200,1.7318232810357586,56.77753475506324
