index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
524,9e336303-f553-4f0d-a16a-306f0daefbc9,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,69,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,69,,-1,-1
525,a32e6e33-ef24-40c2-8f9a-e150c61c0ee6,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,7,3,38,0,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,False,3,0,-1,04Buy@2:product(1.0),-1,-1
526,f1f64878-1f60-4d84-ae31-d76f235d5d6d,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,54,1,38,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
527,7b17b67a-c781-411b-a232-49671decf05a,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,23,3,38,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
528,7111e83c-dec3-48a7-af9f-f8866457faab,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,50,3,38,0,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
529,572de6e6-5a81-4ab6-8a3c-2c6027d69703,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,69,3,38,0,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
530,6170d9ad-9533-4a11-915a-0e2b775c5f02,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,25,2,38,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
531,f70498f0-2db7-459f-8c31-9c5b505a122f,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,28,2,38,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
532,b9f61ebb-c711-44c8-9dbe-53ed7d1b3720,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,16,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,16,,-1,-1
533,6d419110-e56b-4216-bff3-fc7aed1f209b,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,9,1,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,9,,-1,-1
