index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
30,37,0,0,0,10.000000000000002,20,10.0,19.57557128179904,26,17.0,40.33825130901235,0,,38.0,20,38.0,12,0.5990000000000001,42497,11,10,1.0,305.7557128179904,False,0.07055593404475502,0,0.2,38328,7,229,1.0,4552.80582353198,False,0.0192124027150779,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66406,126,94,1.0,6258.31760455384,False,0.031036428372185194,8,2.8270000000000013,82320,102,0,0.0,4114.5016335192595,False,-0.07048943755222059,12,2.6330000000000005,81326,133,0,0.0,5364.987424098643,False,-0.07455171287510656,0.5,378517,0.0,0.0,8,0,0,16,9,8.461538461538462,23,39,31,312.0,114.0,19,18,31,200,3.9529166440479457,283.99279321701033
31,31,0,0,0,10.000000000000002,20,10.0,19.883301133060318,10,25.0,40.33825130901235,0,,38.00000000000001,20,38.0,0,0.587,42627,13,10,1.0,328.8330113306032,False,0.0741087001597756,0,0.2,38248,5,239,1.0,4802.108970801416,False,0.02033320327821254,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66156,126,104,1.0,6700.474078902884,False,0.030607589327888315,10,2.919000000000001,82176,102,0,0.0,4114.5016335192595,False,-0.07207575992817898,10,2.721000000000001,81174,133,0,0.0,5364.987424098643,False,-0.07622616427195154,0.5,378021,0.0,0.0,10,0,0,15,11,11.0,20,35,34,273.0,75.0,16,15,34,450,5.061066102993209,289.05385932000354
32,34,0,0,0,10.000000000000002,20,10.0,19.7207667194196,33,18.939393939393938,40.33825130901235,0,,38.00000000000001,20,38.0,23,0.8170000000000002,42689,11,10,1.0,307.207667194196,False,0.07539355489839342,0,0.2,38128,7,249,1.0,4980.47091313548,False,0.019559613859979865,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65531,149,114,1.0,7536.954890420929,False,0.027541849963086226,7,2.979000000000001,82107,102,0,0.0,4114.5016335192595,False,-0.07283587273332572,13,2.841000000000001,80951,133,0,0.0,5364.987424098643,False,-0.0786827607291649,0.5,377046,0.0,0.0,10,0,0,13,9,8.92,22,35,35,255.0,87.0,15,19,35,400,3.5250307639944367,292.578890083998
33,35,0,0,0,10.000000000000002,20,10.0,19.7207667194196,0,,40.40032490426585,13,41.0,38.00000000000001,20,38.0,0,0.794,42579,12,20,1.0,514.415334388392,False,0.07523300452306025,0,0.2,38038,6,259,1.0,5167.678580329676,False,0.01965007380117072,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66064,139,111,1.0,7225.622638372834,False,0.033136788932511055,8,3.0520000000000014,82009,102,0,0.0,4120.833140235117,False,-0.07388057889621098,12,2.948000000000001,80219,146,0,0.0,5898.447436022814,False,-0.08380823435697318,0.5,376549,0.0,0.0,10,0,0,14,9,9.0,20,34,33,258.0,102.0,16,19,33,733,3.344594703987241,295.9234847879852
34,33,0,0,0,10.000000000000002,20,10.0,19.595278991332396,33,18.939393939393938,40.50052025581192,5,43.0,38.00000000000001,20,38.0,13,0.9240000000000002,42851,10,10,1.0,295.95278991332395,False,0.07931866751064691,0,0.2,37918,8,269,1.0,5351.130048668415,False,0.018940360559607666,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65654,162,116,1.0,7872.495546270031,False,0.031853263146630034,7,3.114000000000001,81715,107,0,0.0,4333.555667371876,False,-0.07594763116147513,13,3.066000000000001,79996,146,0,0.0,5913.07595734854,False,-0.08618425598534557,0.5,375774,0.0,0.0,11,0,0,14,10,9.52,20,34,37,222.0,102.0,14,19,37,615,3.389749097987078,299.3132338859723
35,37,0,0,0,10.0,20,10.0,19.872540006952153,10,25.0,40.53992467474391,10,41.0,38.00000000000001,20,38.0,0,0.911,42991,11,10,1.0,308.7254000695215,False,0.08299311478789032,0,0.2,37828,7,279,1.0,5614.438661939651,False,0.019985926628927102,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65814,162,116,1.0,7921.982743396542,False,0.03459255911298998,7,3.1770000000000014,81425,112,0,0.0,4540.471563571317,False,-0.07800260220999324,13,3.1830000000000007,79568,151,0,0.0,6121.52862588633,False,-0.08975098800406311,0.5,375266,0.0,0.0,13,0,0,13,10,10.0,22,35,36,243.0,123.0,16,21,36,860,3.5061341989785433,302.81936808495084
36,36,0,0,0,10.0,20,10.0,19.74881536873385,37,19.16216216216216,39.33319869611663,11,26.818181818181817,38.000000000000014,20,38.0,27,1.1810000000000003,43023,12,10,1.0,317.4881536873385,False,0.08390632487872868,0,0.2,37738,6,289,1.0,5767.407641564083,False,0.019646673379905225,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65400,189,115,1.0,8255.84395474411,False,0.030929123949053325,11,3.280000000000001,81049,117,0,0.0,4601.984247445646,False,-0.08180585040404043,9,3.2600000000000002,79353,157,0,0.0,6175.312195290311,False,-0.09182321210843,0.5,374203,0.0,0.0,12,0,0,14,11,11.0,24,38,36,243.0,135.0,16,20,36,745,3.3174824090092443,306.1368504939601
37,36,0,0,0,10.0,20,10.0,19.74881536873385,0,,39.738775346237524,14,43.0,38.000000000000014,20,38.0,0,1.1540000000000004,42893,15,20,1.0,544.976307374677,False,0.0834982844370425,0,0.2,37668,3,299,1.0,5934.895795251421,False,0.019991663887791077,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66002,179,111,1.0,7946.042014435725,False,0.03755850964114142,9,3.3590000000000018,80326,131,0,0.0,5205.7795703571155,False,-0.08644476750265975,11,3.3609999999999998,79185,157,0,0.0,6238.987729359292,False,-0.09332319264255254,0.5,373714,0.0,0.0,10,0,0,11,9,9.0,26,37,30,288.0,120.0,16,20,30,802,3.037581044016406,309.1744315379765
38,30,0,0,0,10.0,20,10.0,20.00981460220931,10,25.0,39.738775346237524,0,,38.000000000000014,20,38.0,0,1.1540000000000004,43023,17,20,1.0,570.1962920441862,False,0.0870779423685859,0,0.2,37588,1,309,1.0,6193.032712082677,False,0.021223332815616225,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65752,179,121,1.0,8390.148630690208,False,0.03714412851554082,9,3.440000000000001,80203,131,0,0.0,5205.7795703571155,False,-0.08779975119879088,11,3.460000000000001,79019,157,0,0.0,6238.987729359292,False,-0.09515186982594903,0.5,373225,0.0,0.0,10,0,0,14,10,10.0,21,35,29,210.0,90.0,15,15,29,450,3.289196114987135,312.4636276529636
39,29,0,0,0,10.0,20,10.0,19.644680308325555,25,17.0,40.04066456008525,15,42.333333333333336,38.000000000000014,20,38.0,5,1.2040000000000002,43233,18,10,1.0,376.44680308325553,False,0.0899175029880676,0,0.2,37498,0,319,1.0,6266.653018355852,False,0.019888212785911415,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65962,194,116,1.0,8455.785068785046,False,0.04074452914196676,13,3.5610000000000013,79990,131,0,0.0,5245.327057371167,False,-0.08992835629807891,7,3.519000000000001,78301,172,0,0.0,6886.994304334663,False,-0.09949218788922921,0.5,372624,0.0,0.0,11,0,0,12,10,9.2,21,33,31,222.0,90.0,14,15,31,835,3.0528324730112217,315.51646012597485
40,31,0,0,0,9.999999999999998,20,10.0,19.644680308325555,0,,40.05740751664742,1,42.0,38.000000000000014,20,38.0,0,1.1990000000000003,43163,15,20,1.0,542.8936061665111,False,0.09024942400871652,0,0.2,37368,3,329,1.0,6493.0998214391075,False,0.01946710285698813,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66004,184,125,1.0,8621.79711631283,False,0.04259806290080987,12,3.668000000000001,79751,132,0,0.0,5287.5777921974595,False,-0.09232849105381673,8,3.5920000000000005,78203,172,0,0.0,6889.874092863357,False,-0.10055590633612767,0.5,372129,0.0,0.0,11,0,0,15,11,11.0,24,39,25,279.0,84.0,18,13,25,242,4.327600633027032,319.8440607590019
41,25,0,0,0,9.999999999999998,20,10.0,19.731085819830433,41,20.121951219512194,40.05740751664742,0,,38.000000000000014,20,38.0,21,1.4090000000000003,43457,14,10,1.0,337.31085819830435,False,0.09504895778255366,0,0.2,37258,4,339,1.0,6728.838092922517,False,0.019664626282317882,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65179,215,135,1.0,9649.933466010945,False,0.03798770399759022,6,3.716000000000001,79687,132,0,0.0,5287.5777921974595,False,-0.09303352322090935,14,3.7240000000000006,77950,172,0,0.0,6889.874092863357,False,-0.1033429866216657,0.5,371171,0.0,0.0,11,0,0,13,11,10.84,19,32,25,237.0,63.0,14,11,25,600,2.603020276001189,322.44708103500307
42,25,0,0,0,9.999999999999998,20,10.0,19.731085819830433,0,,40.093608710069745,2,42.0,38.000000000000014,20,38.0,0,1.3880000000000003,43387,11,20,1.0,504.6217163966087,False,0.09539172314059849,0,0.2,37128,7,349,1.0,6956.148951120821,False,0.019254360690790683,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65263,205,143,1.0,9778.258638605212,False,0.04018459297326009,12,3.830000000000001,79452,133,0,0.0,5332.449958439276,False,-0.09537515445470567,8,3.790000000000001,77810,173,0,0.0,6936.194306842066,False,-0.10463010979310583,0.5,370680,0.0,0.0,11,0,0,12,10,10.0,21,33,26,192.0,48.0,14,11,26,284,2.794548092992045,325.2416291279951
43,26,0,0,0,9.999999999999998,20,10.0,20.158638950254286,18,25.0,40.13821905392699,5,41.0,38.00000000000001,20,38.0,0,1.3880000000000003,43707,14,12,1.0,381.9036674030514,False,0.10188387845331272,0,0.2,37058,4,359,1.0,7276.951383141289,False,0.02152352447527914,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65018,213,148,1.0,10234.246516385356,False,0.03993243465781967,10,3.918000000000001,79302,133,0,0.0,5338.38313417229,False,-0.09699489328582281,10,3.8820000000000006,77465,178,0,0.0,7144.602991599004,False,-0.10728274548559637,0.5,370190,0.0,0.0,13,0,0,10,10,10.0,19,29,27,216.0,72.0,12,14,27,855,2.561761070974171,327.8033901989693
44,27,0,0,0,9.999999999999998,20,10.0,20.38957661027886,10,25.0,40.13821905392699,0,,38.00000000000001,20,38.0,0,1.3880000000000003,43847,15,12,1.0,394.6749193233463,False,0.10555830868399484,0,0.2,36968,3,369,1.0,7553.753769192899,False,0.022738444353433855,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,64768,213,158,1.0,10684.818428509861,False,0.03956598579898186,12,4.0280000000000005,79111,133,0,0.0,5338.38313417229,False,-0.09909897365948986,8,3.952000000000001,77375,178,0,0.0,7144.602991599004,False,-0.10827419697057038,0.5,369709,0.0,0.0,11,0,0,12,8,8.0,18,30,25,201.0,75.0,12,15,25,450,2.5954784970381297,330.3988686960074
45,25,0,0,0,10.0,20,10.0,20.599485460342024,9,25.0,40.20755617509559,8,41.0,38.0,20,38.0,0,1.3880000000000003,43972,15,13,1.0,417.7933109844463,False,0.10898608538096395,0,0.2,36868,3,379,1.0,7837.2049894696265,False,0.023785800214232596,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,64871,212,160,1.0,10800.299905607804,False,0.04194937802562051,13,4.146000000000002,78896,133,0,0.0,5347.604971287714,False,-0.10141664662858181,7,4.014,76970,186,0,0.0,7478.60544856778,False,-0.11089602180880534,0.5,369217,0.0,0.0,12,0,0,12,9,9.0,20,32,20,192.0,64.0,14,11,20,753,2.721747952979058,333.12061664898647
46,20,0,0,0,10.0,20,10.0,20.2928979246593,36,18.77777777777778,40.51141631441057,27,41.51851851851852,38.0,20,38.0,23,1.6180000000000003,44085,13,10,1.0,332.92897924659303,False,0.11075741081912932,0,0.2,36748,5,389,1.0,7943.937292692468,False,0.022113221876709627,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65316,238,143,1.0,10622.842239029625,False,0.04723200853347779,11,4.243000000000001,78329,143,0,0.0,5793.132532960711,False,-0.10520879674715394,9,4.097,76138,203,0,0.0,8223.817511825346,False,-0.1159567643880246,0.5,368256,0.0,0.0,15,0,0,9,9,8.821428571428571,19,28,29,162.0,63.0,9,11,29,1521,2.3371970739681274,335.4578137229546
47,29,0,0,0,10.0,20,10.0,20.10279601029182,35,19.057142857142857,41.09337535857604,32,43.0,38.0,20,38.0,25,1.8450000000000002,44137,12,10,1.0,321.0279601029182,False,0.11191330053594364,0,0.2,36638,6,399,1.0,8081.015608106436,False,0.021072511961977385,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66025,263,121,1.0,10259.33376909445,False,0.055049774392029155,10,4.332000000000002,77502,159,0,0.0,6533.84668201359,False,-0.11023923348674983,10,4.188000000000001,75299,219,0,0.0,8999.449203528153,False,-0.12092706660610655,0.5,367241,0.0,0.0,14,0,0,11,13,12.961538461538462,21,32,26,201.0,81.0,12,17,26,1801,2.5482153429766186,338.0060290659312
48,26,0,0,0,10.0,20,10.0,20.33082180859731,10,25.0,41.09337535857604,0,,38.0,20,38.0,0,1.8200000000000003,44277,13,10,1.0,333.30821808597307,False,0.115581568539446,0,0.2,36548,5,409,1.0,8365.3061197163,False,0.0223814116784596,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65775,263,131,1.0,10730.238307634554,False,0.05483406710680691,10,4.4220000000000015,77362,159,0,0.0,6533.84668201359,False,-0.11178149135226495,10,4.278000000000001,75159,219,0,0.0,8999.449203528153,False,-0.12246932447162166,0.5,366761,0.0,0.0,12,0,0,10,8,8.0,19,29,25,189.0,84.0,13,13,25,450,2.585041890037246,340.59107095596846
49,25,0,0,0,10.0,20,10.0,20.56050381227135,10,25.0,40.92131405228961,23,40.0,38.00000000000001,20,38.0,0,1.8200000000000003,44407,15,10,1.0,355.6050381227135,False,0.11912453924700307,0,0.2,36468,3,419,1.0,8644.851097341696,False,0.023881762812089907,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66445,263,118,1.0,10236.127560797539,False,0.06110530204321881,13,4.542000000000002,77145,159,0,0.0,6506.488934314048,False,-0.11432267926371478,7,4.338000000000002,74160,242,0,0.0,9902.958000654085,False,-0.1284978518515131,0.5,366265,0.0,0.0,10,0,0,14,9,9.0,22,36,20,258.0,57.0,16,9,20,1370,2.3005890260101296,342.8916599819786
50,20,0,0,0,10.0,20,10.0,20.334392339911414,34,19.11764705882353,40.92131405228961,0,,38.00000000000001,20,38.0,24,2.0600000000000005,44463,14,10,1.0,343.34392339911415,False,0.12037631370515209,0,0.2,36358,4,429,1.0,8763.454313821996,False,0.022609180875800137,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65795,287,128,1.0,11073.898800247647,False,0.057678440736096494,11,4.639000000000001,76980,159,0,0.0,6506.488934314048,False,-0.11614034031950046,9,4.421000000000001,74047,242,0,0.0,9902.958000654085,False,-0.12974267427153602,0.5,365283,0.0,0.0,12,0,0,11,10,9.96,20,31,18,156.0,40.0,12,8,18,425,2.413812295999378,345.30547227797797
51,18,0,0,0,10.000000000000002,20,10.0,20.161264940632055,36,19.22222222222222,39.005185875473856,9,11.0,38.00000000000001,20,38.0,26,2.2960000000000007,44499,15,10,1.0,351.61264940632054,False,0.12138372762125456,0,0.2,36268,3,439,1.0,8880.795308937471,False,0.021822778043342757,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65202,313,129,1.0,11342.144904353961,False,0.0508744173093469,11,4.738000000000001,76817,159,0,0.0,6201.824554200343,False,-0.11961407996496683,9,4.502000000000001,73835,251,0,0.0,9790.301654743938,False,-0.13269861166638797,0.5,364261,0.0,0.0,12,0,0,11,9,9.0,19,30,16,183.0,36.0,11,7,16,549,1.9260206089820713,347.23149288696004
52,16,0,0,0,10.000000000000002,20,10.0,20.161264940632055,0,,37.577215365392675,8,15.0,38.00000000000001,20,38.0,0,2.2700000000000005,44379,17,20,1.0,573.2252988126411,False,0.1211529568866267,0,0.2,36188,1,449,1.0,9062.407958343792,False,0.022094027941763093,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65322,303,131,1.0,11031.478489877954,False,0.05035051221700088,12,4.847000000000001,76615,159,0,0.0,5974.7772430974355,False,-0.1230899288187548,8,4.573000000000001,73611,259,0,0.0,9732.498779636702,False,-0.13548460617543903,0.5,363755,0.0,0.0,12,0,0,8,11,11.0,20,28,20,129.0,24.0,8,8,20,320,2.955449814966414,350.18694270192645
53,20,0,0,0,10.000000000000002,20,10.0,20.022795710514934,36,19.22222222222222,37.79234197404805,5,43.0,38.00000000000001,20,38.0,16,2.4300000000000006,44625,18,10,1.0,380.22795710514936,False,0.1249055944816028,0,0.2,36098,0,459,1.0,9190.463231126354,False,0.021442094820732897,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,64845,329,136,1.0,11727.25829722995,False,0.04843612509437696,9,4.925000000000002,76490,159,0,0.0,6008.9823738736395,False,-0.12427854072731975,11,4.675000000000001,73229,264,0,0.0,9977.178281148685,False,-0.13834505661656885,0.5,362927,0.0,0.0,12,0,0,11,11,10.615384615384615,20,31,18,201.0,24.0,12,8,18,665,2.1583881370024756,352.34533083892893
54,18,0,0,0,10.000000000000002,20,10.0,20.26008917349652,11,25.0,36.64731793034426,6,15.0,38.00000000000001,20,38.0,1,2.424000000000001,44749,21,10,1.0,412.6008917349652,False,0.12842441943491262,0,0.2,36028,0,466,0.7,9441.201554849378,False,0.02283191790518562,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,64660,330,140,1.0,11816.453937502047,False,0.04635430397602424,6,4.976000000000002,76340,165,0,0.0,6046.8074585068025,False,-0.12572261688933853,14,4.804000000000001,72974,264,0,0.0,9674.891933610885,False,-0.14281918164707139,0.45,362391,0.0,0.0,11,0,0,8,11,10.09090909090909,20,28,19,114.0,30.0,8,10,19,290,2.0682082109851763,354.4135390499141
55,19,0,0,0,10.000000000000002,20,10.0,19.909770089234843,25,17.0,37.960146064966665,28,43.0,38.00000000000001,20,38.0,15,2.573000000000001,44739,23,10,1.0,429.0977008923485,False,0.12838045258280015,0,0.2,35948,0,474,0.8,9437.231022297316,False,0.020774003141360443,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65439,345,122,1.0,11500.008500711954,False,0.05555891359028471,10,5.070000000000001,75592,179,0,0.0,6794.866145629033,False,-0.1298423253633723,10,4.8900000000000015,72224,278,0,0.0,10552.920606060732,False,-0.1462450394043539,0.4666666666666666,361582,0.0,0.0,13,0,0,10,11,10.6,19,29,24,150.0,42.0,10,9,24,1404,2.166364043019712,356.5799030929338
56,24,0,0,0,10.000000000000002,20,10.0,19.588366371494086,26,17.0,38.07988096958211,5,41.0,38.00000000000001,20,38.0,16,2.718000000000001,44775,20,10,1.0,395.8836637149409,False,0.12886723642303943,0,0.2,35818,3,484,1.0,9510.769323803137,False,0.01843381264342899,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,65202,361,127,1.0,11907.545143246294,False,0.05506616902854528,11,5.170000000000001,75429,179,0,0.0,6816.298693555198,False,-0.13151990232244645,9,4.9700000000000015,71894,283,0,0.0,10776.606314391738,False,-0.1486482863620795,0.5,360758,0.0,0.0,9,0,0,9,11,10.615384615384615,22,31,22,183.0,54.0,11,13,22,405,2.7921545390272513,359.37205763196107
57,22,0,0,0,10.000000000000002,20,10.0,19.953922134710616,53,21.41509433962264,38.61698293297959,14,43.0,38.00000000000001,20,38.0,43,3.132000000000001,44439,23,10,1.0,429.53922134710615,False,0.12085568439653488,0,0.2,35748,0,494,1.0,9857.237534547045,False,0.021025095189977784,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,64669,404,123,1.0,12811.27344317958,False,0.05386312270676717,13,5.289000000000001,75200,179,0,0.0,6912.439945003346,False,-0.13351304339801634,7,5.0310000000000015,71209,297,0,0.0,11469.243931094938,False,-0.15237924158866362,0.5,358905,0.0,0.0,10,0,0,9,15,14.09090909090909,22,31,20,168.0,63.0,11,11,20,802,2.460968083003536,361.8330257149646
58,20,0,0,0,10.000000000000002,20,10.0,20.13751759175401,9,25.0,38.715927177288286,5,41.0,38.00000000000001,20,38.0,0,3.0890000000000004,44574,22,11,1.0,441.5126935092941,False,0.12439459692147518,0,0.2,35638,1,504,1.0,10159.30886624402,False,0.022055132737317868,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,64649,403,128,1.0,13071.058268169767,False,0.055492558555275316,9,5.366000000000001,75079,179,0,0.0,6930.150964734603,False,-0.1347484414121871,11,5.134000000000001,70835,302,0,0.0,11692.210007541062,False,-0.15527116193960377,0.5,358415,0.0,0.0,13,0,0,9,9,9.0,21,30,17,165.0,45.0,10,10,17,630,1.9904223270132206,363.8234480419778
59,17,0,0,0,10.000000000000002,20,10.0,19.820758638265314,25,17.0,39.206015602540106,14,43.0,38.00000000000001,20,38.0,14,3.229000000000001,44585,24,10,1.0,438.2075863826532,False,0.12462922747035125,0,0.2,35558,0,513,0.9,10168.049181430106,False,0.02015674566919483,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,64826,418,124,1.0,13146.623045509874,False,0.05867725634997394,9,5.447000000000002,74958,179,0,0.0,7017.876792854679,False,-0.13559819339442866,11,5.2330000000000005,70062,316,0,0.0,12389.100930402674,False,-0.15994810891423578,0.48333333333333334,357629,0.0,0.0,12,0,0,8,10,9.56,18,26,18,114.0,42.0,8,9,18,802,2.0201350079732947,365.8435830499511
60,18,0,0,0,10.000000000000002,20,10.0,19.89204199123201,36,20.333333333333332,38.15487803497556,5,15.0,38.00000000000001,20,38.0,10,3.315000000000001,44775,25,10,1.0,448.92041991232014,False,0.12953287507106503,0,0.2,35690,0,506,0.9,10065.373247563397,False,0.02218144591434778,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,64169,444,129,1.0,13754.04591061886,False,0.05343885049834562,8,5.518000000000001,74781,184,0,0.0,7020.497558435503,False,-0.137533612637506,12,5.3420000000000005,69880,316,0,0.0,12056.941459052277,False,-0.16378259970117506,0.48333333333333334,356935,0.0,0.0,13,0,0,9,9,9.0,19,28,18,165.0,54.0,10,8,18,757,1.9767301009851508,367.8203131509363
61,18,0,0,0,10.000000000000002,20,10.0,19.89204199123201,0,,36.49544347058083,8,15.0,38.00000000000001,20,38.0,0,3.3050000000000006,44625,30,20,1.0,697.8408398246402,False,0.12889179999277892,0,0.2,35640,0,511,0.5,10164.833457519557,False,0.022174671270859737,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,64289,434,131,1.0,13414.049318840782,False,0.05269749798968584,12,5.63,74469,192,0,0.0,7007.12514635152,False,-0.1410443005510734,8,5.410000000000001,69780,316,0,0.0,11532.560136703543,False,-0.16777253824411992,0.4166666666666667,356443,0.0,0.0,11,0,0,7,10,10.0,22,29,21,150.0,99.0,10,8,21,320,2.171543326054234,369.9918564769905
62,21,0,0,0,10.000000000000002,20,10.0,19.581757910171206,28,17.0,35.6301506576003,11,27.727272727272727,38.00000000000001,20,38.0,8,3.3850000000000007,44823,31,10,1.0,505.8175791017121,False,0.1314518132872526,0,0.2,35550,0,520,0.9,10182.514113289028,False,0.020137479772195932,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,64118,452,130,1.0,13482.874160885425,False,0.05067223807779598,9,5.708000000000001,74129,197,0,0.0,7019.13967954726,False,-0.14472360712331864,11,5.512000000000001,69529,322,0,0.0,11472.908511747297,False,-0.1708661512307918,0.48333333333333334,355789,0.0,0.0,9,0,0,9,11,10.285714285714285,20,29,26,165.0,63.0,10,11,26,505,2.2155394009896554,372.20739587798016
63,26,0,0,0,10.0,20,10.0,19.2386415538032,36,17.0,34.80351736154691,36,32.5,38.00000000000001,20,38.0,14,3.5170000000000012,44817,33,10,1.0,522.386415538032,False,0.13150915454125392,0,0.2,35674,0,516,0.8,9927.13904176245,False,0.020044918820282257,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,64676,478,104,1.0,12815.636468318808,False,0.053999262094235154,13,5.829000000000002,73773,207,0,0.0,7204.32809384021,False,-0.14762531895082281,7,5.571000000000001,68404,348,0,0.0,12111.624041818324,False,-0.17974120889982861,0.4666666666666666,354984,0.0,0.0,13,0,0,12,11,10.583333333333334,18,30,30,189.0,99.0,13,13,30,1574,3.072785208991263,375.2801810869714
64,30,0,0,0,10.0,20,10.0,19.27226978683674,36,19.5,34.80351736154691,0,,38.00000000000001,20,38.0,26,3.7630000000000003,44913,29,10,1.0,482.7226978683674,False,0.1334210534635453,0,0.2,35534,4,526,1.0,10177.213907876127,False,0.01966934295384077,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,63974,504,114,1.0,13680.824951782066,False,0.05000463325362583,9,5.9060000000000015,73652,207,0,0.0,7204.32809384021,False,-0.14895827039173232,11,5.674000000000001,68243,348,0,0.0,12111.624041818324,False,-0.18151480544517098,0.5,353956,0.0,0.0,11,0,0,17,10,10.0,21,38,24,275.0,84.0,17,13,24,460,2.5030097969574854,377.7831908839289
