index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,40,0,0,0,10.000000000000002,20,10.0,21.771715631284472,18,25.5,32.1241134751773,0,,38.0,20,38.0,0,0.2,40212,17,31,1.0,844.9231845698187,False,0.019966906606212798,0,0.2,40388,1,29,1.0,641.3797533072496,False,0.02183011312165529,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.2,64804,62,64,1.0,3405.7896315509847,False,-0.013865324044727425,10,0.9750000000000001,89229,6,0,0.0,192.74468085106383,False,-0.015980299413660783,10,0.8850000000000002,89310,10,0,0.0,321.241134751773,False,-0.014380226410330028,0.5,391583,0.0,0.0,11,0,0,19,10,10.0,20,39,41,318.0,73.0,21,19,41,659,5.698872564011253,177.1110535520129
11,41,0,0,0,10.000000000000002,20,10.0,22.033987589452654,10,25.0,35.99060436769934,28,43.0,37.99999999999999,20,38.0,0,0.2,40352,18,31,1.0,863.0536152730323,False,0.023708597295025412,0,0.2,40298,0,39,1.0,859.3255159886535,False,0.022306352016725404,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.2,65758,62,46,1.0,3021.675031460234,False,-0.002567576351085084,11,1.0750000000000002,89054,6,0,0.0,215.94362620619603,False,-0.01778034047432034,9,0.9650000000000001,87983,38,0,0.0,1367.642965972575,False,-0.023234979697427903,0.5,391085,0.0,0.0,14,0,0,20,10,10.0,20,40,40,351.0,87.0,22,19,40,1654,4.903107110003475,182.01416066201637
12,40,0,0,0,10.000000000000002,20,10.0,22.033987589452654,0,,35.927600015110876,35,35.8,38.00000000000001,20,38.0,0,0.2,40282,15,41,1.0,1053.3934911675588,False,0.024340388704128624,0,0.2,40168,3,49,1.0,1109.66539188318,False,0.022185112476256773,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.2,67011,52,21,1.0,1900.2469549688662,False,0.007697332188909497,11,1.1740000000000002,88214,27,0,0.0,970.0452004079937,False,-0.022880248080946505,9,1.0460000000000003,87288,52,0,0.0,1868.2352007857655,False,-0.028133894417104906,0.5,390603,0.0,0.0,11,0,0,18,9,9.0,20,38,45,327.0,108.0,19,21,45,1453,5.38370109902462,187.39786176104099
13,45,0,0,0,10.000000000000002,20,10.0,21.54028852141275,42,20.238095238095237,36.28017779443964,5,43.0,38.0,20,38.0,1,0.21000000000000002,40991,17,10,1.0,385.40288521412754,False,0.03375339347390917,0,0.2,40088,1,59,1.0,1280.8770227633524,False,0.022325824227055778,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.2,66376,84,26,1.0,2752.6688584541016,False,0.004601500981985239,11,1.273,88043,27,0,0.0,979.5648004498702,False,-0.02471157133796444,9,1.1270000000000004,86952,57,0,0.0,2067.9701342830595,False,-0.030735160536468523,0.5,390090,0.0,0.0,12,0,0,24,10,9.04,19,43,46,390.0,120.0,25,20,46,840,5.432139591954183,192.83000135299517
14,46,0,0,0,10.000000000000002,20,10.0,20.841792250881934,25,17.0,37.237726241055526,15,43.0,38.00000000000001,20,38.0,15,0.35900000000000004,41011,16,10,1.0,368.4179225088194,False,0.034042244063716656,0,0.2,39978,2,69,1.0,1458.0836653108533,False,0.021788745517092,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.2,66596,99,21,1.0,2845.3296838994775,False,0.008550529965744432,10,1.362,87254,42,0,0.0,1563.984502124332,False,-0.03018427501694094,10,1.2180000000000002,86806,57,0,0.0,2122.550395740165,False,-0.03204288360502684,0.5,389285,0.0,0.0,11,0,0,21,10,9.6,21,42,43,384.0,145.0,23,23,43,845,5.4953612459939905,198.32536259898916
15,43,0,0,0,10.000000000000002,20,10.0,20.280953287901077,25,17.0,39.686193790295604,70,43.0,38.00000000000001,20,38.0,15,0.49400000000000005,41021,16,10,1.0,362.8095328790108,False,0.03422286619743226,0,0.2,39878,2,79,1.0,1622.1953097441851,False,0.02133832814257621,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,49,0.6900000000000002,66850,114,10,1.0,2708.8906127236787,False,0.011305200118054656,13,1.482,85530,77,0,0.0,3055.8369218527614,False,-0.04095886070187742,7,1.2780000000000002,85222,92,0,0.0,3651.1298287071954,False,-0.041072916692147715,0.5,386141,0.0,0.0,10,0,0,18,14,13.0,22,40,52,360.0,144.0,20,23,52,200,5.997212407004554,204.3225750059937
16,52,0,0,0,10.000000000000002,20,10.0,20.280953287901077,0,,39.686193790295604,0,,38.00000000000001,20,38.0,0,0.47900000000000004,40941,14,20,1.0,545.6190657580215,False,0.03450913760081849,0,0.2,39758,4,89,1.0,1845.0048426231958,False,0.02112257891291442,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66850,104,20,1.0,2902.9430177476243,False,0.01274386152358791,12,1.5890000000000002,85331,77,0,0.0,3055.8369218527614,False,-0.04315107009643104,8,1.3510000000000002,85118,92,0,0.0,3651.1298287071954,False,-0.04221859396367322,0.5,385638,0.0,0.0,10,0,0,18,10,10.0,25,43,48,381.0,180.0,22,30,48,200,8.936952391988598,213.2595273979823
17,48,0,0,0,10.000000000000002,20,10.0,20.541311581685274,9,25.0,39.686193790295604,0,,38.00000000000001,20,38.0,0,0.47900000000000004,41076,13,21,1.0,561.3675432153908,False,0.03809542838946005,0,0.2,39648,5,99,1.0,2083.589846586842,False,0.021355830299290113,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66625,103,30,1.0,3306.3409066224513,False,0.012398363828344661,11,1.6870000000000005,85168,77,0,0.0,3055.8369218527614,False,-0.04494669889699507,9,1.4330000000000003,84993,92,0,0.0,3651.1298287071954,False,-0.04359560991502601,0.5,385150,0.0,0.0,8,0,0,18,11,11.0,22,40,49,363.0,156.0,21,27,49,425,6.781778277014382,220.0413056749967
18,49,0,0,0,10.000000000000002,20,10.0,20.541311581685274,0,,39.686193790295604,0,,38.00000000000001,20,38.0,0,0.47900000000000004,41016,9,31,1.0,726.7806590322435,False,0.03866538641823644,0,0.2,39508,9,109,1.0,2329.0029624036947,False,0.020921747061970655,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66625,93,40,1.0,3497.7897287085543,False,0.013817722848585193,9,1.7660000000000005,85063,77,0,0.0,3055.8369218527614,False,-0.046103392296131404,11,1.5340000000000003,84832,92,0,0.0,3651.1298287071954,False,-0.045369206460368385,0.5,384684,0.0,0.0,10,0,0,21,8,8.0,23,44,43,336.0,141.0,22,27,43,200,6.324264676019084,226.36557035101578
19,43,0,0,0,10.000000000000002,20,10.0,20.541311581685274,0,,39.686193790295604,0,,38.00000000000001,20,38.0,0,0.47900000000000004,40896,11,41,1.0,952.1937748490963,False,0.038482313497440815,0,0.2,39428,7,119,1.0,2514.4160782205477,False,0.02124069477422304,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.6410000000000001,66625,83,50,1.0,3689.2385507946583,False,0.01523708186882551,10,1.8570000000000004,84915,77,0,0.0,3055.8369218527614,False,-0.0477337791825331,10,1.623,84682,92,0,0.0,3651.1298287071954,False,-0.047021625601991725,0.5,384186,0.0,0.0,11,0,0,20,11,11.0,17,37,41,351.0,123.0,22,21,41,200,5.450745475012809,231.81631582602859
