index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,8,0,0,0,10.000000000000002,20,10.0,23.73116636607802,8,16.5,7.103846808449902,9,3.3333333333333335,32.0,11,32.0,0,0.533,50839,16,16,1.0,539.6986618572483,False,0.046776227976008763,4,1.3920000000000001,46214,94,0,0.0,940.0000000000001,False,-0.04385048643113159,1,0.9300000000000002,80485,140,0,0.0,3322.363291250923,False,-0.05111201619912603,8,0.8290000000000002,81201,123,0,0.0,2918.9334630275966,False,-0.04517139998944459,0,0.23600000000000002,115096,49,13,1.0,764.0884936140452,False,0.02149568543279868,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,486796,0.0,0.0,9,0,0,6,5,5.0,10,16,13,71.0,15.0,5,3,13,624,0.7206805759924464,13.364670260983985
11,13,0,0,0,10.000000000000002,20,10.0,23.26455041343814,12,16.583333333333332,7.002571320476337,3,3.6666666666666665,32.0,9,32.0,0,0.533,50709,19,26,1.0,794.8783107493916,False,0.04672686442139677,12,1.5080000000000002,46047,101,0,0.0,1010.0000000000002,False,-0.046554019457245265,3,0.9590000000000003,80312,145,0,0.0,3373.3598099485303,False,-0.05281584011996778,0,0.8210000000000002,81082,130,0,0.0,3024.3915537469584,False,-0.04593690985580077,0,0.23600000000000002,115373,42,14,1.0,742.1079954600061,False,0.0238487544912781,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,486484,0.0,0.0,8,0,0,8,5,5.0,12,20,11,91.0,23.0,8,5,11,488,0.7221662630327046,14.08683652401669
12,11,0,0,0,10.000000000000002,20,10.0,22.65684134269147,13,14.923076923076923,6.940349017215078,5,5.8,32.0,8,32.0,0,0.533,50711,18,29,1.0,837.0483989380526,False,0.04719967638441433,6,1.5560000000000005,45901,112,0,0.0,1120.0000000000002,False,-0.04841781874039939,2,0.9760000000000002,80100,155,0,0.0,3511.810408117178,False,-0.0544650610012753,3,0.8510000000000002,80959,133,0,0.0,3013.359898577966,False,-0.047421423464104794,0,0.23600000000000002,115600,37,16,1.0,768.7929136369578,False,0.025974775819284503,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,486232,0.0,0.0,10,0,0,5,4,4.0,13,18,13,75.0,26.0,7,4,13,548,0.7228071940480731,14.809643718064763
13,13,0,0,0,10.000000000000002,20,10.0,22.559219217077505,3,17.333333333333332,6.34994980522742,41,5.097560975609756,32.0,10,32.0,0,0.533,50621,17,39,1.0,1049.8095494660226,False,0.04753517203754248,3,1.5800000000000003,45775,123,0,0.0,1230.0000000000002,False,-0.04987199180747568,19,1.1640000000000004,79374,158,0,0.0,3564.3566362982456,False,-0.06254775481224521,22,1.068,80026,133,0,0.0,3000.376155871308,False,-0.058273693523978494,0,0.23600000000000002,115711,68,16,1.0,943.7965867554647,False,0.027730683367929814,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,484468,0.0,0.0,9,0,0,8,10,10.0,11,19,14,76.0,39.0,8,5,14,520,0.7455553959589452,15.555199114023708
14,14,0,0,0,10.000000000000002,20,10.0,22.351412363746338,33,21.424242424242426,6.34994980522742,0,,32.0,10,32.0,0,0.533,50997,17,29,1.0,818.1909585486438,False,0.05286421872553654,13,1.7070000000000005,45591,133,0,0.0,1330.0000000000002,False,-0.05261648745519713,0,1.1450000000000002,79226,167,0,0.0,3732.6858647456384,False,-0.06328513090558248,0,1.0460000000000003,79467,157,0,0.0,3509.171741108175,False,-0.061792218288409646,0,0.23600000000000002,116031,58,16,1.0,880.2970887031904,False,0.030280487442074157,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,484273,0.0,0.0,14,0,0,13,3,3.0,10,23,8,103.0,13.0,11,3,8,996,0.7054313279804774,16.260630442004185
15,8,0,0,0,10.000000000000002,20,10.0,23.405114054728283,15,34.8,6.355545273414759,1,7.0,32.0,10,32.0,0,0.533,51371,20,25,1.0,785.1278513682071,False,0.060185641079039474,1,1.7040000000000006,45517,140,0,0.0,1400.0000000000002,False,-0.0534152585765489,1,1.1550000000000002,78677,182,0,0.0,4259.730757960548,False,-0.06658274273162748,0,1.046,79467,157,0,0.0,3674.6029065923403,False,-0.06083675303165993,0,0.23600000000000002,116344,49,16,1.0,823.4217183973232,False,0.03279766877077579,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,484337,0.0,0.0,11,0,0,8,2,2.0,10,18,8,69.0,13.0,7,1,8,1024,0.6842371190432459,16.94486756104743
16,8,0,0,0,10.000000000000002,20,10.0,24.35968254040676,16,33.875,6.036763354224961,9,2.3333333333333335,32.0,9,32.0,0,0.533,51803,21,19,1.0,672.8339682677284,False,0.06788360438574227,0,1.7030000000000003,45427,149,0,0.0,1490.0000000000002,False,-0.05433691756272401,9,1.2440000000000002,78029,192,0,0.0,4677.059047758097,False,-0.07165760446478564,0,1.046,79263,163,0,0.0,3970.6282540863017,False,-0.06148347452330282,0,0.23600000000000002,116611,48,17,1.0,833.7646410027982,False,0.035205243087019715,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,484094,0.0,0.0,13,0,0,6,2,2.0,11,17,8,83.0,6.0,6,2,8,1030,1.1221826249966398,18.06705018604407
17,8,0,0,0,10.000000000000002,20,10.0,24.640729312112992,15,27.6,5.816311203109657,8,3.0,32.0,6,32.0,0,0.533,52015,21,20,1.0,702.8145862422599,False,0.07253266345358171,6,1.7630000000000003,45289,159,0,0.0,1590.0000000000002,False,-0.05613927291346646,4,1.2750000000000001,77691,201,0,0.0,4952.786591734712,False,-0.073969420523416,4,1.086,78939,169,0,0.0,4164.283253747096,False,-0.06410759230142254,0,0.23600000000000002,116779,46,21,1.0,939.5503153430442,False,0.03715921694918551,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,483674,0.0,0.0,10,0,0,6,4,4.0,10,16,12,54.0,9.0,5,3,12,704,0.7025820629787631,18.769632249022834
18,12,0,0,0,10.000000000000002,20,10.0,25.189099761819918,14,31.285714285714285,5.249288972140383,17,1.9411764705882353,32.0,6,32.0,0,0.533,52330,19,19,1.0,668.5928954745784,False,0.07863382381438377,3,1.7870000000000004,45144,171,0,0.0,1710.0000000000002,False,-0.05788018433179724,3,1.3010000000000002,77210,213,0,0.0,5365.278249267642,False,-0.07714316428557118,14,1.2220000000000002,78340,171,0,0.0,4307.336059271206,False,-0.07020055180562075,0,0.23600000000000002,116938,53,25,1.0,1078.2123155234403,False,0.03917898731301502,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,482923,0.0,0.0,12,0,0,7,7,7.0,13,20,11,99.0,12.0,8,4,11,787,0.7582941169966944,19.52792636601953
19,11,0,0,0,10.000000000000002,20,10.0,25.449189991747932,14,28.285714285714285,4.9085537526740275,15,2.533333333333333,32.0,13,32.0,0,0.533,52585,18,18,1.0,638.0854198514628,False,0.08354414152433648,3,1.8140000000000005,45019,182,0,0.0,1820.0000000000002,False,-0.059313876088069636,5,1.3480000000000003,76950,216,0,0.0,5497.025038217554,False,-0.07938556191901709,10,1.3080000000000003,77704,182,0,0.0,4631.7525784981235,False,-0.07567342078468467,0,0.23600000000000002,117316,58,22,1.0,988.6961176550935,False,0.04212677852617951,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,482535,0.0,0.0,12,0,0,6,4,4.0,13,19,12,92.0,9.0,8,3,12,961,0.7416347620310262,20.269561128050555
