index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,6,0,0,0,10.000000000000002,20,10.0,13.150400586707212,1,1.0,21.270291207133315,78,20.000000000000004,29.0,20,29.0,0,0.2,15075,4,42,1.0,592.3168246417029,False,0.019239998164634457,1,0.5700000000000001,13154,128,0,0.0,1280.0000000000002,False,-0.08533916849015317,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,78,2.2040000000000006,16445,65,0,0.0,854.7760381359687,False,-0.2095390949136573,10,0.6780000000000002,28415,57,10,1.0,1502.406598806599,False,-0.025486875625537114,9,0.8480000000000003,26262,132,0,0.0,2807.678439341598,False,-0.07561765445986177,0.3333333333333333,121464,0.0,0.0,12,0,0,6,15,14.5,18,24,8,86.0,0.0,6,0,8,200,0.5567404590547085,14.532116352580488
11,8,0,0,0,10.000000000000002,20,10.0,13.150400586707212,0,,21.068052497238074,13,18.384615384615383,29.000000000000004,20,29.0,0,0.2,15005,1,52,1.0,693.820830508775,False,0.017963690422013644,0,0.5690000000000001,13024,141,0,0.0,1410.0000000000002,False,-0.08964922750480737,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,13,2.2560000000000007,16298,65,0,0.0,854.7760381359687,False,-0.2164259536627789,5,0.7180000000000002,28665,47,10,1.0,1280.1984673701895,False,-0.02084602780964636,5,0.889,25984,145,0,0.0,3054.867612099521,False,-0.08077671134853281,0.3333333333333333,121089,0.0,0.0,17,0,0,5,7,7.0,23,28,8,119.0,3.0,7,1,8,490,0.5627518529072404,15.094868205487728
12,8,0,0,0,10.000000000000002,20,10.0,14.798667047201263,16,22.0,20.647306510675143,22,17.454545454545453,29.00000000000001,20,29.0,0,0.2,15227,4,46,1.0,720.7386841712581,False,0.033576642270779715,0,0.5690000000000001,12954,148,0,0.0,1480.0000000000002,False,-0.0919700285126981,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,22,2.4630000000000005,15562,81,0,0.0,1198.6920308233023,False,-0.24285097140259307,2,0.7330000000000001,28846,45,10,1.0,1219.1287929803816,False,-0.015818624194253394,8,0.9640000000000002,25613,159,0,0.0,3282.921735197348,False,-0.08936279636477415,0.3333333333333333,120315,0.0,0.0,18,0,0,5,11,11.0,25,30,9,121.0,0.0,8,0,9,842,0.5914271920919418,15.68629539757967
13,9,0,0,0,10.000000000000002,20,10.0,15.549552470227487,9,22.0,20.374017683482183,28,18.714285714285715,29.000000000000007,20,29.0,0,0.2,15335,3,47,1.0,760.8289661006919,False,0.04206713633382047,0,0.5690000000000001,12844,159,0,0.0,1590.0000000000002,False,-0.0956170015250978,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,28,2.7210000000000005,14847,90,0,0.0,1399.459722320474,False,-0.2716453567036666,1,0.7410000000000001,29034,43,10,1.0,1166.082760389734,False,-0.01042328911106729,9,1.0460000000000003,25092,179,0,0.0,3646.9491653433106,False,-0.10068914488717787,0.3333333333333333,119265,0.0,0.0,15,0,0,6,9,9.0,26,32,9,127.0,0.0,9,0,9,688,0.6772524463012815,16.36354784388095
14,9,0,0,0,10.000000000000002,20,10.0,16.399258133545484,10,23.0,19.589612231236895,37,15.81081081081081,29.00000000000001,20,29.0,0,0.2,15485,1,47,1.0,780.7651322766377,False,0.05267439600413222,0,0.5690000000000001,12724,171,0,0.0,1710.0000000000002,False,-0.09959551753862476,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,37,3.063000000000001,13622,100,0,0.0,1639.9258133545484,False,-0.3234030027323835,0,0.7400000000000002,29216,42,10,1.0,1112.7637137119495,False,-0.005232989513315635,10,1.1370000000000002,24505,207,0,0.0,4055.0497318660373,False,-0.11348441759053035,0.3333333333333333,117665,0.0,0.0,14,0,0,5,11,11.0,22,27,7,102.0,4.0,8,1,7,720,0.6924220351502299,17.05596987903118
15,7,0,0,0,10.000000000000002,20,10.0,18.811999070521846,50,22.62,19.078083612356924,14,12.0,29.00000000000001,20,29.0,3,0.23,16442,3,10,1.0,218.11999070521847,False,0.09747762053926204,0,0.5690000000000002,12644,179,0,0.0,1790.0000000000002,False,-0.10224786154764273,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,14,3.166000000000001,12245,150,0,0.0,2821.799860578277,False,-0.3602295652242146,0,0.7400000000000002,29280,46,12,1.0,1225.5918461684187,False,-0.001209665438731338,12,1.247,24349,207,0,0.0,3949.163307757883,False,-0.12046571372652141,0.3333333333333333,117073,0.0,0.0,19,0,0,5,9,8.25,23,28,6,108.0,0.0,7,0,6,1287,0.5937457168474793,17.64971559587866
16,6,0,0,0,10.000000000000002,20,10.0,19.064968888322667,10,22.0,18.7392234989153,14,14.214285714285714,29.000000000000007,20,29.0,0,0.227,16552,4,10,1.0,230.64968888322667,False,0.10518697993777688,0,0.5690000000000002,12554,188,0,0.0,1880.0000000000002,False,-0.10523174855778794,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,14,3.292000000000001,11782,160,0,0.0,3050.395022131627,False,-0.37656605710630997,0,0.7400000000000002,29484,46,11,1.0,1181.004280950104,False,0.004861577081594822,9,1.3250000000000004,24166,211,0,0.0,3953.9761582711285,False,-0.12649978017522923,0.3333333333333333,116651,0.0,0.0,20,0,0,2,9,9.0,24,26,5,57.0,3.0,5,1,5,739,0.5502660050988197,18.19998160097748
17,5,0,0,0,10.000000000000002,20,10.0,19.387447437797906,14,22.0,18.50919598625847,11,14.727272727272727,29.000000000000007,20,29.0,4,0.267,16708,2,10,1.0,213.87447437797906,False,0.11497495107678478,0,0.5690000000000001,12434,200,0,0.0,2000.0000000000005,False,-0.1092102645713149,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,11,3.388000000000001,11314,174,0,0.0,3373.4158541768356,False,-0.3909249038609315,1,0.7500000000000002,29737,41,10,1.0,1048.8770354365972,False,0.011107571843974052,8,1.3960000000000001,23981,217,0,0.0,4016.495529018088,False,-0.13163661450402472,0.3333333333333333,116287,0.0,0.0,15,0,0,3,9,8.5,24,27,5,72.0,0.0,5,0,5,710,0.45243527460843325,18.652416875585914
18,5,0,0,0,10.000000000000002,20,10.0,19.387447437797906,0,,18.323528363590267,28,17.178571428571427,29.000000000000004,9,29.0,0,0.263,16578,5,20,1.0,437.7489487559581,False,0.11377723455858225,0,0.5690000000000001,12364,207,0,0.0,2070.0000000000005,False,-0.11153106557920563,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,28,3.657000000000001,10733,174,0,0.0,3373.4158541768356,False,-0.41814439320269775,0,0.7490000000000001,29682,36,20,1.0,1239.6470210892498,False,0.012456931756644913,9,1.4780000000000004,23462,240,0,0.0,4397.646807261664,False,-0.14261006369638707,0.3333333333333333,114932,0.0,0.0,11,0,0,2,9,9.0,23,25,6,67.0,0.0,5,0,6,200,0.45623946841806173,19.108656344003975
19,6,0,0,0,10.000000000000002,20,10.0,19.387447437797906,0,,17.99705327844851,13,13.461538461538462,29.000000000000004,8,29.0,0,0.263,16478,5,30,1.0,631.6234231339372,False,0.1135741470437617,0,0.5690000000000001,12264,217,0,0.0,2170.0000000000005,False,-0.11484649559047809,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,13,3.759000000000001,10507,174,0,0.0,3373.4158541768356,False,-0.4287323529122316,0,0.7490000000000001,29567,36,30,1.0,1517.8939180241464,False,0.013262954292227324,8,1.5490000000000004,23322,243,0,0.0,4373.2839466629885,False,-0.14769481194388406,0.3333333333333333,114251,0.0,0.0,12,0,0,3,7,7.0,25,28,6,70.0,3.0,5,1,6,200,0.5831810822710395,19.691837426275015
