index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
880,3e5a10d6-744c-4c31-87ac-e2c652167fe8,05Ran@2,BUYER,RandomAgent,_SystemAgent,40,2,29,23,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
881,987cc970-f896-4f6d-af3e-ceb79dc031dc,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,40,2,10,23,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,40,,-1,-1
882,124d2197-7351-4450-969f-44e2e871f105,SELLER,01Ran@0,_SystemAgent,RandomAgent,40,2,10,23,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,40,,-1,-1
883,127915c0-9a43-4bf8-9900-32411ea82563,SELLER,01Ran@0,_SystemAgent,RandomAgent,40,1,10,23,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,40,,-1,-1
884,f3f44a87-df09-4310-abd2-9dc06112cf2e,05Ran@2,BUYER,RandomAgent,_SystemAgent,40,1,29,23,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
885,37a8b619-cf41-4595-939b-6bafafc12dce,03Buy@1,05Ran@2,BuyCheapSellExpensiveAgent,RandomAgent,26,2,18,23,-1,23,05Ran@2|03Buy@1,"[quantity: (1, 4), time: (23, 27), unit_price: (1, 22)]",03Buy@1,05Ran@2,p2,05Ran@2,True,2,15,-1,03Buy@1:product(1.0),-1,-1
886,719d717d-a0df-4be5-86ed-53d65651ce26,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,40,2,10,23,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,40,,-1,-1
887,16bcc14f-45bc-4036-8827-5dda2929ac09,00Ind@0,03Buy@1,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,29,2,23,23,-1,23,00Ind@0|03Buy@1,"[quantity: (1, 2), time: (28, 33), unit_price: (15, 30)]",00Ind@0,03Buy@1,p1,00Ind@0,False,1,17,29,,-1,-1
888,ae19f8c6-713b-4995-beac-26cd4b35b1a4,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,40,1,10,23,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,40,,-1,-1
889,bc9bde90-772d-452c-ac59-e4f5c80c1a68,05Ran@2,BUYER,RandomAgent,_SystemAgent,40,2,29,23,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
890,22178bce-f9f9-4fdf-bf33-a6073a0a5723,SELLER,01Ran@0,_SystemAgent,RandomAgent,41,1,10,24,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,41,,-1,-1
