index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,18,0,0,0,10.000000000000002,20,10.0,24.388991855443038,37,27.81081081081081,11.106384160625543,33,9.848484848484848,38.0,9,38.0,0,0.2,46952,6,32,1.0,840.4477393741772,False,0.03419254834927939,17,0.37000000000000005,46771,2,10,1.0,263.8899185544304,False,0.023947626059407378,17,2.6560000000000006,60341.0,163,0,0.0,3975.4056724372153,False,-0.1594014290848221,16,2.2500000000000004,63664.0,24,0,0.0,585.3358045306329,False,-0.13744581239864434,0,0.2,98430,0,19,0.0,722.0,False,0.0016729868391701986,9,0.9200000000000002,92711,478,0,0.0,5308.85162877901,False,-0.033059986064633076,0.3333333333333333,408869,0.0,0.0,8,0,0,13,10,9.411764705882353,13,26,22,201.0,31.0,14,4,22,490,2.0707843862473965,49.22294060047716
11,22,0,0,0,10.000000000000002,20,10.0,25.488302725411636,27,31.555555555555557,11.203069163749827,51,11.764705882352942,37.99999999999999,8,38.0,0,0.2,47370,7,26,1.0,732.6958708607025,False,0.04214181407305482,1,0.36300000000000004,46982,1,10,1.0,264.88302725411637,False,0.028564849880519185,35,2.9890000000000003,58812.0,172,0,0.0,4383.988068770801,False,-0.17726716790223063,16,2.3940000000000006,62491.0,42,0,0.0,1070.5087144672887,False,-0.1499938722927976,0,0.2,98430,0,19,0.0,721.9999999999999,False,0.0016729868391701986,8,0.9910000000000003,92025,529,0,0.0,5926.423587623659,False,-0.036884677531159815,0.3333333333333333,406110,0.0,0.0,8,0,0,14,8,7.5,15,29,19,269.0,27.0,18,4,19,980,1.8607257716357708,51.08366637211293
12,19,0,0,0,10.000000000000002,20,10.0,26.166879298231443,15,33.333333333333336,10.709790654895992,27,5.0,37.99999999999999,8,38.0,0,0.2,47770,7,21,1.0,619.5044652628603,False,0.04963874236194884,0,0.36200000000000004,46882,1,20,1.0,533.3375859646288,False,0.029312072501032977,0,2.9540000000000006,58672.0,177,0,0.0,4631.537635786965,False,-0.17748598994047737,27,2.6480000000000006,60989.0,52,0,0.0,1360.6777235080351,False,-0.16829396798627044,0,0.2,98430,0,19,0.0,721.9999999999999,False,0.0016729868391701986,8,1.0630000000000004,91794,556,0,0.0,5954.643604122171,False,-0.03908379329932188,0.3333333333333333,404537,0.0,0.0,8,0,0,12,6,6.0,15,27,17,232.0,12.0,15,4,17,700,1.7562045138329268,52.83987088594586
13,17,0,0,0,10.000000000000002,20,10.0,26.497816895618495,69,27.246376811594203,9.628636379574258,69,4.840579710144928,38.0,8,38.0,36,0.56,48227,10,10,1.0,364.97816895618496,False,0.05683729390206718,0,0.36200000000000004,46944,0,16,0.8,423.9650703298959,False,0.029471740277800917,10,3.054000000000001,57324.0,227,0,0.0,6015.004435305398,False,-0.1863367559792213,59,3.2110000000000003,56242.0,71,0,0.0,1881.3449995889132,False,-0.2288035752846408,0,0.2,98430,0,19,0.0,722.0,False,0.0016729868391701986,8,1.1350000000000002,91362,625,0,0.0,6017.897737233911,False,-0.043143300259394585,0.3,398529,0.0,0.0,8,0,0,11,15,14.722222222222221,15,26,19,205.0,9.0,14,3,19,940,1.6775302598252892,54.517401145771146
14,19,0,0,0,10.000000000000002,20,10.0,26.504906967447578,13,26.615384615384617,9.577747882576904,2,1.0,38.0,12,38.0,0,0.524,48117,11,20,1.0,640.0981393489516,False,0.05743896148265456,0,0.36200000000000004,47200,0,12,0.9,318.0588836093709,False,0.0339044981400839,0,3.044000000000001,57072.0,236,0,0.0,6255.158044317628,False,-0.18811594348925378,2,3.1720000000000006,56080.0,75,0,0.0,1987.8680225585683,False,-0.2302700813065857,0,0.2,98430,0,19,0.0,722.0,False,0.0016729868391701986,12,1.2470000000000003,91172,627,0,0.0,6005.247922375719,False,-0.045133900176547205,0.31666666666666665,398071,0.0,0.0,9,0,0,10,5,5.0,16,26,19,217.0,12.0,15,4,19,546,1.6870409436523914,56.20444208942354
15,19,0,0,0,10.000000000000002,20,10.0,24.30201361456881,41,13.878048780487806,9.751252553069408,36,11.222222222222221,38.00000000000001,8,38.0,0,0.524,48072,13,27,1.0,786.1543675933578,False,0.05805084887998695,26,0.6220000000000001,47016,0,8,0.8,194.41610891655048,False,0.028537921985291852,18,3.2240000000000006,56124.0,274,0,0.0,6658.751730391854,False,-0.19817964253660342,18,3.350000000000001,55337.0,78,0,0.0,1895.5570619363673,False,-0.24091305859944726,0,0.2,98430,0,19,0.0,722.0000000000001,False,0.0016729868391701986,8,1.3150000000000002,90672,663,0,0.0,6465.080442685017,False,-0.04787236406888132,0.3,395651,0.0,0.0,9,0,0,11,9,8.866666666666667,17,28,16,233.0,18.0,16,3,16,499,1.7319455267861485,57.936387616209686
16,16,0,0,0,10.000000000000002,20,10.0,23.887168383094707,20,19.5,9.866740319486146,26,11.23076923076923,38.000000000000014,13,38.0,0,0.524,47942,16,37,1.0,1043.8252301745042,False,0.058025424946235304,12,0.7160000000000002,47040,0,7,0.7,167.21017868166294,False,0.028764901745204383,18,3.386000000000001,55246.0,294,0,0.0,7022.827504629844,False,-0.20756576371156435,8,3.4120000000000013,55097.0,78,0,0.0,1863.199133881387,False,-0.24436802655579798,0,0.2,98430,0,19,0.0,722.0000000000002,False,0.0016729868391701986,13,1.4370000000000003,90175,689,0,0.0,6798.184080125955,False,-0.051222881998022995,0.2833333333333333,393930,0.0,0.0,6,0,0,11,9,8.2,15,26,17,192.0,34.0,13,3,17,200,1.668982638977468,59.605370255187154
17,17,0,0,0,10.000000000000002,20,10.0,24.538741177609584,32,28.78125,9.466454690932713,15,1.4666666666666666,38.00000000000001,10,38.0,0,0.524,48143,12,38,1.0,1052.4721647491642,False,0.06250788286195223,16,0.8640000000000001,47129,4,10,1.0,285.38741177609586,False,0.0319978541214699,0,3.3680000000000008,54325.0,326,0,0.0,7999.629623900724,False,-0.21340002681191184,15,3.5540000000000007,54517.0,78,0,0.0,1914.0218118535474,False,-0.25184750895605046,0,0.2,98430,0,19,0.0,722.0000000000001,False,0.0016729868391701986,10,1.5240000000000002,90017,704,0,0.0,6664.3841024166295,False,-0.05350321364337684,0.3333333333333333,392561,0.0,0.0,8,0,0,16,7,7.0,12,28,11,238.0,3.0,16,1,11,657,1.5425469633191824,61.147917218506336
18,11,0,0,0,10.000000000000002,20,10.0,24.01851275221913,29,20.137931034482758,9.608720988858167,11,13.272727272727273,38.0,11,38.0,0,0.524,48383,14,27,1.0,788.4998443099165,False,0.06486595472547174,0,0.8480000000000003,47273,2,12,1.0,308.2221530266296,False,0.03539080200221178,9,3.458,53552.0,355,0,0.0,8526.572027037791,False,-0.22027180755355644,2,3.559,54467.0,78,0,0.0,1873.4439946730922,False,-0.25279546316371926,0,0.2,98430,0,19,0.0,722.0,False,0.0016729868391701986,11,1.6240000000000003,89714,715,0,0.0,6870.235507033589,False,-0.05553182980637159,0.3333333333333333,391819,0.0,0.0,10,0,0,10,5,5.0,11,21,14,150.0,14.0,10,1,14,784,1.247699716128409,62.395616934634745
19,14,0,0,0,10.000000000000002,20,10.0,22.807379610030033,55,17.945454545454545,9.879674443932737,23,13.0,38.0,7,38.0,2,0.544,48944,16,10,1.0,388.07379610030034,False,0.07274236776950949,14,0.9880000000000002,47131,0,10,1.0,228.07379610030034,False,0.0314159039874722,23,3.6790000000000007,52599.0,381,0,0.0,8689.611631421443,False,-0.23202506047754864,0,3.557,53740.0,107,0,0.0,2440.3896182732137,False,-0.2587771105203565,0,0.2,98430,0,19,0.0,722.0,False,0.0016729868391701986,7,1.6830000000000003,89342,738,0,0.0,7291.1997396223605,False,-0.05716951037443291,0.3333333333333333,390186,0.0,0.0,8,0,0,12,6,4.6923076923076925,13,25,14,226.0,0.0,14,0,14,680,1.2856556419283152,63.68127257656306
