index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,21.0,0,,31.0,0,,0,0.2,25212,2,10,1.0,160.0,False,-0.0015790304752881731,0,0.2,25252,0,8,0.8,112.0,False,-0.0009474182851729038,0,0.2,38420.0,0,0,0.0,0.0,False,0.0,0,0.2,38420,0,0,0.0,0.0,False,0.0,0,0.2,52882,0,0,0.0,0.0,False,0.0,0,0.2,52882,0,0,0.0,0.0,False,0.0,0.3,233068,0.0,0.0,11,0,0,117,0,0.0,358,475,102,0.0,0.0,0,0,102,200,2.623848524992354,2.623848524992354
1,102,0,0,0,10.0,20,10.0,14.0,0,,20.782608695652176,1,11.0,31.0,0,,0,0.2,25112,2,20,1.0,300.0,False,-0.002763303331754303,0,0.2,25152,0,18,1.0,252.0,False,-0.0021316911416390336,1,0.21000000000000002,38406.0,0,0,0.0,0.0,False,-0.0003643935450286309,0,0.2,38420,0,0,0.0,0.0,False,0.0,0,0.2,52871,0,1,0.1,31.0,False,8.509511743126206e-05,0,0.2,52882,0,0,0.0,0.0,False,0.0,0.35000000000000003,232843,0.0,0.0,10,0,0,35,1,1.0,41,76,59,1062.0,324.0,59,43,59,200,3.524675032007508,6.148523556999862
2,59,0,0,0,10.0,20,10.0,14.0,0,,20.121621621621625,3,11.0,31.0,0,,0,0.2,25012,2,30,1.0,440.0,False,-0.003947576188220433,0,0.2,25052,0,28,1.0,392.0,False,-0.0033159639981051635,3,0.23900000000000002,38362.0,0,0,0.0,0.0,False,-0.0015096304008328995,0,0.2,38420,0,0,0.0,0.0,False,0.0,0,0.2,52871,0,1,0.0,31.0,False,8.509511743126206e-05,0,0.2,52849,0,3,0.3,93.0,False,0.00025528535229378616,0.3833333333333333,232566,0.0,0.0,11,0,0,18,2,2.0,18,36,37,210.0,220.0,15,44,37,200,1.9407247309572995,8.089248287957162
3,37,0,0,0,10.0,20,10.0,12.727272727272727,10,7.0,17.412608405603734,20,12.0,31.0,10,31.0,0,0.2,24957,1,35,1.0,455.45454545454544,False,-0.005813703113561027,0,0.2,24977,1,33,1.0,430.0,False,-0.005526606663508606,20,0.43600000000000005,37998.0,0,0,0.0,0.0,False,-0.010983862571577303,0,0.2,38350,0,10,1.0,174.12608405603734,False,0.0004441187409688001,0,0.2,52871,0,1,0.0,31.0,False,8.509511743126206e-05,7,0.27,52637,10,10,1.0,484.12608405603737,False,-5.553795189249082e-05,0.6666666666666666,231790,0.0,0.0,14,0,0,14,5,4.666666666666666,20,34,32,258.0,166.0,16,21,32,332,1.5913333700154908,9.680581657972652
4,32,0,0,0,10.0,20,10.0,12.727272727272727,0,,15.888942884912241,16,10.75,31.0,12,31.0,0,0.2,24847,2,45,1.0,592.7272727272727,False,-0.007446564173234011,0,0.2,24887,0,43,1.0,547.2727272727273,False,-0.006764710104359546,16,0.5760000000000001,37704.0,0,0,0.0,0.0,False,-0.018636127017178553,0,0.2,38350,0,10,0.0,158.88942884912242,False,0.00024582806935356984,0,0.2,52871,0,1,0.0,31.0,False,8.509511743126206e-05,2,0.28300000000000003,52761,16,10,1.0,564.2230861585958,False,0.0030466234839699657,0.5,231420,0.0,0.0,13,0,0,20,4,3.3333333333333335,13,33,18,222.0,98.0,14,18,18,448,1.4721405259915628,11.152722183964215
5,18,0,0,0,10.0,20,10.0,14.992366412213741,16,22.0,16.359213314248482,15,18.333333333333332,31.0,7,31.0,0,0.2,25099,2,39,1.0,604.7022900763359,False,0.00273768928778488,0,0.2,24787,0,53,1.0,794.5954198473282,False,-0.005830660432509742,10,0.6600000000000001,37222.0,16,0,0.0,239.87786259541986,False,-0.028059892470127346,0,0.2,38505,0,5,0.0,81.7960665712424,False,0.003276887904362901,0,0.2,52871,0,1,0.0,31.0,False,8.509511743126206e-05,0,0.281,52703,21,13,1.0,746.5434795992181,False,0.0036736836692940764,0.5,231187,0.0,0.0,16,0,0,14,1,1.0,13,27,14,63.0,64.0,6,12,14,924,1.1788220799644478,12.331544263928663
6,14,0,0,0,10.0,20,10.0,18.467721248396753,58,22.0,17.33304749554481,5,31.0,30.999999999999996,10,31.0,0,0.2,25309,4,34,1.0,667.9025224454896,False,0.012275037945000178,0,0.2,25653,0,18,0.8,332.41898247114153,False,0.019232965862765336,0,0.6500000000000001,36914.0,30,0,0.0,554.0316374519026,False,-0.03198813589989716,0,0.2,37692,34,10,1.0,801.2329974009376,False,-0.008521173901601594,0,0.2,52871,0,1,0.0,30.999999999999996,False,8.509511743126206e-05,0,0.281,52858,16,13,1.0,680.3287599287169,False,0.005978676675699805,0.6333333333333333,231297,0.0,0.0,21,0,0,11,0,0.0,14,25,23,114.0,18.0,8,6,23,1941,1.1152022040332668,13.44674646796193
7,23,0,0,0,10.0,20,10.0,18.658849943869278,15,20.0,18.853998144860107,13,26.76923076923077,31.000000000000004,11,31.0,0,0.2,25509,4,29,1.0,581.1066483722091,False,0.018457023692803762,0,0.2,25553,0,28,1.0,522.4477984283398,False,0.019036155819286606,3,0.6800000000000002,36870.0,30,0,0.0,559.7654983160784,False,-0.033058751974022964,0,0.2,37707,39,10,1.0,916.2351292595029,False,-0.006634108156435481,0,0.2,52871,0,1,0.0,31.000000000000004,False,8.509511743126206e-05,0,0.281,52851,19,12,1.0,730.2259647523421,False,0.0063180852156910295,0.6666666666666666,231361,0.0,0.0,15,0,0,12,2,2.0,21,33,25,168.0,81.0,11,12,25,1156,1.4347316259518266,14.881478093913756
8,25,0,0,0,10.0,20,10.0,19.600856462833,55,21.454545454545453,17.999880158901913,8,10.25,31.00000000000001,6,31.0,0,0.2,25670,8,24,1.0,550.420555107992,False,0.02420694290044201,12,0.32000000000000006,26168,0,6,0.6,117.605138776998,False,0.03532301316076501,8,0.7570000000000001,35867.0,71,0,0.0,1391.660808861143,False,-0.04833861518920954,0,0.2,37400,43,20,1.0,1202.8344310798573,False,-0.010894918908382917,0,0.2,52871,0,1,0.0,31.00000000000001,False,8.509511743126206e-05,0,0.281,52955,17,16,1.0,801.9979627013327,False,0.008963333106740839,0.6,230931,0.0,0.0,18,0,0,16,3,2.9230769230769234,14,30,17,192.0,47.0,14,11,17,1280,1.3781048249802552,16.25958291889401
9,17,0,0,0,10.000000000000002,20,10.0,19.64005867167403,16,20.0,21.11365380653914,19,33.0,31.000000000000007,8,31.0,0,0.2,25580,7,34,1.0,737.761994836917,False,0.024351847363747778,10,0.40800000000000003,26208,1,10,1.0,206.4005867167403,False,0.0386546776155997,0,0.7490000000000001,35547.0,87,0,0.0,1708.6851044356406,False,-0.052541838828271153,0,0.2,38027,33,11,1.0,880.3721280371735,False,0.0012281640816914146,0,0.2,52871,0,1,0.0,31.000000000000007,False,8.509511743126206e-05,0,0.281,52576,26,18,1.0,1106.9549989700176,False,0.004679805973393756,0.6666666666666666,230809,0.0,0.0,15,0,0,12,1,0.625,20,32,18,150.0,51.0,10,7,18,1075,1.271114591974765,17.530697510868777
