index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,20,0,0,0,10.000000000000002,20,10.0,6.999058585534847,5,2.4,21.196238433322957,13,24.615384615384617,45.00000000000001,10,45.0,3,0.7970000000000002,13694,115,0,0.0,1150.0000000000002,False,-0.13210875250897147,2,0.508,14668,105,0,0.0,1050.0000000000002,False,-0.07590779149686759,0,0.23600000000000002,23256,0,27,0.5,572.2984376997199,False,0.05409461891510073,9,1.6040000000000003,17480,49,0,0.0,342.9538706912075,False,-0.20965895337397675,0,0.2,34021,0,10,0.0,450.00000000000006,False,0.0024882175580340153,0,0.23600000000000002,34132,83,14,1.0,2389.2877899658056,False,0.03412206595190136,0.25,137251,0.0,0.0,19,0,0,13,4,4.0,21,34,17,159.0,37.0,13,7,17,826,1.2726009089965373,12.081699282978661
11,17,0,0,0,10.000000000000002,20,10.0,6.6301726235770415,7,2.857142857142857,20.766904952066277,12,16.5,45.00000000000001,10,45.0,7,0.8640000000000001,13432,125,0,0.0,1250.0000000000002,False,-0.14500334529529835,0,0.506,14568,115,0,0.0,1150.0000000000002,False,-0.0789489690408126,0,0.23600000000000002,23280,0,33,0.7,685.3078634181871,False,0.05769919995115491,11,1.7050000000000003,17249,49,0,0.0,324.878458555275,False,-0.22040658953713443,0,0.2,34021,0,10,0.0,450.00000000000006,False,0.0024882175580340153,0,0.23600000000000002,34384,85,14,1.0,2395.186920925634,False,0.041585242248845765,0.2833333333333333,136934,0.0,0.0,16,0,0,14,4,4.0,19,33,18,145.0,51.0,10,7,18,694,0.883035060018301,12.964734342996962
12,18,0,0,0,10.000000000000002,20,10.0,6.633026042977766,6,6.666666666666667,21.234564032529473,16,24.6875,45.00000000000001,9,45.0,0,0.8570000000000002,13302,138,0,0.0,1380.0000000000002,False,-0.14895687610242686,6,0.5660000000000001,14389,122,0,0.0,1220.0000000000002,False,-0.08770756036737425,0,0.23600000000000002,23459,0,34,0.6,721.9751771060021,False,0.06653477158381847,11,1.8040000000000007,17040,49,0,0.0,325.01827610591056,False,-0.22976138900094226,0,0.2,34021,0,10,0.0,450.00000000000006,False,0.0024882175580340153,0,0.23600000000000002,34394,91,15,1.0,2607.3453269601823,False,0.0449832459084949,0.26666666666666666,136605,0.0,0.0,18,0,0,6,3,3.0,24,30,18,110.0,63.0,7,11,18,824,0.6566071640118025,13.621341507008765
13,18,0,0,0,10.000000000000002,20,10.0,5.937180408710879,15,2.7333333333333334,21.700087655887224,14,25.714285714285715,45.00000000000001,9,45.0,10,0.9570000000000001,12962,147,0,0.0,1470.0000000000002,False,-0.16689982361170244,5,0.6100000000000001,14173,133,0,0.0,1330.0000000000002,False,-0.0975001520588772,0,0.23600000000000002,23634,5,39,1.0,875.9893206231561,False,0.07781833349653347,9,1.8830000000000007,16869,49,0,0.0,290.9218400268331,False,-0.23818120712754462,0,0.2,34021,0,10,0.0,450.00000000000006,False,0.0024882175580340153,0,0.23600000000000002,34439,95,16,1.0,2781.5083273092864,False,0.0488496871770336,0.3333333333333333,136098,0.0,0.0,18,0,0,11,7,7.0,22,33,15,129.0,78.0,9,9,15,821,0.8828825550153852,14.50422406202415
14,15,0,0,0,10.000000000000002,20,10.0,5.41916539881402,10,1.5,20.802441920969894,16,14.0,45.0,11,45.0,5,0.9970000000000001,12772,155,0,0.0,1550.0000000000002,False,-0.1760233562435375,5,0.655,13938,145,0,0.0,1450.0000000000002,False,-0.10814427346268475,0,0.23600000000000002,23619,5,49,1.0,1046.415481121595,False,0.0809621089173814,16,2.0340000000000007,16443,49,0,0.0,265.53910454188696,False,-0.2578235178530069,0,0.2,34021,0,10,0.0,450.0,False,0.0024882175580340153,0,0.23600000000000002,34710,101,15,1.0,2776.046634017959,False,0.05670276973768267,0.3333333333333333,135503,0.0,0.0,15,0,0,9,4,4.0,25,34,18,151.0,28.0,11,4,18,695,0.7744617680436932,15.278685830067843
15,18,0,0,0,10.000000000000002,20,10.0,4.9816937293100025,15,2.7333333333333334,20.35556631302774,9,14.222222222222221,45.0,11,45.0,5,1.0420000000000003,12530,168,0,0.0,1680.0000000000002,False,-0.18678912474910286,10,0.7500000000000002,13623,152,0,0.0,1520.0000000000002,False,-0.12517486770877684,0,0.23600000000000002,23593,10,58,1.0,1230.4397834487088,False,0.08391778865068304,8,2.0980000000000008,16266,49,0,0.0,244.10299273619012,False,-0.26622855304163634,0,0.2,34021,0,10,0.0,450.0,False,0.0024882175580340153,0,0.23600000000000002,35077,100,14,1.0,2665.556631302774,False,0.06582881987211706,0.3333333333333333,135110,0.0,0.0,17,0,0,15,8,8.0,19,34,20,147.0,51.0,11,7,20,710,0.9441380200441927,16.222823850112036
16,20,0,0,0,10.000000000000002,20,10.0,4.857536710111242,12,4.0,21.122793905045814,4,44.0,44.99999999999999,10,45.0,11,1.1470000000000002,12148,181,0,0.0,1810.0000000000002,False,-0.20607019037771426,1,0.7500000000000002,13530,159,0,0.0,1590.0000000000002,False,-0.12870263365975307,0,0.23600000000000002,23721,12,64,1.0,1410.149250444267,False,0.09367218703421386,0,2.0900000000000003,16266,49,0,0.0,238.01929879545088,False,-0.2663647510791741,0,0.2,34021,0,10,0.0,449.99999999999994,False,0.0024882175580340153,0,0.23600000000000002,35351,94,14,1.0,2615.5426270743064,False,0.07311762868584504,0.3333333333333333,135037,0.0,0.0,17,0,0,13,4,4.0,17,30,15,163.0,53.0,13,7,15,826,1.0126956909662113,17.235519541078247
17,15,0,0,0,10.000000000000002,20,10.0,4.726616276167904,3,1.0,21.884105206118342,4,43.0,45.0,14,45.0,3,1.1660000000000001,11989,190,0,0.0,1900.0000000000002,False,-0.2130040751779089,0,0.7490000000000001,13420,170,0,0.0,1700.0000000000002,False,-0.1320479289580926,0,0.23600000000000002,23890,5,70,1.0,1555.5204458091234,False,0.10449360718655692,0,2.0900000000000003,16266,49,0,0.0,231.6041975322273,False,-0.26650836846216025,0,0.2,34021,0,10,0.0,450.0,False,0.0024882175580340153,0,0.23600000000000002,35809,88,10,1.0,2375.801258138414,False,0.083015738095173,0.3333333333333333,135395,0.0,0.0,20,0,0,10,1,1.0,19,29,17,102.0,65.0,8,7,17,1002,0.6243908949545585,17.859910436032806
18,17,0,0,0,10.000000000000002,20,10.0,4.563871821664707,7,2.7142857142857144,22.70740225491607,4,44.0,45.00000000000001,7,45.0,0,1.1630000000000003,11899,199,0,0.0,1990.0000000000005,False,-0.2157411349674594,7,0.8190000000000002,13149,181,0,0.0,1810.0000000000002,False,-0.14518581594793503,0,0.23600000000000002,24047,2,76,1.0,1734.8903150169508,False,0.11553887156391487,0,2.0900000000000007,16266,49,0,0.0,223.62971926157064,False,-0.2666868962285849,0,0.2,34021,0,10,0.0,450.00000000000006,False,0.0024882175580340153,0,0.23600000000000002,35948,82,13,1.0,2447.006984903118,False,0.08812691351106691,0.3333333333333333,135330,0.0,0.0,13,0,0,10,2,2.0,19,29,15,150.0,60.0,10,7,15,691,0.875655633979477,18.735566070012283
19,15,0,0,0,10.000000000000002,20,10.0,4.534640221957717,8,4.25,23.86499147730316,7,39.857142857142854,45.00000000000001,0,,8,1.243,11600,211,0,0.0,2110.0000000000005,False,-0.23027796362751657,0,0.812,13069,189,0,0.0,1890.0000000000002,False,-0.14761875798309104,0,0.23600000000000002,24277,0,80,1.0,1909.199318184253,False,0.12973939549978183,1,2.1000000000000005,16246,49,0,0.0,222.19737087592813,False,-0.26761445842939174,0,0.2,34021,0,10,0.0,450.00000000000006,False,0.0024882175580340153,0,0.23600000000000002,35669,79,23,1.0,2920.33432670695,False,0.08688759589454265,0.3333333333333333,134882,0.0,0.0,13,0,0,10,4,4.0,22,32,16,170.0,42.0,11,4,16,464,0.8632662619929761,19.59883233200526
