index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,32.0,0,,40.0,0,,0,0.2,31137,11,0,0.0,110.0,False,-0.0017601689762217173,0,0.2,31157,9,0,0.0,90.0,False,-0.0014401382532723142,0,0.2,57026,0,0,0.0,0.0,False,0.0,0,0.2,57026,0,0,0.0,0.0,False,0.0,0,0.2,80684,0,0,0.0,0.0,False,0.0,0,0.2,80684,0,0,0.0,0.0,False,0.0,0.0,337714,0.0,0.0,11,0,0,0,0,0.0,1339,1339,98,0.0,0.0,0,0,98,200,15.753878753981553,15.753878753981553
1,98,0,0,0,10.0,20,10.0,17.0,0,,32.0,0,,40.0,0,,0,0.2,31027,22,0,0.0,220.0,False,-0.0035203379524434346,0,0.2,31067,18,0,0.0,180.0,False,-0.0028802765065446285,0,0.2,57026,0,0,0.0,0.0,False,0.0,0,0.2,57026,0,0,0.0,0.0,False,0.0,0,0.2,80684,0,0,0.0,0.0,False,0.0,0,0.2,80684,0,0,0.0,0.0,False,0.0,0.0,337514,0.0,0.0,8,0,0,55,0,0.0,62,117,61,1702.0,0.0,98,0,61,200,41.00459276296897,56.75847151695052
2,61,0,0,0,10.0,20,10.0,13.508474576271187,14,2.2857142857142856,32.0,0,,40.0,0,,9,0.29000000000000004,30755,33,0,0.0,330.0,False,-0.010465004640445483,5,0.25,30877,27,0,0.0,270.0,False,-0.007520721989310974,0,0.2,57026,0,0,0.0,0.0,False,0.0,0,0.2,56994,4,10,1.0,374.03389830508473,False,0.002718355647468608,0,0.2,80684,0,0,0.0,0.0,False,0.0,0,0.2,80684,0,0,0.0,0.0,False,0.0,0.16666666666666666,337020,0.0,0.0,10,0,0,17,2,2.0,61,78,9,819.0,0.0,61,0,9,200,9.887670626980253,66.64614214393077
3,9,0,0,0,10.0,20,10.0,11.184568835098338,13,1.6923076923076923,32.0,0,,40.0,20,40.0,8,0.36100000000000004,30524,40,0,0.0,400.0,False,-0.016737606810253783,5,0.29500000000000004,30647,40,0,0.0,400.0,False,-0.012801228917976125,0,0.2,57004,3,10,1.0,353.553706505295,False,0.0027141453591808316,0,0.2,56994,0,14,0.4,448.0,False,0.0033668852803984146,12,0.32000000000000006,80474,0,0,0.0,0.0,False,-0.002602746517277279,8,0.28,80572,0,0,0.0,0.0,False,-0.0013881314758812156,0.2333333333333333,336215,0.0,0.0,11,0,0,10,14,14.0,19,29,9,126.0,6.0,7,2,9,200,4.081738237000536,70.72788038093131
4,9,0,0,0,10.0,20,10.0,9.846254927726678,9,1.0,32.0,0,,40.0,20,40.0,3,0.383,30383,48,0,0.0,480.0,False,-0.019969917112042757,6,0.35000000000000003,30401,52,0,0.0,520.0,False,-0.018753800364835024,0,0.2,56995,2,20,1.0,659.6925098554534,False,0.005240526337595564,0,0.2,56994,0,14,0.0,448.0,False,0.0033668852803984146,11,0.41800000000000004,80286,0,0,0.0,0.0,False,-0.004932824351792177,9,0.36200000000000004,80450,0,0,0.0,0.0,False,-0.0029002032621089683,0.16666666666666666,335509,0.0,0.0,11,0,0,9,15,15.0,14,23,11,75.0,12.0,5,4,11,200,4.117977452988271,74.84585783391958
5,11,0,0,0,10.0,20,10.0,9.332588046397866,5,3.0,32.0,0,,40.0,20,40.0,4,0.42000000000000004,30199,59,0,0.0,590.0,False,-0.024098313438090057,1,0.35400000000000004,30292,61,0,0.0,610.0,False,-0.020801996991711206,0,0.2,56980,0,27,0.7,864.0,False,0.006768842282467646,0,0.2,56994,0,14,0.0,448.0,False,0.0033668852803984146,11,0.5170000000000001,80106,0,0,0.0,0.0,False,-0.007163749938029844,9,0.44300000000000006,80316,0,0,0.0,0.0,False,-0.004561003420752566,0.11666666666666665,334887,0.0,0.0,11,0,0,6,16,16.0,18,24,7,90.0,32.0,5,6,7,200,4.986693101003766,79.83255093492335
6,7,0,0,0,10.0,20,10.0,9.19593649398379,1,1.0,32.0,0,,40.0,20,40.0,0,0.41600000000000004,30109,68,0,0.0,680.0,False,-0.02553845169136237,1,0.36300000000000004,30162,72,0,0.0,720.0,False,-0.023202227413831728,0,0.2,56979,0,28,0.1,896.0,False,0.007031880194998772,0,0.2,56994,0,14,0.0,448.0,False,0.0033668852803984146,10,0.6060000000000001,79954,0,0,0.0,0.0,False,-0.009047642655297209,10,0.5340000000000001,80162,0,0,0.0,0.0,False,-0.006469684200089237,0.016666666666666666,334360,0.0,0.0,9,0,0,10,10,10.0,14,24,8,62.0,8.0,4,3,8,200,3.7785722939879633,83.61112322891131
7,8,0,0,0,10.0,20,10.0,7.863994520262358,14,2.642857142857143,28.842105263157894,12,17.0,40.0,20,40.0,6,0.4760000000000001,29909,77,0,0.0,770.0,False,-0.03049892789707812,8,0.44200000000000006,29895,83,0,0.0,830.0,False,-0.029986878740359074,0,0.2,57146,4,26,1.0,781.3507149231547,False,0.008955132000518702,0,0.2,56994,0,14,0.0,403.7894736842105,False,0.0029792504619315188,14,0.736,79474,2,10,1.0,457.6842105263158,False,-0.01216050139726389,6,0.5840000000000001,80092,0,0,0.0,0.0,False,-0.0073372663725149966,0.3333333333333333,333510,0.0,0.0,12,0,0,11,14,14.0,16,27,6,109.0,0.0,8,0,6,404,4.622422552027274,88.23354578093858
8,6,0,0,0,10.0,20,10.0,7.370483496836828,7,3.0,27.790408525754884,5,17.0,40.0,20,40.0,1,0.48000000000000004,29771,89,0,0.0,890.0,False,-0.03299516753608346,6,0.49400000000000005,29698,91,0,0.0,910.0,False,-0.0350113610906647,0,0.2,57210,1,31,1.0,868.8731477952383,False,0.010844817695395423,0,0.2,56994,0,14,0.0,389.0657193605684,False,0.0028501536085344665,0,0.7220000000000002,79794,0,4,0.2,160.0,False,-0.010039165138069506,12,0.6980000000000001,79803,5,0,0.0,138.95204262877442,False,-0.010058053377195118,0.19999999999999998,333270,0.0,0.0,12,0,0,7,11,11.0,21,28,3,79.0,3.0,5,1,3,605,4.2361621870077215,92.4697079679463
9,3,0,0,0,10.000000000000002,20,10.0,6.700453240846834,8,1.5,34.04499799116111,24,47.25,40.0,20,40.0,4,0.5190000000000001,29611,97,0,0.0,970.0000000000002,False,-0.036835536211476304,4,0.528,29498,103,0,0.0,1030.0000000000002,False,-0.03949179121195635,0,0.2,57688,0,30,0.9,1021.3499397348334,False,0.020563865076761785,0,0.2,57638,0,0,0.0,0.0,False,0.010731946831269948,6,0.7820000000000003,78999,9,10,1.0,706.4049819204499,False,-0.016506339658913554,10,0.786,79402,10,0,0.0,340.4499799116111,False,-0.013779373978040153,0.31666666666666665,332836,0.0,0.0,15,0,0,7,14,14.0,12,19,5,36.0,3.0,2,1,5,1494,6.647619438008405,99.11732740595471
