index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1908,4366ffdb-c316-4313-9efd-44f36e9280d2,SELLER,01Ran@0,_SystemAgent,RandomAgent,96,1,10,29,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,96,,-1,-1
1909,4a0b762a-e109-41dc-9f86-ab63127ccd92,SELLER,01Ran@0,_SystemAgent,RandomAgent,96,2,10,29,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,96,,-1,-1
1910,1e868ae7-7371-4ed7-a3b3-7e52b3ac6aff,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,96,3,40,29,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
1911,2a81f9c4-06ae-4a3b-8c3f-8b78975fcd50,SELLER,00Ran@0,_SystemAgent,RandomAgent,96,4,10,29,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,96,,-1,-1
1912,ef313331-60c6-4b66-a611-2170e49624ce,SELLER,01Ran@0,_SystemAgent,RandomAgent,96,3,10,29,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,96,,-1,-1
1913,c0732af5-5a7d-4791-97a2-8d319fac1629,SELLER,00Ran@0,_SystemAgent,RandomAgent,96,2,10,29,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,96,,-1,-1
1914,24fd6d35-fe17-4de2-b31c-e869fd319180,SELLER,01Ran@0,_SystemAgent,RandomAgent,96,1,10,29,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,96,,-1,-1
1915,4c965ad2-f026-4d37-84d6-3a2d63fe2489,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,96,1,40,29,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
1916,85faff88-fb29-4c3f-b50e-b5308634ca73,SELLER,00Ran@0,_SystemAgent,RandomAgent,96,1,10,29,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,96,,-1,-1
1917,702c721a-c2a1-4ca9-8374-8e34a2978dc3,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,96,3,40,29,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
1918,405c128c-539c-4a88-8040-e2a4cabc543b,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,96,3,40,29,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
1919,78ae7a7a-d186-4516-94b7-2f0f46aba350,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,96,1,40,29,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
1920,8d703bf4-8f17-4f1e-8817-abd2da4b5220,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,97,1,40,30,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
