index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
0,b394fb35-bfac-4543-9759-bac9548f0896,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,9,3,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,9,,-1,-1
1,a0b2627e-0b9a-46ad-96b7-6a7533e04323,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,10,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,10,,-1,-1
2,2e565ac0-388f-407f-af42-615f8856e57b,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,3,1,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,3,,-1,-1
3,20fc670e-23aa-40eb-8f5e-ddb27f0936ec,05Ran@2,BUYER,RandomAgent,_SystemAgent,5,3,34,0,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
4,afdad898-a105-4a7f-8667-a30424550a0c,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,1,2,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,1,,-1,-1
5,4ad51b8e-dff4-44c6-9d7e-cbe7f44e42ef,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,7,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,7,,-1,-1
6,dd371c0d-45a5-4ed4-9924-19f88fe76591,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,9,3,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,9,,-1,-1
7,aadc8402-a169-4d8a-aa4f-9c12116ad040,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,6,1,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,6,,-1,-1
8,5eec0eac-d43d-49c1-b36c-13f97ae1cfad,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,14,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,14,,-1,-1
9,b0ac3817-684c-4320-a9ba-d1b1658bce01,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,8,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,8,,-1,-1
10,24f0cbbd-ffce-4023-a012-f1b78334b4df,05Ran@2,BUYER,RandomAgent,_SystemAgent,4,3,34,0,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
11,641b8d56-7dd6-4043-aa4f-118bcc8ea8d3,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,1,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,1,,-1,-1
12,8af42f65-ba25-409e-8f1b-764068800ed2,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,5,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,5,,-1,-1
13,e329425d-090d-47fa-bc07-8d2408106241,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,6,2,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,6,,-1,-1
14,7bd257bd-44a4-430f-9cbf-b075551f45c5,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,15,3,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,15,,-1,-1
15,56673614-4ffe-40dd-93dd-89c6fc24282b,05Ran@2,BUYER,RandomAgent,_SystemAgent,15,2,34,0,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
16,e79cacdb-505a-412b-abd5-3896b29509ab,05Ran@2,BUYER,RandomAgent,_SystemAgent,3,3,34,0,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
17,e98763ac-f731-4640-84ae-cb474fe81910,05Ran@2,BUYER,RandomAgent,_SystemAgent,8,2,34,0,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
18,3cef4254-e470-44f6-9c60-4f3caa297e62,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,2,2,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,2,,-1,-1
19,f8bf373a-56d4-4b3e-832f-5ff5d5adea15,05Ran@2,BUYER,RandomAgent,_SystemAgent,4,1,34,0,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
20,24f6a720-7aa2-4f4e-be31-959f1acfc6d2,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,7,3,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,7,,-1,-1
21,8ab0e32a-d991-4a4b-bd9c-3f247e4e81bd,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,10,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,10,,-1,-1
22,38f91d46-ca78-4038-b32f-c23d4a8f1827,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,16,2,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,16,,-1,-1
23,35a4b65f-6b72-4d33-8d8e-f3c348e16846,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,7,3,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,7,,-1,-1
24,d34718d6-de70-4ae8-bd54-8bf02e1f5a8f,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,8,1,10,0,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,8,,-1,-1
25,38080dad-da0c-4dc7-adde-7b2a429e15db,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,6,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,6,,-1,-1
