index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,33,0,0,0,10.000000000000002,20,10.0,29.296360065190456,19,32.0,28.01001739761615,19,23.736842105263158,33.99999999999999,10,34.0,0,0.2,20143,6,18,1.0,587.3344811734282,False,0.09898189076073961,0,0.2,20186,2,20,1.0,605.9272013038092,False,0.10179412780446886,4,0.45600000000000007,22282,40,10,1.0,1451.9545765837797,False,-0.05836222934059542,0,0.32600000000000007,23554,24,15,1.0,1123.2629025288131,False,-0.013029735153294354,0,0.2,30426,0,0,0.0,0.0,False,0.0,10,1.0380000000000003,25460.0,127,0,0.0,3557.272209497251,False,-0.10475790098111404,0.6666666666666666,142051,0.0,0.0,17,0,0,15,8,8.0,24,39,33,200.0,96.0,16,17,33,1163,1.4606528580188751,18.986991816957016
11,33,0,0,0,10.000000000000002,20,10.0,29.639020324127284,48,30.666666666666668,28.21667244647682,41,28.78048780487805,33.99999999999999,9,34.0,20,0.4,20611,8,10,1.0,376.39020324127284,False,0.11847682843733258,0,0.2,20426,0,20,1.0,592.7804064825457,False,0.11434664461396393,20,0.6520000000000001,21431,62,10,1.0,2119.78598456066,False,-0.07952471996888233,0,0.32600000000000007,23346,30,14,1.0,1284.204023974494,False,-0.018249078661404263,0,0.2,30426,0,0,0.0,0.0,False,0.0,9,1.1180000000000003,24165.0,168,0,0.0,4740.400971008106,False,-0.12787745725681804,0.6666666666666666,140405,0.0,0.0,16,0,0,17,11,10.555555555555555,18,35,29,202.0,66.0,16,17,29,1443,1.351578641042579,20.338570457999595
12,29,0,0,0,10.000000000000002,20,10.0,29.639020324127284,0,,30.145230421219424,46,35.91304347826087,33.99999999999999,9,34.0,0,0.38000000000000006,20541,5,20,1.0,642.7804064825457,False,0.12187514536681401,0,0.2,20296,3,30,1.0,919.1706097238185,False,0.11613171138212036,16,0.7920000000000003,21805,52,10,1.0,1842.6813610668128,False,-0.06988865185669947,6,0.38600000000000007,23886,20,10,1.0,894.2327106947399,False,-0.004128822323509426,0,0.2,30426,0,0,0.0,0.0,False,0.0,9,1.1990000000000003,22407.0,214,0,0.0,6451.079310140956,False,-0.15754487428283445,0.6666666666666666,139361,0.0,0.0,12,0,0,12,7,6.25974025974026,22,34,32,154.0,64.0,12,17,32,539,1.5077948670368642,21.84636532503646
13,32,0,0,0,10.000000000000002,20,10.0,29.7761282082214,12,31.75,29.774426503832224,21,26.857142857142858,34.0,6,34.0,0,0.38000000000000006,20461,3,30,1.0,923.283846246642,False,0.1251151819274747,0,0.2,20557,5,28,1.0,883.7315898301993,False,0.12921412104297153,7,0.8460000000000001,21591,54,10,1.0,1905.655188282278,False,-0.0773582878717714,0,0.38000000000000006,24073,10,16,1.0,774.1521061435296,False,0.0010672036126611875,0,0.2,30426,0,0,0.0,0.0,False,0.0,6,1.2500000000000002,21781.0,235,0,0.0,6996.990228400573,False,-0.16914825760204147,0.6666666666666666,138889,0.0,0.0,14,0,0,17,5,4.875,19,36,26,188.0,66.0,15,17,26,993,1.642681570025161,23.48904689506162
14,26,0,0,0,10.000000000000002,20,10.0,29.84047660040545,42,30.095238095238095,31.0891685211807,41,36.46341463414634,34.0,11,34.0,0,0.38000000000000006,20681,2,30,1.0,915.2142980121635,False,0.1367287131106734,4,0.24000000000000002,21301,6,10,1.0,358.40476600405447,False,0.15509799865573382,0,0.839,21213,56,20,1.0,2292.850060046319,False,-0.08490525374383409,25,0.6300000000000001,23932,30,10,1.0,1206.1059832239705,False,0.004135753115003066,0,0.2,30426,0,0,0.0,0.0,False,0.0,11,1.354,20128.0,276,0,0.0,8580.610511845873,False,-0.1974526636454698,0.6666666666666666,137681,0.0,0.0,19,0,0,7,9,8.342342342342342,23,30,31,122.0,96.0,9,17,31,1478,2.346270541951526,25.835317437013146
15,31,0,0,0,10.000000000000002,20,10.0,29.949845114677327,10,32.0,32.13829164409869,22,41.09090909090909,33.99999999999999,14,34.0,0,0.38000000000000006,20591,1,40,1.0,1207.993804587093,False,0.13976107239694274,0,0.23600000000000002,21511,7,10,1.0,369.4984511467733,False,0.16668903127411192,2,0.8590000000000002,22057,46,10,1.0,1699.075791716144,False,-0.06251379651886416,0,0.6050000000000001,23612,30,20,1.0,1541.2611863222937,False,-0.002102374021398627,0,0.2,30426,0,0,0.0,0.0,False,0.0,14,1.4830000000000003,18989.0,298,0,0.0,9577.21090994141,False,-0.21851030516759665,0.6666666666666666,137186,0.0,0.0,12,0,0,6,9,8.285714285714285,27,33,23,209.0,68.0,13,18,23,1270,1.4973057560273446,27.33262319304049
16,23,0,0,0,10.000000000000002,20,10.0,29.628607811509294,24,27.25,32.13829164409869,0,,33.99999999999999,9,34.0,0,0.38000000000000006,20700,0,40,0.9,1185.1443124603718,False,0.14500818220209638,5,0.28600000000000003,21731,9,10,1.0,386.28607811509295,False,0.17897090982241062,0,0.8570000000000002,21778,45,20,1.0,1976.0531843998922,False,-0.06826444330850678,0,0.6050000000000001,23237,35,30,1.0,2001.1500227257861,False,-0.008039002563522435,0,0.2,30426,0,0,0.0,0.0,False,0.0,9,1.5590000000000004,18877.0,298,0,0.0,9577.21090994141,False,-0.2221913674169886,0.65,136749,0.0,0.0,12,0,0,12,6,5.555555555555555,24,36,22,151.0,33.0,12,11,22,575,1.1778955970075913,28.51051879004808
17,22,0,0,0,10.000000000000002,20,10.0,29.852318462357136,38,30.92105263157895,32.13829164409869,0,,33.99999999999999,10,34.0,0,0.38000000000000006,21593,0,17,0.9,507.4894138600713,False,0.1748088140960441,0,0.281,21813,10,14,1.0,517.9324584729999,False,0.186920102669203,0,0.8570000000000002,21065,59,30,1.0,2725.4355386020316,False,-0.08211026564209642,0,0.6050000000000001,22775,39,40,1.0,2449.772085795876,False,-0.01776679860448806,0,0.2,30426,0,0,0.0,0.0,False,0.0,10,1.6500000000000001,18744.0,298,0,0.0,9577.21090994141,False,-0.22656262883814157,0.65,136416,0.0,0.0,15,0,0,11,5,5.0,19,30,21,102.0,48.0,10,12,21,1375,1.1301114489906467,29.640630239038728
18,21,0,0,0,10.000000000000002,20,10.0,29.757384670069328,1,11.0,33.041381219484755,37,37.64864864864865,33.99999999999999,10,34.0,0,0.38000000000000006,21504,0,26,1.0,773.6920014218025,False,0.17718036140626492,0,0.281,21713,10,24,1.0,814.1772320816639,False,0.18950788427838425,0,0.8570000000000002,21600,49,23,1.0,2218.0636168815463,False,-0.07059704475563668,0,0.6050000000000001,23622,30,30,1.0,1883.9629766866224,False,0.005319697484788002,0,0.2,30426,0,0,0.0,0.0,False,0.0,10,1.7400000000000002,17223.0,335,0,0.0,11068.862708527393,False,-0.2520399870418821,0.6666666666666666,136088,0.0,0.0,18,0,0,14,5,5.0,18,32,22,110.0,49.0,12,9,22,1604,1.091233542014379,30.731863781053107
19,22,0,0,0,10.000000000000002,20,10.0,30.003180768265505,22,32.0,33.746955674255496,37,37.62162162162162,34.0,13,34.0,0,0.38000000000000006,21724,0,26,1.0,780.0826999749031,False,0.18918269251384448,0,0.281,21997,10,22,1.0,760.0699769018411,False,0.2033251768364659,3,0.8870000000000002,21714,61,10,1.0,2167.6635836067508,False,-0.06696276533505052,0,0.6050000000000001,24106,20,29,1.0,1578.7253299187196,False,0.018881994964367713,0,0.2,30426,0,0,0.0,0.0,False,0.0,13,1.8600000000000003,15623.0,372,0,0.0,12553.867510823044,False,-0.2802230409711588,0.6666666666666666,135590,0.0,0.0,18,0,0,12,9,8.3,19,31,18,142.0,56.0,10,12,18,2076,1.108620416955091,31.8404841980082
20,18,0,0,0,10.000000000000002,20,10.0,30.003180768265505,0,,34.05109318968246,5,47.2,34.0,11,34.0,0,0.38000000000000006,21594,3,36,1.0,1110.114507657558,False,0.19106567293120982,0,0.281,21927,7,32,1.0,1030.1017845844963,False,0.20682140741515642,0,0.8840000000000001,21714,51,20,1.0,2211.18408297519,False,-0.06607219278515206,0,0.6050000000000001,24342,10,34,1.0,1457.7689761318586,False,0.026065502499219562,0,0.2,30426,0,0,0.0,0.0,False,0.0,11,1.957,15247.0,377,0,0.0,12837.262132510288,False,-0.28792378011387815,0.6666666666666666,135250,0.0,0.0,14,0,0,13,3,3.0,19,32,24,143.0,69.0,10,8,24,436,0.9836772999842651,32.82416149799246
21,24,0,0,0,10.000000000000002,20,10.0,30.202212928341055,20,32.0,34.886311595264694,11,50.0,34.0,10,34.0,0,0.38000000000000006,22124,4,26,1.0,825.2575361368674,False,0.2119073331936133,0,0.281,21837,6,42,1.0,1328.4929429903243,False,0.21000465000511745,0,0.8840000000000001,21394,51,30,1.0,2586.902207203335,False,-0.07148026914947751,0,0.6050000000000001,24572,10,33,1.0,1453.2704119271455,False,0.03538655995594548,0,0.2,30426,0,0,0.0,0.0,False,0.0,10,2.0460000000000003,14564.0,388,0,0.0,13535.888898962701,False,-0.29889093375792575,0.6666666666666666,134917,0.0,0.0,15,0,0,14,6,6.0,18,32,28,116.0,85.0,10,14,28,1390,1.2184915730031207,34.042653070995584
22,28,0,0,0,10.000000000000002,20,10.0,30.458322995369844,30,32.0,34.62702871417757,8,28.5,34.0,15,34.0,0,0.38000000000000006,22110,5,33,1.0,1055.124658847205,False,0.21733503599825785,0,0.281,22611,5,25,1.0,811.4580748842461,False,0.23772472776092302,0,0.8840000000000001,20818,59,40,1.0,3182.122205293924,False,-0.08287381915990165,0,0.6050000000000001,24416,12,35,1.0,1577.445880940653,False,0.03154305232341511,0,0.2,30426,0,0,0.0,0.0,False,0.0,15,2.1860000000000004,14084.0,396,0,0.0,13712.303370814318,False,-0.3117678404848761,0.6666666666666666,134465,0.0,0.0,19,0,0,16,8,8.0,24,40,26,250.0,44.0,18,10,26,1388,1.4624688070034608,35.505121877999045
23,26,0,0,0,10.000000000000002,20,10.0,30.33207242251078,57,29.912280701754387,35.22223965345917,20,40.5,34.0,12,34.0,0,0.38000000000000006,22785,2,18,1.0,565.977303605194,False,0.240481213798806,7,0.35100000000000003,23266,8,10,1.0,383.3207242251078,False,0.26143581211618383,0,0.8840000000000001,20058,85,39,1.0,3951.893502398324,False,-0.09822596581815664,0,0.6050000000000001,24281,23,36,1.0,1965.638293242278,False,0.03396165779737821,0,0.2,30426,0,0,0.0,0.0,False,0.0,12,2.291000000000001,13095.0,416,0,0.0,14652.451695839014,False,-0.32882318254389314,0.6666666666666666,133911,0.0,0.0,20,0,0,11,8,7.4375,21,32,32,177.0,57.0,12,14,32,2235,1.1866330230259337,36.69175490102498
24,32,0,0,0,10.000000000000002,20,10.0,29.917387388182526,12,22.25,36.80948725529315,31,45.903225806451616,34.0,10,34.0,0,0.38000000000000006,22972,0,16,1.0,478.6781982109204,False,0.2481898848733845,0,0.3440000000000001,23146,10,20,1.0,698.3477477636505,False,0.26345310141330525,0,0.8840000000000001,21481,75,18,1.0,2906.374824708966,False,-0.061382196433065236,0,0.6050000000000001,24014,25,46,1.0,2441.171098448048,False,0.032765226701482464,0,0.2,30426,0,0,0.0,0.0,False,0.0,10,2.3790000000000004,11534.0,447,0,0.0,16453.840803116036,False,-0.3505251955052252,0.6666666666666666,133573,0.0,0.0,15,0,0,17,7,7.0,25,42,29,285.0,78.0,21,11,29,1890,1.5387184459832497,38.23047334700823
25,29,0,0,0,10.000000000000002,20,10.0,29.407756108434562,35,26.34285714285714,36.47719807667977,5,24.0,34.0,10,34.0,3,0.41000000000000003,23307,1,10,1.0,304.07756108434563,False,0.26150993657464905,0,0.3440000000000001,23458,9,14,1.0,501.70858551808385,False,0.27494376708749424,0,0.8840000000000001,20777,87,28,1.0,3579.8363275808406,False,-0.07641326987843093,0,0.6050000000000001,23916,28,51,1.0,2683.754272946836,False,0.033718471657256964,0,0.2,30426,0,0,0.0,0.0,False,0.0,10,2.4690000000000007,11280.0,452,0,0.0,16487.693530659257,False,-0.3583170063324253,0.6666666666666666,133164,0.0,0.0,16,0,0,25,7,6.375,14,39,22,268.0,53.0,20,9,22,1074,1.3668926620157436,39.59736600902397
26,22,0,0,0,10.000000000000002,20,10.0,29.44015542537156,11,30.09090909090909,37.744788175757115,27,45.888888888888886,34.0,9,34.0,0,0.40700000000000003,23178,5,19,1.0,609.3629530820597,False,0.2627813226791262,0,0.3440000000000001,23718,5,14,1.0,462.16217595520186,False,0.28786196429219185,0,0.8840000000000001,20702,87,33,1.0,3806.871531807311,False,-0.07483687624197208,0,0.6050000000000001,24899,19,39,1.0,2031.4096919365873,False,0.06060018195826684,0,0.2,30426,0,0,0.0,0.0,False,0.0,9,2.549000000000001,9924.0,479,0,0.0,18079.753536187658,False,-0.37672133148971837,0.6666666666666666,132847,0.0,0.0,17,0,0,12,6,6.0,19,31,19,116.0,38.0,9,13,19,1770,1.041627683036495,40.63899369206047
27,19,0,0,0,10.000000000000002,20,10.0,29.568295836895743,11,32.0,37.519985032816294,3,24.0,34.0,6,34.0,0,0.40700000000000003,23408,4,19,1.0,601.7976209010192,False,0.27494616102659214,0,0.3440000000000001,23640,6,23,1.0,740.0708042486021,False,0.2911397828632125,0,0.8840000000000001,20350,88,43,1.0,4215.369390057926,False,-0.08088382192727503,0,0.6050000000000001,24971,9,46,1.0,1992.0339740416111,False,0.06274113886472966,0,0.2,30426,0,0,0.0,0.0,False,0.0,6,2.600000000000001,9795.0,482,0,0.0,18084.632785817455,False,-0.38088094416260015,0.6666666666666666,132590,0.0,0.0,13,0,0,13,2,2.0,18,31,22,114.0,30.0,9,10,22,624,1.132269893947523,41.77126358600799
28,22,0,0,0,10.000000000000002,20,10.0,29.475452309856188,26,28.76923076923077,38.56393737950544,26,45.19230769230769,33.99999999999999,11,34.0,0,0.40700000000000003,23298,5,29,1.0,904.7881169858294,False,0.2771775682132133,3,0.374,24220,5,10,1.0,344.7545230985619,False,0.3117002184098345,0,0.8840000000000001,20340,83,48,1.0,4297.531535934325,False,-0.07961177998006216,0,0.6050000000000001,25408,20,35,1.0,1939.2468544798141,False,0.07954585525251325,0,0.2,30426,0,0,0.0,0.0,False,0.0,11,2.7040000000000006,8465.0,508,0,0.0,19590.480188788762,False,-0.39984749574724315,0.6666666666666666,132157,0.0,0.0,17,0,0,13,10,10.0,20,33,19,147.0,45.0,12,10,19,2070,1.017202734015882,42.78846632002387
