index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,26,0,0,0,10.000000000000002,20,10.0,7.903770789760371,13,9.076923076923077,20.46988762336422,2,36.0,34.99999999999999,7,35.0,3,0.9860000000000002,17610,109,0,0.0,1090.0000000000002,False,-0.12615517905275317,10,1.2090000000000003,17785,111,0,0.0,1110.0000000000002,False,-0.11725067385444744,0,0.2,30535,18,83,1.0,1841.268546954917,False,0.01610731897397871,0,0.2,31040,8,37,1.0,820.6160083825591,False,0.015935265180452882,0,0.2,42798,0,0,0.0,0.0,False,0.0,7,0.9540000000000002,40687,52,0,0.0,1064.4341564149395,False,-0.036889175236986115,0.3333333333333333,180455,0.0,0.0,11,0,0,10,7,7.0,21,31,26,171.0,54.0,13,13,26,272,0.9075158732011914,12.649151993915439
11,26,0,0,0,10.000000000000002,20,10.0,7.264324395835594,25,3.8,21.20783848297029,3,36.0,35.0,11,35.0,20,1.1830000000000003,16975,120,0,0.0,1200.0000000000002,False,-0.15407200616095496,5,1.249,17635,120,0,0.0,1200.0000000000002,False,-0.12230458221024258,0,0.2,30587,23,91,1.0,2096.992763054515,False,0.021917381578552726,0,0.2,31001,8,46,1.0,1033.675165383318,False,0.018116664492413993,0,0.2,42798,0,0,0.0,0.0,False,0.0,11,1.0570000000000002,40420,55,0,0.0,1166.4311165633658,False,-0.04193617556237009,0.3333333333333333,179416,0.0,0.0,14,0,0,8,10,10.0,20,28,28,171.0,68.0,12,14,28,308,0.9528417438268661,13.601993737742305
12,28,0,0,0,10.000000000000002,20,10.0,7.113978398577844,15,5.666666666666667,20.916042583973027,5,17.6,35.0,10,35.0,10,1.2630000000000001,16690,128,0,0.0,1280.0000000000002,False,-0.16586445899114363,5,1.2940000000000003,17455,132,0,0.0,1320.0000000000002,False,-0.12808047747400847,0,0.2,30613,18,100,1.0,2219.655869571704,False,0.024738441541036004,0,0.2,30978,8,52,1.0,1144.5460415552202,False,0.01916442228825827,0,0.2,42798,0,0,0.0,0.0,False,0.0,10,1.146,40197,60,0,0.0,1254.9625550383817,False,-0.046112405310547465,0.3333333333333333,178731,0.0,0.0,11,0,0,14,8,8.0,23,37,20,253.0,39.0,19,9,20,288,1.2509006382897496,14.852894376032054
13,20,0,0,0,10.000000000000002,20,10.0,6.89248796162494,30,5.833333333333333,21.182359430316097,1,36.0,35.0,10,35.0,15,1.4030000000000002,16185,143,0,0.0,1430.0000000000002,False,-0.18656141701963805,15,1.4390000000000003,17145,137,0,0.0,1370.0000000000002,False,-0.14179822872545245,0,0.2,30519,33,109,1.0,2536.3292806380778,False,0.02681670188710272,0,0.2,30933,3,62,1.0,1333.983748564473,False,0.02077048403534701,0,0.2,42798,0,0,0.0,0.0,False,0.0,10,1.2360000000000002,40031,61,0,0.0,1292.123925249282,False,-0.04955694278647038,0.3333333333333333,177611,0.0,0.0,10,0,0,13,10,10.0,18,31,20,185.0,24.0,12,8,20,236,1.0078125270083547,15.860706903040409
14,20,0,0,0,10.000000000000002,20,10.0,6.857655397984933,18,6.555555555555555,21.467449875290225,1,36.0,35.0,14,35.0,8,1.4680000000000004,15910,154,0,0.0,1540.0000000000002,False,-0.19715055833654216,10,1.5240000000000002,16910,146,0,0.0,1460.0000000000002,False,-0.1509433962264151,0,0.2,30502,31,118,1.0,2745.7464026217795,False,0.029649940282032796,0,0.2,30868,3,72,1.0,1566.2293572148508,False,0.022421897425700943,0,0.2,42798,0,0,0.0,0.0,False,0.0,14,1.366,39754,62,0,0.0,1330.981892267994,False,-0.05557523841922521,0.3333333333333333,176742,0.0,0.0,11,0,0,10,11,11.0,18,28,19,141.0,30.0,10,10,19,236,1.0135684721171856,16.874275375157595
15,19,0,0,0,10.000000000000002,20,10.0,6.871586551319149,17,7.0,20.925888523910277,9,18.11111111111111,35.0,10,35.0,7,1.5300000000000002,15695,161,0,0.0,1610.0000000000002,False,-0.205814401232191,10,1.6140000000000003,16640,159,0,0.0,1590.0000000000002,False,-0.1608105506353485,0,0.2,30484,28,127,1.0,2849.9922659735416,False,0.030752208966849798,0,0.2,30930,3,74,1.0,1569.130510423318,False,0.024471533262643633,0,0.2,42798,0,0,0.0,0.0,False,0.0,10,1.4520000000000002,39454,71,0,0.0,1485.7380851976297,False,-0.060776927833103955,0.3333333333333333,176001,0.0,0.0,13,0,0,10,9,9.0,18,28,19,143.0,26.0,10,9,19,363,0.9528922541067004,17.827167629264295
16,19,0,0,0,10.000000000000002,20,10.0,6.786102918704881,17,6.0,21.50344142015766,2,36.0,35.0,6,35.0,7,1.5930000000000004,15430,172,0,0.0,1720.0000000000002,False,-0.21592221794378127,10,1.7040000000000004,16405,168,0,0.0,1680.0000000000002,False,-0.16995571813631113,0,0.2,30432,25,137,1.0,3115.624047529221,False,0.033362794320011976,0,0.2,30952,3,82,1.0,1783.6405052090429,False,0.02864684086327876,0,0.2,42798,0,0,0.0,0.0,False,0.0,6,1.502,39320,73,0,0.0,1569.7512236715093,False,-0.06292640749951503,0.3333333333333333,175337,0.0,0.0,13,0,0,8,7,7.0,22,30,18,154.0,24.0,11,8,18,272,1.021129067055881,18.848296696320176
17,18,0,0,0,10.000000000000002,20,10.0,6.949592681556098,10,9.5,22.09538001602289,2,36.0,35.0,11,35.0,0,1.586,15380,177,0,0.0,1770.0000000000002,False,-0.21712552945706584,10,1.7940000000000003,16110,183,0,0.0,1830.0000000000002,False,-0.18054485945321525,0,0.2,30382,20,147,1.0,3387.012715986487,False,0.036130967406184156,0,0.2,30979,0,88,0.8,1944.3934414100142,False,0.03211540913864416,0,0.2,42798,0,0,0.0,0.0,False,0.0,11,1.606,39093,75,0,0.0,1657.1535012017168,False,-0.06720929130798504,0.3,174742,0.0,0.0,12,0,0,7,7,7.0,20,27,22,117.0,40.0,8,10,22,272,0.8896778579801321,19.73797455430031
18,22,0,0,0,10.000000000000002,20,10.0,6.9416715559521425,14,6.857142857142857,22.981364202285288,3,36.0,35.0,12,35.0,4,1.6260000000000001,15214,185,0,0.0,1850.0000000000002,False,-0.22319021948402,10,1.8840000000000003,15840,195,0,0.0,1950.0000000000005,False,-0.19065267616480555,0,0.2,30367,19,156,1.0,3716.9845751195953,False,0.04097594364957194,0,0.2,31006,0,91,0.5,2091.304142407961,False,0.03536040543993223,0,0.2,42798,0,0,0.0,0.0,False,0.0,12,1.7150000000000003,38805,78,0,0.0,1792.5464077782524,False,-0.07235681097506598,0.25,174030,0.0,0.0,13,0,0,9,9,9.0,17,26,23,153.0,47.0,10,12,23,308,0.9877684060484171,20.725742960348725
19,23,0,0,0,10.000000000000002,20,10.0,6.763749077578918,12,4.583333333333333,23.56813612426163,2,36.0,35.0,8,35.0,7,1.6920000000000002,14942,197,0,0.0,1970.0000000000005,False,-0.2333943011166731,5,1.9240000000000004,15695,203,0,0.0,2030.0000000000005,False,-0.1957065845206007,0,0.2,30399,13,165,1.0,3976.6711985116954,False,0.04620394738688653,0,0.2,30991,0,98,0.8,2309.67734017764,False,0.03840290306195105,0,0.2,42798,0,0,0.0,0.0,False,0.0,8,1.7830000000000001,38637,80,0,0.0,1885.4508899409304,False,-0.075196844596232,0.3,173462,0.0,0.0,11,0,0,10,7,7.0,19,29,24,159.0,57.0,11,12,24,272,1.0440272651612759,21.76977022551
