index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,30.0,0,,40.0,0,,0,0.2,25537,10,0,0.0,100.0,False,-0.0019503061980730974,0,0.2,25537,10,0,0.0,100.0,False,-0.0019503061980730974,0,0.2,38385,0,0,0.0,0.0,False,0.0,0,0.2,38385,0,0,0.0,0.0,False,0.0,0,0.2,52343,0,0,0.0,0.0,False,0.0,0,0.2,52343,0,0,0.0,0.0,False,0.0,0.0,232530,0.0,0.0,9,0,0,0,0,0.0,516,516,38,0.0,0.0,0,0,38,200,1.9183482480002567,1.9183482480002567
1,38,0,0,0,10.0,20,10.0,20.574468085106382,2,11.0,30.0,0,,40.0,0,,2,0.22000000000000003,25409,20,0,0.0,200.0,False,-0.00499278386706713,0,0.2,25437,20,0,0.0,200.0,False,-0.0039006123961461948,0,0.2,38363,0,2,0.2,60.0,False,0.00020841474534323304,0,0.2,38385,0,0,0.0,0.0,False,0.0,0,0.2,52343,0,0,0.0,0.0,False,0.0,0,0.2,52343,0,0,0.0,0.0,False,0.0,0.03333333333333333,232280,0.0,0.0,10,0,0,18,1,1.0,40,58,20,506.0,0.0,38,0,20,200,3.3172842860221863,5.235632534022443
2,20,0,0,0,10.0,20,10.0,19.71345029239766,9,15.666666666666666,24.57894736842105,12,4.25,40.0,0,,5,0.268,25227,34,0,0.0,340.0,False,-0.009361469750750868,4,0.24000000000000002,25323,26,0,0.0,260.0,False,-0.007177126808908999,0,0.2,38319,0,6,0.4,147.4736842105263,False,0.00020155899714106322,12,0.32000000000000006,37839,5,0,0.0,98.56725146198829,False,-0.012940377081386028,0,0.2,52327,0,7,0.7,280.0,False,0.0023689891676059835,0,0.2,52308,0,5,0.5,200.0,False,0.0012418088378579753,0.26666666666666666,231343,0.0,0.0,9,0,0,10,9,9.0,28,38,7,242.0,6.0,18,2,7,200,1.5556983860442415,6.7913309200666845
3,7,0,0,0,10.0,20,10.0,19.79194630872483,3,21.0,15.024922118380061,45,4.133333333333334,40.0,20,40.0,0,0.263,25167,40,0,0.0,400.0,False,-0.010531653469594726,3,0.266,25171,40,0,0.0,400.0,False,-0.010375628973748878,0,0.2,38319,0,6,0.0,90.14953271028037,False,-0.0005451409051677113,45,0.758,35068,8,0,0.0,158.33557046979865,False,-0.08435149706304801,3,0.23,52447,26,10,1.0,790.6479750778816,False,0.009539460625851419,5,0.25,52406,0,9,0.9,360.0,False,0.0046424545784536616,0.31666666666666665,228578,0.0,0.0,13,0,0,11,13,11.666666666666668,11,22,9,46.0,27.0,3,4,9,520,0.6211805859929882,7.412511506059673
4,9,0,0,0,10.0,20,10.0,19.79194630872483,0,,15.678470734182923,2,44.0,40.0,20,40.0,0,0.263,25067,50,0,0.0,500.0,False,-0.012481959667667825,0,0.263,25071,50,0,0.0,500.0,False,-0.012325935171821976,0,0.2,38407,0,4,0.0,62.71388293673169,False,0.0013900466710529147,0,0.7130000000000001,35068,8,0,0.0,158.33557046979865,False,-0.08435149706304801,4,0.267,52807,16,10,1.0,650.8555317469268,False,0.01508182117710992,0,0.24500000000000002,52558,0,5,0.2,200.0,False,0.006017996675773265,0.19999999999999998,228978,0.0,0.0,15,0,0,10,2,1.6666666666666665,11,21,11,49.0,31.0,3,6,11,888,0.8610825689975172,8.27359407505719
5,11,0,0,0,10.0,20,10.0,19.6459734945533,10,19.0,12.86138536813128,23,3.0869565217391304,40.0,20,40.0,0,0.263,24967,60,0,0.0,600.0,False,-0.014432265865740921,10,0.36300000000000004,24911,60,0,0.0,600.0,False,-0.01661660880758279,0,0.2,38407,0,4,0.0,51.44554147252512,False,0.0012432661387589354,23,0.9430000000000001,33828,18,0,0.0,353.62752290195937,False,-0.11411192493289089,2,0.28300000000000003,53144,21,10,1.0,670.0890927307569,False,0.021703848582721307,3,0.275,52704,0,8,0.8,320.0,False,0.009953575454215463,0.3,227961,0.0,0.0,13,0,0,11,11,9.9,14,25,14,34.0,34.0,4,7,14,640,0.9895783019601367,9.263172377017327
6,14,0,0,0,10.0,20,10.0,19.47279511010829,20,19.05,14.039926125982317,24,18.583333333333332,40.0,20,40.0,14,0.403,24726,74,0,0.0,740.0,False,-0.021102313063150916,6,0.41300000000000003,24797,66,0,0.0,660.0,False,-0.019893123220345595,0,0.2,38407,0,4,0.0,56.15970450392927,False,0.001304672456739917,24,1.1600000000000001,32817,38,0,0.0,739.9662141841151,False,-0.13541792087815407,1,0.29100000000000004,53521,14,10,1.0,596.5589657637524,False,0.028203952446017103,1,0.28200000000000003,52585,11,10,1.0,554.4391873858056,False,0.009919561234413496,0.3333333333333333,226853,0.0,0.0,16,0,0,10,8,7.333333333333333,13,23,10,59.0,42.0,4,10,10,840,0.7798334989929572,10.043005876010284
7,10,0,0,0,10.0,20,10.0,19.43663926654607,12,19.25,13.008468778396933,20,7.6,40.0,20,40.0,5,0.43900000000000006,24636,81,0,0.0,810.0,False,-0.023247649881031323,7,0.47700000000000004,24618,79,0,0.0,790.0,False,-0.024339821351952257,0,0.2,38407,0,4,0.0,52.03387511358773,False,0.0012509297266326165,20,1.336,31820,50,0,0.0,971.8319633273035,False,-0.15837134345021095,0,0.29000000000000004,53701,18,12,1.0,714.1524380111448,False,0.03276610471324868,2,0.30100000000000005,52957,7,10,1.0,491.0592814487785,False,0.016421100065422075,0.3333333333333333,226139,0.0,0.0,16,0,0,9,6,5.5,14,23,4,44.0,14.0,5,5,4,840,0.854005059984047,10.89701093599433
8,4,0,0,0,10.0,20,10.0,18.923385783112998,11,15.818181818181818,12.785405147740686,9,10.0,40.0,20,40.0,0,0.43400000000000005,24556,89,0,0.0,890.0,False,-0.0248078948394898,11,0.5800000000000001,24362,91,0,0.0,910.0,False,-0.031985021648398795,0,0.2,38407,0,4,0.0,51.141620590962745,False,0.0012393072891879993,9,1.4060000000000001,31412,61,0,0.0,1154.326532769893,False,-0.16662333551165964,2,0.31000000000000005,54165,8,10,1.0,502.2832411819255,False,0.0396068551781702,0,0.29900000000000004,53107,6,14,1.0,636.712430886444,False,0.020678146369967752,0.3333333333333333,226009,0.0,0.0,18,0,0,10,4,3.6666666666666665,10,20,2,3.0,9.0,1,3,2,880,0.6489895120030269,11.546000447997358
9,2,0,0,0,10.000000000000002,20,10.0,18.929450601584257,6,19.0,12.442172368243371,26,11.0,40.0,20,40.0,0,0.43400000000000005,24456,99,0,0.0,990.0000000000002,False,-0.026758201037562896,6,0.6290000000000002,24226,101,0,0.0,1010.0000000000002,False,-0.03533954830908453,0,0.2,38407,0,4,0.0,49.768689472973485,False,0.0012214235961048644,26,1.657,30318,67,0,0.0,1268.2731903061451,False,-0.19363979171152607,1,0.31800000000000006,54551,4,10,1.0,449.7686894729735,False,0.046479650473539635,0,0.29900000000000004,53187,16,15,1.0,799.0747578918939,False,0.023757472421258776,0.3333333333333333,225145,0.0,0.0,17,0,0,8,5,5.0,11,19,2,25.0,0.0,2,0,2,960,0.6972824279800989,12.243282875977457
