index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,47,0,0,0,9.999999999999998,12,10.0,23.98084271413417,10,28.0,34.32142857142857,25,43.0,36.0,20,36.0,0,0.2,28980,0,7,0.0,167.8658989989392,False,0.008394037523401251,0,0.24500000000000002,30156,4,10,1.0,279.80842714134167,False,0.051138165761247294,0,0.2,44354,0,23,0.0,789.3928571428571,False,0.0016720335893680336,0,0.2,43367,20,42,1.0,1921.1168542826833,False,-0.007754881426750704,9,0.9380000000000002,59886,25,0,0.0,858.0357142857142,False,-0.028148982354051513,11,0.9220000000000002,60840,0,5,0.5,180.0,False,-0.018239824691437596,0.4166666666666667,267583,0.0,0.0,10,0,0,25,8,8.0,10,35,41,368.0,287.0,21,26,41,1475,2.6615405949996784,35.56101351795951
11,41,0,0,0,9.999999999999998,10,10.0,22.644885758542998,34,19.0,37.030660377358494,43,41.0,35.99999999999999,20,36.0,0,0.2,28980,0,7,0.0,158.51420030980097,False,0.008231805570567637,24,0.48500000000000004,30031,4,10,1.0,266.44885758542995,False,0.046569441010086504,0,0.2,44646,7,18,1.0,825.066087102254,False,0.008607535558739485,0,0.2,44192,27,24,1.0,1500.1477645372647,False,0.006000668896195384,12,1.0490000000000002,59141,39,0,0.0,1444.1957547169814,False,-0.03543073253587552,3,0.9410000000000001,59806,19,10,1.0,1063.5825471698113,False,-0.027782036131853594,0.6666666666666666,266796,0.0,0.0,10,0,0,25,8,6.661764705882353,11,36,52,345.0,123.0,20,21,52,1935,1.8527222509728745,37.41373576893238
12,52,0,0,0,9.999999999999998,8,10.0,22.725871120945428,41,22.951219512195124,37.71858752166378,20,41.0,36.0,20,36.0,0,0.2,28980,0,7,0.0,159.08109784661798,False,0.008241640029259211,31,0.7710000000000001,30011,2,10,1.0,247.25871120945428,False,0.045542618680338896,0,0.2,44115,38,18,1.0,1542.5176779858743,False,0.0047512834980735314,0,0.2,44602,17,24,1.0,1291.585909576003,False,0.0128440022113087,13,1.1670000000000003,58528,49,0,0.0,1848.210788561525,False,-0.042053021264529616,0,0.9380000000000002,59648,19,13,1.0,1184.6531629116118,False,-0.029352476854503505,0.6666666666666666,265884,0.0,0.0,10,0,0,28,7,6.777777777777778,10,38,54,366.0,315.0,22,30,54,1376,2.073355649015866,39.48709141794825
13,54,0,0,0,9.999999999999998,9,10.0,23.634767532355472,27,28.333333333333332,35.52670911071769,43,30.232558139534884,36.00000000000001,20,36.0,0,0.2,28980,0,7,0.0,165.4433727264883,False,0.008352011878538814,17,0.9100000000000001,30223,1,10,1.0,246.3476753235547,False,0.052882306490242725,0,0.2,44043,37,13,1.0,1336.3336171364824,False,0.0008319561393257712,4,0.24000000000000002,45073,25,10,1.0,946.1362794160636,False,0.01952070868308263,8,1.2340000000000002,57143,92,0,0.0,3268.4572381860276,False,-0.05292725630670914,0,0.9380000000000002,60080,9,11,1.0,715.7403819964593,False,-0.0261694726080657,0.6666666666666666,265542,0.0,0.0,11,0,0,22,6,5.031746031746032,15,37,58,352.0,249.0,21,33,58,954,2.0944009220111184,41.58149233995937
14,58,0,0,0,9.999999999999998,11,10.0,24.402694448450198,27,28.666666666666668,34.75579453344701,25,30.68,36.00000000000001,20,36.0,0,0.2,28980,0,7,0.0,170.81886113915138,False,0.008445265095051566,17,1.0630000000000002,30424,2,10,1.0,264.026944484502,False,0.06016284339193157,1,0.21000000000000002,44098,45,10,1.0,1445.679195514729,False,0.003286914038531748,1,0.24600000000000002,44943,24,10,1.0,933.2226120972748,False,0.016466206429884018,11,1.3360000000000003,56222,117,0,0.0,4066.4279604133,False,-0.06133843607671921,0,0.9380000000000002,60404,0,11,0.9,396.00000000000006,False,-0.023524862234539656,0.65,265071,0.0,0.0,9,0,0,26,8,6.051226551226551,15,41,53,456.0,273.0,27,31,53,686,2.1767034779768437,43.75819581793621
15,53,0,0,0,9.999999999999998,11,10.0,24.67435852309204,10,29.0,34.968970500475905,5,41.0,36.00000000000001,20,36.0,0,0.2,28980,0,7,0.0,172.72050966164426,False,0.008478254626008697,0,1.046,30604,3,10,1.0,276.74358523092036,False,0.06662867922474014,0,0.20900000000000002,43808,45,20,1.0,1809.7255435486597,False,0.0008699192320886713,0,0.24500000000000002,45148,14,15,1.0,869.975576830427,False,0.020347132301007646,13,1.4550000000000003,55812,122,0,0.0,4266.2144010580605,False,-0.0663351616040567,0,0.9380000000000002,60656,0,4,0.0,144.00000000000003,False,-0.021494634397860205,0.5,265008,0.0,0.0,8,0,0,21,5,5.0,16,37,45,351.0,152.0,22,31,45,857,1.8541520849685185,45.61234790290473
16,45,0,0,0,9.999999999999998,9,10.0,25.131547833766337,18,29.0,31.38360673368835,25,12.48,36.00000000000001,20,36.0,0,0.2,28980,0,7,0.0,175.92083483636435,False,0.008533773416771232,8,1.1260000000000001,30852,2,10,1.0,271.31547833766336,False,0.07513905139021697,5,0.259,43689,44,10,1.0,1419.6241720226021,False,-0.00615991211865296,0,0.24500000000000002,44887,13,25,1.0,1111.300290181171,False,0.01720576051149629,11,1.552,55346,147,0,0.0,4613.390189852187,False,-0.07104677427530383,5,0.9880000000000002,60757,0,0,0.0,0.0,False,-0.021027359737037156,0.5,264511,0.0,0.0,8,0,0,18,8,6.805555555555555,14,32,32,261.0,111.0,17,28,32,615,1.6866890250239521,47.29903692792868
17,32,0,0,0,9.999999999999996,9,10.0,25.464913890632662,17,28.470588235294116,31.078246446850724,14,28.0,36.00000000000001,20,36.0,0,0.2,28980,0,7,0.0,178.25439723442864,False,0.00857425572886039,7,1.1880000000000004,31085,1,10,1.0,264.6491389063266,False,0.08310750709364935,4,0.29400000000000004,43945,34,10,1.0,1176.5895367500177,False,-0.00314960002742065,0,0.24500000000000002,44403,20,35,1.0,1597.0369034524285,False,0.011808175935134908,8,1.6210000000000002,54861,161,0,0.0,5003.597677942967,False,-0.07571784926409911,12,1.1030000000000002,60586,0,0,0.0,0.0,False,-0.023782668943959268,0.5,263860,0.0,0.0,6,0,0,13,10,9.34920634920635,13,26,32,189.0,132.0,12,20,32,609,1.3265310149872676,48.62556794291595
18,32,0,0,0,9.999999999999996,13,10.0,25.620205412412925,10,28.0,30.75461392470919,40,29.625,36.00000000000001,20,36.0,0,0.2,28980,0,7,0.0,179.34143788689047,False,0.008593113557124612,0,1.181,31235,4,10,1.0,296.20205412412923,False,0.08885924040878719,0,0.29000000000000004,43665,34,20,1.0,1486.1792625162234,False,-0.005952239977210237,5,0.29500000000000004,45418,10,10,1.0,563.7481933712211,False,0.022963560386032436,16,1.7730000000000004,53727,186,0,0.0,5720.358189995909,False,-0.08821534763626769,4,1.1310000000000002,60211,5,10,1.0,513.773069623546,False,-0.025685821681354516,0.6666666666666666,263236,0.0,0.0,10,0,0,17,9,8.714285714285715,13,30,29,270.0,108.0,15,17,29,1490,1.3137339859968051,49.939301928912755
19,29,0,0,0,9.999999999999996,9,10.0,25.93451298640538,18,28.5,29.176128639025883,18,15.0,36.00000000000001,20,36.0,0,0.2,28980,0,7,0.0,181.54159090483768,False,0.008631281502061598,8,1.2610000000000001,31474,3,10,1.0,289.3451298640538,False,0.09703256418472088,0,0.29000000000000004,43800,24,21,1.0,1235.1270130932726,False,-0.005740173108594843,0,0.29000000000000004,45040,18,11,1.0,787.7586487845815,False,0.017009431087260864,11,1.8670000000000002,53299,204,0,0.0,5951.93024236128,False,-0.0932460262128091,0,1.127,60535,0,6,0.5,216.00000000000006,False,-0.022864232541651895,0.5833333333333334,263128,0.0,0.0,11,0,0,13,5,4.888888888888889,16,29,32,195.0,93.0,13,16,32,936,1.3030796659877524,51.24238159490051
