index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
426,4928671a-67f1-4c41-ac9f-06230163cafb,03Dec@1,04Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,21,5,41,12,-1,12,03Dec@1|04Buy@2,"[quantity: (1, 5), time: (16, 21), unit_price: (28, 56)]",03Dec@1,04Buy@2,p2,03Dec@1,False,2,17,21,,-1,-1
427,0d72d90a-1784-4742-8074-10750c3a849f,03Dec@1,04Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,18,9,41,12,-1,12,03Dec@1|04Buy@2,"[quantity: (1, 9), time: (15, 20), unit_price: (28, 56)]",03Dec@1,04Buy@2,p2,03Dec@1,False,2,17,18,,-1,-1
428,fe085de7-ed92-4de7-a9dd-e028bf36bf06,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,34,1,10,12,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,34,,-1,-1
429,520fe00e-0940-4794-a7ba-9832b1cf53f2,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,35,1,10,13,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,35,,-1,-1
430,a3e8c671-5c6b-4684-a123-e2a3b129ebdd,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,35,5,36,13,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
431,22d76d21-ffbb-4e52-991c-4fabddb90680,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,35,2,10,13,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,35,,-1,-1
432,eef287ef-b78b-4697-8842-759f06c75957,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,35,2,36,13,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,False,3,0,-1,04Buy@2:product(1.0),-1,-1
433,a7e4e383-33f1-48c9-8a0c-ba984ed4716b,02Dec@1,04Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,23,5,41,13,-1,13,02Dec@1|04Buy@2,"[quantity: (1, 5), time: (18, 23), unit_price: (28, 56)]",02Dec@1,04Buy@2,p2,02Dec@1,False,2,17,23,,-1,-1
434,14d247de-07a1-4300-abac-9c17180f662e,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,35,2,10,13,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,35,,-1,-1
435,eab87863-ba1e-465b-87e4-0bcd2e91c390,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,35,1,36,13,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
436,cf083693-3716-4422-b984-7cf3bb9b987a,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,35,1,36,13,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,False,3,0,-1,04Buy@2:product(1.0),-1,-1
437,34388b0c-791c-4baf-9b6f-da38adb14e16,03Dec@1,04Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,18,9,41,13,-1,13,03Dec@1|04Buy@2,"[quantity: (1, 9), time: (15, 20), unit_price: (28, 56)]",03Dec@1,04Buy@2,p2,03Dec@1,False,2,17,18,,-1,-1
438,7c449ee1-1053-46ca-a94a-e7dea1fba2aa,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,35,5,10,13,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,35,,-1,-1
439,c0c1fd7b-0d97-4dce-9db9-94e203253f11,02Dec@1,04Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,17,7,15,13,-1,13,04Buy@2|02Dec@1,"[quantity: (1, 11), time: (13, 17), unit_price: (1, 28)]",02Dec@1,04Buy@2,p2,04Buy@2,True,2,17,-1,02Dec@1:product(0.5714285714285714),-1,-1
440,3d0bdb84-5fb8-4bf7-b335-2e6d935e3076,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,22,14,43,13,-1,13,03Dec@1|05Dec@2,"[quantity: (1, 14), time: (17, 22), unit_price: (28, 56)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,22,,-1,-1
441,c30cd790-e8a2-4c9c-907a-908e0c0147ed,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,35,4,36,13,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,False,3,0,-1,04Buy@2:product(1.0),-1,-1
442,7a5d8094-1bd9-4d4b-8ff9-e1fff05e1290,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,35,2,36,13,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
