index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,21,0,0,0,10.000000000000002,20,10.0,28.4302324114428,68,28.41176470588235,38.337168809640986,23,45.391304347826086,54.00000000000001,10,54.0,36,1.2170000000000003,45815,104,0,0.0,1040.0000000000002,False,-0.055351681957186545,17,0.37000000000000005,51453,9,10,1.0,374.30232411442796,False,0.05280634377282799,9,0.5510000000000002,76195,0,0,0.0,0.0,False,-0.005819339518012552,0,0.524,73044,127,22,1.0,4454.057230065337,False,-0.01787517627597928,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.3440000000000001,103123,68,14,1.0,3362.927479055587,False,-0.005027211161374325,0.5,454964,0.0,0.0,18,0,0,13,6,4.9625,23,36,22,225.0,33.0,15,6,22,1244,1.8862994349910878,24.468505492957775
11,22,0,0,0,10.000000000000002,20,10.0,28.92373924963578,23,32.78260869565217,39.031152132702175,6,53.0,54.000000000000014,11,54.0,5,1.2310000000000003,45615,116,0,0.0,1160.0000000000002,False,-0.058205912334352704,8,0.43300000000000005,51817,7,10,1.0,359.2373924963578,False,0.0600737756625521,3,0.5720000000000001,75886,0,9,0.9,351.2803691943196,False,-0.007559397912381677,0,0.524,72791,131,29,1.0,4920.913253550651,False,-0.01813054857353994,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.3440000000000001,103399,64,13,1.0,3199.993736492939,False,-0.0031803893496262577,0.65,454842,0.0,0.0,19,0,0,13,3,2.888888888888889,20,33,15,187.0,48.0,11,11,15,1295,1.4846441760309972,25.95314966898877
12,15,0,0,0,10.000000000000002,20,10.0,27.661307910439586,37,21.43243243243243,40.412649802749705,30,45.666666666666664,54.000000000000014,12,54.0,37,1.596,44809,125,0,0.0,1250.0000000000002,False,-0.07372069317023446,0,0.42500000000000004,51707,8,20,1.0,633.2261582087917,False,0.06062411985941688,0,0.5690000000000001,75886,0,9,0.0,363.7138482247473,False,-0.007478282849749131,1,0.534,73326,158,10,1.0,4774.613147876952,False,-0.012104401378655335,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.3440000000000001,102677,84,11,1.0,3988.6625834309752,False,-0.006291118805746639,0.5,453739,0.0,0.0,16,0,0,13,5,4.071428571428571,12,25,22,93.0,43.0,6,9,22,1462,1.3856036980287172,27.33875336701749
13,22,0,0,0,10.000000000000002,20,10.0,26.776015870371438,36,21.916666666666668,41.579396787546806,15,51.666666666666664,54.000000000000014,6,54.0,24,1.7990000000000006,44182,135,0,0.0,1350.0000000000002,False,-0.0854841997961264,0,0.42500000000000004,52061,8,18,1.0,561.9682856666859,False,0.06711486529731592,6,0.629,75703,20,10,1.0,951.3142852828969,False,-0.006032578611429329,0,0.533,73243,154,20,1.0,4955.094379788137,False,-0.012009926933441968,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.3440000000000001,102226,89,15,1.0,4510.566314091666,False,-0.008095361829553263,0.6666666666666666,452749,0.0,0.0,17,0,0,20,4,3.6,12,32,27,193.0,58.0,13,9,27,1243,1.9625197449931875,29.301273112010676
14,27,0,0,0,10.000000000000002,20,10.0,26.920596337099667,5,33.0,43.32283443292541,34,50.0,54.00000000000001,14,54.0,1,1.7850000000000006,44025,149,0,0.0,1490.0000000000002,False,-0.0872579001019368,0,0.42500000000000004,52153,4,24,1.0,686.094312090392,False,0.07025580338522322,0,0.623,75614,13,20,1.0,1216.424441040804,False,-0.00546427864301866,14,0.6730000000000002,74279,146,10,1.0,4363.6354095458055,False,-0.002350990921662076,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.3440000000000001,101282,113,11,1.0,5489.480290920572,False,-0.012410616273375355,0.6666666666666666,452687,0.0,0.0,20,0,0,20,2,1.4117647058823528,16,36,29,246.0,46.0,17,10,29,1108,1.9361415460007265,31.237414658011403
15,29,0,0,0,10.000000000000002,20,10.0,26.306829542950354,29,22.20689655172414,42.28737685027302,21,35.0,54.00000000000001,14,54.0,21,1.9940000000000004,43512,161,0,0.0,1610.0000000000002,False,-0.096493374108053,0,0.42500000000000004,52369,2,26,1.0,703.9775681167092,False,0.07484176929782578,1,0.6330000000000001,76097,18,10,1.0,896.3967002758366,False,-0.0012500052173390936,0,0.6590000000000001,73845,150,20,1.0,4791.7719684480135,False,-0.005220626241515568,0,0.2,105334,0,0,0.0,0.0,False,0.0,3,0.374,101111,124,10,1.0,5783.634729433855,False,-0.012637729843004809,0.6666666666666666,452268,0.0,0.0,17,0,0,23,5,4.0476190476190474,14,37,28,264.0,80.0,17,12,28,1090,2.104007065005135,33.34142172301654
16,28,0,0,0,10.000000000000002,20,10.0,26.766318793467427,9,37.0,41.26159825077994,7,19.0,54.00000000000001,11,54.0,0,1.9730000000000003,43422,170,0,0.0,1700.0000000000002,False,-0.09741080530071355,0,0.42500000000000004,52592,3,27,1.0,752.6906074236206,False,0.07988471567200425,0,0.6320000000000001,76230,8,13,1.0,750.5313276078787,False,-0.00046625613178411787,0,0.659,73512,149,30,1.0,5226.029447750045,False,-0.006732496654858085,0,0.2,105334,0,0,0.0,0.0,False,0.0,1,0.38100000000000006,101508,121,10,1.0,5532.653388344373,False,-0.010060125940606249,0.6666666666666666,452598,0.0,0.0,14,0,0,20,1,0.5,15,35,36,234.0,69.0,15,13,36,1152,1.7763413340435363,35.117763057060074
17,36,0,0,0,10.000000000000002,20,10.0,27.593471030973372,49,30.775510204081634,39.67172698839998,11,19.0,54.00000000000001,9,54.0,13,2.1030000000000006,43142,181,0,0.0,1810.0000000000002,False,-0.1019979612640163,9,0.5150000000000001,53442,2,10,1.0,295.9347103097337,False,0.0925579481173266,0,0.6320000000000001,75793,15,12,1.0,889.9627893254003,False,-0.005258524880120348,0,0.6590000000000001,72650,171,40,1.0,6305.3526258324455,False,-0.010938318746934041,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.38000000000000006,101785,122,11,1.0,5433.950692584798,False,-0.007898918238247876,0.6666666666666666,452146,0.0,0.0,18,0,0,18,5,4.111111111111111,21,39,34,282.0,96.0,19,17,34,1487,2.224661334999837,37.34242439205991
18,34,0,0,0,10.000000000000002,20,10.0,27.16838669409549,17,21.823529411764707,40.966408555393116,14,53.785714285714285,54.000000000000014,9,54.0,11,2.200000000000001,42804,192,0,0.0,1920.0000000000005,False,-0.10776758409785933,0,0.506,53580,1,14,1.0,390.35741371733684,False,0.09633391859039084,0,0.6320000000000001,75552,12,22,1.0,1227.2816285477943,False,-0.0062024136653502085,0,0.6590000000000001,73273,171,36,1.0,6120.584832684481,False,-0.004014921303972507,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.38000000000000006,101518,126,12,1.0,5809.7674779795325,False,-0.008649783175520087,0.6666666666666666,452061,0.0,0.0,17,0,0,12,3,3.0,20,32,25,243.0,99.0,16,18,25,1667,2.1250392670044675,39.46746365906438
19,25,0,0,0,10.000000000000002,20,10.0,26.69340890462409,24,22.583333333333332,42.171954382030336,14,54.0,54.0,12,54.0,10,2.289000000000001,42514,202,0,0.0,2020.0000000000005,False,-0.11266055045871559,0,0.506,53882,1,10,1.0,276.9340890462409,False,0.10133470019415136,0,0.6320000000000001,75552,2,32,1.0,1402.889358034219,False,-0.005056762320205817,0,0.659,73487,185,32,1.0,6287.783187580428,False,-0.0001318929321091816,0,0.2,105334,0,0,0.0,0.0,False,0.0,0,0.38000000000000006,101410,130,10,1.0,6022.354069663944,False,-0.008665985960544841,0.6666666666666666,452179,0.0,0.0,21,0,0,12,2,2.0,20,32,25,189.0,66.0,13,12,25,2006,1.5973335970193148,41.06479725608369
