index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,31.0,0,,42.0,0,,0,0.2,41814,0,10,1.0,200.0,False,0.0,0,0.2,41814,0,10,1.0,200.0,False,0.0,0,0.2,64443,0,0,0.0,0.0,False,0.0,0,0.2,64443.0,0,0,0.0,0.0,False,0.0,0,0.2,94830,0,0,0.0,0.0,False,0.0,0,0.2,94830,0,0,0.0,0.0,False,0.0,0.3333333333333333,402174,0.0,0.0,6,0,0,0,0,0.0,544,544,114,0.0,0.0,0,0,114,200,4.977216898056213,4.977216898056213
1,114,0,0,0,10.0,20,10.0,20.0,0,,21.840579710144926,24,4.666666666666667,42.0,0,,0,0.2,41724,0,19,0.9,380.0,False,0.0,0,0.2,41704,1,20,1.0,410.0,False,-0.0001192918833802548,0,0.2,64443,0,0,0.0,0.0,False,0.0,24,0.44000000000000006,63352.0,0,0,0.0,0.0,False,-0.016929689803392146,0,0.2,94830,0,0,0.0,0.0,False,0.0,0,0.2,94718,24,0,0.0,524.1739130434783,False,0.0015826948910866135,0.31666666666666665,400771,0.0,0.0,7,0,0,27,4,4.0,94,121,67,1482.0,49.0,108,6,67,200,14.456697902991436,19.43391480104765
2,67,0,0,0,10.0,20,10.0,20.0,0,,15.563067608476286,37,5.027027027027027,42.0,0,,0,0.2,41624,0,29,1.0,580.0,False,0.0,0,0.2,41604,1,30,1.0,610.0,False,-0.0001192918833802548,0,0.2,64443,0,0,0.0,0.0,False,0.0,37,0.786,61305.0,0,0,0.0,0.0,False,-0.048694194869885014,0,0.2,94813,0,8,0.8,336.0,False,0.0015923231045027945,0,0.2,94549,53,0,0.0,824.8425832492431,False,0.0013858619806455539,0.4666666666666666,398338,0.0,0.0,6,0,0,13,8,8.0,32,45,20,384.0,130.0,31,36,20,200,2.8275405329768546,22.261455334024504
3,20,0,0,0,10.0,20,10.0,20.0,0,,12.130291278158264,32,2.5625,42.0,20,42.0,0,0.2,41514,1,39,1.0,790.0,False,-0.0001192918833802548,0,0.2,41514,0,40,1.0,800.0,False,0.0,0,0.2,64443,0,0,0.0,0.0,False,0.0,32,1.0690000000000002,59575.0,0,0,0.0,0.0,False,-0.07553962416398988,1,0.21000000000000002,95127,0,10,1.0,420.0,False,0.005346409364125277,11,0.31000000000000005,94311,75,0,0.0,909.7718458618698,False,-0.0006760948757678902,0.5,396484,0.0,0.0,9,0,0,3,11,11.0,17,20,22,94.0,37.0,7,13,22,536,1.5965745930443518,23.858029927068856
4,22,0,0,0,10.0,20,10.0,22.317460317460316,18,28.11111111111111,11.502087726876201,9,3.888888888888889,42.0,20,42.0,0,0.2,41930,0,31,1.0,691.8412698412698,False,0.00863483883477206,0,0.2,41404,1,50,1.0,1125.873015873016,False,0.0012629791462639896,0,0.2,64443,0,0,0.0,0.0,False,0.0,9,1.127,58748.0,18,0,0.0,401.71428571428567,False,-0.08525585179372244,2,0.229,95524,0,2,0.2,84.0,False,0.007761256986185806,8,0.379,94175,82,0,0.0,943.1711936038486,False,-0.0019341390192773237,0.3666666666666667,396224,0.0,0.0,12,0,0,7,7,7.0,13,20,22,107.0,42.0,8,14,22,1126,1.4489432640257291,25.306973191094585
5,22,0,0,0,10.0,20,10.0,22.032948929159804,4,18.0,9.096223656784545,38,2.3684210526315788,42.0,20,42.0,0,0.2,41872,3,37,1.0,845.2191103789128,False,0.009080726134214203,0,0.2,41334,0,58,0.8,1277.9110378912687,False,0.0014065829781370633,0,0.2,64443,0,0,0.0,0.0,False,0.0,38,1.4980000000000002,56489.0,22,0,0.0,484.7248764415157,False,-0.11966602364538031,3,0.257,95572,0,8,0.8,336.0,False,0.009596119371506907,15,0.5210000000000001,93789,112,0,0.0,1018.777049559869,False,-0.005605941951071038,0.43333333333333335,393499,0.0,0.0,7,0,0,7,13,12.333333333333332,14,21,23,81.0,55.0,8,14,23,272,1.5380685609998181,26.845041752094403
6,23,0,0,0,10.0,20,10.0,24.2002235350471,8,39.0,8.31128544141863,19,2.9473684210526314,41.99999999999999,20,42.0,0,0.2,41762,4,47,1.0,1177.4105061472137,False,0.010419078424240199,0,0.2,41556,0,59,0.9,1427.813188567779,False,0.0084913535879154,0,0.2,64443,0,0,0.0,0.0,False,0.0,19,1.6500000000000001,55309.0,30,0,0.0,726.0067060514131,False,-0.13610472273131752,0,0.254,95869,3,10,1.0,444.9338563242558,False,0.013302403544892247,12,0.6260000000000001,93567,118,0,0.0,980.7316820873983,False,-0.008147571010822465,0.48333333333333334,392506,0.0,0.0,11,0,0,6,10,10.0,16,22,29,101.0,60.0,8,15,29,848,1.6197961939615197,28.464837946055923
7,29,0,0,0,10.0,20,10.0,26.057928770317638,74,27.472972972972972,7.853230712114201,18,4.444444444444445,42.0,20,42.0,3,0.23,42728,5,10,1.0,310.57928770317636,False,0.023125677431206495,0,0.2,42351,0,44,0.9,1146.548865893976,False,0.024103507967432984,0,0.2,64443,0,0,0.0,0.0,False,0.0,18,1.8110000000000004,52532.0,104,0,0.0,2710.0245921130345,False,-0.163803480656448,0,0.254,96147,0,10,0.7,420.0,False,0.01610249920911104,13,0.744,93287,132,0,0.0,1036.6264539990746,False,-0.010805512738589684,0.4333333333333333,391488,0.0,0.0,16,0,0,10,8,7.75,12,22,26,143.0,63.0,11,18,26,2451,1.6665490449522622,30.131386991008185
8,26,0,0,0,10.0,20,10.0,28.476680479718866,34,36.8235294117647,7.630518398031084,15,5.6,42.00000000000001,20,42.0,9,0.31700000000000006,43076,5,10,1.0,334.7668047971887,False,0.031716929961315816,0,0.2,42821,0,39,1.0,1110.5905387090359,False,0.034887991347867436,0,0.2,64443,0,0,0.0,0.0,False,0.0,15,1.9430000000000005,50749.0,138,0,0.0,3929.7819062012036,False,-0.18200749572334313,1,0.264,96559,0,0,0.0,0.0,False,0.018232626805863125,9,0.8210000000000002,93076,147,0,0.0,1121.6862045105693,False,-0.012582061560104574,0.3333333333333333,390724,0.0,0.0,10,0,0,10,8,6.564102564102564,16,26,24,138.0,52.0,12,14,24,1106,1.6549946529557928,31.786381643963978
9,24,0,0,0,10.000000000000002,20,10.0,29.677070224554257,17,39.294117647058826,6.217189765109214,37,1.0,42.0,20,42.0,0,0.30800000000000005,43103,4,17,1.0,544.5101938174224,False,0.03486317452184735,0,0.2,43262,1,35,1.0,1048.697457859399,False,0.044671201243729954,0,0.2,64443,0,0,0.0,0.0,False,0.0,37,2.2980000000000005,48004.0,155,0,0.0,4599.945884805909,False,-0.21940361338853007,12,0.38300000000000006,96356,0,0,0.0,0.0,False,0.016091954022988506,8,0.8920000000000001,92930,184,0,0.0,1143.9629167800954,False,-0.014004202695454557,0.3333333333333333,388098,0.0,0.0,10,0,0,7,11,11.0,16,23,20,108.0,65.0,11,13,20,868,1.5943878709804267,33.380769514944404
