index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
944,03a8a23b-e502-47c6-9c25-9ef106a1c3f1,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,29,1,40,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,-1,04Dec@2:product(1.0),-1,-1
945,1ad29fb9-aef8-408f-949f-b5864ac476d2,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,40,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,40,,-1,-1
946,fc547148-7737-42f1-acd7-ac59f3b1e160,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,22,3,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,22,,-1,-1
947,c0d3ac8f-2626-4036-b69b-ddd49f2b1d48,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,16,1,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
948,2de15184-4158-454a-9a58-790373a7f800,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,24,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,24,,-1,-1
949,85fbe002-53ee-467f-a963-2303be8e7a1f,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,10,1,40,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
950,5695db8e-cbdf-440c-ad67-d2f89618552b,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,46,2,40,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
951,8b5dd723-bd40-4cb6-ae33-263af5903b91,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,1,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,1,,-1,-1
952,36be8280-73ee-444a-a6b9-3dd31cfe01c0,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,27,1,40,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
953,b1c515c9-aab6-4e8a-9461-94bc77fb2dc0,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,10,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,10,,-1,-1
954,182d7784-29b3-4b78-9158-bd2d5e920752,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,39,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,39,,-1,-1
955,c45ea3e5-58c1-41b5-8300-15c26e1034d4,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,6,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,6,,-1,-1
