index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,18,0,0,0,10.000000000000002,20,10.0,20.076909426045393,1,27.0,35.49102048060308,20,31.4,37.00000000000001,20,37.0,0,0.4970000000000001,47553,2,19,1.0,401.46127909486245,False,0.02833305998422477,0,0.623,44297,115,0,0.0,1150.0000000000002,False,-0.03372238253154744,10,0.42600000000000005,68474,61,10,1.0,1579.6016797947998,False,0.007795961469814417,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,10,0.8400000000000001,97166,1,10,1.0,405.49102048060314,False,-0.007848607482852855,8,0.9550000000000001,92750,99,0,0.0,3513.6110275797055,False,-0.037010714254375444,0.5,419769,0.0,0.0,11,0,0,11,9,8.4,15,26,13,115.0,36.0,11,7,13,505,2.039949841797352,50.42162161972374
11,13,0,0,0,10.000000000000002,20,10.0,19.163102822848455,23,14.434782608695652,34.906765115955565,6,23.5,37.00000000000001,20,37.0,0,0.4970000000000001,47757,3,17,1.0,355.7727479884237,False,0.03223408359520672,11,0.7330000000000001,43962,124,0,0.0,1240.0000000000002,False,-0.039967268185537703,0,0.41600000000000004,68283,74,14,1.0,1906.7643205141635,False,0.007397016649067082,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,0,0.8300000000000001,97462,0,3,0.1,111.00000000000003,False,-0.00633285442077054,12,1.0670000000000002,92416,105,0,0.0,3665.210337175334,False,-0.03964167997852359,0.35000000000000003,419409,0.0,0.0,15,0,0,8,7,7.0,14,22,14,89.0,18.0,7,6,14,951,1.8551930477842689,52.276814667508006
12,14,0,0,0,10.000000000000002,20,10.0,19.022093978586458,1,1.0,33.176465294345086,10,14.0,37.00000000000001,20,37.0,0,0.4970000000000001,47677,1,27,1.0,523.5965374218343,False,0.032318322682090485,1,0.7320000000000002,43821,136,0,0.0,1360.0000000000002,False,-0.041711529350962576,0,0.41600000000000004,68422,65,14,1.0,1700.906622728951,False,0.007921855886457805,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,10,0.9300000000000002,97299,0,10,1.0,370.00000000000006,False,-0.006674206992123417,7,1.1250000000000002,92340,105,0,0.0,3483.528855906234,False,-0.04134172522694216,0.5,419088,0.0,0.0,10,0,0,8,8,7.5,16,24,12,94.0,30.0,9,5,12,414,1.9340657675638795,54.210880435071886
13,12,0,0,0,10.000000000000002,20,10.0,19.70160769444868,16,24.625,33.176465294345086,0,,37.00000000000001,20,37.0,0,0.4970000000000001,47937,4,22,1.0,473.43536927787096,False,0.03737709816613407,1,0.7410000000000001,43733,143,0,0.0,1430.0000000000002,False,-0.04285283603945045,0,0.41600000000000004,68028,71,24,1.0,2195.0493133701384,False,0.005784027713378379,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,0,0.9200000000000002,97484,0,5,0.0,185.00000000000003,False,-0.005731666310029652,15,1.2680000000000002,92076,105,0,0.0,3483.528855906234,False,-0.044031787281782746,0.3333333333333333,418787,0.0,0.0,11,0,0,10,7,7.0,13,23,17,72.0,12.0,8,4,17,775,1.9014561017975211,56.11233653686941
14,17,0,0,0,10.000000000000002,20,10.0,20.250993305242254,19,23.68421052631579,33.92578324932728,20,38.0,37.00000000000001,20,37.0,0,0.4970000000000001,48264,6,16,1.0,384.01589288387606,False,0.043455961635771125,3,0.77,43587,151,0,0.0,1510.0000000000002,False,-0.0451354494164262,0,0.41600000000000004,68338,80,14,1.0,2095.0404299099623,False,0.00956699183673303,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,7,0.9900000000000002,96830,10,10,1.0,709.2578324932729,False,-0.009724687267583307,8,1.3330000000000002,91982,105,0,0.0,3562.2072411793647,False,-0.04458876062941663,0.5,418530,0.0,0.0,14,0,0,12,9,8.5,14,26,14,150.0,33.0,11,6,14,1555,2.049112517386675,58.16144905425608
15,14,0,0,0,10.000000000000002,20,10.0,19.79610651629043,3,1.0,32.195086979738186,13,16.76923076923077,37.0,20,37.0,0,0.4970000000000001,48184,4,26,1.0,554.6987694235512,False,0.04357098463998835,3,0.7970000000000002,43404,163,0,0.0,1630.0000000000002,False,-0.047784142297256554,0,0.41600000000000004,68553,73,11,1.0,1799.2617324663215,False,0.010543459233982621,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,0,0.9830000000000001,97060,10,10,1.0,691.9508697973819,False,-0.007469248363049452,10,1.4250000000000003,91789,108,0,0.0,3477.0693938117242,False,-0.04698912056464954,0.5,418519,0.0,0.0,13,0,0,7,3,3.0,15,22,19,83.0,54.0,6,8,19,788,1.8055976368486881,59.96704669110477
16,19,0,0,0,10.000000000000002,20,10.0,20.380460404947627,19,23.894736842105264,30.884864456388517,9,14.0,37.0,20,37.0,0,0.4970000000000001,48532,4,20,1.0,447.60920809895254,False,0.04991180938131431,3,0.8240000000000001,43244,173,0,0.0,1730.0000000000002,False,-0.05015289202808045,0,0.41600000000000004,68225,82,12,1.0,2041.8161266823677,False,0.007535619592323063,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,2,1.0030000000000001,97290,9,10,1.0,647.9637801074966,False,-0.005349739756327757,8,1.495,91694,108,0,0.0,3335.5653612899596,False,-0.04867807211562199,0.5,418514,0.0,0.0,12,0,0,13,5,5.0,15,28,14,205.0,33.0,13,6,14,1144,2.1798004237934947,62.146847114898264
17,14,0,0,0,10.000000000000002,20,10.0,18.630953751659458,14,3.642857142857143,31.598277924406116,28,34.464285714285715,37.0,20,37.0,0,0.4970000000000001,48462,4,27,1.0,543.0357512948054,False,0.049431885000374806,11,0.931,42895,183,0,0.0,1830.0000000000002,False,-0.05659158447822904,16,0.5760000000000001,68521,86,10,1.0,1918.2448018867744,False,0.010943464104053568,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,1,1.0110000000000001,97165,15,10,1.0,843.9741688660918,False,-0.00562480681041132,9,1.5770000000000002,91104,120,0,0.0,3791.793350928734,False,-0.05236555624711519,0.5,417676,0.0,0.0,12,0,0,11,11,9.772727272727273,11,22,16,62.0,18.0,8,6,16,771,2.1262440839782357,64.2730911988765
18,16,0,0,0,10.000000000000002,20,10.0,16.245792632943655,55,11.018181818181818,31.841807231867023,5,38.0,37.0,20,37.0,0,0.4970000000000001,48808,7,20,1.0,394.91585265887306,False,0.05528786610813206,38,1.3000000000000003,41849,190,0,0.0,1900.0000000000002,False,-0.07836254791334683,0,0.56,68105,131,15,1.0,2605.8259433936237,False,0.009892808923536497,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,1,1.0200000000000002,97338,10,10,1.0,688.4180723186703,False,-0.0046545304500827485,9,1.6580000000000004,90986,120,0,0.0,3821.0168678240425,False,-0.053419044071041866,0.5,416615,0.0,0.0,12,0,0,11,7,6.2,15,26,12,130.0,31.0,10,6,12,1088,1.972610796801746,66.24570199567825
19,12,0,0,0,10.000000000000002,20,10.0,16.55216883788957,21,18.857142857142858,32.924366240496724,14,42.07142857142857,37.00000000000001,20,37.0,0,0.4970000000000001,49068,10,15,1.0,348.2825325683436,False,0.06038462608820726,6,1.3220000000000003,41649,197,0,0.0,1970.0000000000005,False,-0.08191567250958266,0,0.56,68298,142,11,1.0,2712.576003625783,False,0.013477592856083295,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,5,1.0690000000000002,97665,0,10,1.0,370.00000000000006,False,-0.00294480277973079,5,1.6990000000000003,90350,134,0,0.0,4411.865076226561,False,-0.05688938609407799,0.5,416559,0.0,0.0,13,0,0,10,6,6.0,12,22,17,63.0,33.0,6,6,17,1549,1.558784157037735,67.80448615271598
