index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,13.0,0,,20.0,0,,27.0,0,,0,0.2,26507,10,0,0.0,100.0,False,-0.001879204720562258,0,0.2,26507,10,0,0.0,100.0,False,-0.001879204720562258,0,0.2,42087,0,0,0.0,0.0,False,0.0,0,0.2,42087,0,0,0.0,0.0,False,0.0,0,0.2,57809,0,0,0.0,0.0,False,0.0,0,0.2,57809,0,0,0.0,0.0,False,0.0,0.0,252806,0.0,0.0,11,0,0,2,0,0.0,826,828,73,0.0,0.0,0,0,73,200,2.7691287314519286,2.7691287314519286
1,73,0,0,0,10.0,20,10.0,12.510204081632653,4,7.0,20.0,0,,27.0,0,,0,0.2,26407,20,0,0.0,200.0,False,-0.003758409441124516,4,0.24000000000000002,26371,20,0,0.0,200.0,False,-0.005111436839929342,0,0.2,42059,0,4,0.4,80.0,False,0.00028512367239290045,0,0.2,42087,0,0,0.0,0.0,False,0.0,0,0.2,57809,0,0,0.0,0.0,False,0.0,0,0.2,57809,0,0,0.0,0.0,False,0.0,0.06666666666666667,252542,0.0,0.0,11,0,0,47,1,1.0,44,91,43,1314.0,0.0,73,0,43,200,4.725459082052112,7.49458781350404
2,43,0,0,0,10.0,20,10.0,11.41016333938294,11,7.0,20.0,0,,27.0,0,,7,0.27,26228,31,0,0.0,310.0,False,-0.008418837148118917,4,0.276,26245,29,0,0.0,290.0,False,-0.0081557484872402,0,0.2,41989,0,14,1.0,280.0,False,0.0009979328533751516,0,0.2,42080,0,1,0.1,20.0,False,7.128091809822511e-05,0,0.2,57809,0,0,0.0,0.0,False,0.0,0,0.2,57809,0,0,0.0,0.0,False,0.0,0.18333333333333335,252160,0.0,0.0,10,0,0,13,4,4.0,47,60,18,708.0,6.0,41,2,18,200,2.0587507896125317,9.553338603116572
3,18,0,0,0,10.0,20,10.0,10.550901120311739,12,7.0,20.0,0,,27.0,20,27.0,6,0.32300000000000006,26060,42,0,0.0,420.0,False,-0.012665839816589619,6,0.332,26097,38,0,0.0,380.0,False,-0.012026910211598452,0,0.2,41989,0,14,0.0,280.0,False,0.0009979328533751516,0,0.2,41996,2,11,1.0,241.10180224062347,False,0.0007021384541618624,11,0.31000000000000005,57686,0,0,0.0,0.0,False,-0.002127696379456486,9,0.29000000000000004,57718,0,0,0.0,0.0,False,-0.001574149353906831,0.16666666666666666,251546,0.0,0.0,8,0,0,11,15,15.0,20,31,18,154.0,28.0,10,8,18,200,1.1506665367633104,10.704005139879882
4,18,0,0,0,10.0,20,10.0,10.008207118949732,10,7.0,21.5,9,29.0,27.0,20,27.0,4,0.35700000000000004,25904,54,0,0.0,540.0,False,-0.016273912880069154,6,0.38600000000000007,25959,46,0,0.0,460.0,False,-0.015710151463900476,0,0.2,42250,0,5,0.0,107.5,False,0.005150046332596764,0,0.2,41926,2,21,1.0,471.5164142378995,False,0.0017762778796052534,8,0.379,57613,0,0,0.0,0.0,False,-0.0033904755314916363,12,0.401,57330,9,0,0.0,193.5,False,-0.006612292203636112,0.16666666666666666,250982,0.0,0.0,10,0,0,7,13,13.0,19,26,17,144.0,27.0,8,10,17,461,1.162593306042254,11.866598445922136
5,17,0,0,0,10.0,20,10.0,9.862385054267474,3,7.0,21.5,0,,27.0,20,27.0,0,0.35300000000000004,25814,63,0,0.0,630.0,False,-0.017965197128575187,3,0.4100000000000001,25822,57,0,0.0,570.0,False,-0.01879204720562258,0,0.2,42250,0,5,0.0,107.5,False,0.005150046332596764,0,0.2,41905,0,26,0.5,559.0,False,0.002316629838192316,10,0.4710000000000001,57507,0,0,0.0,0.0,False,-0.005224100053624868,10,0.48900000000000005,57225,9,0,0.0,193.5,False,-0.008428618381220917,0.08333333333333333,250523,0.0,0.0,10,0,0,9,12,12.0,18,27,18,111.0,45.0,7,10,18,200,1.364496192894876,13.231094638817012
6,18,0,0,0,10.0,20,10.0,9.716093991885055,3,7.0,22.14638783269962,4,30.0,27.0,20,27.0,0,0.35300000000000004,25704,74,0,0.0,740.0,False,-0.02003232232119367,3,0.43700000000000006,25705,66,0,0.0,660.0,False,-0.021498102003232232,0,0.2,42370,0,1,0.0,22.14638783269962,False,0.00698726908347833,0,0.2,41884,0,29,0.3,642.245247148289,False,0.0028066296855119507,11,0.5710000000000002,57384,0,0,0.0,0.0,False,-0.0073517964330813545,9,0.5690000000000001,57020,13,0,0.0,287.90304182509504,False,-0.011158270841693409,0.049999999999999996,250067,0.0,0.0,10,0,0,11,11,11.0,18,29,13,153.0,20.0,11,7,13,320,1.4405976980924606,14.671692336909473
7,13,0,0,0,10.0,20,10.0,9.570143805932089,3,7.0,22.14638783269962,0,,27.0,20,27.0,3,0.383,25567,85,0,0.0,850.0,False,-0.023114218062915776,0,0.43400000000000005,25615,75,0,0.0,750.0,False,-0.023189386251738265,0,0.2,42370,0,1,0.0,22.14638783269962,False,0.00698726908347833,0,0.2,41863,0,32,0.3,708.6844106463878,False,0.0030969706874614867,16,0.72,57159,0,0,0.0,0.0,False,-0.011243923956477365,4,0.6000000000000001,56994,13,0,0.0,287.90304182509504,False,-0.011608027799952505,0.049999999999999996,249568,0.0,0.0,11,0,0,12,11,11.0,20,32,9,180.0,9.0,10,3,9,200,1.1009486643597484,15.772641001269221
8,9,0,0,0,10.0,20,10.0,9.425336853256287,3,7.0,21.83610408384532,8,20.0,27.0,20,27.0,3,0.41000000000000003,25410,98,0,0.0,980.0,False,-0.026571954748750327,0,0.43400000000000005,25545,82,0,0.0,820.0,False,-0.024504829556131844,0,0.2,42370,0,1,0.0,21.83610408384532,False,0.00698358286506344,0,0.2,42002,0,27,0.3,589.5748102638237,False,0.004984612947748915,10,0.804,56893,0,8,0.8,216.0,False,-0.013977062395128786,10,0.6960000000000002,56891,13,0,0.0,283.86935308998915,False,-0.013424645357210893,0.18333333333333335,249111,0.0,0.0,11,0,0,12,12,12.0,15,27,6,111.0,6.0,7,2,6,360,0.8421161649748683,16.61475716624409
9,6,0,0,0,10.000000000000002,20,10.0,9.425336853256287,0,,20.6428953616694,10,14.7,26.999999999999996,20,27.0,0,0.40700000000000003,25310,108,0,0.0,1080.0000000000002,False,-0.028451159469312585,0,0.43400000000000005,25445,92,0,0.0,920.0000000000001,False,-0.026384034276694102,0,0.2,42399,0,0,0.0,0.0,False,0.007413215482215411,0,0.2,42120,0,18,0.0,371.57211651004917,False,0.005198423699836707,1,0.804,57104,0,0,0.0,0.0,False,-0.012195332906640835,11,0.796,56619,23,0,0.0,474.78659331839617,False,-0.016478518973530133,0.0,248997,0.0,0.0,17,0,0,10,7,6.5,13,23,5,72.0,6.0,4,2,5,536,0.7481256080791354,17.362882774323225
