index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,30,0,0,0,10.000000000000002,20,10.0,7.605953755653577,0,,29.402343867297624,10,34.5,29.999999999999996,8,30.0,0,0.281,11527,114,0,0.0,1140.0000000000002,False,-0.05307240704500978,0,0.7040000000000002,10568.0,106,0,0.0,1060.0000000000002,False,-0.1312720156555773,0,0.29900000000000004,19362,0,13,0.0,382.2304702748691,False,0.04022531441918567,0,0.398,19452,0,5,0.0,147.0117193364881,False,0.03875649623175203,0,0.38900000000000007,23233,15,12,1.0,801.0351580094643,False,-0.029942224725824716,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.16666666666666666,108505,0.0,0.0,17,0,0,20,0,0.0,19,39,24,216.0,55.0,16,14,24,785,1.1800699662417173,13.205957443453372
11,24,0,0,0,10.000000000000002,20,10.0,7.534051985915763,1,3.0,29.402343867297624,0,,30.0,12,30.0,0,0.281,11427,124,0,0.0,1240.0000000000002,False,-0.05698630136986301,1,0.7140000000000002,10450.0,116,0,0.0,1160.0000000000002,False,-0.1365949119373777,0,0.29900000000000004,19362,0,13,0.0,382.2304702748691,False,0.04022531441918567,0,0.398,19449,0,6,0.1,176.41406320378576,False,0.039378998329621454,0,0.389,23593,5,10,1.0,447.0117193364881,False,-0.02243131553305246,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.18333333333333335,108644,0.0,0.0,18,0,0,22,1,1.0,12,34,22,162.0,31.0,14,10,22,560,1.1266029523685575,14.332560395821929
12,22,0,0,0,10.000000000000002,20,10.0,6.801805720332511,9,2.111111111111111,29.669886044577787,5,34.0,30.000000000000004,9,30.0,1,0.29100000000000004,11325,133,0,0.0,1330.0000000000002,False,-0.061448140900195694,8,0.7930000000000001,10172.0,127,0,0.0,1270.0000000000002,False,-0.1540508806262231,0,0.29900000000000004,19529,0,9,0.1,267.02897440120006,False,0.046045352300930924,0,0.398,19433,0,14,0.8,415.378404624089,False,0.04488424760930177,0,0.389,23693,0,11,1.0,330.00000000000006,False,-0.020728153347288922,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.31666666666666665,108515,0.0,0.0,14,0,0,19,4,4.0,14,33,24,171.0,47.0,10,12,24,640,0.938363466411829,15.270923862233758
13,24,0,0,0,10.000000000000002,20,10.0,6.305830112932596,9,3.0,27.532069301869175,10,11.0,30.0,12,30.0,2,0.31000000000000005,11201,143,0,0.0,1430.0000000000002,False,-0.06724070450097848,7,0.8550000000000002,9926.0,137,0,0.0,1370.0000000000002,False,-0.16939334637964776,0,0.29900000000000004,19527,0,11,0.2,302.85276232056094,False,0.04689186472098098,0,0.398,19518,0,11,0.7,302.85276232056094,False,0.046413064912500905,1,0.399,23907,0,10,1.0,300.0,False,-0.012560029553010712,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.31666666666666665,108442,0.0,0.0,18,0,0,22,5,5.0,12,34,23,222.0,55.0,15,9,23,640,1.1858517192304134,16.45677558146417
14,23,0,0,0,10.000000000000002,20,10.0,6.213852177904139,8,5.5,28.318531668848028,10,34.5,30.0,7,30.0,4,0.3480000000000001,11071,151,0,0.0,1510.0000000000002,False,-0.07428571428571429,4,0.8880000000000001,9730.0,149,0,0.0,1490.0000000000002,False,-0.18003913894324852,0,0.29900000000000004,19679,0,8,0.2,226.54825335078422,False,0.05294856235970586,0,0.398,19667,0,12,0.6,339.82238002617635,False,0.05532325317939503,0,0.398,23772,0,13,1.0,390.0,False,-0.01625415589213151,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.3,108282,0.0,0.0,19,0,0,13,3,3.0,21,34,24,211.0,136.0,13,10,24,755,1.0767653966322541,17.533540978096426
15,24,0,0,0,10.000000000000002,20,10.0,6.164349415804427,19,6.0,28.87503324759357,11,32.90909090909091,30.0,4,30.0,11,0.45400000000000007,10798,164,0,0.0,1640.0000000000002,False,-0.09056751467710372,8,0.9640000000000002,9508.0,156,0,0.0,1560.0000000000002,False,-0.1946771037181996,0,0.29900000000000004,19588,6,17,1.0,527.8616617039173,False,0.05612229775240504,0,0.398,20006,0,5,0.3,144.37516623796785,False,0.06815915215826902,0,0.398,23530,1,19,1.0,598.8750332475936,False,-0.02190052470451935,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.3833333333333333,107793,0.0,0.0,17,0,0,19,4,4.0,14,33,29,192.0,105.0,12,12,29,682,1.0925903655588627,18.626131343655288
16,29,0,0,0,10.000000000000002,20,10.0,6.164349415804427,0,,29.488679125647035,10,34.5,29.999999999999996,10,30.0,0,0.44300000000000006,10728,171,0,0.0,1710.0000000000002,False,-0.09330724070450098,0,0.9560000000000002,9378.0,169,0,0.0,1690.0000000000002,False,-0.1997651663405088,0,0.29900000000000004,19758,0,18,0.6,530.7962242616467,False,0.06524435346761846,0,0.398,20181,0,0,0.0,0.0,False,0.07362877054849178,0,0.398,23485,1,19,1.0,599.488679125647,False,-0.02373499406629622,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.26666666666666666,107893,0.0,0.0,17,0,0,19,0,0.0,23,42,28,281.0,44.0,21,8,28,845,1.2117461413145065,19.837877484969795
17,28,0,0,0,10.000000000000002,20,10.0,5.675573662161578,12,2.6666666666666665,28.664704466631786,12,23.0,29.999999999999996,11,30.0,2,0.4630000000000001,10584,183,0,0.0,1830.0000000000002,False,-0.0998825831702544,10,1.056,9079.0,177,0,0.0,1770.0000000000002,False,-0.22003913894324853,0,0.29900000000000004,20013,0,11,0.5,315.31174913294967,False,0.07307846329555107,0,0.398,20170,0,7,0.7,200.6529312664225,False,0.07838093661931214,0,0.398,23539,3,18,1.0,625.9941133998952,False,-0.020974549246810848,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.3666666666666667,107748,0.0,0.0,15,0,0,16,4,4.0,24,40,29,197.0,110.0,16,12,29,806,1.222850264981389,21.060727749951184
18,29,0,0,0,10.000000000000002,20,10.0,5.7737049606997966,7,6.857142857142857,28.471037849390584,1,12.0,29.999999999999996,10,30.0,2,0.4810000000000001,10440,195,0,0.0,1950.0000000000005,False,-0.10645792563600782,5,1.0960000000000003,8924.0,185,0,0.0,1850.0000000000002,False,-0.22904109589041097,0,0.29900000000000004,19983,0,16,0.5,455.53660559024934,False,0.07521244362372316,0,0.398,20164,0,8,0.2,227.76830279512467,False,0.07878300534114827,0,0.398,23827,0,12,0.4,359.99999999999994,False,-0.014612321963633379,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.18333333333333335,107701,0.0,0.0,17,0,0,16,2,2.0,15,31,25,172.0,90.0,12,17,25,512,0.9828210799023509,22.043548829853535
19,25,0,0,0,10.000000000000002,20,10.0,5.636999355202393,10,4.6,28.8063558264619,5,34.0,29.999999999999996,13,30.0,3,0.509,10283,207,0,0.0,2070.0000000000005,False,-0.1140508806262231,7,1.1610000000000003,8711.0,193,0,0.0,1930.0000000000005,False,-0.24258317025440312,0,0.29900000000000004,19965,0,18,0.2,518.5144048763142,False,0.07593005279768893,0,0.398,20306,0,11,0.8,316.8699140910809,False,0.08870750423182111,1,0.40800000000000003,24011,0,5,0.5,149.99999999999997,False,-0.011369699954849566,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.25,107639,0.0,0.0,17,0,0,16,5,4.5,21,37,28,176.0,48.0,14,11,28,700,0.9828131515532732,23.026361981406808
20,28,0,0,0,10.000000000000002,20,10.0,5.586130768452683,5,4.8,28.50259375524297,15,27.0,29.999999999999996,11,30.0,2,0.526,10189,214,0,0.0,2140.0000000000005,False,-0.1186692759295499,3,1.1840000000000002,8524.0,206,0,0.0,2060.0000000000005,False,-0.252133072407045,0,0.29900000000000004,20024,0,16,0.3,456.0415000838875,False,0.07740707293940213,0,0.398,20628,0,3,0.2,85.50778126572891,False,0.09968366710820145,6,0.4670000000000001,23701,5,10,1.0,442.5129687762148,False,-0.018090691442428756,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.25,107429,0.0,0.0,15,0,0,15,6,5.666666666666666,24,39,25,277.0,84.0,17,11,25,725,0.977979339659214,24.004341321066022
21,25,0,0,0,10.000000000000002,20,10.0,5.318434517029974,12,3.6666666666666665,28.687857650153894,6,31.166666666666668,30.0,9,30.0,2,0.544,10045,226,0,0.0,2260.0000000000005,False,-0.12524461839530332,10,1.2810000000000004,8232.0,214,0,0.0,2140.0000000000005,False,-0.2718590998043053,0,0.29900000000000004,20026,0,19,0.4,545.069295352924,False,0.07988161130374319,2,0.41800000000000004,20713,0,8,0.8,229.50286120123116,False,0.10803593289357961,0,0.4610000000000001,23784,1,11,1.0,358.6878576501539,False,-0.016404222434631306,0,0.2,24363,0,0,0.0,0.0,False,0.0,0.3666666666666667,107163,0.0,0.0,18,0,0,14,6,5.4,19,33,31,191.0,73.0,13,12,31,482,0.8609526883810759,24.865294009447098
