index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,31,0,0,0,9.999999999999998,9,10.0,23.755206191342523,25,25.88,33.719319885742856,32,30.15625,29.999999999999996,20,30.0,15,0.4670000000000001,25840,2,10,1.0,257.55206191342523,False,0.06133627721745598,0,0.2,24591,0,9,0.0,213.7968557220827,False,0.009395881472169387,8,0.802,33812,24,10,1.0,907.3181474496491,False,-0.009118907095664493,7,0.43200000000000005,35111,4,10,1.0,432.21402362279866,False,0.02157563436023829,13,0.9870000000000001,38956,108,0,0.0,3641.6865476602284,False,-0.0724313988801412,0,0.31700000000000006,43639,0,11,0.7,329.99999999999994,False,-0.003571347330588476,0.6166666666666667,201949,0.0,0.0,6,0,0,16,10,8.490909090909092,16,32,26,310.0,115.0,20,11,26,531,1.291851706802845,17.250016938894987
11,26,0,0,0,9.999999999999996,8,10.0,23.998687465045222,22,25.181818181818183,33.11667480395946,19,28.68421052631579,29.999999999999993,20,30.0,3,0.4820000000000001,26035,0,10,1.0,239.98687465045222,False,0.0689469281234766,0,0.2,24807,0,0,0.0,0.0,False,0.013854830799411477,4,0.8340000000000001,33827,23,10,1.0,883.1365597356347,False,-0.009034779796193946,0,0.42500000000000004,34963,7,15,1.0,664.7409343147085,False,0.020657889221172256,11,1.0840000000000003,38684,116,0,0.0,3841.5342772592976,False,-0.07634568961967085,0,0.31700000000000006,43516,1,12,1.0,393.11667480395937,False,-0.005651410627556765,0.6666666666666666,201832,0.0,0.0,8,0,0,16,6,4.8307692307692305,14,30,26,247.0,39.0,18,8,26,908,1.22042222507298,18.470439163967967
12,26,0,0,0,9.999999999999998,8,10.0,24.032330412035314,3,25.333333333333332,32.919883053659944,36,32.138888888888886,30.0,20,30.0,0,0.47900000000000004,26031,0,15,0.8,360.4849561805297,False,0.07124580995954985,0,0.2,24807,0,0,0.0,0.0,False,0.013854830799411477,0,0.8300000000000003,33921,16,10,1.0,713.7161171291644,False,-0.008766141564310367,11,0.5350000000000001,35577,0,7,0.7,230.43918137561963,False,0.03213381887995753,9,1.1630000000000003,37643,146,0,0.0,4806.302925834352,False,-0.0890527635195475,0,0.31700000000000006,43643,0,8,0.7,240.0,False,-0.004503992174882282,0.5333333333333333,201622,0.0,0.0,9,0,0,19,6,5.285714285714286,9,28,29,214.0,54.0,16,10,29,846,1.4621579488739371,19.932597112841904
13,29,0,0,0,9.999999999999998,11,10.0,24.137064038392452,13,25.0,32.15895500980198,22,26.59090909090909,29.999999999999996,20,30.0,0,0.47900000000000004,26246,1,12,1.0,299.64476846070943,False,0.0787895367104118,0,0.2,24807,0,0,0.0,0.0,False,0.013854830799411477,9,0.9200000000000002,34072,8,10,1.0,514.6860624051594,False,-0.007277319013256378,0,0.524,35416,1,14,1.0,474.36243417562014,False,0.031004922271993612,16,1.3140000000000003,37059,162,0,0.0,5209.750711587921,False,-0.09774856450503938,0,0.31700000000000006,43535,0,10,0.6,299.99999999999994,False,-0.006278292122563181,0.6,201135,0.0,0.0,10,0,0,19,5,5.0,9,28,30,289.0,108.0,18,11,30,951,1.3615848226472735,21.294181935489178
14,30,0,0,0,9.999999999999996,7,10.0,24.22328558314865,12,25.0,31.54933958203276,8,19.0,29.999999999999996,20,30.0,0,0.4790000000000001,26476,0,8,0.8,193.7862846651892,False,0.08602636677834706,0,0.2,24807,0,0,0.0,0.0,False,0.013854830799411477,0,0.9110000000000005,33772,10,20,1.0,873.2196474721418,False,-0.010768635269770361,0,0.524,35568,0,7,0.1,220.84537707422933,False,0.031734845393051596,11,1.4080000000000001,36783,170,0,0.0,5363.3877289455695,False,-0.10227943257722105,0,0.31700000000000006,43805,0,1,0.0,29.999999999999996,False,-0.003207388366961625,0.3166666666666667,201211,0.0,0.0,7,0,0,19,3,3.0,10,29,26,229.0,134.0,18,12,26,792,1.4378821989521384,22.732064134441316
15,26,0,0,0,9.999999999999998,10,10.0,23.679355364776267,10,17.8,29.971767172700492,29,21.517241379310345,30.0,20,30.0,2,0.49900000000000005,26512,0,10,1.0,236.79355364776268,False,0.08837652349288376,0,0.2,24807,0,0,0.0,0.0,False,0.013854830799411477,1,0.921,33961,3,10,1.0,370.7557378213337,False,-0.012568234900359465,1,0.534,35765,0,7,0.7,209.80237020890345,False,0.037271946592187875,10,1.497,36387,176,0,0.0,5275.0310223952865,False,-0.11229236115653325,9,0.40700000000000003,43418,13,10,1.0,689.6329732451063,False,-0.004508166633548916,0.6166666666666667,200850,0.0,0.0,13,0,0,14,8,6.7,11,25,26,194.0,88.0,14,12,26,744,1.21657723095268,23.948641365393996
16,26,0,0,0,9.999999999999998,10,10.0,23.32877263527863,16,21.0,30.50179417606465,16,36.0,30.000000000000004,20,30.0,6,0.5570000000000002,26618,0,10,1.0,233.28772635278628,False,0.09263707140658788,0,0.2,24807,0,0,0.0,0.0,False,0.013854830799411477,0,0.9200000000000002,34121,0,11,0.7,335.51973593671113,False,-0.008450887251139126,3,0.5630000000000002,35755,2,10,1.0,351.6754870312038,False,0.03903408644965732,8,1.5670000000000002,36277,178,0,0.0,5429.319363339508,False,-0.1130397470105376,2,0.41800000000000004,43174,17,10,1.0,818.5305009930992,False,-0.008592496747195201,0.6166666666666667,200752,0.0,0.0,7,0,0,14,6,4.133333333333334,13,27,19,223.0,62.0,15,11,19,566,1.2362589426338673,25.184900308027864
17,19,0,0,0,10.0,10,10.0,23.25942477792387,14,22.714285714285715,30.664839703986004,20,32.0,30.000000000000004,20,30.0,4,0.591,26750,0,10,1.0,232.59424777923869,False,0.098017701646625,0,0.2,24807,0,0,0.0,0.0,False,0.013854830799411477,0,0.9200000000000002,34403,0,7,0.2,214.65387792790204,False,-0.002043696279345491,4,0.6000000000000001,35675,4,10,1.0,399.6860961515555,False,0.0374148534766425,10,1.6590000000000003,35533,198,0,0.0,6071.638261389229,False,-0.12265828505505749,0,0.41600000000000004,43474,7,10,1.0,514.6538779279022,False,-0.005224473079230373,0.5333333333333333,200642,0.0,0.0,8,0,0,8,6,4.566666666666666,12,20,21,95.0,62.0,8,11,21,800,0.9291582778096199,26.114058585837483
18,21,0,0,0,10.0,13,10.0,23.46386429927515,9,26.0,30.495945207484105,16,28.75,30.000000000000004,20,30.0,0,0.5870000000000002,26854,3,11,1.0,288.10250729202664,False,0.10340245437493918,0,0.2,24807,0,0,0.0,0.0,False,0.013854830799411477,5,0.9700000000000002,34553,0,0,0.0,0.0,False,-0.0008096931841184465,0,0.5960000000000001,35601,3,16,1.0,558.3267162175712,False,0.03756870414703994,7,1.7190000000000003,35017,214,0,0.0,6526.132274401599,False,-0.1292266750710676,3,0.44600000000000006,43754,0,7,0.7,210.00000000000003,False,-0.0023202383931211754,0.45,200586,0.0,0.0,9,0,0,14,5,3.616666666666667,10,24,14,175.0,57.0,12,9,14,704,0.9716226924210787,27.085681278258562
19,14,0,0,0,10.0,10,10.0,23.46386429927515,0,,30.495945207484105,0,,30.000000000000007,20,30.0,0,0.5870000000000002,26754,3,21,1.0,522.7411502847782,False,0.10411028997639316,0,0.2,24807,0,0,0.0,0.0,False,0.013854830799411477,0,0.9650000000000001,34553,0,0,0.0,0.0,False,-0.0008096931841184465,0,0.5960000000000001,35601,0,19,0.3,579.422958942198,False,0.037873730646051346,11,1.822,34905,214,0,0.0,6526.132274401599,False,-0.1317743878164556,2,0.4630000000000001,43952,0,0,0.0,0.0,False,-0.00020472691704010373,0.21666666666666667,200572,0.0,0.0,5,0,0,10,4,4.0,11,21,16,141.0,30.0,9,5,16,310,0.8410499673336744,27.926731245592237
20,16,0,0,0,10.0,12,10.0,23.83615034478442,27,25.333333333333332,30.495945207484105,0,,30.000000000000007,20,30.0,6,0.647,27192,5,10,1.0,288.3615034478442,False,0.11722170801552727,0,0.2,24807,0,0,0.0,0.0,False,0.013854830799411477,0,0.9650000000000003,34403,0,6,0.6,182.97567124490462,False,-0.0025017253514227236,0,0.5960000000000001,35067,11,29,1.0,1146.5800648096676,False,0.030632139972957155,11,1.9210000000000005,34788,214,0,0.0,6526.132274401599,False,-0.13443583773797693,9,0.5510000000000002,43871,0,0,0.0,0.0,False,-0.0020472691704010375,0.43333333333333335,200128,0.0,0.0,6,0,0,7,7,7.0,13,20,15,120.0,54.0,8,8,15,654,1.0179124064743519,28.94464365206659
21,15,0,0,0,10.0,13,10.0,23.83615034478442,0,,32.900604210512306,26,48.0,30.00000000000001,20,30.0,0,0.6410000000000001,27062,8,20,1.0,556.7230068956884,False,0.11739257411508267,0,0.2,24807,0,0,0.0,0.0,False,0.013854830799411477,0,0.9650000000000001,34403,0,6,0.0,197.40362526307382,False,-0.0022931143508996875,0,0.5960000000000001,36315,1,13,1.0,451.54400508144437,False,0.056671929745835146,13,2.0400000000000005,33380,240,0,0.0,7896.145010522953,False,-0.15088208854981736,7,0.6120000000000001,43815,0,0,0.0,0.0,False,-0.003321125543095016,0.3333333333333333,199782,0.0,0.0,5,0,0,6,6,6.0,13,19,14,111.0,39.0,7,8,14,1378,0.7880888152867556,29.732732467353344
22,14,0,0,0,10.0,11,10.0,24.029892196215158,12,26.0,33.570184720183356,42,36.28571428571429,30.00000000000001,20,30.0,0,0.6410000000000001,27264,9,18,1.0,522.5380595318728,False,0.12494969060674904,0,0.2,24807,0,0,0.0,0.0,False,0.013854830799411477,0,0.9650000000000001,34151,2,11,1.0,417.3318163144472,False,-0.006400453770647998,24,0.8360000000000001,36799,0,1,0.1,33.570184720183356,False,0.06462465204476714,7,2.0970000000000004,32448,258,0,0.0,8661.107657807306,False,-0.16338222904611688,13,0.7350000000000001,42996,14,10,1.0,769.9825860825671,False,-0.01319371049245279,0.5166666666666667,198465,0.0,0.0,6,0,0,6,10,10.0,12,18,20,107.0,51.0,7,7,20,1119,1.3414389789104462,31.07417144626379
23,20,0,0,0,10.0,9,10.0,24.190881177891946,24,25.0,32.72393808837069,30,27.333333333333332,30.00000000000001,13,30.0,6,0.7010000000000001,27648,8,10,1.0,321.90881177891947,False,0.13654382891488723,0,0.2,24807,0,0,0.0,0.0,False,0.013854830799411477,4,1.0050000000000001,33921,4,10,1.0,424.0029055952747,False,-0.012955048934454233,14,0.9520000000000002,36655,2,10,1.0,375.6211432394908,False,0.06540616441455557,13,2.2200000000000006,31993,264,0,0.0,8639.119655329861,False,-0.17398239740531535,0,0.7220000000000002,42464,28,20,1.0,1516.2702664743795,False,-0.01680728069795518,0.6666666666666666,197488,0.0,0.0,5,0,0,8,8,7.133333333333334,12,20,20,120.0,96.0,8,12,20,510,0.9594559753313661,32.033627421595156
24,20,0,0,0,10.0,9,10.0,24.13491037714732,54,24.0,31.27592523816174,44,24.727272727272727,30.00000000000001,11,30.0,44,1.135,27426,7,10,1.0,311.3491037714732,False,0.12725496779000062,0,0.2,24807,0,0,0.0,0.0,False,0.013854830799411477,34,1.3410000000000002,33084,30,10,1.0,1036.806563696037,False,-0.028298681881726406,0,0.9380000000000002,36223,10,20,1.0,866.867608534708,False,0.060016593050153416,11,2.3170000000000006,31882,264,0,0.0,8256.8442628747,False,-0.18085525507979006,0,0.7220000000000002,41376,62,30,1.0,2839.1073647660282,False,-0.026510914620163063,0.6666666666666666,194798,0.0,0.0,3,0,0,9,8,7.2118863049095605,12,21,17,174.0,90.0,10,10,17,90,0.9761894065886736,33.00981682818383
