index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1010,3b9631b3-50e6-48f6-aae2-66cc3f9fdbc6,05Ran@2,06Ran@3,RandomAgent,RandomAgent,13,5,19,12,-1,12,06Ran@3|05Ran@2,"[quantity: (1, 5), time: (12, 16), unit_price: (1, 34)]",05Ran@2,06Ran@3,p3,06Ran@3,True,3,9,-1,05Ran@2:product(1.0),-1,-1
1011,fd9880cd-4bc5-4eaa-b719-4b1f176e14b7,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,50,2,10,13,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,50,,-1,-1
1012,8a3012a6-c392-42ba-9aa8-5da545261c41,04Dec@2,07Ran@3,DecentralizingAgent,RandomAgent,22,5,65,13,-1,13,04Dec@2|07Ran@3,"[quantity: (1, 5), time: (18, 23), unit_price: (34, 68)]",04Dec@2,07Ran@3,p3,04Dec@2,False,3,12,-1,04Dec@2:product(1.0),-1,-1
1013,45425f69-5649-47f2-91a3-32b703b1aed2,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,50,2,10,13,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,50,,-1,-1
1014,ade4123f-a2e5-460e-8340-4f4513510cc4,06Ran@3,BUYER,RandomAgent,_SystemAgent,50,3,48,13,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
1015,ec5f67d9-eb1c-4865-ba41-64146b33dc7e,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,50,2,10,13,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,50,,-1,-1
1016,71d999b4-166e-412e-a8ad-949a65d3cec4,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,50,1,10,13,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,50,,-1,-1
1017,f3508cd7-3cd3-41e4-91e7-82d9ff1d4aa3,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,50,1,10,13,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,50,,-1,-1
1018,fa2bcd47-2de4-4e5d-a29b-dfd3394af490,07Ran@3,BUYER,RandomAgent,_SystemAgent,50,3,48,13,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1019,9b528acb-152c-41ae-9bcc-397f8c2b5e84,05Ran@2,07Ran@3,RandomAgent,RandomAgent,17,11,25,13,-1,13,07Ran@3|05Ran@2,"[quantity: (1, 11), time: (13, 17), unit_price: (1, 34)]",05Ran@2,07Ran@3,p3,07Ran@3,True,3,12,-1,05Ran@2:product(1.0),-1,-1
