index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,16,0,0,0,10.000000000000002,20,10.0,4.857263159942183,6,2.0,26.306999087868654,0,,33.99999999999999,20,34.0,5,0.6640000000000001,8554,118,0,0.0,1180.0000000000002,False,-0.14092446448703494,1,0.6060000000000001,8821,102,0,0.0,1020.0000000000002,False,-0.12335588124765126,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,18271,6,36,1.0,976.1955461229247,False,0.08735785839679233,0,0.686,23827,0,5,0.0,169.99999999999997,False,-0.026741015100329685,15,0.9890000000000003,22087,39,0,0.0,1025.9729644268775,False,-0.08014219210332368,0.16666666666666666,99336,0.0,0.0,13,0,0,3,11,11.0,27,30,13,136.0,39.0,10,6,13,370,0.4919731756672263,6.086188294924796
11,13,0,0,0,10.000000000000002,20,10.0,4.3924003383369365,10,1.0,26.08957968067731,1,10.0,33.99999999999999,20,34.0,0,0.659,8444,129,0,0.0,1290.0000000000002,False,-0.14609169485155957,10,0.7050000000000001,8541,111,0,0.0,1110.0000000000002,False,-0.14543404735062007,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,18271,6,45,1.0,1200.3854876605008,False,0.09385536423778414,8,0.7660000000000002,23893,0,1,0.1,33.99999999999999,False,-0.026822418494851237,7,1.0440000000000003,22013,39,0,0.0,1017.4936075464151,False,-0.08332667980897851,0.18333333333333335,98938,0.0,0.0,15,0,0,5,11,10.666666666666666,23,28,9,100.0,34.0,9,4,9,346,0.44609040301293135,6.532278697937727
12,9,0,0,0,10.000000000000002,20,10.0,4.347574004433944,1,1.0,26.476813022730596,6,30.833333333333332,34.0,20,34.0,1,0.6690000000000002,8327,139,0,0.0,1390.0000000000002,False,-0.15238632093198046,0,0.6950000000000001,8441,121,0,0.0,1210.0000000000002,False,-0.1501315295001879,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,18455,0,46,0.7,1217.9333990456075,False,0.10502937048010685,8,0.8380000000000001,23824,0,1,0.1,34.0,False,-0.029630835605844764,11,1.1470000000000005,21682,44,0,0.0,1164.9797730001462,False,-0.09379747297407008,0.13333333333333333,98505,0.0,0.0,14,0,0,3,12,11.5,25,28,8,62.0,26.0,6,3,8,385,0.3927411241456866,6.925019822083414
13,8,0,0,0,10.000000000000002,20,10.0,4.033373320659791,12,2.25,26.583850522876894,5,28.0,34.0,20,34.0,5,0.7180000000000002,8160,147,0,0.0,1470.0000000000002,False,-0.16431792559188274,7,0.7650000000000001,8202,133,0,0.0,1330.0000000000002,False,-0.16694851559564072,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,18568,2,51,1.0,1363.843123308041,False,0.11580811277846166,10,0.9299999999999999,23583,0,5,0.5,170.0,False,-0.036672229231958973,9,1.2260000000000004,21572,44,0,0.0,1169.6894230065834,False,-0.09817881429837232,0.25,97861,0.0,0.0,13,0,0,2,15,14.75,22,24,7,76.0,6.0,6,2,7,340,0.38442265801131725,7.309442480094731
14,7,0,0,0,10.000000000000002,20,10.0,3.912199592588953,3,1.0,26.328858813789676,1,10.0,34.0,20,34.0,3,0.7430000000000001,8009,157,0,0.0,1570.0000000000002,False,-0.17380683953400977,0,0.7580000000000002,8102,143,0,0.0,1430.0000000000002,False,-0.17164599774520856,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,18575,0,55,0.5,1448.0872347584323,False,0.11865543805815065,4,0.96,23715,0,1,0.1,34.0,False,-0.03406732060726932,11,1.3270000000000004,21419,44,0,0.0,1158.4697878067457,False,-0.10463450307691104,0.09999999999999999,97596,0.0,0.0,16,0,0,6,7,6.8,22,28,9,68.0,12.0,5,2,9,346,0.38724642619490623,7.696688906289637
15,9,0,0,0,10.000000000000002,20,10.0,3.674759108828095,6,1.0,27.089968775311707,5,36.0,33.99999999999999,8,34.0,3,0.7700000000000002,7868,166,0,0.0,1660.0000000000002,False,-0.18282600526118,3,0.7880000000000003,7941,154,0,0.0,1540.0000000000002,False,-0.18160465990229238,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,18749,0,56,0.6,1517.0382514174555,False,0.1307395737136986,0,0.9560000000000002,23715,0,1,0.0,33.99999999999999,False,-0.03406732060726932,8,1.3960000000000001,21150,49,0,0.0,1327.4084699902737,False,-0.11214521409112552,0.09999999999999999,97199,0.0,0.0,15,0,0,3,6,6.0,29,32,9,94.0,13.0,7,2,9,380,0.4062393996864557,8.102928305976093
16,9,0,0,0,10.000000000000002,20,10.0,3.5481530313841625,8,2.5,27.163146144881328,5,28.0,33.99999999999999,10,34.0,3,0.7970000000000002,7729,176,0,0.0,1760.0000000000002,False,-0.19118752348741075,5,0.8350000000000002,7756,164,0,0.0,1640.0000000000002,False,-0.19428786170612553,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,18869,0,59,0.8,1602.6256225479983,False,0.14017579476431705,0,0.9560000000000002,23575,0,6,0.5,203.99999999999994,False,-0.03630591395661199,10,1.4880000000000002,21017,49,0,0.0,1330.994161099185,False,-0.11748556796981587,0.21666666666666667,96722,0.0,0.0,11,0,0,2,7,7.0,30,32,10,112.0,3.0,8,1,10,340,0.4141947813332081,8.517123087309301
17,10,0,0,0,10.000000000000002,20,10.0,3.4171192132752717,9,2.4444444444444446,27.559857724558714,5,32.0,34.0,7,34.0,3,0.8240000000000003,7569,187,0,0.0,1870.0000000000002,False,-0.20105223600150318,6,0.8900000000000001,7567,173,0,0.0,1730.0000000000002,False,-0.20781661029688087,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,19007,0,63,0.9,1736.271036647199,False,0.15204819837257136,0,0.9560000000000002,23575,0,6,0.0,204.0,False,-0.03630591395661199,7,1.5480000000000003,20780,54,0,0.0,1488.2323171261705,False,-0.12393194030839337,0.15,96274,0.0,0.0,10,0,0,5,9,9.0,22,27,11,59.0,30.0,5,5,11,360,0.41256177984178066,8.929684867151082
18,11,0,0,0,10.000000000000002,20,10.0,3.4296064705254796,5,3.6,27.927043910898902,2,38.0,34.0,12,34.0,3,0.8510000000000002,7407,199,0,0.0,1990.0000000000005,False,-0.21063509958662158,2,0.9040000000000001,7457,181,0,0.0,1810.0000000000002,False,-0.21439308530627585,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,19065,0,66,0.5,1843.1848981193275,False,0.15850872067352553,0,0.9560000000000002,23575,0,6,0.0,204.0,False,-0.03630591395661199,12,1.6610000000000005,20530,56,0,0.0,1563.9144590103385,False,-0.132567168810079,0.08333333333333333,95810,0.0,0.0,11,0,0,7,8,8.0,19,26,8,77.0,18.0,5,6,8,276,0.420961600728333,9.350646467879415
19,8,0,0,0,10.000000000000002,20,10.0,3.408238529029477,1,2.0,27.584921251545254,6,24.666666666666668,34.0,12,34.0,0,0.8480000000000003,7307,209,0,0.0,2090.0000000000005,False,-0.2153325817361894,1,0.9120000000000001,7341,191,0,0.0,1910.0000000000002,False,-0.22059376174370537,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,19211,0,61,0.1,1682.6801963442604,False,0.16231973673615416,0,0.9560000000000002,23575,0,6,0.0,204.0,False,-0.03630591395661199,12,1.7690000000000003,20200,62,0,0.0,1710.2651175958058,False,-0.1430203688063045,0.016666666666666666,95410,0.0,0.0,11,0,0,0,8,8.0,23,23,10,28.0,18.0,2,6,10,348,0.35487596318125725,9.705522431060672
