index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,13,0,0,0,10.000000000000002,20,10.0,16.62210899663117,51,19.901960784313726,27.95390891772597,31,41.25806451612903,40.0,9,40.0,24,0.8270000000000002,13425,12,10,1.0,286.22108996631175,False,0.083714899759038,17,1.3510000000000002,8545,98,0,0.0,980.0000000000002,False,-0.2783546325878594,0,0.2,20928,52,28,1.0,1647.059117521148,False,0.04614897839364046,12,2.111,12986,168,0,0.0,2792.5143114340362,False,-0.3082792826223058,0,0.2,30419,0,5,0.0,200.0,False,0.0008198334098511183,9,0.9470000000000003,22406,251,0,0.0,7016.431138349218,False,-0.15018641145226574,0.3333333333333333,108709,0.0,0.0,10,0,0,7,10,9.411764705882353,23,30,15,146.0,54.0,10,3,15,1226,0.9937944812700152,15.197604700922966
11,15,0,0,0,10.000000000000002,20,10.0,16.62210899663117,0,,27.68850021825036,15,24.8,40.0,11,40.0,0,0.8030000000000002,13335,11,20,1.0,442.4421799326234,False,0.08276526277686193,0,1.3340000000000003,8435,109,0,0.0,1090.0000000000002,False,-0.2827476038338658,0,0.2,20928,42,38,1.0,1750.2915861520228,False,0.04863148292978124,15,2.2490000000000006,12755,168,0,0.0,2792.5143114340362,False,-0.3193893249462766,0,0.2,30419,0,5,0.0,200.0,False,0.0008198334098511183,11,1.0480000000000003,21862,266,0,0.0,7365.141058054596,False,-0.16230830560020673,0.3333333333333333,107734,0.0,0.0,11,0,0,10,8,8.0,19,29,15,148.0,72.0,11,4,15,200,0.8835850423201919,16.081189743243158
12,15,0,0,0,10.000000000000002,20,10.0,16.62210899663117,0,,27.498640965949516,31,26.516129032258064,40.0,11,40.0,0,0.8030000000000002,13245,10,30,1.0,598.6632698989351,False,0.08181562579468588,0,1.3340000000000003,8325,120,0,0.0,1200.0000000000002,False,-0.28714057507987223,0,0.2,21180,32,39,1.0,1604.3544855642285,False,0.05724207593219086,22,2.4540000000000006,12339,168,0,0.0,2792.5143114340362,False,-0.3393970202136871,0,0.2,30419,0,5,0.0,200.0,False,0.0008198334098511183,11,1.1470000000000002,20862,297,0,0.0,8167.096366887006,False,-0.1819522468864857,0.3333333333333333,106370,0.0,0.0,11,0,0,15,9,9.0,15,30,17,163.0,72.0,11,4,17,452,1.1280434764921665,17.209233219735324
13,17,0,0,0,10.000000000000002,20,10.0,16.073171396363293,9,3.0,28.043500503722083,26,31.653846153846157,40.0,12,40.0,0,0.8030000000000002,13145,10,40,1.0,742.9268558545317,False,0.07958973066511701,9,1.4240000000000002,8054,130,0,0.0,1300.0000000000002,False,-0.3047923322683706,0,0.2,21667,31,35,1.0,1479.790830917535,False,0.07766907538758977,12,2.5520000000000005,12191,168,0,0.0,2700.2927945890333,False,-0.3487328589219644,0,0.2,30419,0,5,0.0,200.0,False,0.0008198334098511183,12,1.256,19827,323,0,0.0,9058.050662702233,False,-0.20128466808712808,0.3333333333333333,105303,0.0,0.0,10,0,0,13,9,9.0,18,31,17,170.0,72.0,13,4,17,714,1.1202718056738377,18.329505025409162
14,17,0,0,0,10.000000000000002,20,10.0,16.073171396363293,0,,27.703556496205934,18,24.333333333333332,40.0,9,40.0,0,0.8030000000000002,13055,9,50,1.0,893.6585698181647,False,0.07842086940168395,0,1.4150000000000003,7944,141,0,0.0,1410.0000000000002,False,-0.309185303514377,0,0.2,21897,21,35,1.0,1307.1610766908368,False,0.08457967190964877,8,2.6200000000000006,12127,168,0,0.0,2700.2927945890333,False,-0.3518109658861814,0,0.2,30419,0,5,0.0,200.0,False,0.0008198334098511183,9,1.3340000000000003,19261,341,0,0.0,9446.912765206223,False,-0.21346965361700296,0.3333333333333333,104703,0.0,0.0,10,0,0,18,5,5.0,16,34,14,172.0,72.0,13,4,14,430,1.0020808521658182,19.33158587757498
15,14,0,0,0,10.000000000000002,20,10.0,18.454070289285013,56,27.0,27.181269097612873,35,24.542857142857144,40.00000000000001,14,40.0,6,0.8630000000000002,14335,9,10,1.0,274.54070289285016,False,0.15593213669699876,0,1.4150000000000003,7844,151,0,0.0,1510.0000000000002,False,-0.31317891373801915,0,0.2,21601,39,25,1.0,1399.2404687224373,False,0.0725577257772807,15,2.7620000000000013,11179,196,0,0.0,3616.9977766998627,False,-0.37536076912514754,0,0.2,30419,0,5,0.0,200.00000000000003,False,0.0008198334098511183,14,1.4650000000000003,18138,376,0,0.0,10220.15718070244,False,-0.23761793827142327,0.3333333333333333,103516,0.0,0.0,14,0,0,13,10,9.428571428571429,16,29,17,144.0,54.0,11,3,17,1780,0.9553285045549273,20.286914382129908
16,17,0,0,0,10.000000000000002,20,10.0,18.998875307793714,14,28.0,25.97257605916622,58,22.0,40.00000000000001,13,40.0,4,0.8970000000000002,14539,9,10,1.0,279.98875307793713,False,0.17244364029863968,0,1.4150000000000003,7744,161,0,0.0,1610.0000000000002,False,-0.31717252396166135,1,0.21000000000000002,21673,43,10,1.0,1076.677398826792,False,0.06826369273823558,32,3.067000000000001,10298,196,0,0.0,3723.779560327568,False,-0.415164977868229,0,0.2,30419,0,5,0.0,200.00000000000003,False,0.0008198334098511183,13,1.5810000000000002,16620,434,0,0.0,11272.098009678139,False,-0.2701498981819679,0.3333333333333333,101293,0.0,0.0,10,0,0,10,16,14.376623376623376,22,32,14,190.0,72.0,13,4,14,467,1.0357795171439648,21.322693899273872
17,14,0,0,0,10.000000000000002,20,10.0,19.571529386281036,15,28.0,25.85207196533863,7,22.0,40.00000000000001,9,40.0,5,0.9430000000000001,14759,8,10,1.0,275.71529386281037,False,0.18984485997854672,0,1.4150000000000003,7634,172,0,0.0,1720.0000000000002,False,-0.32156549520766775,0,0.20900000000000002,21253,48,20,1.0,1456.4748498482622,False,0.05719687499635114,7,3.105000000000001,10214,196,0,0.0,3836.0197597110828,False,-0.4165058734197989,0,0.2,30419,0,5,0.0,200.00000000000003,False,0.0008198334098511183,9,1.6580000000000004,16336,441,0,0.0,11400.763736714336,False,-0.27735351648333556,0.3333333333333333,100615,0.0,0.0,11,0,0,9,6,5.333333333333333,19,28,15,139.0,72.0,10,4,15,200,1.0137958768755198,22.336489776149392
18,15,0,0,0,10.000000000000002,20,10.0,18.609485719529108,15,5.0,25.85207196533863,0,,40.00000000000001,10,40.0,0,0.9380000000000002,14709,8,15,1.0,359.1422857929366,False,0.18918299863390317,10,1.5150000000000001,7319,182,0,0.0,1820.0000000000002,False,-0.34273162939297125,0,0.20900000000000002,21178,53,30,1.0,1761.8649020952016,False,0.060933650011908425,0,3.0980000000000008,10214,196,0,0.0,3647.459201027705,False,-0.4210403231765173,0,0.2,30419,0,5,0.0,200.00000000000003,False,0.0008198334098511183,10,1.7490000000000003,16190,441,0,0.0,11400.763736714336,False,-0.28214134359686605,0.3333333333333333,100029,0.0,0.0,8,0,0,9,6,6.0,20,29,14,162.0,72.0,11,4,14,250,0.8981563085690141,23.234646084718406
19,14,0,0,0,10.000000000000002,20,10.0,18.11535543069717,9,6.888888888888889,25.874948308556693,22,26.09090909090909,40.00000000000001,10,40.0,0,0.9380000000000002,14699,4,20,1.0,402.30710861394346,False,0.1901081113663715,4,1.5450000000000002,7103,196,0,0.0,1960.0000000000005,False,-0.3543929712460064,0,0.20900000000000002,21602,52,22,1.0,1511.2473451845003,False,0.07529933015545642,4,3.138000000000001,10166,196,0,0.0,3550.6096644166455,False,-0.42567791303345887,0,0.2,30419,0,5,0.0,200.00000000000003,False,0.0008198334098511183,10,1.8390000000000004,15458,463,0,0.0,11980.10106686175,False,-0.29664686386073075,0.3333333333333333,99447,0.0,0.0,13,0,0,15,7,7.0,17,32,11,141.0,72.0,10,4,11,736,2.0349154379218817,25.269561522640288
