index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,32.0,0,,42.0,0,,0,0.2,20422,9,0,0.0,90.0,False,-0.0021938377535101403,0,0.2,20402.0,11,0,0.0,110.0,False,-0.0026813572542901715,0,0.2,31733,0,0,0.0,0.0,False,0.0,0,0.2,31733,0,0,0.0,0.0,False,0.0,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,0.2,46815,0,0,0.0,0.0,False,0.0,0.0,197920,0.0,0.0,8,0,0,114,0,0.0,360,474,106,0.0,0.0,0,0,106,200,1.1340663647279143,1.1340663647279143
1,106,0,0,0,10.0,20,10.0,20.0,0,,32.0,0,,42.0,0,,0,0.2,20342,17,0,0.0,170.0,False,-0.004143915756630265,0,0.2,20282.0,23,0,0.0,230.0,False,-0.005606474258970359,0,0.2,31733,0,0,0.0,0.0,False,0.0,0,0.2,31733,0,0,0.0,0.0,False,0.0,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,0.2,46815,0,0,0.0,0.0,False,0.0,0.0,197720,0.0,0.0,8,0,0,26,0,0.0,21,47,51,504.0,609.0,28,78,51,200,3.081251719966531,4.215318084694445
2,51,0,0,0,10.0,20,10.0,17.666666666666668,15,10.666666666666666,32.0,0,,42.0,0,,5,0.25,20237,21,0,0.0,210.0,False,-0.00828783151326053,10,0.30000000000000004,19962.0,39,0,0.0,390.0,False,-0.01730694227769111,0,0.2,31628,0,10,1.0,320.0,False,0.0017332114833139003,0,0.2,31678,0,5,0.5,160.0,False,0.0007878234015063183,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,0.2,46815,0,0,0.0,0.0,False,0.0,0.25,197135,0.0,0.0,8,0,0,22,3,3.0,18,40,40,432.0,380.0,24,27,40,200,1.5018720217049122,5.717190106399357
3,40,0,0,0,10.0,20,10.0,15.72972972972973,20,10.5,30.5,5,17.0,42.0,9,42.0,5,0.29500000000000004,20082,30,0,0.0,300.0,False,-0.013650546021840874,15,0.44000000000000006,19572.0,50,0,0.0,500.0,False,-0.033638845553822155,0,0.2,31663,0,10,0.5,305.0,False,0.0025998172249708505,0,0.2,31518,5,15,1.0,536.1486486486486,False,0.0016725277888735147,0,0.2,46815,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,46596,0,5,0.5,210.0,False,-0.0024351169496956105,0.3333333333333333,196246,0.0,0.0,10,0,0,20,8,8.0,16,36,41,344.0,317.0,19,21,41,285,1.3891185009852052,7.1063086073845625
4,41,0,0,0,10.0,20,10.0,14.051181102362206,35,10.857142857142858,30.5,0,,41.99999999999999,12,42.0,30,0.5900000000000001,19207,41,0,0.0,410.0,False,-0.053627145085803435,5,0.4750000000000001,19412.0,59,0,0.0,590.0,False,-0.039245319812792515,0,0.2,31443,10,20,1.0,750.511811023622,False,0.002686663899152644,0,0.2,31358,10,25,1.0,903.011811023622,False,0.0024109257086254326,0,0.2,46815,0,0,0.0,0.0,False,0.0,7,0.35100000000000003,46722,0,0,0.0,0.0,False,-0.001986542774751682,0.3333333333333333,194957,0.0,0.0,10,0,0,18,10,10.0,17,35,45,342.0,304.0,19,22,45,410,1.440654419362545,8.546963026747108
5,45,0,0,0,10.0,20,10.0,12.971562591615363,45,10.777777777777779,30.526785714285715,11,30.636363636363637,42.0,12,42.0,15,0.7100000000000002,18847,50,0,0.0,500.0,False,-0.06898400936037441,30,0.77,18527.0,70,0,0.0,700.0,False,-0.07970943837753511,0,0.2,31565,20,19,1.0,839.4401804037359,False,0.007932439107612476,0,0.2,31088,25,35,1.0,1392.7265647903841,False,0.0016186078339643928,0,0.2,46815,0,0,0.0,0.0,False,0.0,12,0.464,46166,1,10,1.0,450.5267857142857,False,-0.009051299949649793,0.5,193008,0.0,0.0,10,0,0,20,15,15.0,17,37,41,330.0,311.0,19,26,41,537,1.4352349182590842,9.982197945006192
6,41,0,0,0,10.0,20,10.0,12.604238274378199,25,10.8,30.526785714285715,0,,42.0,5,42.0,10,0.7950000000000002,18622,57,0,0.0,570.0,False,-0.078246879875195,15,0.8900000000000001,18122.0,83,0,0.0,830.0,False,-0.09628510140405616,0,0.2,31350,30,29,1.0,1263.4039339456317,False,0.007837329183273383,0,0.2,31033,20,45,1.0,1625.7901226304211,False,0.0035576548487445854,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,0.45200000000000007,46376,0,6,0.1,252.0,False,-0.006685891274164264,0.35000000000000003,192318,0.0,0.0,11,0,0,20,5,5.0,15,35,40,309.0,291.0,18,23,40,410,1.3819114454090595,11.364109390415251
7,40,0,0,0,10.0,20,10.0,12.146654305603402,40,10.625,33.419701986754966,10,48.0,41.99999999999999,11,42.0,10,0.8850000000000002,18362,67,0,0.0,670.0,False,-0.08848478939157567,30,1.1750000000000003,17247.0,93,0,0.0,930.0,False,-0.13650546021840873,0,0.2,31030,50,39,1.0,1910.7010927636138,False,0.007952306632899737,0,0.2,31408,20,45,1.0,1746.8196755160416,False,0.01728200415208204,0,0.2,46815,0,0,0.0,0.0,False,0.0,5,0.5020000000000001,46092,0,10,1.0,419.99999999999994,False,-0.010958026273630246,0.5,190954,0.0,0.0,13,0,0,19,11,10.5,15,34,41,288.0,278.0,16,24,41,890,1.8277822025120258,13.191891592927277
8,41,0,0,0,10.0,20,10.0,11.987685951937108,20,10.75,35.68513051584835,10,48.0,42.0,7,42.0,10,0.9750000000000001,18107,77,0,0.0,770.0,False,-0.09847893915756631,10,1.245,16987.0,103,0,0.0,1030.0,False,-0.14674336973478938,0,0.2,31275,40,44,1.0,2049.653180774812,False,0.01786237010012937,0,0.2,31428,30,50,1.0,2143.8871043505305,False,0.0241686431215222,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,0.49700000000000005,45906,0,13,1.0,546.0,False,-0.013585389298301826,0.5,190518,0.0,0.0,13,0,0,24,4,4.0,12,36,31,348.0,253.0,21,20,31,974,1.3904447546228766,14.582336347550154
9,31,0,0,0,10.000000000000002,20,10.0,11.820664673499566,20,10.5,36.58422064712987,5,47.0,41.99999999999999,9,42.0,0,0.9650000000000001,18007,87,0,0.0,870.0000000000001,False,-0.10091653666146645,20,1.4350000000000003,16467.0,113,0,0.0,1130.0000000000002,False,-0.16965678627145087,0,0.2,31405,40,49,1.0,2265.453398649346,False,0.025359301021796676,0,0.2,31323,30,60,1.0,2549.673179032779,False,0.027253540147996972,0,0.2,46815,0,0,0.0,0.0,False,0.0,0,0.4970000000000001,46049,0,9,0.5,377.99999999999994,False,-0.012325109473459361,0.4166666666666667,190066,0.0,0.0,14,0,0,16,4,4.0,13,29,26,222.0,186.0,14,17,26,813,1.3561144527047873,15.938450800254941
