index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,43,0,0,0,10.000000000000002,20,10.0,23.539676138674317,41,21.097560975609756,19.815717455538564,80,20.0,30.000000000000004,12,30.0,0,0.4790000000000001,35486,3,13,1.0,336.0157898027661,False,0.029540235479812427,0,0.42500000000000004,36031,4,11,1.0,298.9364375254175,False,0.04474223149093908,80,2.0530000000000004,35950.0,114,0,0.0,2683.523079808872,False,-0.11188946082628157,0,0.2,39048,41,90,1.0,2748.5412926841177,False,-0.03733577884396137,0,0.56,55313,126,12,1.0,2856.780399397859,False,-0.019993606112386573,0,0.2,57833,0,6,0.0,180.00000000000003,False,0.00041451493117325,0.6666666666666666,259661,0.0,0.0,15,0,0,25,3,3.0,7,32,44,327.0,87.0,19,24,44,1425,3.3740219339961186,38.35674710001331
11,44,0,0,0,10.000000000000002,20,10.0,23.641780153492768,8,26.0,20.389079027657825,64,22.0,30.000000000000004,11,30.0,0,0.4790000000000001,35594,3,15,1.0,384.6267023023915,False,0.03336066966449709,0,0.42500000000000004,35931,4,21,1.0,536.4773832233482,False,0.04528424508710906,64,2.6130000000000004,35486.0,122,0,0.0,2884.2971787261176,False,-0.12054897381845535,0,0.2,39048,31,100,1.0,2771.8030875240584,False,-0.03705878676441949,0,0.56,54235,180,11,1.0,4000.0342249784085,False,-0.02873940633708341,0,0.2,57833,0,6,0.0,180.00000000000003,False,0.00041451493117325,0.6666666666666666,258127,0.0,0.0,12,0,0,25,1,1.0,9,34,48,360.0,87.0,20,24,48,738,2.1806966910371557,40.537443791050464
12,48,0,0,0,10.000000000000002,20,10.0,23.77029839951372,10,26.0,20.477532802324717,85,20.705882352941178,30.0,9,30.0,0,0.4790000000000001,35754,3,15,1.0,386.5544759927058,False,0.03800864075528717,0,0.42500000000000004,35831,4,31,1.0,776.8792503849253,False,0.04586756447092093,85,3.3990000000000005,33306.0,122,0,0.0,2899.976404740674,False,-0.17227939503761994,0,0.2,38788,31,110,1.0,2989.4078586406445,False,-0.04065958729887307,0,0.56,52745,255,12,1.0,5581.770864592803,False,-0.040814428016090025,0,0.2,57833,0,6,0.0,180.0,False,0.00041451493117325,0.6666666666666666,254257,0.0,0.0,12,0,0,26,3,3.0,9,35,44,366.0,94.0,22,26,44,730,2.239859952009283,42.77730374305975
13,44,0,0,0,10.000000000000002,20,10.0,23.091961030761496,22,18.0,20.477532802324717,0,,30.000000000000004,8,30.0,7,0.5490000000000002,35876,5,10,1.0,280.91961030761496,False,0.040006347063434644,0,0.42500000000000004,35751,2,41,1.0,966.7704022612213,False,0.04629913086918103,0,3.3140000000000005,33306.0,122,0,0.0,2817.2192457529027,False,-0.17326483393959394,0,0.2,38392,43,120,1.0,3450.2582606017104,False,-0.04460278327456883,0,0.56,52985,245,14,1.0,5436.995536569556,False,-0.03791951901958972,0,0.2,57833,0,6,0.0,180.00000000000003,False,0.00041451493117325,0.6666666666666666,254143,0.0,0.0,10,0,0,23,1,0.3181818181818182,9,32,46,342.0,75.0,19,25,46,440,1.9890798339620233,44.76638357702177
14,46,0,0,0,10.000000000000002,20,10.0,23.363960409534442,17,26.058823529411764,20.25385781936065,9,13.444444444444445,30.0,11,30.0,6,0.6020000000000001,36050,6,10,1.0,293.63960409534445,False,0.04521439756425371,0,0.42500000000000004,35688,1,50,1.0,1178.1980204767221,False,0.04753252895493513,8,3.3940000000000006,32951.0,131,0,0.0,3060.6788136490118,False,-0.17882020941118115,0,0.2,38217,41,129,1.0,3570.670035488436,False,-0.047336627345934294,0,0.56,53227,243,13,1.0,5311.687450104638,False,-0.03482195331435223,0,0.2,57800,0,7,0.1,210.0,False,0.0001036287327933125,0.6833333333333332,253933,0.0,0.0,13,0,0,26,2,1.75,8,34,42,345.0,93.0,20,26,42,798,2.1182107069762424,46.88459428399801
15,42,0,0,0,10.000000000000002,20,10.0,23.696833506385826,48,24.854166666666668,20.002494618381437,8,12.0,30.0,9,30.0,23,0.8260000000000001,36067,6,10,1.0,296.96833506385826,False,0.04575334721873252,0,0.42500000000000004,36008,1,45,1.0,1076.3575077873622,False,0.05530243867903567,8,3.466000000000001,32159.0,156,0,0.0,3696.706026996189,False,-0.19010828736608484,0,0.2,37704,54,139,1.0,4059.9757612998546,False,-0.053727366500359,0,0.56,53401,241,14,1.0,5240.601203029926,False,-0.0324306015386282,0,0.2,57800,0,7,0.0,210.0,False,0.0001036287327933125,0.6666666666666666,253139,0.0,0.0,13,0,0,29,4,4.0,10,39,40,372.0,54.0,24,18,40,1150,2.1665984750143252,49.05119275901234
16,40,0,0,0,10.000000000000002,20,10.0,24.196912855016734,37,26.81081081081081,20.002494618381437,0,,29.999999999999996,13,30.0,12,0.9230000000000003,36225,9,10,1.0,331.96912855016734,False,0.05082107257298607,0,0.42500000000000004,36358,0,38,0.8,919.4826884906358,False,0.06314404274336051,0,3.458000000000001,31479.0,181,0,0.0,4379.641226758029,False,-0.19817050218197152,0,0.2,37392,56,149,1.0,4335.398818019771,False,-0.05787808028078379,0,0.56,53791,231,11,1.0,4950.576256846112,False,-0.028199310378019423,0,0.2,57800,0,7,0.0,209.99999999999997,False,0.0001036287327933125,0.6333333333333333,253045,0.0,0.0,14,0,0,24,2,1.1666666666666667,9,33,44,360.0,210.0,20,20,44,1010,1.960229322023224,51.01142208103556
17,44,0,0,0,10.000000000000002,20,10.0,24.2955509150888,12,26.0,20.837595081242842,15,34.0,29.999999999999996,9,30.0,0,0.911,36105,11,20,1.0,595.911018301776,False,0.0511667439332069,0,0.42500000000000004,36590,0,34,0.8,826.0487311130192,False,0.06849424982115752,0,3.458,31167.0,193,0,0.0,4689.041326612139,False,-0.2019166310239089,0,0.2,37902,46,144,1.0,4118.209033793054,False,-0.04831853972620795,0,0.56,53551,236,12,1.0,5277.6724391733105,False,-0.029519746116743684,0,0.2,57800,0,7,0.0,209.99999999999997,False,0.0001036287327933125,0.6333333333333333,253115,0.0,0.0,12,0,0,20,0,0.0,13,33,40,327.0,210.0,19,25,40,1292,2.0425480870180763,53.05397016805364
18,40,0,0,0,10.000000000000002,20,10.0,23.805043501069967,47,21.74468085106383,20.25396594090021,16,12.0,30.0,13,30.0,27,1.1810000000000003,36353,14,10,1.0,378.05043501069974,False,0.05518250173270615,0,0.42500000000000004,36520,0,41,0.7,976.0067835438687,False,0.0686380234983666,16,3.6180000000000008,30585.0,204,0,0.0,4856.228874218274,False,-0.21378627203836303,0,0.2,37166,72,154,1.0,4833.07388697567,False,-0.05733419996456686,1,0.5700000000000001,53713,242,10,1.0,5201.45975769785,False,-0.027379922298331097,0,0.2,57800,0,7,0.0,210.0,False,0.0001036287327933125,0.6166666666666667,252137,0.0,0.0,13,0,0,25,5,3.4318181818181817,12,37,33,336.0,84.0,22,18,33,756,2.1915786850149743,55.24554885306861
19,33,0,0,0,10.000000000000002,20,10.0,23.900484706137306,10,26.0,20.39413327910748,62,20.887096774193548,29.999999999999996,9,30.0,0,1.1540000000000004,36523,13,10,1.0,369.0048470613731,False,0.05996079880831292,0,0.42500000000000004,36410,1,51,1.0,1228.9247200130026,False,0.0691132904047386,61,4.212000000000001,29529.0,214,0,0.0,5114.703727113383,False,-0.23585730260641366,0,0.2,37199,62,163,1.0,4806.073776275032,False,-0.056869804997915746,0,0.5690000000000001,52688,294,11,1.0,6325.875184057599,False,-0.03537301866994594,0,0.2,57800,0,7,0.0,209.99999999999997,False,0.0001036287327933125,0.6666666666666666,250149,0.0,0.0,11,0,0,19,2,2.0,11,30,35,255.0,52.0,15,18,35,763,1.7405705669661984,56.98611942003481
20,35,0,0,0,10.000000000000002,20,10.0,23.4471273336558,22,19.181818181818183,20.715259120893613,63,22.0,29.999999999999993,9,30.0,2,1.1740000000000002,36691,13,10,1.0,364.47127333655806,False,0.06474648831013484,0,0.42500000000000004,36420,1,51,1.0,1205.8034940164457,False,0.06906822635812496,63,4.781000000000001,29277.0,214,0,0.0,5017.6852494023415,False,-0.24301398845674754,0,0.2,36777,74,173,1.0,5318.827250605124,False,-0.06081415514878389,0,0.5690000000000001,51572,347,12,1.0,7548.194914950083,False,-0.04409234257111447,0,0.2,57800,0,7,0.0,209.99999999999994,False,0.0001036287327933125,0.6666666666666666,248537,0.0,0.0,13,0,0,22,2,1.1666666666666667,10,32,26,312.0,48.0,19,16,26,580,1.8963244000333361,58.88244382006815
21,26,0,0,0,10.000000000000002,20,10.0,23.942896309004126,38,26.63157894736842,20.63557968264692,56,20.232142857142858,29.999999999999993,8,30.0,3,1.2020000000000002,36843,15,10,1.0,389.4289630900413,False,0.06949595684632331,0,0.42500000000000004,37014,0,35,0.9,838.0013708151445,False,0.08091018698297968,56,5.278000000000001,27474.0,252,0,0.0,6033.60986986904,False,-0.27385556239736797,0,0.2,36777,64,183,1.0,5308.656445700651,False,-0.06093526499522927,0,0.5690000000000002,50679,393,14,1.0,8529.78281528024,False,-0.05103902644881397,0,0.2,57800,0,7,0.0,209.99999999999994,False,0.0001036287327933125,0.65,246587,0.0,0.0,12,0,0,15,3,2.230769230769231,11,26,28,201.0,42.0,12,14,28,1114,2.12398132000817,61.00642514007632
22,28,0,0,0,10.000000000000002,20,10.0,23.030387159137064,15,9.666666666666666,20.44219699524927,7,12.0,29.999999999999993,9,30.0,5,1.249,36778,15,10,1.0,380.3038715913707,False,0.0674872783285405,0,0.42500000000000004,36914,0,45,1.0,1036.367422161168,False,0.08088659614451175,7,5.292000000000001,27376.0,252,0,0.0,5803.65756410254,False,-0.27892763081564015,0,0.2,36632,69,193,1.0,5534.440734063566,False,-0.06169991981348456,0,0.5690000000000001,50865,390,15,1.0,8422.456828147215,False,-0.048753373735753495,0,0.2,57800,0,7,0.0,209.99999999999994,False,0.0001036287327933125,0.6666666666666666,246365,0.0,0.0,11,0,0,16,2,2.0,13,29,26,237.0,42.0,14,14,26,565,1.5092767300084233,62.51570187008474
