index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1006,b89f7f7a-1738-4fff-b4e6-34a9402b7648,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,59,1,41,35,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
1007,afa3a351-2f83-4d88-b0d4-0cb2ef47a708,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,59,2,41,35,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
1008,f79d63ff-56df-4a5b-ac50-d382347f83e9,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,60,3,41,36,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
1009,77d9df3e-bb0b-41ce-96f0-e8212647c8b4,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,60,4,41,36,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,-1,04Dec@2:product(1.0),-1,-1
1010,86fd2218-c783-4024-a808-414eae2e6e0b,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,60,2,41,36,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,-1,04Dec@2:product(1.0),-1,-1
1011,e1a508b1-f9c1-4987-b4de-ca5962b8578f,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,60,1,41,36,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
1012,6e2d50c7-5614-4a37-a538-9dd74d55d393,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,60,2,41,36,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
1013,658fff81-341b-4d8f-b2de-1ae19e69c941,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,60,3,41,36,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
1014,007ab43e-6c44-4bf3-99ca-e4b5c7e33510,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,60,1,41,36,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
1015,0298eb1c-8a9e-4a79-8668-968ac3153029,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,60,2,41,36,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
1016,a517ff29-fc0d-4342-b1c8-8b417e41b846,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,60,2,41,36,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
1017,fef1c196-7a17-4aff-9bbb-01f64bf2cd98,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,38,1,4,37,-1,37,03Dec@1|01Ran@0,"[quantity: (1, 1), time: (37, 44), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,2,-1,01Ran@0:product(1.0),-1,-1
1018,698f97fc-9880-4806-8976-422cec61c6bc,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,39,4,2,38,-1,38,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (38, 44), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,14,-1,01Ran@0:product(1.0),-1,-1
1019,86730dbe-73c8-4c20-92ac-6c191dc1bccb,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,40,5,5,38,-1,38,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (38, 41), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,15,-1,01Ran@0:product(1.0),-1,-1
1020,1c97cd75-2019-4119-ac92-5b833a8fc036,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,41,5,9,38,-1,38,03Dec@1|00Ind@0,"[quantity: (1, 5), time: (38, 44), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,17,41,,-1,-1
1021,4aa28812-0396-41af-8a10-9946d39a2e24,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,40,5,9,39,-1,39,03Dec@1|00Ind@0,"[quantity: (1, 5), time: (39, 41), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,17,40,,-1,-1
1022,e4c06797-8a8e-450c-8437-7fcd7ec8bae4,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,40,1,2,39,-1,39,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (39, 41), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,11,-1,01Ran@0:product(1.0),-1,-1
1023,a6c33343-c589-43ef-a543-5d7b2b4b889f,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,43,4,3,39,-1,39,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (39, 43), unit_price: (1, 18)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,13,-1,01Ran@0:product(1.0),-1,-1
1024,6e47b959-5cb1-45c6-a081-95e5b1fd1931,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,41,5,9,39,-1,39,03Dec@1|00Ind@0,"[quantity: (1, 5), time: (39, 43), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,17,41,,-1,-1
1025,f9b5e01b-85d9-4f71-870a-1fd0cfcc9835,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,47,13,26,39,-1,39,00Ind@0|03Dec@1,"[quantity: (1, 13), time: (44, 49), unit_price: (18, 36)]",00Ind@0,03Dec@1,p1,00Ind@0,False,1,17,47,,-1,-1
