index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,18,0,0,0,10.000000000000002,20,10.0,18.956251485248284,11,2.4545454545454546,30.675524972719007,62,33.20967741935484,42.00000000000001,12,42.0,0,0.5690000000000001,53189,4,30,1.0,608.6875445574485,False,0.03623082293316405,11,1.3810000000000002,46852.0,108,0,0.0,1080.0000000000002,False,-0.08195959165488251,0,0.2,76942,42,65,1.0,2790.071685607163,False,-0.008165963855010214,34,0.54,78494,49,10,1.0,1235.611572504356,False,0.001643485683474486,0,0.2,101696,0,0,0.0,0.0,False,0.0,4,0.5010000000000001,100210,52,10,1.0,2015.1272985813885,False,-0.004704573933186238,0.6666666666666666,457383,0.0,0.0,9,0,0,10,5,4.2631578947368425,10,20,20,112.0,75.0,8,10,20,729,2.638833477976732,42.52976300509181
11,20,0,0,0,10.000000000000002,20,10.0,19.401479118201504,29,22.06896551724138,33.39807554754644,33,42.54545454545455,42.00000000000001,14,42.0,0,0.5690000000000002,53731,0,23,0.9,446.2340197186346,False,0.04515655831430397,13,1.5000000000000002,46301.0,123,0,0.0,1230.0000000000002,False,-0.09118028785618813,0,0.2,78103,40,47,1.0,2345.768715462743,False,0.0037209029618313965,0,0.506,78097,60,15,1.0,1665.0598803052867,False,-0.000664329338929849,0,0.2,101696,0,0,0.0,0.0,False,0.0,4,0.537,99186,75,10,1.0,2924.855666065983,False,-0.010301016431000256,0.65,457114,0.0,0.0,14,0,0,13,6,5.5,12,25,29,169.0,37.0,13,7,29,2532,3.373413479013834,45.90317648410564
12,29,0,0,0,10.000000000000002,20,10.0,19.10142010192241,37,17.621621621621625,35.15662691976313,21,46.0,42.00000000000001,12,42.0,0,0.5690000000000001,53877,0,22,0.7,420.23124224229304,False,0.04773290241018827,29,1.7770000000000004,45702.0,136,0,0.0,1360.0000000000002,False,-0.10152451426689654,0,0.2,78457,64,36,1.0,2488.129455634507,False,0.009104159527705737,0,0.506,78057,53,25,1.0,1891.290938395966,False,0.0002613946114049892,0,0.2,101696,0,0,0.0,0.0,False,0.0,2,0.553,98624,86,10,1.0,3443.469915099629,False,-0.013277464624470891,0.6166666666666667,456413,0.0,0.0,13,0,0,19,3,2.6666666666666665,10,29,29,238.0,89.0,16,13,29,1760,3.0886968460399657,48.99187333014561
13,29,0,0,0,10.000000000000002,20,10.0,20.126513173742563,12,37.0,35.15662691976313,0,,42.00000000000001,9,42.0,0,0.5690000000000002,54251,0,17,0.7,342.1507239536236,False,0.054221478061654976,0,1.748,45572.0,149,0,0.0,1490.0000000000002,False,-0.10278364294984793,0,0.2,78013,66,46,1.0,2945.554707776113,False,0.00637838183241824,0,0.506,78057,43,35,1.0,2095.9220086626397,False,0.0015568231284509768,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.551,99002,76,11,1.0,3133.9036459019976,False,-0.011082522194078435,0.6166666666666667,456591,0.0,0.0,10,0,0,18,0,0.0,13,31,25,265.0,81.0,17,12,25,1022,4.067019350011833,53.05889268015744
14,25,0,0,0,10.000000000000002,20,10.0,19.574116169556746,9,8.0,35.15662691976313,0,,42.00000000000001,13,42.0,0,0.5690000000000001,54161,0,26,0.9,508.9270204084754,False,0.05409339848912767,9,1.8380000000000003,45249.0,160,0,0.0,1600.0000000000002,False,-0.10797512736570908,0,0.2,77973,61,56,1.0,3162.7921938496966,False,0.0072471714684971735,0,0.506,78025,37,45,1.0,2306.29050966294,False,0.0024834171688672114,0,0.2,101696,0,0,0.0,0.0,False,0.0,2,0.571,99448,66,10,1.0,2740.3373767043663,False,-0.008631915824101478,0.65,456552,0.0,0.0,9,0,0,16,3,2.6666666666666665,12,28,30,173.0,75.0,15,10,30,620,3.8518219830002636,56.910714663157705
15,30,0,0,0,10.000000000000002,20,10.0,20.041602629807542,21,24.0,36.45352580589995,14,49.0,42.00000000000001,10,42.0,0,0.5690000000000002,54575,0,14,0.9,280.5824368173056,False,0.05990142414057015,0,1.8290000000000004,45139.0,171,0,0.0,1710.0000000000002,False,-0.10904054394359103,0,0.2,77469,72,66,1.0,3848.9280925355397,False,0.005209592644751506,0,0.506,78711,27,41,1.0,2035.7178290467016,False,0.009456064856845312,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5690000000000002,99182,70,10,1.0,2971.7468064129966,False,-0.010109803697230012,0.65,456772,0.0,0.0,12,0,0,18,0,0.0,11,29,30,201.0,106.0,15,15,30,1810,3.525776833004784,60.43649149616249
16,30,0,0,0,10.000000000000002,20,10.0,20.412310376164942,38,22.157894736842106,36.45352580589995,0,,42.00000000000001,7,42.0,20,0.7690000000000001,54711,0,10,1.0,204.12310376164942,False,0.06179535385159379,4,1.8690000000000007,44945.0,181,0,0.0,1810.0000000000002,False,-0.11182999825659105,0,0.2,76627,100,76,1.0,4811.69899886489,False,0.0006438112409465806,0,0.506,78711,17,51,1.0,2206.1390924957013,False,0.010534926264817895,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5690000000000002,99476,60,13,1.0,2733.211548353997,False,-0.008391620376642095,0.6666666666666666,456166,0.0,0.0,8,0,0,14,3,2.588235294117647,11,25,30,207.0,111.0,13,17,30,494,10.772240188962314,71.2087316851248
17,30,0,0,0,10.000000000000002,20,10.0,18.419107229492866,29,5.0,36.90323612852397,5,49.0,42.0,10,42.0,0,0.7490000000000001,54611,0,20,1.0,368.3821445898573,False,0.06144918102967525,29,2.1550000000000002,44149.0,191,0,0.0,1910.0000000000002,False,-0.1262809212947717,0,0.2,76872,90,81,1.0,4646.881777064799,False,0.002702399135656146,0,0.506,78566,36,61,1.0,2914.1852641017053,False,0.013181391102413953,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5690000000000002,99651,55,13,1.0,2575.6779870688188,False,-0.007445337146648672,0.6666666666666666,455545,0.0,0.0,10,0,0,16,1,1.0,10,26,23,173.0,69.0,12,18,23,865,3.461043166986201,74.669774852111
18,23,0,0,0,10.000000000000002,20,10.0,16.69245852311015,31,5.451612903225806,36.90323612852397,0,,42.0,14,42.0,0,0.7490000000000001,54511,0,30,1.0,500.7737556933045,False,0.06079435286300001,31,2.4360000000000004,43059.0,201,0,0.0,2010.0000000000005,False,-0.14642698022199407,0,0.2,76715,105,91,1.0,5110.902632622247,False,0.003652114612330987,0,0.506,78554,32,71,1.0,3154.288437864727,False,0.014549444416858993,0,0.2,101696,0,0,0.0,0.0,False,0.0,1,0.5790000000000001,100189,45,10,1.0,2080.645625783579,False,-0.004588943391167956,0.6666666666666666,454724,0.0,0.0,9,0,0,13,4,4.0,10,23,26,118.0,38.0,10,13,26,746,3.0022148360149004,77.6719896881259
19,26,0,0,0,10.000000000000002,20,10.0,18.47622311355679,32,30.15625,35.27972044814863,53,31.433962264150942,41.99999999999999,8,42.0,0,0.7490000000000001,55316,0,14,0.9,258.6671235897951,False,0.07404322805328822,7,2.475000000000001,42804.0,212,0,0.0,2120.0000000000005,False,-0.150301222323383,0,0.2,77287,102,80,1.0,4706.9523934346835,False,0.008337041309631813,0,0.506,78683,47,49,1.0,2597.088788296452,False,0.012655344181563175,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5780000000000001,98859,88,12,1.0,3608.6153994370793,False,-0.010154699302641778,0.65,454645,0.0,0.0,16,0,0,12,2,2.0,12,24,25,152.0,63.0,10,16,25,3097,3.011596477997955,80.68358616612386
20,25,0,0,0,10.000000000000002,20,10.0,17.605556610175594,12,1.8333333333333333,34.57037603984866,14,26.428571428571427,42.0,10,42.0,0,0.7490000000000001,55196,2,24,1.0,442.5333586442142,False,0.07349953856463412,12,2.588000000000001,42346.0,220,0,0.0,2200.0000000000005,False,-0.15839838831528583,0,0.2,77265,104,90,1.0,4942.311731044641,False,0.009548452375507329,0,0.506,79053,37,45,1.0,2207.0725163696866,False,0.01487093588646585,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5780000000000001,98909,92,12,1.0,3684.4745956660768,False,-0.009290067477255363,0.6666666666666666,454465,0.0,0.0,12,0,0,14,3,3.0,14,28,26,188.0,49.0,14,11,26,990,3.172587423992809,83.85617359011667
21,26,0,0,0,10.000000000000002,20,10.0,19.20506435969032,38,27.894736842105264,33.821434332641296,7,17.0,41.99999999999999,11,42.0,5,0.7990000000000002,55977,1,10,1.0,202.05064359690317,False,0.0862992333223263,9,2.666000000000001,41994.0,231,0,0.0,2310.0000000000005,False,-0.16415163783584835,0,0.2,77360,98,93,1.0,5027.489700185291,False,0.011290482009731841,0,0.506,78017,61,55,1.0,3031.6878142363807,False,0.0069742967653160575,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5780000000000001,99252,89,11,1.0,3472.1076556050753,False,-0.006961396438379738,0.6666666666666666,454296,0.0,0.0,14,0,0,10,3,2.357142857142857,15,25,26,182.0,69.0,12,14,26,1307,2.6655503299552947,86.52172392007196
22,26,0,0,0,10.000000000000002,20,10.0,21.14555400482339,35,33.34285714285714,33.821434332641296,0,,41.99999999999999,11,42.0,20,0.9940000000000002,56357,0,7,0.7,148.0188780337637,False,0.09313696296257253,5,2.7070000000000007,41760.0,245,0,0.0,2450.0000000000005,False,-0.16732851635898727,0,0.2,76760,106,103,1.0,5725.036460773333,False,0.008109673474800086,0,0.506,77450,68,65,1.0,3636.2909039496744,False,0.0036229198041938257,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5780000000000001,99714,79,10,1.0,3091.8933122786625,False,-0.004287812144633666,0.6166666666666667,453737,0.0,0.0,10,0,0,11,4,3.333333333333333,15,26,23,169.0,69.0,13,13,23,662,3.3162395450053737,89.83796346507734
23,23,0,0,0,10.000000000000002,20,10.0,21.823267767494997,20,29.6,32.74112043266114,9,15.0,41.999999999999986,7,42.0,8,1.054,56570,1,10,1.0,228.23267767494997,False,0.09803994999975742,5,2.7520000000000007,41557.0,254,0,0.0,2540.0000000000005,False,-0.17038916761908451,0,0.2,76168,116,113,1.0,6231.245669920128,False,0.0038188806938296944,0,0.506,77585,58,66,1.0,3426.663479070345,False,0.004005111791739598,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5780000000000001,99873,78,13,1.0,3099.807393747569,False,-0.0026854183362789268,0.6666666666666666,453449,0.0,0.0,10,0,0,10,3,2.533333333333333,16,26,11,178.0,46.0,13,10,11,629,3.0417282670387067,92.87969173211604
24,11,0,0,0,10.000000000000002,20,10.0,22.370828412804208,19,28.842105263157894,33.68466886942516,10,47.0,41.999999999999986,7,42.0,4,1.086,56852,3,10,1.0,253.70828412804207,False,0.10374937803041315,5,2.797000000000001,41362.0,262,0,0.0,2620.0000000000005,False,-0.17339170524766093,0,0.2,76608,111,113,1.0,6289.52953606631,False,0.009758739561332424,0,0.506,77067,62,76,1.0,3947.026195670173,False,0.0007408409236926578,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5780000000000001,99697,78,16,1.0,3299.404171815162,False,-0.003434726184829437,0.6666666666666666,453282,0.0,0.0,11,0,0,6,2,1.2857142857142856,11,17,15,27.0,21.0,4,7,15,964,2.1513090149965137,95.03100074711256
25,15,0,0,0,10.000000000000002,20,10.0,22.010230730174623,4,2.25,33.46869643421534,20,32.0,41.999999999999986,11,42.0,0,1.0820000000000003,56772,1,20,1.0,450.2046146034925,False,0.10410286708059875,4,2.832000000000001,41132.0,274,0,0.0,2740.0000000000005,False,-0.1766848110338415,0,0.2,76602,102,123,1.0,6361.693195886298,False,0.010139608998799086,0,0.506,77704,55,66,1.0,3419.4966548178168,False,0.005466414213477789,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5780000000000001,99519,88,15,1.0,3575.2452862109494,False,-0.0038288365018734074,0.6666666666666666,453425,0.0,0.0,12,0,0,6,2,2.0,10,16,22,42.0,33.0,4,11,22,1302,2.508199555973988,97.53920030308655
26,22,0,0,0,10.000000000000002,20,10.0,21.80597476229753,5,13.6,33.231819804300585,27,32.0,41.999999999999986,11,42.0,0,1.0820000000000003,56668,5,29,1.0,682.3732681066284,False,0.10433695511793806,4,2.8680000000000008,40988.0,280,0,0.0,2800.0000000000005,False,-0.17889312903163318,0,0.2,77430,93,106,1.0,5550.5285521495325,False,0.015487886810599497,0,0.506,77672,49,76,1.0,3594.1110684794235,False,0.0061666649899940855,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5780000000000001,99117,105,14,1.0,4077.341079451561,False,-0.00531318301874434,0.6666666666666666,453571,0.0,0.0,13,0,0,11,1,1.0,12,23,16,142.0,51.0,10,12,16,1562,2.9413292899844237,100.48052959307097
27,16,0,0,0,10.000000000000002,20,10.0,22.946047019014298,23,32.130434782608695,34.156427292312976,30,38.8,41.999999999999986,9,42.0,0,1.0820000000000003,57287,7,16,1.0,437.13675230422876,False,0.11395247033593774,0,2.864000000000001,40908.0,288,0,0.0,2880.0000000000005,False,-0.17966797745191096,0,0.2,76691,106,116,1.0,6394.426549923821,False,0.011473668366993808,0,0.506,78836,39,56,1.0,2807.655762111084,False,0.01592550050714764,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5780000000000001,98331,125,15,1.0,4899.553411539122,False,-0.008999599730868864,0.6666666666666666,453749,0.0,0.0,15,0,0,10,0,0.0,11,21,18,111.0,23.0,8,8,18,2481,1.7473396600107662,102.22786925308174
28,18,0,0,0,10.000000000000002,20,10.0,23.652933155711597,13,33.84615384615385,35.48620115808247,16,49.0,41.999999999999986,9,42.0,0,1.0820000000000003,57607,7,14,1.0,401.14106417996237,False,0.11980261767216124,1,2.874000000000001,40799.0,298,0,0.0,2980.0000000000005,False,-0.1808108788718207,0,0.2,77035,109,110,1.0,6481.651841361636,False,0.016381275742331346,0,0.506,78836,29,66,1.0,3028.0243379490794,False,0.017320556189695663,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5780000000000001,97925,131,16,1.0,5320.692351708804,False,-0.010921312776762115,0.6666666666666666,453898,0.0,0.0,10,0,0,10,1,1.0,11,21,18,116.0,45.0,8,10,18,1782,1.6338600299786776,103.86172928306041
29,18,0,0,0,10.000000000000002,20,10.0,25.477392245316395,29,36.827586206896555,36.27141279649065,25,41.32,41.99999999999999,11,42.0,15,1.2320000000000002,58074,10,10,1.0,354.77392245316395,False,0.12839987914740686,0,2.8730000000000007,40729.0,305,0,0.0,3050.0000000000005,False,-0.18148887123956375,0,0.2,77414,114,101,1.0,6567.835408411625,False,0.02172542736580252,0,0.506,78422,33,70,1.0,3379.7528398497866,False,0.01430549264294267,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5780000000000001,97354,146,15,1.0,5925.626268287635,False,-0.01356185952108428,0.6666666666666666,453689,0.0,0.0,18,0,0,8,2,1.25,13,21,18,120.0,60.0,8,10,18,1875,1.586812065972481,105.4485413490329
30,18,0,0,0,10.000000000000002,20,10.0,26.42424384036193,39,31.0,36.27141279649065,0,,41.99999999999999,6,42.0,22,1.4370000000000003,58388,12,10,1.0,384.2424384036193,False,0.13476785965948912,7,2.943000000000001,40461.0,313,0,0.0,3130.0000000000005,False,-0.18590550723514712,0,0.2,76802,122,111,1.0,7249.884568934618,False,0.018294577048787192,0,0.506,77825,44,80,1.0,4064.3797526951776,False,0.01108087762208593,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5780000000000001,97606,136,19,1.0,5730.912140322728,False,-0.012041220203731058,0.6666666666666666,452778,0.0,0.0,8,0,0,8,4,3.375,13,21,16,104.0,73.0,8,10,16,452,1.5182011779979803,106.96674252703087
31,16,0,0,0,10.000000000000002,20,10.0,26.30552065809427,1,2.0,35.71173657070949,5,17.0,41.99999999999999,7,42.0,0,1.4150000000000003,58288,12,20,1.0,646.1104131618854,False,0.1353670884408296,1,2.946000000000001,40334.0,323,0,0.0,3230.0000000000005,False,-0.18739709044418185,0,0.2,76800,113,121,1.0,7293.6439594205,False,0.018546276109876303,0,0.506,77910,34,85,1.0,3929.885310885512,False,0.011305647558212792,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5780000000000001,97815,131,22,1.0,5602.237490762944,False,-0.010618719070745377,0.6666666666666666,452843,0.0,0.0,9,0,0,8,1,1.0,11,19,22,75.0,57.0,7,9,22,579,1.6648603109642863,108.63160283799516
32,22,0,0,0,10.000000000000002,20,10.0,25.645053340796572,33,21.939393939393938,35.444943730878194,12,32.0,41.99999999999999,8,42.0,0,1.4150000000000003,58807,13,13,1.0,463.38569343035545,False,0.14365094718856286,16,3.105000000000001,39766.0,332,0,0.0,3320.0000000000005,False,-0.19752823353931387,0,0.2,76747,116,131,1.0,7618.113816277446,False,0.019929311844961158,0,0.506,77623,44,83,1.0,4070.312676657939,False,0.008560891574396393,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.5780000000000001,97767,133,24,1.0,5722.1775162068,False,-0.010501015201154382,0.6666666666666666,452406,0.0,0.0,12,0,0,10,4,4.0,14,24,22,166.0,89.0,10,12,22,1549,1.5476332000107504,110.17923603800591
