index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,8,0,0,0,10.000000000000002,20,10.0,7.3580316587621,8,1.0,43.89589141729813,4,49.75,48.0,20,48.0,3,0.536,11791,108,0,0.0,1080.0000000000002,False,-0.09841339475031075,5,0.5830000000000001,11599,112,0,0.0,1120.0000000000002,False,-0.11098925202895371,0,0.2,24050,0,36,0.8,1580.2520910227327,False,0.08833359820852463,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,4,0.78,33563,0,1,0.1,48.0,False,-0.032242263585547166,12,0.9680000000000002,31447,30,0,0.0,1316.876742518944,False,-0.07493118275631096,0.15,136080,0.0,0.0,18,0,0,1,11,11.0,27,28,8,71.0,9.0,5,3,8,591,0.4650470232591033,9.793582201935351
11,8,0,0,0,10.000000000000002,20,10.0,6.4918911378152115,12,1.8333333333333333,45.77258137688952,10,55.0,48.0,20,48.0,7,0.603,11517,119,0,0.0,1190.0000000000002,False,-0.1144256781457922,5,0.6280000000000001,11409,121,0,0.0,1210.0000000000002,False,-0.12159099217664693,0,0.2,24578,2,36,1.0,1660.7967118436532,False,0.11323161391175188,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,7,0.8460000000000003,33254,0,5,0.5,240.0,False,-0.03837953091684435,12,1.0760000000000003,30893,35,0,0.0,1602.0403481911333,False,-0.08678556520211009,0.25,135281,0.0,0.0,12,0,0,11,14,13.5,16,27,5,74.0,6.0,6,2,5,750,0.6268187575042248,10.420400959439576
12,5,0,0,0,10.000000000000002,20,10.0,6.051199452195661,7,1.7142857142857142,46.17899108322117,2,57.0,48.00000000000001,9,48.0,5,0.6460000000000001,11312,129,0,0.0,1290.0000000000002,False,-0.12575857278642977,2,0.643,11265,131,0,0.0,1310.0000000000002,False,-0.1284638444103239,0,0.2,24680,0,43,0.9,1985.6966165785104,False,0.12481809973226675,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,0,0.8390000000000002,33204,0,6,0.1,288.00000000000006,False,-0.0391286809197257,9,1.1540000000000004,30671,36,0,0.0,1662.443678995962,False,-0.09231193916043386,0.16666666666666666,134762,0.0,0.0,13,0,0,1,7,7.0,25,26,4,56.0,3.0,4,1,4,314,0.39594529941678047,10.816346258856356
13,4,0,0,0,10.000000000000002,20,10.0,5.375743000190862,11,1.1818181818181819,46.254316701515755,1,50.0,48.00000000000001,10,48.0,9,0.7310000000000001,11014,137,0,0.0,1370.0000000000002,False,-0.14462235870439424,2,0.661,11103,143,0,0.0,1430.0000000000002,False,-0.13592162023835636,0,0.2,24717,1,52,1.0,2410.6002114790103,False,0.1357474634481031,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,0,0.8390000000000002,33154,0,7,0.1,336.00000000000006,False,-0.03987783092260704,10,1.2450000000000003,30483,36,0,0.0,1665.155401254567,False,-0.09768980289784811,0.18333333333333335,134101,0.0,0.0,14,0,0,2,8,8.0,23,25,6,53.0,0.0,4,0,6,250,0.3877002177760005,11.204046476632357
14,6,0,0,0,10.000000000000002,20,10.0,4.899428031221193,10,1.5,46.475502425896345,4,49.0,48.000000000000014,15,48.0,7,0.7920000000000003,10742,148,0,0.0,1480.0000000000002,False,-0.16048841120128682,3,0.6890000000000001,10948,152,0,0.0,1520.0000000000002,False,-0.14396431966074433,0,0.2,24898,1,58,1.0,2700.478568733209,False,0.15002800930453056,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,0,0.8390000000000002,32958,0,11,0.4,528.0000000000001,False,-0.042759177087535294,15,1.3850000000000002,30116,36,0,0.0,1673.1180873322685,False,-0.10814962704817227,0.2333333333333333,133292,0.0,0.0,13,0,0,4,12,12.0,22,26,6,71.0,3.0,5,1,6,396,0.4586202874779701,11.662666764110327
15,6,0,0,0,10.000000000000002,20,10.0,4.899428031221193,0,,44.71413122682063,8,34.875,48.000000000000014,10,48.0,0,0.7850000000000001,10632,159,0,0.0,1590.0000000000002,False,-0.16450976091248082,0,0.686,10858,161,0,0.0,1610.0000000000002,False,-0.14725451487899394,0,0.2,25177,0,51,0.1,2280.4206925678523,False,0.15304987496862626,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,0,0.8390000000000002,32868,0,16,0.5,768.0000000000002,False,-0.04189477323805682,10,1.4700000000000004,29748,39,0,0.0,1743.8511178460046,False,-0.11773394920408571,0.09999999999999999,132913,0.0,0.0,14,0,0,4,5,5.0,23,27,6,70.0,3.0,5,1,6,479,0.43245770316571,12.095124467276037
16,6,0,0,0,10.000000000000002,20,10.0,4.914254064196482,1,6.0,45.04753436901785,4,49.0,48.00000000000001,20,48.0,0,0.7850000000000001,10522,170,0,0.0,1700.0000000000002,False,-0.1685311106236748,1,0.6960000000000001,10751,170,0,0.0,1700.0000000000002,False,-0.15178767273524896,0,0.2,25367,0,48,0.1,2162.281649712857,False,0.1587864013694545,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,0,0.8390000000000002,33248,0,8,0.4,384.00000000000006,False,-0.0364778424479917,8,1.5400000000000003,29614,39,0,0.0,1756.8538403916964,False,-0.12140762634138626,0.08333333333333333,133132,0.0,0.0,19,0,0,6,7,7.0,22,28,7,70.0,3.0,5,1,7,972,0.47208970692008734,12.567214174196124
17,7,0,0,0,10.000000000000002,20,10.0,4.746041717623276,3,1.0,46.47672514615042,6,57.5,48.000000000000014,7,48.0,3,0.8150000000000002,10366,179,0,0.0,1790.0000000000002,False,-0.17664692549535718,0,0.6950000000000001,10641,181,0,0.0,1810.0000000000002,False,-0.15580902244644293,0,0.2,25709,0,45,0.3,2091.452631576769,False,0.1722189938568343,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,0,0.8390000000000002,33098,0,11,0.3,528.0000000000001,False,-0.03872529245663574,7,1.602,29315,42,0,0.0,1952.0224561383177,False,-0.12721110966204238,0.09999999999999999,132759,0.0,0.0,11,0,0,8,5,5.0,23,31,6,74.0,3.0,6,1,6,545,0.6734592020511627,13.240673376247287
18,6,0,0,0,10.000000000000002,20,10.0,4.6873523096779675,1,1.0,47.67308069551719,7,55.714285714285715,48.000000000000014,13,48.0,1,0.8220000000000001,10284,185,0,0.0,1850.0000000000002,False,-0.18044892885866784,0,0.6950000000000001,10501,195,0,0.0,1950.0000000000005,False,-0.16092710389705345,0,0.2,26098,0,39,0.1,1859.2501471251705,False,0.1841756516632748,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,0,0.8390000000000002,32948,0,14,0.3,672.0000000000002,False,-0.04097274246527978,13,1.7250000000000003,28782,46,0,0.0,2192.9617119937907,False,-0.13909753771691077,0.06666666666666667,132243,0.0,0.0,12,0,0,13,10,10.0,14,27,7,59.0,0.0,6,0,7,590,0.6290551535785198,13.869728529825807
19,7,0,0,0,10.000000000000002,20,10.0,4.419971962368627,8,2.5,47.67308069551719,0,,48.00000000000002,20,48.0,0,0.8210000000000002,10164,197,0,0.0,1970.0000000000005,False,-0.184835855816334,8,0.7750000000000001,10241,203,0,0.0,2030.0000000000005,False,-0.17701250274182934,0,0.2,26078,0,47,0.8,2240.634792689308,False,0.191654284803043,0,0.2,23630,0,0,0.0,0.0,False,0.03531370487206449,0,0.8390000000000002,33428,0,4,0.0,192.00000000000009,False,-0.034057511669451965,10,1.8120000000000005,28594,46,0,0.0,2192.9617119937907,False,-0.14451446850697588,0.13333333333333333,132135,0.0,0.0,16,0,0,9,8,8.0,19,28,7,103.0,0.0,7,0,7,680,0.5203390875831246,14.390067617408931
