index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
0,bbaf2554-a4c8-4207-9d2b-e7f62fc1cef8,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,39,2,44,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,39,,-1,-1
1,780350d2-fc88-40ef-b81b-d5f69d81ed33,05Ran@2,BUYER,RandomAgent,_SystemAgent,24,3,44,0,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
2,ced50abd-4ea9-42ff-a41c-226e0545c06d,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,25,2,44,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,25,,-1,-1
3,f6f7b5e6-5317-4195-83d1-de06db7a28ae,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,22,4,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,22,,-1,-1
4,94629738-dc3c-4076-b393-c7ad7c18ab8b,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,38,3,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,38,,-1,-1
5,8ae65dce-87ae-4cf7-8b22-ae8a53cbc1b3,05Ran@2,BUYER,RandomAgent,_SystemAgent,19,2,44,0,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
6,74a0fddf-c443-4aa8-b977-5247aca19796,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,27,2,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,27,,-1,-1
7,bd101816-f9d1-4c5e-b75a-7213dc3480b9,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,7,3,44,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,True,3,0,-1,04Dec@2:product(1.0),-1,-1
8,96cc5db5-7bc1-43c9-b2ca-4fc144644da0,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,16,1,44,0,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,-1,04Dec@2:product(1.0),-1,-1
9,123fd3de-c1f9-409b-82c1-e1206536a67b,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,3,1,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,3,,-1,-1
10,b24263be-ea6e-4ea8-8fd2-20a1b0f7fc33,05Ran@2,BUYER,RandomAgent,_SystemAgent,12,1,44,0,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
