index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,23,0,0,0,10.0,10,10.0,19.992838100675556,12,10.0,40.11703730712874,16,31.25,44.0,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,12,0.7340000000000002,29016,112,0,0.0,1120.0,False,-0.035355512067840836,0,0.5330000000000001,48145,4,16,1.0,721.8439493167621,False,0.02264129648040108,3,0.455,46983,2,10,1.0,441.1560492726385,False,-0.004815777858063732,0,0.542,67109,9,15,1.0,1021.0533357641586,False,-0.008118658884278568,12,0.9680000000000002,64296,45,0,0.0,1805.2666788207932,False,-0.04362968712818281,0.5,286529,0.0,0.0,12,0,0,19,10,9.25,16,35,27,146.0,69.0,12,11,27,652,1.4352938197553158,27.58260796032846
11,27,0,0,0,10.0,9,10.0,19.87617183035431,1,11.0,40.40783529272414,5,46.2,44.0,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,1,0.7320000000000002,28912,121,0,0.0,1210.0,False,-0.037279843444227,0,0.533,48345,0,16,0.4,646.5253646835862,False,0.026063895309955218,0,0.45200000000000007,47003,0,12,0.3,484.8940235126896,False,-0.00393306181994546,0,0.542,67393,3,14,1.0,737.2235058781724,False,-0.006034474748960874,9,1.046,64119,46,0,0.0,1858.7604234653104,False,-0.04583368471781122,0.2833333333333333,286752,0.0,0.0,11,0,0,18,7,7.0,18,36,23,192.0,47.0,14,13,23,805,1.6799333868548274,29.262541347183287
12,23,0,0,0,10.0,7,10.0,19.103261112105727,6,10.166666666666666,41.882595772325836,7,61.714285714285715,44.0,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,6,0.7910000000000001,28747,128,0,0.0,1280.0,False,-0.041519895629484674,0,0.5330000000000001,48334,0,17,0.1,712.0041281295393,False,0.0265222226358739,0,0.452,47385,0,10,0.5,418.82595772325834,False,0.0034241225093107285,0,0.542,67833,0,7,0.3,308.0,False,-0.002728352866970795,10,1.1370000000000002,63527,53,0,0.0,2219.7775759332694,False,-0.05186967292085377,0.15,286806,0.0,0.0,13,0,0,20,8,8.0,14,34,18,178.0,47.0,12,11,18,942,1.5520956572145224,30.81463700439781
13,18,0,0,0,10.0,7,10.0,18.985543096946333,1,11.0,41.21117529981139,10,35.1,44.0,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,1,0.7950000000000002,28663,135,0,0.0,1350.0,False,-0.043118069145466405,0,0.5330000000000001,48550,0,12,0.1,494.53410359773665,False,0.028783670344890926,0,0.45200000000000007,47509,0,6,0.0,247.26705179886832,False,0.004229919166373689,2,0.562,68122,0,0,0.0,0.0,False,-0.0007480967538468308,11,1.237,62977,63,0,0.0,2596.3040438881176,False,-0.0571758317523938,0.016666666666666666,286801,0.0,0.0,11,0,0,19,9,8.5,16,35,11,177.0,33.0,12,6,11,685,1.360398598946631,32.17503560334444
14,11,0,0,0,10.0,13,10.0,18.858692968987864,1,11.0,40.304459202212826,8,30.0,44.0,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,1,0.804,28519,148,0,0.0,1480.0,False,-0.04569471624266145,0,0.5330000000000001,48539,0,13,0.1,523.9579696287667,False,0.02886192833560433,2,0.47200000000000003,47671,0,0,0.0,0.0,False,0.005038792376454714,8,0.6400000000000001,68012,0,0,0.0,0.0,False,-0.0023616387719478387,12,1.346,62503,71,0,0.0,2861.6166033571108,False,-0.06218285389115114,0.016666666666666666,286224,0.0,0.0,7,0,0,16,13,12.25,15,31,18,75.0,6.0,9,2,18,130,1.593984168022871,33.76901977136731
15,18,0,0,0,10.0,10,10.0,17.52187357624006,11,10.636363636363637,40.188539321514774,7,38.714285714285715,44.0,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,11,0.9130000000000003,28217,158,0,0.0,1580.0,False,-0.05391389432485323,0,0.533,48623,0,13,0.2,522.451011179692,False,0.030616999190205968,5,0.52,47538,0,9,0.9,361.696853893633,False,0.006047571828023638,6,0.6920000000000002,67944,0,0,0.0,0.0,False,-0.0033591011104102796,14,1.4740000000000002,61936,78,0,0.0,3134.7060670781525,False,-0.06849701445529645,0.18333333333333335,285238,0.0,0.0,8,0,0,23,15,15.0,13,36,20,169.0,47.0,12,6,20,206,1.4988421015441418,35.26786187291145
16,20,0,0,0,10.0,10,10.0,16.567583357057906,9,10.11111111111111,40.57832968223627,4,49.0,44.0,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,9,0.9920000000000002,27975,168,0,0.0,1680.0,False,-0.06017612524461839,0,0.5330000000000001,48808,0,10,0.1,405.78329682236273,False,0.03328747782954932,0,0.5150000000000001,47458,0,17,0.8,689.8316045980166,False,0.007819948606405142,14,0.8260000000000001,67445,0,4,0.4,176.0,False,-0.00938788083258768,6,1.5200000000000002,61858,78,0,0.0,3165.1097152144293,False,-0.06941817350553418,0.21666666666666667,284524,0.0,0.0,7,0,0,28,14,14.0,10,38,17,203.0,42.0,13,7,17,296,1.3490397492423654,36.61690162215382
17,17,0,0,0,10.0,14,10.0,15.5142590262907,18,11.833333333333334,42.907743027683615,17,54.05882352941177,44.0,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,18,1.1630000000000003,27565,182,0,0.0,1820.0,False,-0.0712654924983692,7,0.6030000000000002,49242,6,10,1.0,522.1629844345804,False,0.04366422441004568,0,0.5150000000000001,47437,0,19,0.2,815.2471175259886,False,0.008699265448705359,7,0.8820000000000001,67328,0,4,0.4,176.0,False,-0.011104102797295116,9,1.6040000000000003,60991,91,0,0.0,3904.604615519209,False,-0.07671215425814325,0.26666666666666666,283543,0.0,0.0,15,0,0,22,14,13.4,15,37,15,184.0,22.0,13,4,15,615,1.271008932031691,37.88791055418551
18,15,0,0,0,10.0,12,10.0,15.118331868678414,7,11.0,40.79488513747215,24,33.0,44.0,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,7,1.215,27340,194,0,0.0,1940.0,False,-0.0766470971950424,0,0.5960000000000001,49359,0,15,0.7,611.9232770620822,False,0.04707711331023452,3,0.5450000000000002,47918,0,6,0.6,244.7693108248329,False,0.012826460098929363,6,0.935,67428,0,0,0.0,0.0,False,-0.010928080031684098,10,1.6950000000000003,60027,115,0,0.0,4691.411790809298,False,-0.08508198413734687,0.21666666666666665,283052,0.0,0.0,13,0,0,18,12,11.272727272727273,14,32,15,133.0,15.0,10,5,15,747,1.5356006566435099,39.42351121082902
19,15,0,0,0,10.0,6,10.0,15.061785431681365,1,11.0,38.103852020970876,44,31.90909090909091,44.0,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,1,1.2180000000000002,27266,200,0,0.0,2000.0,False,-0.07808219178082192,1,0.6060000000000001,49916,0,0,0.0,0.0,False,0.05236970821386406,22,0.7620000000000002,47592,0,1,0.1,38.103852020970876,False,0.0037749183254023604,10,1.0290000000000001,66660,6,10,1.0,668.6231121258253,False,-0.017289666641296282,10,1.7850000000000004,59043,143,0,0.0,5448.850838998836,False,-0.09396057941561291,0.18333333333333335,281457,0.0,0.0,5,0,0,18,18,16.94047619047619,15,33,16,137.0,43.0,10,5,16,405,1.372756326571107,40.79626753740013
20,16,0,0,0,9.999999999999998,9,10.0,14.562204674854534,12,11.833333333333334,38.103852020970876,0,,44.0,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,12,1.337,27007,209,0,0.0,2089.9999999999995,False,-0.08506196999347684,0,0.6050000000000002,49916,0,0,0.0,0.0,False,0.05236970821386406,0,0.7400000000000002,47450,2,11,1.0,448.26678158038874,False,0.005104853069450867,3,1.0490000000000002,67068,0,6,0.6,264.0,False,-0.01427251257829346,7,1.8450000000000002,58953,143,0,0.0,5448.850838998836,False,-0.09528075015769555,0.26666666666666666,281374,0.0,0.0,12,0,0,19,8,8.0,19,38,20,170.0,45.0,11,5,20,530,1.253102726303041,42.04937026370317
21,20,0,0,0,9.999999999999998,11,10.0,14.147814265184735,13,11.923076923076923,38.103852020970876,0,,44.00000000000001,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,13,1.4550000000000003,26715,220,0,0.0,2199.9999999999995,False,-0.09279191128506196,0,0.6050000000000001,49761,3,10,1.0,423.48196300526297,False,0.05356596773280977,0,0.7400000000000002,47450,0,13,0.2,495.3500762726214,False,0.005601177225002299,5,1.0960000000000003,67270,0,0,0.0,0.0,False,-0.013245713112229182,9,1.9280000000000004,58808,143,0,0.0,5448.850838998836,False,-0.0974076919088287,0.19999999999999998,280984,0.0,0.0,8,0,0,19,11,11.0,15,34,16,178.0,35.0,12,8,16,374,1.392531563527882,43.44190182723105
22,16,0,0,0,9.999999999999998,9,10.0,14.065533285815544,2,11.0,37.793695232802506,7,32.0,44.00000000000001,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,2,1.4620000000000002,26596,229,0,0.0,2289.9999999999995,False,-0.09520547945205479,0,0.6050000000000001,49750,0,14,0.4,529.111733259235,False,0.054447543148710156,0,0.7400000000000002,47663,0,7,0.1,264.5558666296175,False,0.007658920840673099,6,1.1510000000000002,67192,0,0,0.0,0.0,False,-0.014389861088700806,14,2.059,58287,150,0,0.0,5669.054284920376,False,-0.10343497950126607,0.08333333333333333,280468,0.0,0.0,6,0,0,17,13,13.0,18,35,13,184.0,70.0,12,4,13,314,1.2312304405495524,44.6731322677806
23,13,0,0,0,9.999999999999998,10,10.0,14.065533285815544,0,,35.62026721009524,33,27.454545454545453,44.00000000000001,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,0,1.4600000000000002,26496,239,0,0.0,2389.9999999999995,False,-0.09683626875407697,1,0.6150000000000001,50203,0,0,0.0,0.0,False,0.05842047562826783,11,0.8500000000000001,47608,0,0,0.0,0.0,False,0.0037105751391465678,9,1.235,66583,10,10,1.0,796.2026721009524,False,-0.01748344159637286,11,2.1550000000000002,57648,163,0,0.0,5806.103555245524,False,-0.11180303378723594,0.16666666666666666,279518,0.0,0.0,7,0,0,14,15,13.425,17,31,15,165.0,25.0,11,2,15,464,1.05720323510468,45.73033550288528
24,15,0,0,0,9.999999999999998,7,10.0,14.021653698151553,1,11.0,36.47509252052812,11,47.45454545454545,44.00000000000001,20,44.0,0,0.2,30980,0,0,0.0,0.0,False,0.010437051532941943,1,1.4700000000000002,26412,246,0,0.0,2459.9999999999995,False,-0.09843444227005871,5,0.6640000000000001,50338,0,0,0.0,0.0,False,0.06126665542249958,6,0.899,47555,0,1,0.1,36.47509252052812,False,0.0029776848174284227,0,1.2260000000000002,66979,0,11,1.0,484.00000000000006,False,-0.013964472738474176,11,2.2540000000000004,56928,174,0,0.0,6346.666098571894,False,-0.11839976164631238,0.18333333333333335,279192,0.0,0.0,8,0,0,14,9,9.0,21,35,16,134.0,41.0,9,6,16,466,2.0515744937583804,47.78190999664366
