index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
0,b2220bd9-b12d-48d7-ae5c-e23845ee6ec5,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,29,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,29,,-1,-1
1,e5475af7-58e7-445f-b9c9-d8559b896b22,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,14,1,47,0,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
2,154fd99c-426f-442e-b651-e28df7b218de,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,19,2,47,0,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
3,efa5ce9e-6b38-46ae-9a7e-e752a0598465,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,0,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,0,,-1,-1
4,a3356b6b-a08a-4b7e-80cf-16a7eb86c72a,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,39,1,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,39,,-1,-1
5,ddceb8ac-b03e-424e-9adb-09744002e93c,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,43,1,47,0,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
6,b1817b08-cb61-4ffa-9ce0-4788609b2734,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,37,4,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,37,,-1,-1
7,ba7b76cf-4bd8-4808-ab78-dccb94b548c5,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,49,4,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,49,,-1,-1
8,4bbd8154-50d8-4ddd-983c-fd19b3af8d9b,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,10,1,47,0,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
9,1ffd1afb-e758-4670-8853-59a6666f0a9d,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,63,1,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,63,,-1,-1
10,0b17d618-6203-44fe-a2bd-62aab2b34c00,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,25,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,25,,-1,-1
11,88b8910a-dba0-453d-8ca8-3ea0ee3c223e,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,30,3,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,30,,-1,-1
12,c2f90209-4519-4338-8edb-036470e181b2,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,42,1,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,42,,-1,-1
13,1c017b5c-7f46-47e3-a28a-b4862bd587f1,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,15,4,47,0,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
14,00629179-2269-4c5e-b173-4cc3f43667df,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,26,2,47,0,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
15,4225060c-4bab-4f5a-b932-5365e95d153b,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,56,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,56,,-1,-1
16,2d628341-875a-4617-b603-2c510678b99b,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,41,3,47,0,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
17,8f5fb6ab-73f1-423b-91c3-b6b1d897fd8b,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,49,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,49,,-1,-1
18,8bbf9e61-22cd-476a-998f-062dfb1f41b7,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,6,3,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,6,,-1,-1
19,36c45f02-c428-4fbc-97f4-c5a4dd24f469,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,46,2,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,46,,-1,-1
20,e69aed60-4a25-43bf-b5d3-9ffa6ced39a8,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,21,2,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,21,,-1,-1
