index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,27.0,0,,37.0,0,,0,0.2,23995,13,0,0.0,130.0,False,-0.002694300518134715,0,0.2,24055,7,0,0.0,70.0,False,-0.001450777202072539,0,0.2,37474,0,0,0.0,0.0,False,0.0,0,0.2,37474,0,0,0.0,0.0,False,0.0,0,0.2,49697,0,0,0.0,0.0,False,0.0,0,0.2,49697,0,0,0.0,0.0,False,0.0,0.0,222392,0.0,0.0,9,0,0,0,0,0.0,396,396,51,0.0,0.0,0,0,51,200,1.0063318023458123,1.0063318023458123
1,51,0,0,0,10.0,20,10.0,14.818181818181818,10,5.0,27.0,0,,37.0,0,,0,0.2,23935,19,0,0.0,190.0,False,-0.003937823834196891,10,0.30000000000000004,23755,21,0,0.0,210.0,False,-0.010984455958549223,0,0.2,37474,0,0,0.0,0.0,False,0.0,0,0.2,37424,0,10,1.0,270.0,False,0.0022682393125900624,0,0.2,49697,0,0,0.0,0.0,False,0.0,0,0.2,49697,0,0,0.0,0.0,False,0.0,0.16666666666666666,221982,0.0,0.0,12,0,0,37,1,1.0,33,70,21,869.0,15.0,50,1,21,200,2.3869738951325417,3.393305697478354
2,21,0,0,0,10.0,20,10.0,11.962406015037594,17,3.6470588235294117,27.0,0,,37.0,0,,2,0.22000000000000003,23791,31,0,0.0,310.0,False,-0.007419689119170985,15,0.44000000000000006,23359,29,0,0.0,290.0,False,-0.025740932642487047,0,0.2,37457,0,6,0.6,162.0,False,0.0017078507765384,0,0.2,37379,1,20,1.0,551.9624060150376,False,0.004829513876488207,0,0.2,49697,0,0,0.0,0.0,False,0.0,0,0.2,49697,0,0,0.0,0.0,False,0.0,0.26666666666666666,221380,0.0,0.0,12,0,0,14,4,4.0,26,40,22,250.0,6.0,19,2,22,200,1.4583449205383658,4.85165061801672
3,22,0,0,0,10.0,20,10.0,11.400939702427564,4,3.0,24.454545454545453,10,13.0,37.0,20,37.0,1,0.228,23669,42,0,0.0,420.0,False,-0.010196891191709844,3,0.45500000000000007,23209,38,0,0.0,380.0,False,-0.030093264248704663,4,0.24000000000000002,37447,0,4,0.4,97.81818181818181,False,0.0005846477800365124,0,0.2,37379,0,21,0.1,513.5454545454545,False,0.004316932467116613,11,0.31000000000000005,49398,0,10,1.0,370.0,False,-0.0022939010403042435,9,0.29000000000000004,49586,0,0,0.0,0.0,False,-0.002233535223454132,0.25,220688,0.0,0.0,9,0,0,15,12,11.4,18,33,21,197.0,51.0,12,10,21,200,1.148724946193397,6.000375564210117
4,21,0,0,0,10.0,20,10.0,10.903034247132515,4,3.75,22.692307692307693,9,13.0,37.0,20,37.0,1,0.23700000000000002,23547,53,0,0.0,530.0,False,-0.012974093264248705,3,0.48200000000000004,23062,47,0,0.0,470.0,False,-0.034321243523316065,5,0.28600000000000003,37389,0,4,0.4,90.76923076923077,False,-0.0010571432090351427,0,0.2,37379,0,21,0.0,476.53846153846155,False,0.003823163547238996,0,0.29900000000000004,49731,0,1,0.0,37.0,False,0.0010564017948769544,11,0.39100000000000007,49300,9,0,0.0,204.23076923076923,False,-0.005933650228074473,0.06666666666666667,220408,0.0,0.0,12,0,0,11,9,8.555555555555555,19,30,22,174.0,44.0,11,10,22,533,1.1634436072781682,7.163819171488285
5,22,0,0,0,10.0,20,10.0,10.214768271757421,5,2.6,23.182419035029742,23,24.304347826086957,37.0,20,37.0,1,0.24600000000000002,23435,63,0,0.0,630.0,False,-0.015544041450777202,4,0.5190000000000001,22880,57,0,0.0,570.0,False,-0.039792746113989634,9,0.37100000000000005,37233,0,5,0.5,115.9120951751487,False,-0.0048845586916908545,0,0.2,37769,0,11,0.0,255.00660938532715,False,0.01127457182827192,7,0.369,49691,0,0,0.0,0.0,False,-0.00012073163370022335,12,0.5,48554,32,0,0.0,741.8374091209517,False,-0.015535772691299724,0.08333333333333333,219562,0.0,0.0,11,0,0,15,16,15.428571428571429,16,31,17,189.0,46.0,11,11,17,627,0.9987005749717355,8.16251974646002
6,17,0,0,0,10.0,20,10.0,9.078147603009482,9,2.2222222222222223,22.11178287441677,8,13.0,37.0,20,37.0,1,0.255,23323,73,0,0.0,730.0,False,-0.0181139896373057,8,0.5950000000000001,22623,67,0,0.0,670.0,False,-0.048373056994818656,3,0.392,37221,0,9,0.9,199.00604586975095,False,-0.004096092679327596,0,0.2,37769,0,11,0.0,243.2296116185845,False,0.011117436244043735,13,0.4920000000000001,49475,0,0,0.0,0.0,False,-0.004467070446908264,7,0.558,48373,40,0,0.0,884.4713149766709,False,-0.017742808268339377,0.15,218784,0.0,0.0,10,0,0,16,14,13.375,15,31,11,196.0,93.0,11,6,11,200,0.9129943558946252,9.075514102354646
7,11,0,0,0,10.0,20,10.0,8.308286788403409,6,1.0,22.774840094510495,24,24.666666666666668,37.00000000000001,20,37.0,0,0.254,23223,83,0,0.0,830.0,False,-0.020186528497409328,6,0.6470000000000001,22403,77,0,0.0,770.0,False,-0.05541968911917099,5,0.43900000000000006,37237,0,6,0.6,136.64904056706297,False,-0.004501133578386843,0,0.2,38179,0,1,0.0,22.774840094510495,False,0.019116918931719497,10,0.5790000000000002,49332,0,0,0.0,0.0,False,-0.007344507716763587,10,0.6510000000000001,47637,64,0,0.0,1457.5897660486717,False,-0.026786428093761534,0.09999999999999999,218011,0.0,0.0,11,0,0,14,13,12.833333333333334,14,28,7,175.0,3.0,10,1,7,714,0.8252861965447664,9.900800298899412
8,7,0,0,0,10.0,20,10.0,8.34306827658755,3,9.0,22.774840094510495,0,,37.00000000000001,20,37.0,3,0.28400000000000003,23107,91,0,0.0,910.0,False,-0.02333678756476684,0,0.6410000000000001,22283,89,0,0.0,890.0,False,-0.05790673575129534,0,0.43400000000000005,37210,0,9,0.3,204.97356085059445,False,-0.004310007460497923,0,0.2,38179,0,1,0.0,22.774840094510495,False,0.019116918931719497,8,0.649,49237,0,0,0.0,0.0,False,-0.009256091917017123,12,0.7610000000000001,47445,64,0,0.0,1457.5897660486717,False,-0.03064984037216868,0.049999999999999996,217461,0.0,0.0,11,0,0,8,11,11.0,19,27,8,107.0,0.0,7,0,8,200,0.7049671579152346,10.605767456814647
9,8,0,0,0,10.000000000000002,20,10.0,7.717551009766679,5,1.0,22.220892032481437,5,13.0,37.00000000000001,20,37.0,0,0.281,23057,96,0,0.0,960.0000000000002,False,-0.02437305699481865,5,0.6910000000000001,22033,104,0,0.0,1040.0000000000002,False,-0.06516062176165803,0,0.43400000000000005,37270,0,9,0.5,199.98802829233293,False,-0.00277541724539246,0,0.2,38179,0,1,0.0,22.220892032481437,False,0.019109527833063956,11,0.7510000000000001,49072,0,0,0.0,0.0,False,-0.012576211843773265,9,0.8390000000000002,47257,69,0,0.0,1533.241550241219,False,-0.033671634603283714,0.08333333333333333,216868,0.0,0.0,11,0,0,7,11,11.0,19,26,9,121.0,0.0,8,0,9,265,0.9314705338329077,11.537237990647554
