index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1906,736c4c98-8764-492a-8a85-e2f0615fad24,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,83,2,10,39,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,83,,-1,-1
1907,70b3d271-625c-4e17-8b6f-c45aed270c80,07Ran@3,BUYER,RandomAgent,_SystemAgent,83,1,57,39,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1908,bc68e8c2-b237-4372-98f1-57aaf938dd20,07Ran@3,BUYER,RandomAgent,_SystemAgent,83,4,57,39,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1909,d8e50633-3b2c-42ab-ac4a-7e577ad8c348,07Ran@3,BUYER,RandomAgent,_SystemAgent,83,2,57,39,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1910,696bb7dc-2f38-4067-a1af-883e226e4e9e,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,83,2,57,39,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,83,,-1,-1
1911,5b89ad11-b71c-4c50-b994-6dee0244932e,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,83,1,10,39,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,83,,-1,-1
1912,3464d186-78e6-4c67-b3de-dcbfb4c5c0c6,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,83,2,10,39,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,83,,-1,-1
1913,c85ddc60-7d6f-423a-9618-c3c9b615504f,04Dec@2,07Ran@3,DecentralizingAgent,RandomAgent,48,5,85,39,-1,39,04Dec@2|07Ran@3,"[quantity: (1, 5), time: (44, 49), unit_price: (43, 86)]",04Dec@2,07Ran@3,p3,04Dec@2,False,3,9,-1,04Dec@2:product(1.0),-1,-1
1914,cae31023-bc05-42fc-8345-252afc73a393,07Ran@3,BUYER,RandomAgent,_SystemAgent,83,1,57,39,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1915,039c7f22-dfc2-43d1-b500-70ebba83ac7b,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,83,2,10,39,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,83,,-1,-1
1916,5e28490f-03dd-414a-a40c-182a9c91c670,04Dec@2,07Ran@3,DecentralizingAgent,RandomAgent,41,2,62,39,-1,39,04Dec@2|07Ran@3,"[quantity: (1, 3), time: (39, 41), unit_price: (43, 86)]",04Dec@2,07Ran@3,p3,04Dec@2,False,3,2,41,,-1,-1
1917,42e472f4-285e-4924-92a9-d866c45bef9e,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,83,3,10,39,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,83,,-1,-1
1918,080355f9-6daa-4d07-b32a-a5abfde6ca48,07Ran@3,BUYER,RandomAgent,_SystemAgent,83,2,57,39,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1919,59a4fb9d-5dd7-42d4-ad0e-2ed27fead83a,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,83,1,57,39,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,83,,-1,-1
1920,ff30b9a0-34ef-453b-9d23-c147089798c6,07Ran@3,BUYER,RandomAgent,_SystemAgent,83,2,57,39,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1921,cf66f0bc-569d-42b9-8cca-a98eaec1add2,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,83,3,10,39,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,83,,-1,-1
1922,3b7a7624-6279-4563-813c-3923bd77b9c9,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,83,2,10,39,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,83,,-1,-1
1923,6c7c7fc7-d1f3-4fe3-8823-485bd09e7f88,07Ran@3,BUYER,RandomAgent,_SystemAgent,83,1,57,39,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1924,a25f3779-e28e-44c0-ad96-54ca78a0f2fa,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,83,2,57,39,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,83,,-1,-1
1925,47421732-17c8-4094-bbc8-4bef26d7fae2,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,83,1,10,39,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,83,,-1,-1
1926,2393f6f4-3122-49e4-b768-ff08b3e847d7,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,83,2,10,39,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,83,,-1,-1
1927,19948b79-a0a2-4ec9-9f40-d2ca3bbe1bce,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,83,2,10,39,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,83,,-1,-1
1928,885b500c-c48f-4d8f-9b33-b613ac3de1a5,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,84,3,10,40,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,84,,-1,-1
1929,cc05d33f-5d22-446b-b3ea-e3f1342e1bbd,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,84,1,10,40,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,84,,-1,-1
1930,bd8e1be3-955f-4a67-ab2d-c952b67594dc,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,84,3,10,40,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,84,,-1,-1
1931,9999f99f-b57f-42c2-871d-51096daca087,07Ran@3,BUYER,RandomAgent,_SystemAgent,84,5,57,40,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1932,bf22c88a-5fa8-4922-879e-2e3c41f35f83,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,84,2,57,40,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,84,,-1,-1
1933,96a0537b-879a-4059-aec0-e460b88795c3,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,84,2,10,40,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,84,,-1,-1
1934,d80ed634-a616-454b-aed6-814f19fd906a,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,84,2,10,40,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,84,,-1,-1
1935,d9408922-8460-4c9f-9148-9c933fadd300,07Ran@3,BUYER,RandomAgent,_SystemAgent,84,1,57,40,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1936,2b521aa5-9e98-4991-bb95-80ff9fc77e4c,07Ran@3,BUYER,RandomAgent,_SystemAgent,84,2,57,40,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
