index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,23.0,0,,33.0,0,,0,0.2,46314,7,0,0.0,70.0,False,-0.0007545705415660573,0,0.2,46254,3,10,1.0,180.0,False,-0.0008623663332183512,0,0.2,65269,0,0,0.0,0.0,False,0.0,0,0.2,65269,0,0,0.0,0.0,False,0.0,0,0.2,88959,0,0,0.0,0.0,False,0.0,0,0.2,88959,0,0,0.0,0.0,False,0.0,0.16666666666666666,401024,0.0,0.0,10,0,0,3,0,0.0,930,933,46,0.0,0.0,0,0,46,200,1.6038087410852313,1.6038087410852313
1,46,0,0,0,10.0,20,10.0,14.5625,3,8.0,23.0,0,,33.0,0,,3,0.23,46204,15,0,0.0,150.0,False,-0.002263711624698172,0,0.2,46134,5,20,1.0,341.25,False,-0.0017112581924801655,0,0.2,65269,0,0,0.0,0.0,False,0.0,0,0.2,65245,0,3,0.3,69.0,False,0.0001608726960731741,0,0.2,88959,0,0,0.0,0.0,False,0.0,0,0.2,88959,0,0,0.0,0.0,False,0.0,0.21666666666666667,400770,0.0,0.0,8,0,0,39,1,1.0,26,65,30,792.0,21.0,44,2,30,200,2.624593172222376,4.228401913307607
2,30,0,0,0,10.0,20,10.0,13.537109375,8,8.0,23.0,0,,33.0,0,,4,0.267,46061,25,0,0.0,250.0,False,-0.004268713349430838,0,0.2,46066,5,26,1.0,401.96484375,False,-0.0025228004942437045,0,0.2,65253,0,2,0.2,46.0,False,0.00010724846404878273,0,0.2,65197,0,9,0.6,207.0,False,0.00048261808821952227,0,0.2,88959,0,0,0.0,0.0,False,0.0,0,0.2,88959,0,0,0.0,0.0,False,0.0,0.3,400495,0.0,0.0,12,0,0,18,2,2.0,21,39,36,237.0,34.0,19,11,36,232,2.7999299662187696,7.028331879526377
3,36,0,0,0,10.0,20,10.0,13.419498725573492,1,8.0,23.0,0,,33.0,20,33.0,1,0.273,45911,39,0,0.0,390.0,False,-0.00599344601586754,0,0.2,46006,1,36,1.0,493.1019541206457,False,-0.0028339302979405847,0,0.2,65245,0,3,0.1,69.0,False,0.0001608726960731741,0,0.2,65197,0,9,0.0,207.0,False,0.00048261808821952227,10,0.30000000000000004,88842,0,0,0.0,0.0,False,-0.00131521262604121,10,0.30000000000000004,88829,0,0,0.0,0.0,False,-0.0014613473622680112,0.18333333333333335,400030,0.0,0.0,9,0,0,25,10,10.0,10,35,31,204.0,66.0,19,17,31,200,2.731168460100889,9.759500339627266
4,31,0,0,0,10.0,20,10.0,13.17522311367529,2,8.0,23.0,0,,33.0,20,33.0,0,0.272,45831,47,0,0.0,470.0,False,-0.0068558123490858915,0,0.2,45902,3,44,1.0,609.7098170017127,False,-0.0038190990750936473,0,0.2,65229,0,5,0.2,115.0,False,0.00026812116012195683,0,0.2,65197,0,9,0.0,207.0,False,0.00048261808821952227,16,0.45000000000000007,88562,0,0,0.0,0.0,False,-0.0044627300216953875,4,0.33000000000000007,88805,0,0,0.0,0.0,False,-0.0017311345676097978,0.19999999999999998,399526,0.0,0.0,9,0,0,20,9,9.0,15,35,35,225.0,64.0,15,16,35,216,2.1559392865747213,11.915439626201987
5,35,0,0,0,10.0,20,10.0,15.297496668570341,21,19.333333333333332,20.818181818181817,10,11.0,33.0,20,33.0,2,0.29200000000000004,45671,61,0,0.0,610.0,False,-0.008796136598827182,0,0.2,46232,0,34,0.9,520.1148867313916,False,0.0023296275303055962,5,0.25,64793,11,10,1.0,376.4542815360919,False,-0.004409028163936241,0,0.2,65197,0,9,0.0,187.36363636363635,False,0.0003321916711121083,15,0.5840000000000001,88308,0,0,0.0,0.0,False,-0.007317977944895963,5,0.37600000000000006,88651,0,10,1.0,330.0,False,-0.0016074820984948123,0.48333333333333334,398852,0.0,0.0,9,0,0,25,12,11.5,11,36,24,243.0,103.0,16,19,24,590,1.8918663561344147,13.807305982336402
6,24,0,0,0,10.0,20,10.0,15.297496668570341,0,,18.094890510948904,19,11.0,33.0,20,33.0,0,0.29000000000000004,45561,72,0,0.0,720.0,False,-0.009981890307002415,0,0.2,46142,0,43,0.9,657.7923567485246,False,0.0018734084678825329,9,0.3350000000000001,64750,1,10,1.0,196.24640177805938,False,-0.006448341465488529,0,0.2,65197,0,9,0.0,162.85401459854015,False,0.0001444331504891005,8,0.649,88119,0,9,0.9,297.0,False,-0.007773243853910228,2,0.39100000000000007,88859,0,10,1.0,330.0,False,0.0007306736811340056,0.6333333333333333,398628,0.0,0.0,16,0,0,20,6,5.566666666666666,12,32,18,253.0,87.0,15,9,18,596,1.701639834791422,15.508945817127824
7,18,0,0,0,10.0,20,10.0,13.560056099167932,63,12.047619047619047,17.445859872611464,9,13.0,33.0,20,33.0,46,0.7500000000000002,45021,80,0,0.0,800.0,False,-0.020761469472231803,0,0.2,46413,2,36,1.0,508.1620195700456,False,0.006102988310301532,0,0.32600000000000007,64108,54,11,1.0,924.1474879537944,False,-0.010708395348834821,0,0.2,65197,0,9,0.0,157.01273885350318,False,9.968544679330029e-05,0,0.6410000000000001,88299,0,9,0.9,297.0,False,-0.005749839813846828,1,0.399,89183,0,0,0.0,0.0,False,0.0025180139165233424,0.48333333333333334,398221,0.0,0.0,20,0,0,19,2,1.5,10,29,19,129.0,75.0,8,10,19,1302,1.324864407069981,16.833810224197805
8,19,0,0,0,10.0,20,10.0,14.519585364001726,12,23.0,16.156626506024097,19,11.842105263157896,33.0,20,33.0,0,0.7040000000000002,44961,86,0,0.0,860.0,False,-0.021408244222145566,0,0.2,46549,6,34,1.0,553.6659023760587,False,0.009525546550276588,8,0.406,63833,56,10,1.0,974.6630454443376,False,-0.014534748154220713,0,0.2,65197,0,9,0.0,145.40963855421688,False,1.0798683557443818e-05,0,0.641,88459,0,9,0.8,297.0,False,-0.0039512584449015835,12,0.518,88897,1,10,1.0,346.1566265060241,False,0.0012486461544419906,0.6333333333333333,397896,0.0,0.0,15,0,0,20,6,6.0,11,31,16,159.0,76.0,11,8,16,861,1.3864469630643725,18.220257187262177
9,16,0,0,0,10.000000000000002,20,10.0,15.249074177722306,10,23.0,20.85198275889819,81,25.160493827160494,32.99999999999999,20,33.0,0,0.7040000000000002,44841,98,0,0.0,980.0000000000002,False,-0.022701793721973094,0,0.2,46699,4,34,1.0,558.4685220425584,False,0.012811190518740944,71,1.108,63323,56,10,1.0,1062.467981541431,False,-0.021675925925466705,0,0.2,65197,0,9,0.0,187.6678448300837,False,0.00033452209188191074,1,0.651,86887,66,10,1.0,1706.2308620872805,False,-0.013701644228873532,0,0.506,89052,0,6,0.6,197.99999999999994,False,0.0021582976427342933,0.6,395999,0.0,0.0,20,0,0,15,3,3.0,12,27,16,111.0,85.0,7,9,16,1407,1.4037330215796828,19.62399020884186
