index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
20,34,0,0,0,10.000000000000002,12,10.0,8.772334657733502,0,,32.89110655635406,5,27.0,32.99999999999999,20,33.0,0,0.2,55484,0,2,0.0,17.544669315467004,False,0.004939738041610524,0,1.7930000000000004,48952,197,0,0.0,1970.0000000000005,False,-0.09567185802245563,0,0.45200000000000007,80307,0,4,0.0,131.56442622541624,False,0.017428505406763675,0,0.45200000000000007,80194,0,56,0.0,1841.9019671558274,False,0.026823522502125642,7,1.8900000000000006,88800,74,0,0.0,2433.9418851702003,False,-0.04421304782721458,3,0.7430000000000001,94052,0,0,0.0,0.0,False,-0.0013697030186555674,0.0,447789,0.0,0.0,12,0,0,28,6,6.0,11,39,30,204.0,83.0,14,20,30,585,1.8514777598902583,58.33836294896901
21,30,0,0,0,10.000000000000002,12,10.0,8.60794171263154,3,3.0,34.99208230060767,17,45.76470588235294,32.99999999999999,20,33.0,0,0.2,55484,0,2,0.0,17.21588342526308,False,0.004936760987189988,3,1.8230000000000002,48766,209,0,0.0,2090.0000000000005,False,-0.0979536399855125,3,0.48200000000000004,80456,0,3,0.3,104.976246901823,False,0.019146388721592338,0,0.45200000000000007,80709,0,46,0.0,1609.6357858279528,False,0.031872726377461934,6,1.9430000000000005,88315,83,0,0.0,2904.3428309504366,False,-0.04686538245001421,14,0.8800000000000003,93471,0,8,0.8,263.99999999999994,False,-0.006137118951805566,0.18333333333333335,447201,0.0,0.0,11,0,0,26,14,13.75,11,37,28,202.0,61.0,15,15,28,722,1.8147169752046466,60.15307992417365
22,28,0,0,0,10.000000000000002,6,10.0,8.492081354291292,2,3.0,34.43380826708275,10,29.2,32.99999999999999,20,33.0,0,0.2,55484,0,2,0.0,16.984162708582584,False,0.004934662827857518,2,1.8400000000000003,48662,215,0,0.0,2150.0000000000005,False,-0.09929373415429192,3,0.5090000000000001,80465,0,2,0.2,68.8676165341655,False,0.01903177133357496,0,0.45200000000000007,80881,0,42,0.0,1446.2199472174757,False,0.03301572198097036,10,2.037000000000001,88063,89,0,0.0,3064.608935770365,False,-0.048690240410643466,2,0.8860000000000001,93551,0,4,0.4,131.99999999999997,False,-0.005988469011796434,0.10000000000000002,447106,0.0,0.0,9,0,0,26,9,8.5,14,40,29,162.0,91.0,15,13,29,496,1.854781080968678,62.00786100514233
23,29,0,0,0,10.000000000000002,7,10.0,8.347444426463378,19,7.684210526315789,33.46892295170767,13,26.53846153846154,32.99999999999999,20,33.0,0,0.2,55515,0,1,0.0,8.347444426463378,False,0.0054178508187835706,18,2.0180000000000007,48175,222,0,0.0,2220.0000000000005,False,-0.10747917421224194,6,0.5660000000000001,80309,9,10,1.0,409.81622935524706,False,0.01921499967944744,0,0.45200000000000007,81026,0,37,0.0,1238.3501492131836,False,0.03353555970690409,10,2.1270000000000002,87590,102,0,0.0,3413.8301410741824,False,-0.051858495126011775,6,0.9440000000000002,93625,0,0,0.0,0.0,False,-0.005903526188934073,0.16666666666666666,446240,0.0,0.0,7,0,0,21,12,11.75,15,36,25,149.0,94.0,12,17,25,378,1.6689608097076416,63.67682181484997
24,25,0,0,0,10.000000000000002,14,10.0,8.534734571082378,32,9.09375,33.505010304260104,9,33.888888888888886,32.99999999999999,20,33.0,0,0.2,55515,0,1,0.0,8.534734571082378,False,0.005419546673044876,32,2.3200000000000007,47439,236,0,0.0,2360.0000000000005,False,-0.11954002173125679,0,0.56,80504,0,12,0.9,402.0601236511212,False,0.021634387333859396,0,0.45200000000000007,80845,22,45,1.0,1695.489624255517,False,0.034137738773200615,11,2.2270000000000003,87133,111,0,0.0,3719.0561437728716,False,-0.05509043148951022,9,1.0280000000000002,93519,0,0,0.0,0.0,False,-0.007029018591860354,0.31666666666666665,444955,0.0,0.0,11,0,0,24,14,14.0,11,35,21,155.0,83.0,14,11,21,445,1.3700103657320142,65.04683218058199
25,21,0,0,0,10.000000000000002,10,10.0,7.995003693968896,12,2.8333333333333335,33.93222806276081,4,44.0,32.999999999999986,20,33.0,0,0.2,55515,0,1,0.0,7.995003693968896,False,0.005414659577091361,12,2.408000000000001,47061,246,0,0.0,2460.0000000000005,False,-0.1254798985874683,0,0.56,80470,2,22,1.0,762.4990247686756,False,0.023485360175000507,0,0.45200000000000007,81021,12,51,1.0,1826.483675528428,False,0.03719481793716412,8,2.2960000000000007,87042,111,0,0.0,3766.4773149664497,False,-0.05580490059053079,12,1.1390000000000002,93172,0,4,0.4,131.99999999999994,False,-0.010012635244900776,0.39999999999999997,444281,0.0,0.0,6,0,0,21,13,13.0,14,35,22,187.0,65.0,12,9,22,276,1.5052291229367256,66.55206130351871
26,22,0,0,0,10.000000000000002,10,10.0,7.697980438080036,7,2.857142857142857,33.52356125861553,6,27.5,32.999999999999986,20,33.0,0,0.2,55515,0,1,0.0,7.697980438080036,False,0.005411970123488615,7,2.4660000000000006,46800,256,0,0.0,2560.0000000000005,False,-0.1293009779065556,0,0.56,80458,0,30,0.8,1005.7068377584659,False,0.024872821647668745,0,0.45200000000000007,81178,3,55,1.0,1866.8898105380943,False,0.03943800832028264,10,2.388000000000001,86752,117,0,0.0,3922.256667258017,False,-0.058057056798834085,6,1.1870000000000003,93249,0,0,0.0,0.0,False,-0.009895838863465031,0.3,443952,0.0,0.0,10,0,0,19,10,10.0,13,32,22,123.0,58.0,11,11,22,397,1.6380000272765756,68.19006133079529
27,22,0,0,0,10.000000000000002,14,10.0,7.652859153079694,6,6.833333333333333,32.717796913723966,16,28.4375,32.999999999999986,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,5,2.509000000000001,46545,270,0,0.0,2700.0000000000005,False,-0.13265121332850416,0,0.5600000000000002,80696,0,24,0.6,785.2271259293752,False,0.026490120549960614,0,0.45200000000000007,81354,0,54,0.3,1766.7610333410942,False,0.041032210702700675,11,2.4880000000000004,86324,129,0,0.0,4220.595801870391,False,-0.06101763730545228,9,1.2710000000000004,92976,0,4,0.4,131.99999999999994,False,-0.012093734405028615,0.21666666666666665,443441,0.0,0.0,11,0,0,21,10,10.0,10,31,18,153.0,36.0,13,9,18,626,4.451683877967298,72.64174520876259
28,18,0,0,0,10.000000000000002,10,10.0,7.343053336180729,6,2.0,32.2388075287789,19,29.94736842105263,32.999999999999986,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,6,2.5640000000000005,46299,280,0,0.0,2800.0000000000005,False,-0.13620065193770373,0,0.56,81050,0,15,0.6,483.58211293168347,False,0.029062117784012326,0,0.45200000000000007,81557,0,50,0.0,1611.940376438945,False,0.04262203387791127,8,2.557000000000001,85673,148,0,0.0,4771.343514259277,False,-0.06500598042992077,8,1.3420000000000003,93022,0,0,0.0,0.0,False,-0.012306091462184516,0.09999999999999999,443147,0.0,0.0,13,0,0,21,10,9.5,13,34,22,141.0,19.0,11,7,22,768,1.921924578025937,74.56366978678852
29,22,0,0,0,10.000000000000002,7,10.0,6.720268919372269,13,2.0,31.736084562457723,20,29.25,32.99999999999999,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,13,2.6880000000000006,45888,287,0,0.0,2870.0000000000005,False,-0.14300977906555595,0,0.5600000000000002,81297,0,8,0.3,253.88867649966178,False,0.03073502884006568,0,0.45200000000000007,81869,0,50,1.0,1586.8042281228861,False,0.04641250334271924,8,2.629000000000001,85128,165,0,0.0,5236.453952805525,False,-0.06832347313786476,12,1.4540000000000002,92720,0,3,0.3,98.99999999999997,False,-0.01498709930877778,0.26666666666666666,442448,0.0,0.0,7,0,0,26,14,14.0,9,35,27,182.0,45.0,12,10,27,655,1.9521544566377997,76.51582424342632
30,27,0,0,0,10.000000000000002,7,10.0,6.529796640877667,4,1.75,32.68524549646517,5,53.0,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,4,2.7150000000000007,45722,294,0,0.0,2940.0000000000005,False,-0.14538210793190873,0,0.56,81297,0,8,0.0,261.48196397172137,False,0.030783090055013652,0,0.45200000000000007,82127,0,49,0.4,1601.5770293267933,False,0.049771994970168015,8,2.7010000000000005,84774,170,0,0.0,5556.491734399079,False,-0.07038313601257641,9,1.532,92712,0,0,0.0,0.0,False,-0.015597625848100998,0.06666666666666667,442178,0.0,0.0,8,0,0,23,10,9.666666666666668,15,38,24,201.0,60.0,14,13,24,401,1.7543261554092169,78.27015039883554
31,24,0,0,0,10.000000000000002,4,10.0,6.529796640877667,0,,32.445972364150705,7,29.0,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,0,2.7110000000000007,45682,298,0,0.0,2980.0000000000005,False,-0.14574429554509236,0,0.56,81500,0,1,0.0,32.445972364150705,False,0.031903172137602936,0,0.45200000000000007,82127,0,49,0.0,1589.8526458433846,False,0.04969778625400892,12,2.8130000000000006,84403,177,0,0.0,5742.937108454675,False,-0.07333253464894898,8,1.6030000000000004,92623,0,0,0.0,0.0,False,-0.01654261475244476,0.0,441881,0.0,0.0,4,0,0,23,10,10.0,12,35,28,191.0,66.0,14,10,28,243,1.6823648465797305,79.95251524541527
32,28,0,0,0,10.000000000000002,10,10.0,5.979332064095247,14,2.2857142857142856,31.883275973907356,12,27.333333333333332,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,14,2.851000000000001,45193,308,0,0.0,3080.0000000000005,False,-0.15369431365447303,3,0.5900000000000001,81469,1,10,1.0,324.8120918031688,False,0.033361259378976015,0,0.45200000000000007,82349,0,44,0.3,1402.8641428519236,False,0.05132452366481805,10,2.901000000000001,83954,189,0,0.0,6025.93915906849,False,-0.07659751351616312,10,1.6950000000000003,92491,0,0,0.0,0.0,False,-0.017944171329673714,0.21666666666666667,441002,0.0,0.0,6,0,0,21,16,15.75,19,40,28,252.0,158.0,17,11,28,332,1.7214308520779014,81.67394609749317
33,28,0,0,0,10.000000000000002,8,10.0,5.711867912016091,7,2.0,32.35784418242073,4,44.0,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,7,2.9070000000000014,44952,316,0,0.0,3160.0000000000005,False,-0.15733429916696848,0,0.5870000000000002,81455,0,18,0.8,582.441195283573,False,0.03481468172618601,0,0.45200000000000007,82525,0,40,0.0,1294.3137672968292,False,0.05286542209287062,12,3.011000000000001,83776,189,0,0.0,6115.632550477518,False,-0.07801131570870178,8,1.7650000000000003,92228,0,4,0.4,132.0,False,-0.020035888342659347,0.20000000000000004,440482,0.0,0.0,6,0,0,22,12,12.0,20,42,27,233.0,80.0,16,12,27,256,1.6245880229398608,83.29853412043303
34,27,0,0,0,10.000000000000002,5,10.0,5.575486061981564,17,4.823529411764706,32.04945077318449,7,28.0,33.00000000000001,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,17,3.0700000000000007,44438,321,0,0.0,3210.0000000000005,False,-0.16618978630930822,0,0.5870000000000002,81639,0,18,0.7,576.8901139173208,False,0.03710877838066057,0,0.45200000000000007,82455,0,50,1.0,1602.4725386592245,False,0.05392977200528655,7,3.0690000000000004,83506,196,0,0.0,6281.6923515441595,False,-0.07999653671364627,9,1.8470000000000002,92251,0,0,0.0,0.0,False,-0.020492456015544537,0.2833333333333333,439835,0.0,0.0,6,0,0,25,14,13.5,13,38,13,199.0,49.0,15,12,13,345,1.8179657980799675,85.116499918513
35,13,0,0,0,10.000000000000002,10,10.0,5.575486061981564,0,,33.643628405331555,11,46.54545454545455,33.00000000000001,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,0,3.053000000000001,44338,331,0,0.0,3310.0000000000005,False,-0.1670952553422673,0,0.5870000000000002,81979,0,11,0.0,370.0799124586471,False,0.04010380217010123,0,0.45200000000000007,82627,0,46,0.0,1547.6069066452515,False,0.055759829020743217,6,3.122000000000001,83281,199,0,0.0,6695.08205266098,False,-0.08019089809695698,14,1.9780000000000004,91693,0,8,0.8,264.00000000000006,False,-0.025015661332965247,0.13333333333333333,439464,0.0,0.0,8,0,0,13,9,9.0,19,32,10,152.0,23.0,10,3,10,612,1.2334904447197914,86.34999036323279
36,10,0,0,0,10.000000000000002,10,10.0,5.680942739167847,11,6.636363636363637,32.57360814630818,18,27.22222222222222,33.00000000000001,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,11,3.1630000000000016,44009,341,0,0.0,3410.0000000000005,False,-0.1721477725461789,0,0.5870000000000002,82091,0,8,0.8,260.58886517046545,False,0.04082857907470289,0,0.45200000000000007,82932,0,42,0.3,1368.0915421449436,False,0.05848455328209622,12,3.236000000000001,82791,213,0,0.0,6938.178535163643,False,-0.08410306465654625,0,1.9640000000000004,91781,0,4,0.4,132.00000000000003,False,-0.024782068570093754,0.25,439150,0.0,0.0,16,0,0,15,10,10.0,16,31,8,135.0,3.0,9,1,8,854,1.0399615913629532,87.38995195459574
37,8,0,0,0,10.000000000000002,8,10.0,5.097989143850441,21,2.3333333333333335,31.319321937918268,28,26.964285714285715,33.00000000000001,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,21,3.3620000000000014,43341,349,0,0.0,3490.0000000000005,False,-0.18352046360014487,15,0.7370000000000001,82001,0,7,0.7,219.23525356542788,False,0.03942753591046016,0,0.45200000000000007,83123,4,47,1.0,1492.4000876575603,False,0.06168920000795964,13,3.354000000000002,82014,237,0,0.0,7422.679299286629,False,-0.08978095741557944,3,1.9940000000000004,91717,0,4,0.4,132.00000000000003,False,-0.02546161115299264,0.35000000000000003,437742,0.0,0.0,9,0,0,14,14,13.5,15,29,8,93.0,3.0,7,1,8,614,1.1960949311032891,88.58604688569903
38,8,0,0,0,10.000000000000002,7,10.0,4.96155375717526,5,2.0,33.6838600139471,11,57.90909090909091,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,5,3.391000000000001,43152,356,0,0.0,3560.0000000000005,False,-0.1863093082216588,0,0.7220000000000002,82001,0,7,0.0,235.7870200976297,False,0.03953229923095873,0,0.45200000000000007,83750,0,45,0.9,1515.7737006276193,False,0.0697742524977696,10,3.441000000000001,81250,248,0,0.0,8353.59728345888,False,-0.09295082190962672,6,2.051,91791,0,0,0.0,0.0,False,-0.025376668330130282,0.15,437490,0.0,0.0,11,0,0,12,10,10.0,18,30,10,116.0,0.0,8,0,10,839,1.089580336585641,89.67562722228467
39,10,0,0,0,10.000000000000002,7,10.0,4.772915921084508,12,3.1666666666666665,33.6838600139471,0,,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,12,3.506000000000001,42770,363,0,0.0,3630.0000000000005,False,-0.19259326331039478,0,0.7220000000000002,81963,2,17,1.0,582.1714520792697,False,0.041243679756438674,0,0.45200000000000007,83750,0,45,0.0,1515.7737006276193,False,0.0697742524977696,7,3.5010000000000012,81180,248,0,0.0,8353.59728345888,False,-0.09369407160967239,13,2.1750000000000003,91591,0,0,0.0,0.0,False,-0.0275002389016893,0.16666666666666666,436800,0.0,0.0,5,0,0,9,15,15.0,19,28,7,113.0,6.0,8,2,7,70,1.0551335765048862,90.73076079878956
40,7,0,0,0,10.000000000000002,7,10.0,4.5427348575178765,27,3.6666666666666665,33.016748895765495,16,28.375,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,27,3.7640000000000007,41899,370,0,0.0,3700.0000000000005,False,-0.20773270554147047,0,0.7220000000000002,82137,0,13,0.2,429.21773564495146,False,0.04247821241357128,0,0.45200000000000007,83931,17,45,1.0,1562.9801928872512,False,0.07236429814729384,13,3.6240000000000006,80528,264,0,0.0,8716.42170848209,False,-0.09869070349389959,7,2.2320000000000007,91519,0,0,0.0,0.0,False,-0.028264724307450546,0.19999999999999998,435560,0.0,0.0,5,0,0,10,14,14.0,17,27,7,74.0,3.0,6,1,7,524,0.9728130893781781,91.70357388816774
41,7,0,0,0,10.000000000000002,9,10.0,4.454008035557063,3,1.0,31.775800913148775,8,14.0,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,3,3.7670000000000012,41737,379,0,0.0,3790.0000000000005,False,-0.2098515030785947,0,0.7220000000000002,82246,0,8,0.3,254.2064073051902,False,0.042750306390862844,0,0.45200000000000007,83931,7,55,1.0,1778.847106472082,False,0.07373061361633561,11,3.721000000000001,80384,264,0,0.0,8388.811441071277,False,-0.10195893311245753,9,2.3150000000000004,91300,0,8,0.8,264.0,False,-0.02918847750607872,0.35000000000000003,435144,0.0,0.0,6,0,0,7,11,11.0,22,29,10,60.0,3.0,6,1,10,202,0.9895954607054591,92.6931693488732
42,10,0,0,0,10.000000000000002,11,10.0,4.431454292858609,1,2.0,31.35638366223983,12,27.5,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,1,3.7740000000000014,41604,390,0,0.0,3900.000000000001,False,-0.21126403477001088,0,0.7220000000000002,82331,0,6,0.1,188.13830197343896,False,0.04340813650041417,0,0.45200000000000007,84174,0,53,0.7,1661.8883340987109,False,0.07606643585813654,7,3.7800000000000007,79979,276,0,0.0,8654.361890778193,False,-0.10484937571920994,5,2.3560000000000008,91519,0,0,0.0,0.0,False,-0.028264724307450546,0.13333333333333333,435153,0.0,0.0,13,0,0,12,9,9.0,22,34,9,141.0,0.0,10,0,9,704,1.1809736844152212,93.87414303328842
43,9,0,0,0,10.000000000000002,7,10.0,3.9455384352896217,26,2.1153846153846154,31.196766720383817,8,29.0,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,26,4.033000000000001,40761,397,0,0.0,3970.000000000001,False,-0.22589641434262947,2,0.7420000000000002,82488,0,1,0.1,31.196766720383817,False,0.04440222775026828,0,0.45200000000000007,84124,15,63,1.0,2024.579379913525,False,0.07772912160054632,8,3.8530000000000015,79658,284,0,0.0,8859.881748589003,False,-0.10716661668176708,12,2.471000000000001,91347,0,0,0.0,0.0,False,-0.030090994998991302,0.18333333333333335,433924,0.0,0.0,4,0,0,9,15,14.25,19,28,13,93.0,6.0,7,2,13,70,1.170510838739574,95.044653872028
44,13,0,0,0,10.000000000000002,13,10.0,3.9455384352896217,0,,31.043001156275036,8,29.0,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,0,4.0070000000000014,40631,410,0,0.0,4100.000000000001,False,-0.22707352408547626,0,0.7400000000000002,82488,0,1,0.0,31.043001156275036,False,0.044401254501216965,0,0.45200000000000007,84356,5,65,1.0,2037.5227673343254,False,0.08074790348457095,13,3.9750000000000014,79232,292,0,0.0,9064.55633763231,False,-0.11060321966409203,7,2.529000000000001,91275,0,0,0.0,0.0,False,-0.030855480404752552,0.16666666666666666,433528,0.0,0.0,9,0,0,15,9,9.0,17,32,12,151.0,21.0,11,2,12,362,1.102317669428885,96.14697154145688
45,12,0,0,0,10.000000000000004,5,10.0,3.8878067423622222,5,2.6,29.77625019049254,21,23.571428571428573,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,5,4.057000000000001,40463,415,0,0.0,4150.000000000002,False,-0.22966316551973923,2,0.76,82454,0,3,0.3,89.32875057147763,False,0.04433976878937838,0,0.45200000000000007,84802,0,54,0.7,1607.9175102865972,False,0.08367460067779751,12,4.082000000000001,78563,313,0,0.0,9319.966309624166,False,-0.1163506104754453,8,2.6020000000000008,91186,0,0,0.0,0.0,False,-0.031800469309096316,0.16666666666666666,433014,0.0,0.0,5,0,0,7,15,14.666666666666666,25,32,18,98.0,27.0,8,4,18,500,1.2055008905008435,97.35247243195772
46,18,0,0,0,10.000000000000002,6,10.0,3.8899061592663444,2,4.0,28.39002927815302,27,22.666666666666668,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,2,4.072000000000001,40361,421,0,0.0,4210.000000000001,False,-0.2309670409272003,12,0.8780000000000001,82416,0,2,0.2,56.78005855630604,False,0.043652716963873454,0,0.45200000000000007,84994,0,42,0.0,1192.3812296824267,False,0.08347499385843851,10,4.170000000000002,77819,340,0,0.0,9652.609954572026,False,-0.1224843123635764,10,2.694000000000001,91054,0,0,0.0,0.0,False,-0.033202025886325266,0.03333333333333333,432190,0.0,0.0,3,0,0,15,16,15.4,19,34,20,144.0,33.0,12,6,20,252,1.1162092108279467,98.46868164278567
47,20,0,0,0,10.000000000000002,11,10.0,3.5085841185777995,21,1.7619047619047619,28.39002927815302,0,,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,21,4.280000000000001,39604,432,0,0.0,4320.000000000001,False,-0.24367982614994568,0,0.8660000000000001,82393,4,12,1.0,354.7146878121474,False,0.0452473206732755,0,0.45200000000000007,84980,0,49,0.7,1391.111434629498,False,0.08455561949104706,6,4.220000000000001,77762,340,0,0.0,9652.609954572026,False,-0.12308952997647073,14,2.8240000000000003,90827,0,0,0.0,0.0,False,-0.03561227848504475,0.2833333333333333,431112,0.0,0.0,5,0,0,13,15,15.0,22,35,22,178.0,15.0,15,5,22,110,1.2881455896422267,99.7568272324279
48,22,0,0,0,10.000000000000002,13,10.0,3.2681208089308167,20,2.0,28.231878972132733,16,27.0,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,20,4.4590000000000005,39014,445,0,0.0,4450.000000000001,False,-0.2531872509960159,0,0.8660000000000001,82577,14,14,1.0,440.9999969348897,False,0.04812268973704302,0,0.45200000000000007,85188,0,41,0.0,1157.5070378574421,False,0.08571008049684434,12,4.334000000000001,77154,356,0,0.0,10050.548914079252,False,-0.12743255585479416,8,2.8900000000000006,90738,0,0,0.0,0.0,False,-0.03655726738938852,0.16666666666666666,430217,0.0,0.0,9,0,0,15,12,12.0,22,37,28,211.0,30.0,16,6,28,562,1.292913950048387,101.04974118247628
49,28,0,0,0,10.000000000000002,10,10.0,3.2589484693827604,4,3.0,28.7149494179383,4,44.0,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,4,4.479000000000001,38823,455,0,0.0,4550.000000000001,False,-0.2557406736689605,0,0.8660000000000001,82753,4,20,1.0,587.3347822362971,False,0.051276867070714244,0,0.45200000000000007,85176,0,45,0.4,1292.1727238072235,False,0.0864105316965873,10,4.4220000000000015,77022,356,0,0.0,10222.521992786034,False,-0.12792112000941788,10,2.982000000000001,90431,0,4,0.4,132.0,False,-0.03911616992811714,0.3,429751,0.0,0.0,7,0,0,14,15,15.0,22,36,27,184.0,115.0,14,14,27,276,1.223137330263853,102.27287851274014
50,27,0,0,0,10.000000000000002,11,10.0,3.3051679423522184,7,4.0,28.347244907163244,15,25.466666666666665,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,7,4.545000000000001,38556,466,0,0.0,4660.000000000001,False,-0.259579862368707,0,0.8660000000000001,82850,1,25,1.0,711.9862906214333,False,0.05329375089005409,0,0.45200000000000007,85433,0,35,0.0,992.1535717507136,False,0.08776490943687469,9,4.502000000000002,76547,371,0,0.0,10516.827860557563,False,-0.13140215191727864,7,3.042000000000001,90487,0,0,0.0,0.0,False,-0.03922234845669509,0.16666666666666666,429419,0.0,0.0,11,0,0,13,10,9.5,23,36,21,167.0,52.0,14,13,21,558,1.1680494071915746,103.44092791993171
51,21,0,0,0,10.0,12,10.0,3.2963658593785015,3,3.0,28.12044652488107,17,26.529411764705884,33.0,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,3,4.568000000000001,38370,478,0,0.0,4780.0,False,-0.26186164433176384,0,0.8660000000000003,83292,0,12,0.4,337.44535829857284,False,0.056518338639289165,0,0.45200000000000007,85433,0,35,0.0,984.2156283708375,False,0.08771466674496713,14,4.633000000000002,75870,388,0,0.0,10910.733251653855,False,-0.13649922356072963,6,3.0950000000000006,90432,0,0,0.0,0.0,False,-0.03980633036387382,0.06666666666666667,428943,0.0,0.0,9,0,0,11,13,13.0,25,36,24,149.0,40.0,11,10,24,571,1.0861181821674109,104.52704610209912
52,24,0,0,0,10.0,12,10.0,3.287162800112645,3,3.0,28.12044652488107,0,,33.00000000000001,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,3,4.5950000000000015,38184,490,0,0.0,4900.0,False,-0.26414342629482074,0,0.8660000000000001,83292,0,12,0.0,337.44535829857284,False,0.056518338639289165,0,0.45200000000000007,85424,0,38,0.3,1068.5769679454806,False,0.08813469649061641,5,4.669000000000001,75826,388,0,0.0,10910.733251653855,False,-0.13696640908647262,15,3.2390000000000003,90174,0,0,0.0,0.0,False,-0.042545736401184954,0.049999999999999996,428446,0.0,0.0,6,0,0,10,13,13.0,26,36,16,151.0,49.0,11,13,16,120,1.0930589539930224,105.62010505609214
53,16,0,0,0,10.0,9,10.0,3.186570717164157,4,1.0,29.2439675308798,5,56.8,33.00000000000001,20,33.0,0,0.2,55546,0,0,0.0,0.0,False,0.005903658094893155,4,4.6320000000000014,37993,499,0,0.0,4990.0,False,-0.2667873958710612,0,0.8660000000000003,83289,0,15,0.3,438.659512963197,False,0.05712099038535625,0,0.45200000000000007,85707,0,34,0.1,994.2948960499132,False,0.09124699286071396,13,4.794000000000002,75344,393,0,0.0,11492.879239635762,False,-0.1389936439428559,7,3.2940000000000005,90108,0,0,0.0,0.0,False,-0.043246514689799426,0.06666666666666667,427987,0.0,0.0,8,0,0,9,12,12.0,23,32,14,133.0,48.0,9,7,14,374,1.0473661599680781,106.66747121606022
