index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,31,0,0,0,10.000000000000002,10,10.0,14.942712794949829,23,16.52173913043478,29.281981052399093,17,26.941176470588236,32.99999999999999,20,33.0,0,0.2,55422,0,4,0.0,59.770851179799315,False,0.004199301441323772,23,0.7990000000000002,52896,103,0,0.0,1030.0000000000002,False,-0.032759869612459254,0,0.35300000000000004,79091,0,5,0.3,146.40990526199548,False,0.0021292844274520255,15,0.44000000000000006,79247,10,10,1.0,442.24693847348925,False,0.005976549056113517,11,0.9850000000000001,91779,30,0,0.0,878.4594315719728,False,-0.020840406071437056,0,0.56,93333,18,11,1.0,890.0756589431837,False,-0.004278593033928372,0.3833333333333333,451768,0.0,0.0,9,0,0,27,12,11.5,13,40,34,218.0,42.0,17,14,34,397,2.3718297332525253,39.48405128531158
11,34,0,0,0,10.000000000000004,7,10.0,14.434814857724286,3,2.3333333333333335,31.318840245154238,17,42.294117647058826,32.99999999999999,20,33.0,0,0.2,55422,0,4,0.0,57.73925943089714,False,0.004180906007161276,3,0.806,52756,110,0,0.0,1100.0000000000005,False,-0.034661354581673305,0,0.35300000000000004,79148,0,4,0.3,125.27536098061695,False,0.0027170702376109177,3,0.45500000000000007,79797,0,10,1.0,313.1884024515424,False,0.012122059360293848,6,1.0340000000000003,91241,39,0,0.0,1221.4347695610152,False,-0.024731980072620702,3,0.5900000000000001,93432,16,10,1.0,831.1014439224678,False,-0.003540515369753627,0.3833333333333333,451796,0.0,0.0,11,0,0,23,10,9.6,21,44,35,242.0,49.0,22,12,35,897,2.302436485886574,41.78648777119815
12,35,0,0,0,10.000000000000004,9,10.0,13.933541745192837,6,8.333333333333334,32.26433409850055,6,47.666666666666664,32.99999999999999,20,33.0,0,0.2,55453,0,3,0.0,41.80062523557851,False,0.004597977410680772,5,0.8530000000000002,52553,119,0,0.0,1190.0000000000005,False,-0.037522636725823975,0,0.35300000000000004,79317,0,4,0.4,129.0573363940022,False,0.004880356830687666,0,0.45200000000000007,79864,0,10,0.2,322.64334098500547,False,0.013030047983347256,13,1.1580000000000001,90937,41,0,0.0,1322.8376980385224,False,-0.02742146665442859,0,0.5870000000000002,93487,10,13,1.0,751.6433409850054,False,-0.0033783706852496807,0.26666666666666666,451611,0.0,0.0,12,0,0,17,10,10.0,19,36,30,207.0,84.0,16,19,30,638,2.037658446468413,43.824146217666566
13,30,0,0,0,10.000000000000004,9,10.0,11.436835942427315,30,5.966666666666667,31.886081063359626,6,26.0,32.99999999999999,20,33.0,0,0.2,55453,0,3,0.0,34.310507827281945,False,0.004530156717016284,30,1.1480000000000001,51638,128,0,0.0,1280.0000000000005,False,-0.05327779789931184,2,0.37300000000000005,79396,0,6,0.6,191.31648638015776,False,0.00627447267190839,0,0.45200000000000007,79692,14,20,1.0,797.837324461175,False,0.013860431695662895,10,1.245,90665,47,0,0.0,1498.6458099779024,False,-0.02937617029985933,0,0.5870000000000002,93817,0,13,1.0,428.9999999999999,False,-0.001587369002240367,0.43333333333333335,450661,0.0,0.0,11,0,0,22,8,7.333333333333333,16,38,32,178.0,58.0,15,15,32,420,1.9004128109663725,45.72455902863294
14,32,0,0,0,10.000000000000002,8,10.0,10.056998632524529,33,6.454545454545454,32.68298976747545,4,50.5,32.99999999999999,20,33.0,0,0.2,55484,0,2,0.0,20.113997265049058,False,0.004963002510549224,32,1.438,50550,136,0,0.0,1360.0000000000002,False,-0.07225642883013401,0,0.37100000000000005,79473,0,11,0.7,359.51288744222995,False,0.008313793656908087,0,0.45200000000000007,79604,30,28,1.0,1216.8336724650485,False,0.015398461140216327,12,1.355,90381,49,0,0.0,1601.466498606297,False,-0.03184577304017644,0,0.5870000000000002,93993,0,7,0.2,230.99999999999994,False,-0.0007697943321901445,0.31666666666666665,449485,0.0,0.0,14,0,0,26,10,10.0,13,39,36,206.0,71.0,17,15,36,577,1.7618589354678988,47.48641796410084
15,36,0,0,0,10.000000000000004,4,10.0,10.056998632524529,0,,32.52118323805337,5,29.8,32.99999999999999,20,33.0,0,0.2,55484,0,2,0.0,20.113997265049058,False,0.004963002510549224,0,1.4060000000000004,50510,140,0,0.0,1400.0000000000005,False,-0.07261861644331764,0,0.37100000000000005,79622,0,6,0.0,195.1270994283202,False,0.009159496046814559,0,0.45200000000000007,79604,20,38,1.0,1436.9449356965185,False,0.0167916409419244,10,1.443,90107,54,0,0.0,1756.1438948548819,False,-0.033933893806315105,3,0.6170000000000001,94202,0,0,0.0,0.0,False,0.00022297491001369702,0.16666666666666666,449529,0.0,0.0,8,0,0,21,7,7.0,16,37,33,252.0,52.0,17,19,33,420,1.7239952683448792,49.21041323244572
16,33,0,0,0,10.000000000000002,13,10.0,9.042739819817658,18,3.0,33.10312479315687,13,36.69230769230769,33.0,20,33.0,0,0.2,55484,0,2,0.0,18.085479639635317,False,0.004944634911622878,18,1.586,49862,153,0,0.0,1530.0000000000002,False,-0.08317638536762043,0,0.37100000000000005,79823,2,12,1.0,415.3229771575178,False,0.01309764403993565,0,0.45200000000000007,79826,16,39,1.0,1435.7057040502004,False,0.019594066180883822,11,1.5430000000000004,89739,58,0,0.0,1919.9812380030987,False,-0.036971463256903765,9,0.7040000000000002,93838,0,9,0.9,297.0,False,-0.0020651723808411465,0.48333333333333334,448572,0.0,0.0,9,0,0,28,15,15.0,16,44,34,218.0,37.0,20,13,34,607,1.9699364183470607,51.18034965079278
17,34,0,0,0,10.000000000000002,9,10.0,9.612833905924573,11,15.454545454545455,32.170440907460375,13,26.153846153846153,33.0,20,33.0,0,0.2,55484,0,2,0.0,19.225667811849146,False,0.004954958962439721,11,1.6780000000000004,49647,162,0,0.0,1620.0000000000002,False,-0.08625498007968127,0,0.37100000000000005,79991,0,5,0.2,160.85220453730187,False,0.013613677936460771,0,0.45200000000000007,79828,17,45,1.0,1611.0880172364348,False,0.02072945476502887,10,1.6320000000000001,89557,59,0,0.0,1898.056013540162,False,-0.03902031188063324,1,0.7050000000000001,93845,2,10,1.0,394.34088181492075,False,-0.0014740718307571683,0.3666666666666667,448352,0.0,0.0,12,0,0,20,9,8.333333333333332,16,36,30,234.0,69.0,15,19,30,661,1.7695538410916924,52.94990349188447
18,30,0,0,0,10.000000000000002,13,10.0,9.44037917881216,5,5.6,32.11720461684303,14,31.785714285714285,32.99999999999999,20,33.0,0,0.2,55484,0,2,0.0,18.88075835762432,False,0.004951835914140051,5,1.717,49412,175,0,0.0,1750.0000000000002,False,-0.08933357479174213,4,0.41100000000000003,80071,0,2,0.2,64.23440923368607,False,0.014014851443324166,0,0.45200000000000007,80022,10,50,1.0,1700.2640226302733,False,0.023749708989254274,12,1.7420000000000002,89155,68,0,0.0,2183.9699139453264,False,-0.04177079286721669,0,0.7040000000000002,93889,0,9,0.7,296.99999999999994,False,-0.0015236618850935964,0.31666666666666665,448033,0.0,0.0,13,0,0,17,13,13.0,18,35,33,164.0,64.0,12,18,33,734,1.5917868660762906,54.54169035796076
19,33,0,0,0,10.000000000000002,10,10.0,8.772334657733502,9,1.0,33.21179262591093,11,42.27272727272727,32.99999999999999,20,33.0,0,0.2,55484,0,2,0.0,17.544669315467004,False,0.004939738041610524,9,1.8020000000000005,49072,185,0,0.0,1850.0000000000002,False,-0.09458529518290475,5,0.4570000000000001,80172,0,9,0.9,298.90613363319835,False,0.016778736478006446,0,0.45200000000000007,80194,0,56,1.0,1859.8603870510121,False,0.026937189142811107,10,1.8300000000000003,89007,69,0,0.0,2291.6136911878543,False,-0.04277076219626123,1,0.7140000000000002,93744,0,10,1.0,329.99999999999994,False,-0.0028880559773202664,0.48333333333333334,447673,0.0,0.0,11,0,0,22,10,9.75,16,38,34,186.0,93.0,15,18,34,598,1.9451948311179876,56.48688518907875
