index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,12,10.0,18.0,0,,31.0,0,,43.0,0,,0,0.2,39129,0,2,0.2,36.0,False,-5.1086873227924084e-05,0,0.2,39049,0,10,1.0,180.0,False,-0.00025543436613962043,0,0.2,64596.0,0,0,0.0,0.0,False,0.0,0,0.2,64596.0,0,0,0.0,0.0,False,0.0,0,0.2,100744,0,0,0.0,0.0,False,0.0,0,0.2,100744,0,0,0.0,0.0,False,0.0,0.19999999999999998,408858,0.0,0.0,5,0,0,217,0,0.0,659,876,272,0.0,0.0,0,0,272,120,8.640223808586597,8.640223808586597
1,272,0,0,0,10.0,11,10.0,18.0,0,,21.962025316455698,34,10.0,43.0,0,,0,0.2,39109,0,4,0.2,72.0,False,-0.00010217374645584817,0,0.2,38959,0,19,0.9,342.0,False,-0.0004853252956652788,19,0.39,64056.0,0,0,0.0,0.0,False,-0.008359650752368568,15,0.35000000000000003,63985.0,0,0,0.0,0.0,False,-0.009458790017957769,0,0.2,100744,0,0,0.0,0.0,False,0.0,0,0.2,100404,34,0,0.0,746.7088607594937,False,0.0003310810607058829,0.18333333333333335,407257,0.0,0.0,4,0,0,26,5,5.0,259,285,166,4276.0,14.0,271,1,166,110,36.94226732943207,45.58249113801867
2,166,0,0,0,10.0,17,10.0,18.347826086956523,1,34.0,15.615460364352534,132,12.196969696969697,43.0,0,,0,0.2,39053,0,12,0.9,220.17391304347828,False,0.00035982928099661,0,0.2,38879,0,27,0.8,495.3913043478261,False,-0.0005697296949114384,76,1.1310000000000002,58544.0,0,0,0.0,0.0,False,-0.09369001176543439,56,0.8950000000000002,60201.0,1,0,0.0,18.347826086956523,False,-0.06789624879182178,0,0.2,100300,23,10,1.0,789.1555883801083,False,-0.0004905722009245251,0,0.2,99238,133,0,0.0,2076.856228458887,False,-0.004641188415891275,0.45,396215,0.0,0.0,7,0,0,9,18,18.0,19,28,18,180.0,674.0,15,151,18,204,10.4342976892367,56.01678882725537
3,18,0,0,0,10.0,13,10.0,18.347826086956523,0,,13.850215239707126,89,10.224719101123595,43.0,20,43.0,0,0.2,39003,0,17,0.5,311.9130434782609,False,0.0002543237819389568,0,0.2,38799,0,35,0.8,642.1739130434784,False,-0.0007385384934037579,32,1.3750000000000002,57329.0,0,0,0.0,0.0,False,-0.11249922595826367,57,1.4090000000000003,56228.0,1,0,0.0,18.347826086956523,False,-0.1294016051606372,0,0.2,100523,46,11,1.0,1110.1099010265277,False,0.003315879362674361,11,0.31000000000000005,98306,189,0,0.0,2617.690680304647,False,-0.011208157903673377,0.3833333333333333,390188,0.0,0.0,7,0,0,8,21,21.0,16,24,24,136.0,60.0,9,9,24,517,2.598319450393319,58.61510827764869
4,24,0,0,0,10.0,10,10.0,18.347826086956523,0,,13.48711909170024,53,11.81132075471698,43.0,20,43.0,0,0.2,39003,0,17,0.0,311.9130434782609,False,0.0002543237819389568,0,0.2,38699,0,45,1.0,825.6521739130435,False,-0.0009495494915190641,31,1.653,56119.0,0,0,0.0,0.0,False,-0.13123103597745991,22,1.5720000000000003,55283.0,1,0,0.0,18.347826086956523,False,-0.1440309939772822,0,0.2,100724,50,12,1.0,1190.3559545850121,False,0.0057093025618648,11,0.40900000000000003,97684,228,0,0.0,3075.063152907655,False,-0.015112249102141819,0.3333333333333333,387512,0.0,0.0,7,0,0,13,12,12.0,16,29,21,227.0,68.0,17,7,21,487,3.095052609220147,61.710160886868834
5,21,0,0,0,10.0,11,10.0,22.97590361445783,25,30.64,13.550546656434483,20,14.4,43.0,20,43.0,0,0.2,39003,0,17,0.0,390.5903614457831,False,0.0012591683241689239,0,0.2,39355,1,30,1.0,699.277108433735,False,0.014192918189911991,17,1.7920000000000005,55227.0,14,0,0.0,321.66265060240966,False,-0.14255013738774533,3,1.5800000000000003,54813.0,12,0,0.0,275.71084337349396,False,-0.14931488913111107,0,0.2,100985,47,14,1.0,1238.8756928524208,False,0.008540834654433135,12,0.518,97274,241,0,0.0,3265.6817442007105,False,-0.01823591606348417,0.3333333333333333,386657,0.0,0.0,9,0,0,16,8,8.0,14,30,15,249.0,24.0,17,4,15,1220,3.8865851275622845,65.59674601443112
6,15,0,0,0,10.0,12,10.0,24.767257462686565,26,28.884615384615383,12.476628318649162,55,7.418181818181818,43.0,20,43.0,0,0.2,39352,0,6,0.0,148.6035447761194,False,0.0070832402459337935,0,0.2,39637,3,25,1.0,649.1814365671642,False,0.02075635950557051,19,1.9650000000000003,54299.0,29,0,0.0,718.2504664179104,False,-0.15384659679842472,36,1.9370000000000005,52393.0,23,0,0.0,569.646921641791,False,-0.18450332124557411,0,0.2,101198,58,17,1.0,1454.6444424816514,False,0.011725980914405116,13,0.6360000000000001,96720,275,0,0.0,3431.0727876285196,False,-0.022914154750513633,0.3333333333333333,383599,0.0,0.0,11,0,0,12,13,13.0,15,27,16,186.0,6.0,13,2,16,1172,3.240675227716565,68.83742124214768
7,16,0,0,0,10.0,11,10.0,24.96749429724513,14,26.071428571428573,12.495171616263832,50,12.6,43.0,20,43.0,0,0.2,39352,0,6,0.0,149.80496578347078,False,0.007098584456607621,0,0.2,39892,4,21,1.0,564.3173802421477,False,0.026186076020360053,31,2.2560000000000007,52719.0,43,0,0.0,1073.6022547815405,False,-0.17555574451373507,19,2.0910000000000006,51652.0,23,0,0.0,574.252368836638,False,-0.1959389716945582,0,0.2,101398,62,18,1.0,1548.7006402083575,False,0.014178018741604214,11,0.7330000000000001,96100,311,0,0.0,3885.9983726580517,False,-0.026810537735954303,0.3333333333333333,381113,0.0,0.0,9,0,0,13,13,13.0,15,28,13,145.0,9.0,13,3,13,862,2.5404974464327097,71.3779186885804
8,13,0,0,0,10.0,7,10.0,25.797010430988102,25,28.52,12.18888581420811,99,11.262626262626263,43.00000000000001,20,43.0,0,0.2,39521,0,0,0.0,0.0,False,0.00950215842039388,0,0.2,40366,1,12,1.0,319.5641251718572,False,0.03516774534690366,60,2.8250000000000006,48528.0,63,0,0.0,1625.2116571522504,False,-0.236166235857079,39,2.4620000000000006,49303.0,28,0,0.0,722.3162920676668,False,-0.23115737590510504,0,0.2,101573,84,17,1.0,1754.8664083934814,False,0.016938311008067405,9,0.812,95180,378,0,0.0,4607.3988377706655,False,-0.03236223081389137,0.3333333333333333,374471,0.0,0.0,11,0,0,8,15,15.0,12,20,17,83.0,28.0,6,7,17,1256,2.1828896766528487,73.56080836523324
9,17,0,0,0,10.0,12,10.0,25.797010430988102,0,,12.254464320261647,53,12.69811320754717,43.0,20,43.0,0,0.2,39521,0,0,0.0,0.0,False,0.00950215842039388,0,0.2,40246,3,22,1.0,597.5342294817383,False,0.03565268882323608,38,3.145000000000001,46874.0,63,0,0.0,1625.2116571522504,False,-0.2617715364948894,15,2.573000000000001,48698.0,28,0,0.0,722.3162920676668,False,-0.24052328091470315,0,0.2,101884,80,18,1.0,1754.3571456209318,False,0.020022815977233967,11,0.9130000000000003,94406,425,0,0.0,5208.1473361112,False,-0.037063510799098705,0.3333333333333333,371629,0.0,0.0,7,0,0,10,12,12.0,15,25,17,170.0,15.0,12,5,17,507,1.9055594373494387,75.46636780258268
