index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,19,0,0,0,10.000000000000002,20,10.0,3.84070360507182,19,2.263157894736842,25.3047960038261,3,41.0,27.0,9,27.0,13,1.1040000000000003,9347,115,0,0.0,1150.0000000000002,False,-0.198546042003231,6,0.9080000000000001,9849,105,0,0.0,1050.0000000000002,False,-0.16203554119547658,0,0.2,17671,10,34,1.0,898.7701001808057,False,0.07501097829202685,0,0.2,17723,23,32,1.0,898.0896550390871,False,0.07807574914093171,0,0.2,24617,0,0,0.0,0.0,False,0.0,9,0.8750000000000002,21869,78,0,0.0,1973.774088298436,False,-0.07154051898487963,0.3333333333333333,101076,0.0,0.0,6,0,0,12,9,9.0,14,26,16,193.0,28.0,14,5,16,323,0.6709947027266026,9.192413188517094
11,16,0,0,0,10.000000000000002,20,10.0,3.77627022223996,16,3.25,26.232282829610813,5,40.0,26.999999999999996,11,27.0,0,1.0910000000000002,9197,130,0,0.0,1300.0000000000002,False,-0.20460420032310178,16,1.062,9527,110,0,0.0,1100.0000000000002,False,-0.18602584814216477,0,0.2,17819,16,39,1.0,1083.479353910661,False,0.08927027034618715,0,0.2,17723,13,42,1.0,1150.8473917327738,False,0.08557330896217287,0,0.2,24617,0,0,0.0,0.0,False,0.0,11,0.9760000000000002,21562,83,0,0.0,2177.2794748576976,False,-0.07987814366377503,0.3333333333333333,100445,0.0,0.0,6,0,0,11,5,5.0,12,23,20,119.0,21.0,11,5,20,400,0.5990504110231996,9.791463599540293
12,20,0,0,0,10.000000000000002,20,10.0,3.6629028191164408,9,2.0,25.502656622435445,8,19.0,27.0,8,27.0,6,1.1510000000000002,9042,135,0,0.0,1350.0000000000002,False,-0.21510500807754443,3,1.0760000000000003,9332,125,0,0.0,1250.0000000000002,False,-0.19571890145395798,0,0.2,17804,12,49,1.0,1293.5850083287341,False,0.09461274941649077,0,0.2,17872,6,44,1.0,1144.094308301858,False,0.09421257440382823,0,0.2,24617,0,0,0.0,0.0,False,0.0,8,1.045,21352,91,0,0.0,2320.7417526416257,False,-0.08549494754353446,0.3333333333333333,100019,0.0,0.0,7,0,0,11,5,5.0,16,27,20,168.0,20.0,15,5,20,352,0.850302005186677,10.64176560472697
13,20,0,0,0,10.000000000000002,20,10.0,3.34834213785367,17,1.0,25.55306858969174,17,25.764705882352942,27.0,11,27.0,13,1.2750000000000001,8681,145,0,0.0,1450.0000000000002,False,-0.24022617124394186,4,1.1130000000000002,9164,135,0,0.0,1350.0000000000002,False,-0.20525040387722132,0,0.2,18019,15,47,1.0,1251.219355783317,False,0.10611115791953359,0,0.2,18078,0,49,1.0,1252.1003608948952,False,0.10963752850305221,0,0.2,24617,0,0,0.0,0.0,False,0.0,11,1.1470000000000002,20807,108,0,0.0,2759.731407686708,False,-0.0987177274305012,0.3333333333333333,99366,0.0,0.0,8,0,0,13,7,7.0,14,27,18,163.0,26.0,15,5,18,638,0.6985264336690307,11.340292038396
14,18,0,0,0,10.000000000000002,20,10.0,3.285480649724098,4,1.25,25.931986619090406,2,41.0,26.999999999999996,14,27.0,0,1.2620000000000002,8581,155,0,0.0,1550.0000000000002,False,-0.24426494345718902,4,1.1490000000000002,8994,145,0,0.0,1450.0000000000002,False,-0.21494345718901453,0,0.2,18016,8,57,1.0,1504.407082485946,False,0.11344349437843927,0,0.2,18158,0,48,0.1,1244.7353577163394,False,0.11416514468783631,0,0.2,24617,0,0,0.0,0.0,False,0.0,14,1.276,20556,110,0,0.0,2852.5185280999444,False,-0.10702931859893686,0.18333333333333335,98922,0.0,0.0,6,0,0,7,6,6.0,15,22,20,174.0,28.0,12,6,20,282,0.7077505318447948,12.048042570240796
15,20,0,0,0,10.000000000000002,20,10.0,3.256052897466125,6,2.6666666666666665,26.957012090616143,5,42.0,26.999999999999996,7,27.0,1,1.2720000000000002,8484,163,0,0.0,1630.0000000000002,False,-0.2488691437802908,5,1.1950000000000003,8795,157,0,0.0,1570.0000000000002,False,-0.22617124394184168,0,0.2,18009,1,67,1.0,1809.3758629687477,False,0.122074509461579,0,0.2,18359,0,46,0.3,1240.0225561683426,False,0.12594988598031384,0,0.2,24617,0,0,0.0,0.0,False,0.0,7,1.3320000000000003,20293,115,0,0.0,3100.0563904208566,False,-0.11268520960269623,0.21666666666666667,98557,0.0,0.0,7,0,0,12,5,5.0,14,26,18,152.0,18.0,14,6,18,410,0.8258152985945344,12.87385786883533
16,18,0,0,0,10.000000000000002,20,10.0,3.1338699705793296,14,2.142857142857143,27.79653785709504,6,37.666666666666664,26.999999999999996,11,27.0,13,1.401,8132,173,0,0.0,1730.0000000000002,False,-0.2732633279483037,1,1.2000000000000002,8679,167,0,0.0,1670.0000000000002,False,-0.23150242326332796,0,0.2,18203,0,69,0.7,1917.9611121395576,False,0.13680473161306234,0,0.2,18361,0,53,0.8,1473.216506426037,False,0.1329857767686887,0,0.2,24617,0,0,0.0,0.0,False,0.0,11,1.4350000000000003,19962,121,0,0.0,3363.3810807084997,False,-0.12078277042879915,0.25,97954,0.0,0.0,8,0,0,7,8,8.0,14,21,18,120.0,34.0,10,8,18,426,0.6848966367542744,13.558754505589604
17,18,0,0,0,10.000000000000002,20,10.0,3.0865454378138977,5,2.0,28.527621156312428,5,38.6,27.0,8,27.0,5,1.4380000000000004,7962,182,0,0.0,1820.0000000000002,False,-0.28336025848142166,0,1.1990000000000003,8569,178,0,0.0,1780.0000000000002,False,-0.23594507269789983,0,0.2,18229,0,73,0.5,2082.516344410807,False,0.14322841553188193,0,0.2,18518,0,49,0.0,1397.853436659309,False,0.14006447071248543,0,0.2,24617,0,0,0.0,0.0,False,0.0,8,1.5040000000000002,19708,126,0,0.0,3594.4802656953657,False,-0.12640694914702505,0.08333333333333333,97603,0.0,0.0,9,0,0,12,3,3.0,12,24,16,124.0,52.0,12,6,16,393,0.5390223283320665,14.097776833921671
18,16,0,0,0,10.000000000000002,20,10.0,3.133525905896566,7,3.857142857142857,27.378602816536496,9,18.88888888888889,27.0,8,27.0,4,1.473,7778,194,0,0.0,1940.0000000000005,False,-0.29337641357027466,3,1.229,8450,186,0,0.0,1860.0000000000002,False,-0.24232633279483037,0,0.2,18355,0,67,0.2,1834.3663887079451,False,0.1433426195036766,0,0.2,18535,0,53,0.5,1451.0659492764344,False,0.14265145791636308,0,0.2,24617,0,0,0.0,0.0,False,0.0,8,1.5760000000000005,19484,135,0,0.0,3696.111380232427,False,-0.13344210545085866,0.11666666666666665,97219,0.0,0.0,8,0,0,8,6,6.0,18,26,15,176.0,14.0,14,2,15,370,0.5951582528650761,14.692935086786747
19,15,0,0,0,10.000000000000002,20,10.0,2.973168190594963,16,1.9375,27.941307471596897,4,37.5,27.0,12,27.0,6,1.5290000000000006,7566,205,0,0.0,2050.0000000000005,False,-0.30605815831987077,10,1.326,8180,195,0,0.0,1950.0000000000005,False,-0.2605008077544427,0,0.2,18485,0,73,1.0,2039.7154454265735,False,0.15714628160377836,0,0.2,18524,0,59,0.6,1648.537140824217,False,0.1478564647847714,0,0.2,24617,0,0,0.0,0.0,False,0.0,12,1.6880000000000002,19202,139,0,0.0,3883.841738551969,False,-0.1410845810100343,0.26666666666666666,96574,0.0,0.0,8,0,0,12,8,8.0,14,26,16,172.0,3.0,14,1,16,350,0.6978208404034376,15.390755927190185
