index,contract,contract_id,type,level,id,perpetrator,perpetrator_type,victims,step,resolved
0,"07Buy@3, 05Ran@2 agreed on {'quantity': 1, 'time': 1, 'unit_price': 5} [id 38432136-f0ae-4d4c-8152-9363f540b77e]",38432136-f0ae-4d4c-8152-9363f540b77e,product,1.0,811be8fa-47a4-4812-91f8-b63c510310ac,05Ran@2,str,['07Buy@3'],-1,False
1,"04Dec@2, 03Ran@1 agreed on {'quantity': 5, 'time': 2, 'unit_price': 7} [id 2a086800-fd3d-4cb9-a20d-664184c0cecf]",2a086800-fd3d-4cb9-a20d-664184c0cecf,product,1.0,9de2cf69-f842-4fb3-8eb0-ec5afb9bb984,03Ran@1,str,['04Dec@2'],-1,False
2,"04Dec@2, 03Ran@1 agreed on {'quantity': 1, 'time': 2, 'unit_price': 8} [id 12052ac1-e5f3-4e0f-8b57-f2d6f5325d4c]",12052ac1-e5f3-4e0f-8b57-f2d6f5325d4c,product,1.0,a19ff15d-708d-4ef3-a96f-0e0e3322623a,03Ran@1,str,['04Dec@2'],-1,False
3,"04Dec@2, 03Ran@1 agreed on {'quantity': 1, 'time': 2, 'unit_price': 5} [id c06c841b-f865-4d8f-bd5e-3ae44fa404a5]",c06c841b-f865-4d8f-bd5e-3ae44fa404a5,product,1.0,87e3b011-2207-4df0-9761-1c634fdb1c8d,03Ran@1,str,['04Dec@2'],-1,False
4,"05Ran@2, 03Ran@1 agreed on {'quantity': 2, 'time': 2, 'unit_price': 11} [id e0449b30-012f-40aa-a38d-eac5201c4bb9]",e0449b30-012f-40aa-a38d-eac5201c4bb9,product,1.0,3144931e-5b2b-49b9-af12-b0a44e95629a,03Ran@1,str,['05Ran@2'],-1,False
5,"05Ran@2, 03Ran@1 agreed on {'quantity': 2, 'time': 2, 'unit_price': 2} [id b13e82d0-19af-4051-b1e7-8d997ba7f57a]",b13e82d0-19af-4051-b1e7-8d997ba7f57a,product,1.0,dd9badf9-993a-4ba6-96f0-5561c82eadd4,03Ran@1,str,['05Ran@2'],-1,False
6,"07Buy@3, 05Ran@2 agreed on {'quantity': 3, 'time': 2, 'unit_price': 1} [id 85926920-5441-48f5-9792-a768cd5719b7]",85926920-5441-48f5-9792-a768cd5719b7,product,1.0,3b3ffac8-d48a-4f83-ac85-efeb3aadd797,05Ran@2,str,['07Buy@3'],-1,False
7,"06Ind@3, 05Ran@2 agreed on {'quantity': 3, 'time': 2, 'unit_price': 2} [id 138f4b00-d928-44f7-9140-03ba90e1d58b]",138f4b00-d928-44f7-9140-03ba90e1d58b,product,1.0,19e689f7-0e13-4ad8-8162-b7596af4da72,05Ran@2,str,['06Ind@3'],-1,False
8,"07Buy@3, 05Ran@2 agreed on {'quantity': 4, 'time': 2, 'unit_price': 7} [id a35ed1e7-ec8c-448a-9afc-cf739c5769d9]",a35ed1e7-ec8c-448a-9afc-cf739c5769d9,product,1.0,a0b6d42f-ba47-46bb-bf46-e8ecbdd1080c,05Ran@2,str,['07Buy@3'],-1,False
9,"06Ind@3, 05Ran@2 agreed on {'quantity': 5, 'time': 2, 'unit_price': 1} [id 315e6125-4e5b-413d-84d6-cd43f8beebc3]",315e6125-4e5b-413d-84d6-cd43f8beebc3,product,1.0,5ac95633-27b1-480d-98cb-9e7ad18c6928,05Ran@2,str,['06Ind@3'],-1,False
