index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,6,0,0,0,10.0,13,10.0,13.046649106600851,5,18.0,10.078733381433088,31,12.258064516129032,40.0,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,5,1.3030000000000002,72018,101,0,0.0,1010.0,False,-0.05233378632657328,23,0.889,112213,72,0,0.0,939.3587356752613,False,-0.016567499255220088,8,1.7560000000000004,105460,71,0,0.0,926.3120865686604,False,-0.07556090413520282,0,0.32600000000000007,157946,18,11,1.0,621.4172008657956,False,0.012868864485701414,0,0.29000000000000004,157906,70,11,1.0,1145.5113367003162,False,0.014290002101494734,0.3333333333333333,682637,0.0,0.0,10,0,0,12,9,9.0,5,17,9,73.0,3.0,5,1,9,930,0.8468904820038006,47.33480239100754
11,9,0,0,0,10.0,10,10.0,10.739360589937728,27,2.740740740740741,9.94272602571338,17,8.588235294117647,40.0,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,27,1.5680000000000003,71086,111,0,0.0,1110.0,False,-0.0638589797198411,4,0.9060000000000001,112082,95,0,0.0,1020.2392560440842,False,-0.01735785489721641,13,1.8780000000000003,104978,75,0,0.0,805.4520442453296,False,-0.08029493526742949,1,0.336,158304,17,10,1.0,569.0263424371275,False,0.014992468102982274,0,0.29000000000000004,158154,68,13,1.0,1196.10536974851,False,0.01603914778537847,0.3333333333333333,681698,0.0,0.0,8,0,0,12,9,8.25,9,21,5,117.0,3.0,8,1,5,740,0.8298578090034425,48.164660200010985
12,5,0,0,0,10.0,8,10.0,9.4329893227258,18,1.5555555555555556,10.31564414586442,11,16.0,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,18,1.7210000000000005,70525,119,0,0.0,1190.0,False,-0.0706669454317374,11,1.0120000000000002,111792,113,0,0.0,1065.9277934680156,False,-0.01968944330443953,0,1.8650000000000007,104978,75,0,0.0,707.4741992044351,False,-0.08072248366132062,0,0.3350000000000001,158704,7,10,1.0,472.20950902105096,False,0.017242711842290613,0,0.29000000000000004,158378,69,13,1.0,1231.779446064645,False,0.017586944453184945,0.3333333333333333,681471,0.0,0.0,9,0,0,11,5,5.0,5,16,7,48.0,19.0,3,2,7,880,0.7622158210142516,48.92687602102524
13,7,0,0,0,10.0,10,10.0,9.106100580623004,21,7.333333333333333,10.118744380802616,14,7.857142857142857,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,21,1.9130000000000005,69949,129,0,0.0,1290.0,False,-0.0775402467070876,5,1.0510000000000002,111608,127,0,0.0,1156.4747737391215,False,-0.020900172045369148,9,1.9550000000000005,104593,82,0,0.0,746.7002476110863,False,-0.08391138038762494,0,0.3350000000000001,158996,9,10,1.0,491.0686994272236,False,0.01917191063907953,0,0.29000000000000004,158776,61,13,1.0,1137.2434072289598,False,0.01983168659430949,0.3333333333333333,681016,0.0,0.0,9,0,0,11,5,5.0,9,20,8,100.0,0.0,7,0,8,900,0.8526162939961068,49.77949231502134
14,8,0,0,0,10.0,12,10.0,9.006407336271257,16,8.25,10.269316775291886,42,10.833333333333334,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,16,2.0520000000000005,69485,141,0,0.0,1410.0,False,-0.08281936023416266,22,1.266,110796,136,0,0.0,1224.871397732891,False,-0.02768839773726489,20,2.146000000000001,103731,89,0,0.0,801.5702529281419,False,-0.0911950050491436,0,0.3350000000000001,159125,16,12,1.0,644.3090684046703,False,0.02048791350948076,0,0.29000000000000004,158992,76,11,1.0,1220.4680749221834,False,0.02148044773921303,0.3333333333333333,679223,0.0,0.0,10,0,0,13,12,12.0,7,20,5,120.0,0.0,8,0,5,920,0.8267281940206885,50.60622050904203
15,5,0,0,0,10.0,9,10.0,8.72498644351403,8,4.375,10.277683108077962,9,10.444444444444445,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,8,2.1160000000000005,69211,150,0,0.0,1500.0,False,-0.08581172904035124,5,1.2940000000000003,110677,143,0,0.0,1247.6730614225064,False,-0.02862746414578984,4,2.166000000000001,103582,90,0,0.0,785.2487799162627,False,-0.09256661758966904,0,0.3350000000000001,159233,14,17,1.0,823.8875635130915,False,0.02175379710044759,4,0.33000000000000007,159390,67,10,1.0,1088.6047682412236,False,0.023605739565304814,0.3333333333333333,679187,0.0,0.0,8,0,0,8,8,7.666666666666667,7,15,9,52.0,17.0,4,1,9,690,0.7515658870106563,51.35778639605269
16,9,0,0,0,10.0,13,10.0,8.752394242686677,1,12.0,10.017164401950557,10,5.6,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,1,2.1180000000000008,69068,163,0,0.0,1630.0,False,-0.08683096383023207,1,1.2990000000000002,110657,143,0,0.0,1251.5923767041947,False,-0.02878491033982867,9,2.2520000000000007,103246,91,0,0.0,796.4678760844876,False,-0.09545008388788499,0,0.3350000000000001,159693,6,15,1.0,660.1029864117035,False,0.024173748404476645,0,0.32600000000000007,159674,65,12,1.0,1131.1156861267864,False,0.025559424516873423,0.3333333333333333,679432,0.0,0.0,11,0,0,14,6,6.0,7,21,10,119.0,14.0,8,1,10,930,0.8509550919989124,52.2087414880516
17,10,0,0,0,9.999999999999998,17,10.0,9.179419321133826,6,16.833333333333332,9.978392980104038,34,9.794117647058824,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,6,2.1770000000000005,68843,180,0,0.0,1799.9999999999998,False,-0.08866035960694126,19,1.4880000000000002,110048,143,0,0.0,1312.6569629221372,False,-0.0338334585885874,15,2.3930000000000007,102560,97,0,0.0,890.4036741499812,False,-0.10102720488497233,0,0.3350000000000001,160001,2,17,1.0,699.9567859602082,False,0.026272534291950454,0,0.32600000000000007,159833,83,10,1.0,1228.2066173486353,False,0.02688774950190294,0.3333333333333333,678379,0.0,0.0,12,0,0,12,9,9.0,10,22,4,152.0,0.0,10,0,4,970,0.8366062240093015,53.0453477120609
18,4,0,0,0,10.0,9,10.0,8.296481654495036,21,4.0,10.19094578994499,24,11.75,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,21,2.3810000000000007,68131,189,0,0.0,1890.0,False,-0.0973761237716914,4,1.5090000000000003,109951,155,0,0.0,1285.9546564467305,False,-0.03479654281055877,20,2.578000000000001,101812,106,0,0.0,879.4270553764738,False,-0.10760323676972419,0,0.3350000000000001,160167,9,18,1.0,811.718512109505,False,0.02769260816951948,1,0.3360000000000001,160137,80,10,1.0,1215.2756631955992,False,0.02879201919791734,0.3333333333333333,677292,0.0,0.0,8,0,0,11,10,9.25,4,15,5,44.0,3.0,3,1,5,730,0.6760213750530966,53.721369087114
19,5,0,0,0,10.0,9,10.0,8.420400100812142,3,13.0,9.957105322049497,21,7.9523809523809526,40.00000000000001,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,3,2.3900000000000006,68005,198,0,0.0,1980.0,False,-0.09843455989964457,4,1.5450000000000002,109871,155,0,0.0,1305.1620156258818,False,-0.03541092320879602,17,2.7280000000000006,101117,109,0,0.0,917.8236109885235,False,-0.11350126281412916,0,0.3350000000000001,160636,16,13,1.0,679.313685152792,False,0.03027057871930416,0,0.3350000000000001,160301,74,15,1.0,1336.8257938316628,False,0.030230616444042305,0.3333333333333333,677024,0.0,0.0,10,0,0,9,6,6.0,8,17,5,64.0,3.0,4,1,5,890,0.7455783259938471,54.466947413107846
