index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,36,0,0,0,10.000000000000002,20,10.0,32.997461704378345,50,37.76,6.412009445615928,8,1.75,34.00000000000001,6,34.0,0,0.2,19201,4,24,1.0,831.9390809050803,False,0.0693360338213432,33,0.5840000000000001,21185,8,10,1.0,409.97461704378344,False,0.16598459027102172,0,0.2,22522,4,50,1.0,452.5903190983098,False,-0.05624397778173108,8,1.7020000000000002,12624.0,159,0,0.0,5246.596410996157,False,-0.36743701437528714,0,0.2,30008,0,7,0.0,238.00000000000006,False,0.0037314675995335665,6,0.8270000000000002,28596,159,0,0.0,1019.5095018529324,False,-0.030293028454890358,0.5,134136,0.0,0.0,15,0,0,19,7,6.833333333333334,23,42,34,246.0,170.0,19,17,34,648,2.185692518018186,42.154416346980724
11,34,0,0,0,10.000000000000002,20,10.0,34.06576147694541,31,40.0,8.868119468450892,36,16.13888888888889,34.0,13,34.0,0,0.2,19861,4,15,1.0,550.9864221541812,False,0.09765566699793347,2,0.5710000000000002,21515,8,10,1.0,420.6576147694541,False,0.18426431220412803,0,0.2,23082,0,39,0.4,345.8566592695848,False,-0.03522534311173278,21,1.9040000000000004,10576.0,190,0,0.0,6472.4946806196285,False,-0.4269728119685607,0,0.2,30008,0,7,0.0,238.0,False,0.0037314675995335665,13,0.9510000000000001,27802,195,0,0.0,1729.283296347924,False,-0.04492281698570843,0.39999999999999997,132844,0.0,0.0,14,0,0,18,14,13.166666666666668,17,35,35,246.0,87.0,15,19,35,1520,1.996239819971379,44.1506561669521
12,35,0,0,0,10.000000000000002,20,10.0,33.567711844585666,16,27.875,8.914600942652344,23,9.173913043478262,34.0,9,34.0,1,0.21000000000000002,20152,7,10,1.0,405.67711844585665,False,0.10955783915088187,0,0.5690000000000001,21445,5,20,1.0,721.3542368917133,False,0.18864416017693408,0,0.2,23011,0,42,0.8,374.41323959139845,False,-0.037578550456534215,18,2.063,9752.0,198,0,0.0,6646.406945227962,False,-0.4575504699380194,0,0.2,30008,0,7,0.0,238.0,False,0.0037314675995335665,9,1.0280000000000002,27479,218,0,0.0,1943.3830054982109,False,-0.05211755779613177,0.4666666666666666,131847,0.0,0.0,14,0,0,18,9,8.5,21,39,39,239.0,117.0,16,19,39,749,3.1055553070036694,47.25621147395577
13,39,0,0,0,10.000000000000002,20,10.0,31.646109999896872,51,24.901960784313726,8.914600942652344,0,,34.0,13,34.0,41,0.6190000000000001,19799,9,10,1.0,406.46109999896873,False,0.09033690651400837,0,0.5690000000000001,21365,3,30,1.0,979.3832999969062,False,0.19131597983093238,0,0.2,21910,34,52,1.0,1539.5269890144157,False,-0.05908714344062357,0,2.045,9583.0,205,0,0.0,6487.452549978859,False,-0.46785901613883885,0,0.2,30008,0,7,0.0,238.0,False,0.0037314675995335665,13,1.1490000000000002,27279,218,0,0.0,1943.3830054982109,False,-0.05878089279529885,0.5,129944,0.0,0.0,14,0,0,18,11,11.0,22,40,39,244.0,125.0,17,22,39,510,2.2370704830391333,49.493281956994906
14,39,0,0,0,10.000000000000002,20,10.0,30.45959199775095,47,25.23404255319149,11.724415992777905,35,22.65714285714286,34.0,11,34.0,37,0.9480000000000002,19650,12,10,1.0,424.59591997750954,False,0.08270907386147479,0,0.5690000000000001,21295,0,40,1.0,1218.3836799100382,False,0.1940142730964851,0,0.2,21484,71,42,1.0,2655.0565035369896,False,-0.05362063343144318,15,2.1950000000000003,9081.0,205,0,0.0,6244.216359538945,False,-0.49373099154623834,0,0.2,29818,0,12,0.5,408.0,False,0.0002332167249708479,11,1.246,26517,248,0,0.0,2907.6551662089205,False,-0.0681050280491601,0.5833333333333334,127845,0.0,0.0,17,0,0,23,12,11.9,22,45,33,267.0,117.0,20,19,33,1248,2.0271198980044574,51.52040185499936
15,33,0,0,0,10.000000000000002,20,10.0,29.58827353484947,36,24.055555555555557,14.282113678057593,53,21.71698113207547,34.0,13,34.0,26,1.171,19766,12,10,1.0,415.88273534849475,False,0.0887948415194466,0,0.5690000000000001,21195,0,50,1.0,1479.4136767424736,False,0.19567766903086595,0,0.2,21698,97,22,1.0,3184.2690337976655,False,-0.03376474788836568,23,2.4100000000000006,8240.0,205,0,0.0,6065.5960746441415,False,-0.5323266662246071,0,0.2,29818,0,12,0.0,408.0,False,0.0002332167249708479,13,1.3650000000000002,25152,301,0,0.0,4298.916217095336,False,-0.09040619328510187,0.5,125869,0.0,0.0,15,0,0,17,14,14.0,20,37,33,275.0,107.0,17,16,33,1600,1.8859661719761789,53.40636802697554
16,33,0,0,0,10.000000000000002,20,10.0,29.727589090481246,19,31.473684210526315,13.72473748316599,15,6.8,34.00000000000001,8,34.0,9,1.2350000000000003,20009,15,10,1.0,447.2758909048125,False,0.10289659010370164,0,0.5690000000000001,21125,0,57,0.7,1694.472578157431,False,0.197723428131846,0,0.2,21100,106,32,1.0,3590.316043052324,False,-0.05015109436084617,15,2.537000000000001,7826.0,205,0,0.0,6094.155763548655,False,-0.5489098124056453,0,0.2,29818,0,12,0.0,408.0000000000001,False,0.0002332167249708479,8,1.4320000000000002,24958,316,0,0.0,4337.017044680453,False,-0.09623493178943103,0.45,124836,0.0,0.0,15,0,0,25,8,7.9,16,41,32,267.0,87.0,19,14,32,488,1.7889153190189973,55.19528334599454
17,32,0,0,0,10.000000000000002,20,10.0,28.615959174265086,41,22.341463414634145,13.822553568818002,21,14.666666666666666,34.00000000000001,12,34.0,26,1.4860000000000004,20125,15,10,1.0,436.15959174265083,False,0.10891685995482837,0,0.5690000000000001,21075,0,62,1.0,1774.1894688044354,False,0.19717060421925414,0,0.2,20450,137,35,1.0,4404.175781782947,False,-0.06023531816746288,14,2.6620000000000004,7385.0,205,0,0.0,5866.271630724343,False,-0.5719326329504576,0,0.2,29818,0,12,0.0,408.0000000000001,False,0.0002332167249708479,12,1.5440000000000003,24471,337,0,0.0,4658.200552691666,False,-0.10710976923718692,0.5,123324,0.0,0.0,16,0,0,17,10,10.0,23,40,30,235.0,90.0,17,15,30,836,1.7638416879926808,56.95912503398722
18,30,0,0,0,10.000000000000002,20,10.0,29.190653394429734,11,42.0,14.21764293423129,28,16.785714285714285,34.00000000000001,8,34.0,0,1.4600000000000004,20075,10,20,1.0,683.8130678885947,False,0.11294121198933207,0,0.5690000000000001,21387,5,61,1.0,1830.629857060214,False,0.21571626756773551,0,0.2,20792,127,36,1.0,4219.048126724902,False,-0.049886987082540135,19,2.838000000000001,6369.0,216,0,0.0,6305.181133196823,False,-0.6049788181796212,0,0.2,29818,0,12,0.0,408.0000000000001,False,0.0002332167249708479,8,1.612,23913,365,0,0.0,5189.43967099442,False,-0.11685091336007963,0.5,122354,0.0,0.0,14,0,0,16,7,7.0,21,37,31,233.0,108.0,14,16,31,1004,1.4856218560016714,58.44474688998889
19,31,0,0,0,10.000000000000002,20,10.0,29.106020388433553,52,28.73076923076923,14.21764293423129,0,,34.00000000000001,10,34.0,20,1.6600000000000001,20435,13,10,1.0,421.0602038843356,False,0.12540365777825935,0,0.5690000000000001,21821,2,59,1.0,1737.2552029175797,False,0.23682897800265953,0,0.2,19802,157,46,1.0,5223.656775958707,False,-0.07011996399023596,0,2.819000000000001,5865.0,228,0,0.0,6636.17264856285,False,-0.6190223064934689,0,0.2,29818,0,12,0.0,408.0000000000001,False,0.0002332167249708479,10,1.7040000000000004,23780,365,0,0.0,5189.43967099442,False,-0.12128203113452575,0.5,121521,0.0,0.0,15,0,0,15,6,5.8,25,40,33,213.0,110.0,14,17,33,1169,1.4738758470048197,59.91862273699371
